<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HDB,20180306,43.00,43.55,42.80,43.20,2479350
HDB,20180305,43.60,43.70,42.90,43.00,2578830
HDB,20180302,43.50,43.55,43.20,43.55,1808640
HDB,20180301,43.30,44.00,43.20,43.95,2739770
HDB,20180228,44.00,44.50,43.00,44.40,2241390
HDB,20180227,44.50,44.60,42.80,44.50,1579540
HDB,20180226,44.55,46.00,43.65,44.00,2378080
HDB,20180223,45.00,46.50,44.35,44.55,2175420
HDB,20180222,46.20,46.20,45.00,45.00,2243860
HDB,20180221,46.90,47.10,45.50,46.70,3263200
HDB,20180213,46.95,46.95,45.50,46.60,5066980
HDB,20180212,44.70,47.00,44.65,46.50,3436010
HDB,20180209,43.80,44.70,42.10,44.60,3454800
HDB,20180208,43.85,45.85,43.50,44.90,4667920
HDB,20180207,42.40,43.85,42.30,43.85,4238270
HDB,20180206,41.00,41.30,40.00,41.00,3906020
HDB,20180205,43.00,45.60,42.80,43.00,3353170
HDB,20180202,46.00,46.00,45.30,46.00,4567580
HDB,20180201,46.60,46.70,45.80,46.00,3428660
HDB,20180131,46.90,46.90,46.00,46.60,5581950
HDB,20180130,47.05,47.05,45.70,47.00,6121930
HDB,20180129,47.10,47.50,46.30,47.05,6592140
HDB,20180126,47.80,48.10,46.30,47.00,5637470
HDB,20180125,45.50,48.30,45.00,47.80,10284390
HDB,20180122,44.80,45.40,44.30,45.30,4402360
HDB,20180119,44.50,46.10,44.50,45.20,6728810
HDB,20180118,42.60,44.00,41.70,44.00,5371340
HDB,20180117,44.90,44.95,42.70,42.70,5794700
HDB,20180116,44.60,45.20,44.45,44.95,6271100
HDB,20180115,45.50,45.70,44.00,45.50,6559820
HDB,20180112,45.45,45.45,42.60,45.45,18714750
HDB,20180111,40.40,42.50,40.30,42.50,9874500
HDB,20180110,39.20,40.30,39.10,40.30,8726070
HDB,20180109,39.70,39.80,38.90,39.75,4537340
HDB,20180108,40.00,40.00,39.60,39.70,3321420
