<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HLA,20180302,0.30,0.40,0.30,0.40,72413
HLA,20180209,0.30,0.40,0.30,0.40,237420
HLA,20180202,0.30,0.40,0.30,0.40,15200
HLA,20180126,0.30,0.40,0.30,0.30,132300
HLA,20180119,0.30,0.40,0.30,0.40,230100
HLA,20180112,0.30,0.40,0.30,0.30,113200
HLA,20180105,0.40,0.40,0.30,0.30,396900
HLA,20171229,0.40,0.40,0.40,0.40,100
HLA,20171222,0.30,0.40,0.30,0.40,23900
HLA,20171215,0.40,0.40,0.30,0.30,277800
HLA,20171208,0.40,0.40,0.30,0.40,73500
HLA,20171201,0.30,0.40,0.30,0.30,206470
HLA,20171124,0.40,0.40,0.30,0.30,14400
HLA,20171117,0.30,0.40,0.30,0.30,14760
HLA,20171110,0.40,0.40,0.30,0.40,24860
HLA,20171103,0.40,0.40,0.30,0.40,4515
HLA,20171027,0.40,0.40,0.30,0.30,73810
HLA,20171020,0.40,0.40,0.40,0.40,107210
HLA,20171013,0.40,0.40,0.30,0.40,56510
HLA,20171006,0.40,0.40,0.30,0.40,127225
HLA,20170929,0.40,0.50,0.40,0.40,112360
HLA,20170922,0.40,0.40,0.40,0.40,54900
HLA,20170915,0.40,0.50,0.40,0.50,47100
HLA,20170908,0.40,0.40,0.40,0.40,126000
HLA,20170901,0.50,0.50,0.40,0.40,56800
HLA,20170825,0.40,0.50,0.40,0.40,31400
HLA,20170818,0.40,0.50,0.40,0.50,37800
HLA,20170811,0.50,0.50,0.40,0.50,34302
HLA,20170804,0.40,0.50,0.40,0.50,51000
HLA,20170728,0.50,0.50,0.40,0.50,472490
HLA,20170721,0.50,0.50,0.40,0.50,124500
HLA,20170714,0.50,0.60,0.40,0.60,469520
HLA,20170707,0.50,0.60,0.40,0.50,311400
HLA,20170630,0.50,0.60,0.50,0.50,139900
HLA,20170623,0.50,0.50,0.40,0.50,138830
HLA,20170616,0.50,0.50,0.50,0.50,302000
HLA,20170609,0.50,0.50,0.40,0.50,83510
HLA,20170602,0.40,0.50,0.40,0.50,136300
HLA,20170526,0.30,0.40,0.30,0.40,318502
HLA,20170519,0.40,0.40,0.30,0.40,87950
HLA,20170512,0.30,0.40,0.30,0.40,334701
HLA,20170505,0.30,0.40,0.30,0.40,55110
HLA,20170428,0.40,0.40,0.30,0.30,43160
HLA,20170421,0.40,0.40,0.30,0.40,33600
HLA,20170414,0.40,0.40,0.30,0.40,17800
HLA,20170407,0.40,0.40,0.30,0.40,64200
HLA,20170331,0.40,0.40,0.30,0.40,5876
HLA,20170324,0.30,0.40,0.30,0.40,38600
HLA,20170317,0.40,0.40,0.40,0.40,42000
HLA,20170310,0.30,0.40,0.30,0.40,55611
HLA,20170303,0.40,0.40,0.40,0.40,4226
HLA,20170224,0.40,0.40,0.30,0.40,38900
HLA,20170217,0.30,0.50,0.30,0.50,85155
HLA,20170210,0.40,0.40,0.30,0.40,27300
HLA,20170203,0.30,0.40,0.30,0.40,600
HLA,20170120,0.30,0.30,0.20,0.30,79000
HLA,20170113,0.30,0.30,0.30,0.30,35900
HLA,20170106,0.40,0.40,0.30,0.30,23965
HLA,20161230,0.30,0.30,0.30,0.30,102810
HLA,20161223,0.30,0.30,0.30,0.30,6900
HLA,20161216,0.30,0.30,0.30,0.30,25208
HLA,20161209,0.40,0.40,0.30,0.30,47458
HLA,20161202,0.40,0.40,0.30,0.40,11150
HLA,20161125,0.30,0.40,0.30,0.30,306510
HLA,20161118,0.40,0.40,0.30,0.30,11810
HLA,20161111,0.40,0.40,0.40,0.40,10420
