<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HLC,20180305,7.00,7.10,6.40,7.10,6500
HLC,20180228,7.20,7.20,7.00,7.00,800
HLC,20180227,7.60,7.60,7.50,7.60,1700
HLC,20180222,8.30,8.30,8.30,8.30,200
HLC,20180207,7.70,7.70,7.70,7.70,100
HLC,20180206,7.00,7.00,7.00,7.00,100
HLC,20180205,7.70,7.70,7.70,7.70,100
HLC,20180202,7.70,7.70,7.70,7.70,1400
HLC,20180131,7.00,7.00,7.00,7.00,317
HLC,20180130,7.40,7.40,7.40,7.40,1300
HLC,20180129,7.70,7.70,7.20,7.20,600
HLC,20180126,8.00,8.00,8.00,8.00,50
HLC,20180125,7.80,8.00,7.80,8.00,417
HLC,20180124,7.60,7.60,7.60,7.60,1000
HLC,20180123,7.30,7.40,7.30,7.40,4400
HLC,20180122,6.80,6.80,6.80,6.80,100
HLC,20180118,6.70,6.70,6.20,6.20,2213
HLC,20180116,6.80,6.80,6.80,6.80,44
HLC,20180111,6.80,6.80,6.80,6.80,4
HLC,20180109,6.80,6.80,6.80,6.80,300
HLC,20180108,6.80,6.80,6.80,6.80,200
HLC,20180105,6.90,6.90,6.90,6.90,500
HLC,20171229,7.30,7.40,7.30,7.30,2000
HLC,20171228,7.00,7.20,7.00,7.20,6500
HLC,20171226,6.70,6.70,6.60,6.60,1563
HLC,20171225,6.60,6.60,6.50,6.50,3120
HLC,20171214,7.20,7.20,7.20,7.20,30
HLC,20171211,7.20,7.20,7.20,7.20,100
HLC,20171208,6.60,6.60,6.60,6.60,127
HLC,20171206,6.90,6.90,6.90,6.90,121
HLC,20171204,7.00,7.40,6.80,7.40,2089
HLC,20171201,7.00,7.00,7.00,7.00,300
HLC,20171129,7.40,7.40,7.40,7.40,1500
HLC,20171128,6.80,6.80,6.80,6.80,485
HLC,20171127,7.50,7.50,7.50,7.50,5
HLC,20171124,7.50,7.50,7.50,7.50,29
HLC,20171122,7.50,7.50,7.50,7.50,100
HLC,20171120,6.80,7.30,6.80,7.30,500
HLC,20171107,7.50,7.50,7.50,7.50,100
HLC,20171103,7.20,7.20,7.20,7.20,500
HLC,20171031,7.20,7.20,7.20,7.20,1300
HLC,20171030,7.20,7.20,7.20,7.20,3000
HLC,20171027,7.20,7.20,7.20,7.20,1000
HLC,20171025,7.20,7.20,7.20,7.20,200
HLC,20171023,7.20,7.20,7.20,7.20,1000
HLC,20171020,7.20,7.20,7.20,7.20,500
HLC,20171018,7.30,7.30,7.30,7.30,100
HLC,20171016,7.00,7.20,7.00,7.20,1879
HLC,20171009,7.60,7.60,7.60,7.60,100
HLC,20171006,7.30,7.40,7.30,7.40,6600
HLC,20171005,7.20,7.20,7.20,7.20,1200
HLC,20171004,7.30,7.50,7.30,7.50,2300
HLC,20171002,7.70,7.70,7.70,7.70,128
HLC,20170927,7.50,7.50,7.00,7.20,6828
HLC,20170926,7.40,7.40,7.40,7.40,2000
HLC,20170922,7.20,7.60,6.70,7.60,5100
HLC,20170921,7.20,7.20,7.20,7.20,330
HLC,20170920,7.20,7.30,7.20,7.30,2100
HLC,20170919,7.20,7.30,7.20,7.20,1000
HLC,20170918,7.20,7.90,7.20,7.90,3300
HLC,20170913,8.00,8.00,8.00,8.00,100
HLC,20170912,7.90,7.90,7.30,7.70,8050
HLC,20170911,8.00,8.00,8.00,8.00,100
HLC,20170908,8.40,8.40,7.10,7.50,1100
HLC,20170907,8.10,8.10,7.80,7.80,1500
HLC,20170906,8.00,8.10,8.00,8.10,1300
HLC,20170905,8.30,8.30,8.10,8.30,12709
HLC,20170830,8.40,9.00,8.40,9.00,5000
HLC,20170829,9.30,9.30,9.30,9.30,239
HLC,20170828,9.00,9.00,9.00,9.00,200
HLC,20170825,8.30,8.90,8.30,8.90,4967
HLC,20170824,8.00,8.30,8.00,8.20,1700
HLC,20170823,7.50,7.70,7.50,7.60,3945
HLC,20170822,8.10,8.20,8.10,8.20,7439
HLC,20170821,9.00,9.00,9.00,9.00,1700
HLC,20170818,9.90,9.90,9.90,9.90,4600
HLC,20170817,10.90,10.90,10.90,10.90,204
HLC,20170816,12.10,12.10,12.10,12.10,100
HLC,20170815,13.40,13.40,13.40,13.40,100
HLC,20170814,18.00,18.00,14.80,14.80,1000
HLC,20170811,16.40,16.40,16.40,16.40,100
HLC,20170810,18.20,18.20,18.20,18.20,100
HLC,20170809,20.20,20.20,20.20,20.20,100
HLC,20170808,22.40,22.40,22.40,22.40,100
HLC,20170801,24.80,24.80,24.80,24.80,300
HLC,20170724,27.50,27.50,27.50,27.50,200
HLC,20170721,27.00,27.20,22.70,27.20,5200
HLC,20170720,25.20,25.20,25.20,25.20,100
HLC,20170717,27.10,28.00,27.10,28.00,250
HLC,20170714,27.10,27.10,27.10,27.10,100
HLC,20170713,24.80,24.80,24.80,24.80,200
HLC,20170712,22.70,22.70,22.70,22.70,100
HLC,20170711,20.80,20.80,20.80,20.80,100
HLC,20170710,19.00,19.00,19.00,19.00,100
HLC,20170707,17.50,19.00,17.50,19.00,261
HLC,20170706,17.50,17.50,17.50,17.50,100
HLC,20170705,16.40,16.40,16.40,16.40,100
HLC,20170703,16.00,16.00,16.00,16.00,100
HLC,20170630,12.10,14.70,12.10,14.70,1110
HLC,20170621,11.00,13.40,11.00,13.40,1680
HLC,20170529,11.00,12.20,11.00,12.20,800
HLC,20170526,9.60,11.70,9.60,11.60,4000
HLC,20170525,10.65,10.65,10.65,10.65,20
HLC,20170524,9.98,10.65,9.98,10.65,1300
HLC,20170523,9.50,9.98,9.50,9.98,1200
HLC,20170522,9.80,9.80,9.80,9.79,190
HLC,20170519,8.75,8.94,8.18,8.94,5100
