<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HPP,20180330,42.20,50.90,42.10,50.90,20600
HPP,20180329,41.50,44.90,41.50,44.90,12400
HPP,20180328,40.00,40.00,40.00,40.00,3310
HPP,20180327,45.00,45.50,41.00,42.00,10400
HPP,20180326,46.20,46.40,46.20,46.40,1300
HPP,20180323,46.00,47.00,46.00,47.00,2010
HPP,20180320,46.50,47.00,46.50,47.00,2000
HPP,20180319,46.00,46.00,46.00,46.00,501
HPP,20180316,46.00,46.00,46.00,46.00,3200
HPP,20180315,46.70,46.70,46.70,46.70,10
HPP,20180314,46.50,47.00,46.50,47.00,4600
HPP,20180313,46.00,46.00,46.00,46.00,3700
HPP,20180312,46.00,46.40,45.00,46.40,4909
HPP,20180309,45.00,47.50,44.50,46.00,5700
HPP,20180308,44.00,45.00,44.00,44.60,4900
HPP,20180307,43.50,43.50,43.50,43.50,2000
HPP,20180306,43.10,43.10,43.00,43.00,3000
HPP,20180305,44.10,44.10,44.10,44.10,30
HPP,20180301,45.00,45.00,43.50,43.50,1000
HPP,20180228,45.50,45.50,45.50,45.50,100
HPP,20180227,45.40,45.40,45.40,45.40,100
HPP,20180222,45.90,46.00,45.90,46.00,900
HPP,20180221,42.10,45.90,42.00,45.90,1100
HPP,20180207,45.90,45.90,45.90,45.90,100
HPP,20180206,43.40,45.90,43.00,45.90,3401
HPP,20180205,45.90,45.90,45.90,45.90,11
HPP,20180202,45.00,46.00,45.00,46.00,1100
HPP,20180201,45.20,45.20,45.20,45.20,2400
HPP,20180130,45.50,45.50,45.50,45.50,500
HPP,20180129,46.00,46.00,45.50,45.50,2500
HPP,20180126,46.00,46.20,45.50,46.00,6600
HPP,20180125,46.10,46.10,46.00,46.00,2500
HPP,20180124,46.00,47.00,46.00,46.80,8500
HPP,20180123,46.00,47.00,46.00,46.00,7100
HPP,20180122,46.00,46.00,46.00,46.00,400
HPP,20180119,46.50,46.50,45.00,46.00,1100
HPP,20180117,46.00,46.00,46.00,46.00,1134
HPP,20180115,47.00,47.00,47.00,47.00,1500
HPP,20180112,46.90,47.00,46.90,47.00,3500
HPP,20180111,47.00,47.00,47.00,47.00,1000
HPP,20180110,47.00,47.00,47.00,47.00,400
HPP,20180109,47.40,47.50,47.00,47.00,2100
HPP,20180108,46.00,47.50,46.00,47.50,2500
HPP,20180105,47.00,47.00,46.60,47.00,6000
HPP,20180104,47.50,47.50,46.00,47.10,22300
HPP,20180103,47.00,47.50,46.90,46.90,9530
HPP,20180102,46.30,47.20,46.30,47.10,15210
HPP,20171229,46.30,53.20,46.10,53.20,29001
