<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HTR,20180301,10.00,10.00,10.00,10.00,8700
HTR,20180228,10.00,10.00,10.00,10.00,4100
HTR,20170628,12.00,12.00,12.00,12.00,100
HTR,20170613,10.60,10.60,10.60,10.60,100
HTR,20170518,9.27,9.27,9.27,9.27,1900
HTR,20170515,9.27,9.27,9.27,9.27,2600
HTR,20170504,9.27,9.27,9.27,9.27,9900
HTR,20170330,9.27,9.27,9.27,9.27,500
HTR,20170317,9.27,9.27,9.27,9.27,3300
HTR,20170316,9.27,9.27,9.27,9.27,10000
HTR,20170315,9.27,9.27,9.27,9.27,15000
HTR,20170309,9.27,9.27,9.27,9.27,3900
HTR,20170223,9.27,9.27,9.27,9.27,22700
