<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
IME,20180330,7.60,7.60,7.60,7.60,102
IME,20180329,8.20,8.20,8.20,8.20,8
IME,20180328,8.20,8.20,8.20,8.20,100
IME,20180327,9.10,9.10,9.10,9.10,100
IME,20180313,10.70,10.70,10.70,10.70,100
IME,20180308,12.50,12.50,12.50,12.50,100
IME,20180131,9.50,9.50,9.50,9.50,10
IME,20180126,9.50,9.50,9.50,9.50,40
IME,20180119,9.50,9.50,9.50,9.50,100
IME,20180117,11.10,11.10,11.10,11.10,100
IME,20180116,13.00,13.00,13.00,13.00,200
IME,20180115,12.60,12.60,12.60,12.60,200
IME,20171130,9.00,9.10,9.00,9.10,30000
IME,20171108,8.60,8.60,8.60,8.60,1000
IME,20171106,12.40,12.40,9.20,9.20,600
IME,20171103,10.80,10.80,10.80,10.80,24
IME,20171101,10.80,10.80,10.80,10.80,100
IME,20171031,12.60,12.60,12.60,12.60,200
IME,20170823,9.00,9.00,9.00,9.00,100
IME,20170821,10.20,10.20,10.20,10.20,100
IME,20170804,11.90,11.90,11.90,11.90,100
IME,20170720,14.00,14.00,14.00,14.00,24
IME,20170712,14.00,14.00,14.00,14.00,24
IME,20170628,14.00,14.00,14.00,14.00,100
IME,20170621,12.00,12.50,12.00,12.50,26400
IME,20170620,11.80,11.80,11.80,11.80,100
IME,20170613,13.80,13.80,13.80,13.80,100
IME,20170524,16.00,16.00,13.30,13.30,2600
IME,20170522,17.80,17.80,15.60,15.60,5100
IME,20170519,15.50,15.50,15.50,15.50,100
IME,20170518,13.50,13.50,13.50,13.50,1900
IME,20170517,11.70,11.90,11.70,11.70,700
IME,20170516,13.00,15.10,13.00,15.10,1500
IME,20170509,15.10,15.10,15.10,15.10,2000
IME,20170508,17.00,17.00,15.90,15.90,2500
IME,20170505,20.20,20.20,17.10,17.10,1200
IME,20170503,17.60,17.60,17.60,17.60,92
IME,20170427,22.00,22.00,17.40,17.40,5200
IME,20170426,18.70,22.00,18.70,22.00,200
IME,20170413,22.00,22.00,22.00,22.00,520
IME,20170411,20.10,20.10,20.10,20.10,45100
IME,20170410,21.80,21.80,21.80,21.80,100
IME,20170405,19.00,19.00,19.00,19.00,430
IME,20170404,17.00,19.00,17.00,19.00,900
IME,20170403,16.70,16.70,16.70,16.70,100
IME,20170329,14.60,14.60,14.60,14.60,700
IME,20170323,14.60,14.60,14.60,14.60,10000
IME,20170317,20.00,20.00,16.50,16.50,600
IME,20170308,19.30,19.30,19.30,19.30,100
IME,20170222,16.80,16.80,16.80,16.80,9000
IME,20170221,14.80,14.80,14.80,14.80,1000
IME,20170210,12.90,12.90,12.90,12.90,10000
IME,20170209,15.10,15.10,15.10,15.10,100
IME,20170203,10.90,14.40,10.90,14.40,300
IME,20170202,12.60,12.60,12.60,12.60,1000
IME,20170124,14.60,14.60,14.60,14.60,100
IME,20170123,17.00,17.00,17.00,17.00,1000
IME,20170120,20.00,20.00,20.00,20.00,100
IME,20170119,17.40,17.40,17.40,17.40,100
IME,20170118,15.20,15.20,15.20,15.20,100
IME,20170117,13.30,13.30,13.30,13.30,100
