<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
IN4,20180202,70.00,70.00,70.00,70.00,400
IN4,20171228,68.00,68.00,68.00,68.00,100
IN4,20171117,65.00,65.00,65.00,65.00,100
IN4,20171005,65.50,65.50,65.50,65.50,100
IN4,20170831,59.09,59.09,55.15,55.16,200
IN4,20170829,65.01,65.01,64.02,64.02,200
IN4,20170807,73.88,73.88,73.88,73.87,700
IN4,20170627,59.10,59.10,59.10,59.10,100
IN4,20170622,52.99,52.99,52.99,52.99,1000
IN4,20170614,46.19,46.19,46.19,46.19,100
IN4,20170503,76.82,76.82,76.82,76.83,300
IN4,20170427,68.66,68.66,68.66,68.66,3100
IN4,20170426,59.73,59.73,59.73,59.73,300
IN4,20170410,51.95,51.95,51.95,51.95,103
IN4,20170404,45.23,45.23,45.23,45.23,100
IN4,20170403,39.37,39.37,39.37,39.37,3
IN4,20170327,39.38,39.38,39.38,39.37,100
IN4,20170322,40.33,47.44,40.33,47.44,600
IN4,20170320,47.44,47.44,47.05,47.44,2400
IN4,20170317,40.82,41.30,40.82,41.29,3000
IN4,20170315,48.02,48.02,48.02,48.02,1200
IN4,20170314,48.02,48.02,48.02,48.02,2300
IN4,20170303,48.02,48.02,48.02,48.02,500
IN4,20170228,52.82,52.82,52.82,52.82,100
IN4,20170227,48.02,48.02,48.02,48.02,100
IN4,20170222,54.74,54.74,54.74,54.74,1000
IN4,20161226,56.09,56.09,56.09,56.08,2300
IN4,20161110,65.98,65.98,65.98,65.98,100
IN4,20161104,57.43,57.43,57.43,57.43,100
IN4,20161103,49.93,49.93,49.93,49.94,100
IN4,20161102,43.51,43.51,43.51,43.50,100
IN4,20161101,37.84,37.84,37.84,37.84,100
IN4,20160705,27.08,27.08,27.08,27.08,100
IN4,20160512,19.38,19.38,19.38,19.38,5500
IN4,20160509,22.77,22.77,22.77,22.77,21
IN4,20160421,22.77,22.77,22.77,22.77,500
IN4,20160420,26.75,26.75,26.75,26.75,1100
IN4,20160415,31.40,31.40,31.40,31.40,100
IN4,20160414,27.34,27.34,27.34,27.34,500
IN4,20160412,32.17,32.17,32.17,32.16,100
IN4,20160411,28.02,28.02,28.02,28.02,21
IN4,20160407,28.02,28.02,28.02,28.02,1000
IN4,20160406,28.44,28.44,28.44,28.44,200
IN4,20160405,33.18,33.18,33.18,33.18,100
IN4,20160404,38.94,38.94,38.94,38.94,4200
IN4,20160401,39.36,39.36,39.36,39.36,12500
IN4,20160331,34.28,34.28,34.28,34.28,100
IN4,20160330,40.20,40.20,40.20,40.20,11300
IN4,20160329,40.20,40.20,40.20,40.20,2
IN4,20160328,40.21,40.21,40.21,40.20,1000
IN4,20160324,41.14,41.14,41.14,41.14,2
IN4,20160315,41.14,41.14,41.14,41.14,300
IN4,20160311,48.25,48.25,48.25,48.25,500
IN4,20160309,48.25,48.25,48.25,48.25,100
IN4,20160308,42.07,42.07,42.07,42.07,100
IN4,20160307,36.65,36.65,36.65,36.65,100
IN4,20160304,31.91,31.91,31.91,31.91,500
IN4,20160303,27.77,27.77,27.77,27.76,100
IN4,20160302,24.21,24.21,24.21,24.21,100
IN4,20160301,21.08,21.08,21.08,21.08,100
IN4,20160126,18.37,18.37,18.37,18.37,100
IN4,20151229,16.00,16.00,16.00,16.00,500
IN4,20151222,18.79,18.79,18.79,18.79,20
IN4,20151217,18.79,18.79,18.79,18.79,500
IN4,20151207,22.09,22.09,22.09,22.09,200
IN4,20151204,28.78,29.20,22.09,29.20,2200
IN4,20151203,25.39,25.39,25.39,25.39,100
IN4,20151202,22.09,22.09,22.09,22.09,1000
IN4,20151119,19.21,19.21,19.21,19.21,100
IN4,20151116,20.06,24.97,20.06,24.97,200
IN4,20151113,23.53,23.53,23.53,23.53,100
IN4,20151112,27.67,27.67,27.67,27.68,100
IN4,20151106,29.20,29.20,21.58,21.58,600
IN4,20151102,25.39,25.39,25.39,25.39,100
IN4,20151023,24.97,24.97,24.97,24.97,100
IN4,20151021,24.46,24.46,24.46,24.46,100
IN4,20151016,21.33,21.33,21.33,21.33,100
IN4,20151007,24.97,24.97,24.97,24.97,3000
IN4,20151006,28.19,28.19,28.19,28.19,100
IN4,20150904,24.55,24.55,24.55,24.55,1600
IN4,20150903,23.81,23.81,23.81,23.81,1200
IN4,20150824,23.81,23.81,23.81,23.81,1000
IN4,20150820,23.81,23.81,23.81,23.81,1000
IN4,20150818,23.48,23.48,23.48,23.48,5700
IN4,20150812,20.45,20.45,20.45,20.45,100
IN4,20150806,23.97,23.97,23.97,23.97,1000
IN4,20150804,20.87,20.87,20.87,20.86,100
IN4,20150803,24.55,24.55,24.55,24.55,2100
IN4,20150731,24.63,24.63,24.55,24.55,3000
IN4,20150730,24.63,24.63,24.55,24.55,2000
IN4,20150722,26.01,26.01,26.01,26.02,1000
IN4,20150721,24.87,24.87,22.17,22.17,6000
IN4,20150720,21.68,21.68,21.68,21.68,1000
IN4,20150714,18.91,18.91,18.91,18.90,100
IN4,20150710,16.36,17.18,16.36,17.18,1300
IN4,20150603,15.27,15.27,12.61,12.61,3700
IN4,20150515,13.94,13.94,13.94,13.94,100
IN4,20150508,15.41,15.41,15.41,15.41,900
IN4,20150415,14.01,14.01,14.01,14.01,100
IN4,20150414,15.26,15.26,15.26,15.26,30
IN4,20150401,15.26,15.26,15.26,15.26,2000
IN4,20150331,16.95,16.95,16.95,16.96,7000
IN4,20150330,15.41,16.29,15.41,16.29,86600
IN4,20150325,14.75,15.12,14.75,15.11,2000
IN4,20150313,14.75,14.75,14.75,14.75,100
IN4,20141218,14.75,14.75,14.75,14.75,2000
IN4,20141210,14.60,14.60,14.60,14.60,1100
IN4,20141205,13.28,13.28,13.28,13.27,100
IN4,20141127,14.75,14.75,14.75,14.75,700
IN4,20141117,14.01,14.75,14.01,14.75,4600
IN4,20141113,15.19,15.19,15.19,15.19,100
IN4,20141111,16.22,16.22,16.22,16.22,200
IN4,20141107,15.85,15.85,15.85,15.85,100
IN4,20141106,15.41,15.41,15.41,15.41,200
IN4,20141104,14.01,14.01,14.01,14.01,100
IN4,20141031,15.49,15.49,15.49,15.48,200
IN4,20141028,15.48,15.48,14.45,14.45,400
IN4,20141024,15.19,15.19,15.19,15.19,100
IN4,20141023,14.38,14.97,14.38,14.97,1400
IN4,20141022,13.64,13.64,13.64,13.64,100
IN4,20141021,14.82,14.82,14.82,14.82,3000
IN4,20141017,14.82,14.90,14.82,14.82,6300
IN4,20141016,14.75,14.75,14.75,14.75,6100
IN4,20141015,14.75,14.82,14.75,14.82,8000
IN4,20141014,14.75,14.75,14.75,14.75,2000
IN4,20141013,14.60,14.60,14.60,14.60,1100
IN4,20141010,14.45,14.45,14.45,14.45,1800
IN4,20141007,13.79,13.79,13.79,13.79,2400
IN4,20141001,13.79,13.79,13.79,13.79,2000
IN4,20140926,14.68,14.68,14.68,14.67,100
IN4,20140918,14.15,14.15,14.15,14.16,3000
IN4,20140916,13.29,13.64,13.29,13.64,1500
IN4,20140915,13.29,13.29,13.29,13.29,300
IN4,20140911,13.64,13.64,13.64,13.64,1000
IN4,20140910,13.99,13.99,13.36,13.36,400
IN4,20140909,12.94,12.94,12.94,12.94,800
IN4,20140903,13.36,13.36,13.36,13.36,1000
IN4,20140825,13.43,13.43,13.36,13.36,2500
IN4,20140821,13.36,13.36,13.36,13.36,2300
IN4,20140818,13.36,13.36,13.29,13.29,5000
IN4,20140814,13.36,13.36,13.29,13.29,2600
IN4,20140813,13.29,13.29,13.29,13.29,8700
IN4,20140812,13.29,13.29,13.29,13.29,4600
IN4,20140811,13.29,13.29,13.29,13.29,4000
IN4,20140805,12.94,13.36,12.94,13.29,7400
IN4,20140801,13.36,13.36,13.36,13.36,600
IN4,20140731,13.36,13.36,13.36,13.36,950
IN4,20140730,13.36,13.36,13.36,13.36,1000
IN4,20140729,13.36,13.36,13.36,13.36,400
IN4,20140728,13.36,13.36,13.29,13.29,5500
IN4,20140725,13.29,13.36,13.29,13.29,7800
IN4,20140724,13.29,13.29,13.29,13.29,2500
IN4,20140723,13.29,13.29,13.29,13.29,1500
IN4,20140722,13.29,13.29,13.08,13.08,5300
IN4,20140721,13.08,13.08,13.01,13.01,9600
IN4,20140718,13.08,13.64,13.01,13.64,9000
IN4,20140717,12.94,13.01,12.94,13.01,4500
IN4,20140715,12.94,12.94,12.94,12.94,2000
IN4,20140711,13.08,13.29,12.66,12.66,4300
IN4,20140710,12.59,13.08,12.59,13.08,8200
IN4,20140707,12.31,12.31,12.31,12.31,1700
IN4,20140625,12.31,12.31,12.31,12.31,1000
IN4,20140624,12.24,12.24,12.24,12.24,2500
IN4,20140623,11.89,12.24,11.89,12.24,5050
IN4,20140618,12.52,12.52,12.52,12.52,100
IN4,20140617,11.40,11.40,11.40,11.40,2600
IN4,20140616,11.12,11.12,11.12,11.12,800
IN4,20140613,11.12,11.12,11.12,11.12,3300
IN4,20140612,11.12,11.12,11.12,11.12,1500
IN4,20140424,7.97,7.97,7.97,7.97,100
IN4,20140328,7.30,7.30,7.30,7.29,100
IN4,20140320,6.68,6.68,6.68,6.68,100
IN4,20140317,6.12,6.12,6.12,6.12,100
IN4,20140214,5.56,5.56,5.56,5.56,100
IN4,20140213,6.18,6.18,6.18,6.18,100
IN4,20140122,5.62,5.62,5.62,5.62,100
IN4,20140110,5.13,5.13,5.13,5.13,100
IN4,20131227,4.70,4.70,4.70,4.70,100
IN4,20131121,5.07,5.07,5.07,5.07,100
IN4,20131030,4.64,4.64,4.64,4.64,100
IN4,20130919,4.64,4.64,4.64,4.64,100
IN4,20130819,5.13,5.13,5.13,5.13,100
IN4,20130718,5.68,5.68,5.68,5.68,100
IN4,20130611,4.08,4.08,4.08,4.08,100
IN4,20130530,4.53,4.53,4.53,4.52,100
IN4,20130509,4.14,4.14,4.14,4.14,100
IN4,20130502,4.55,4.55,4.55,4.55,300
IN4,20130412,4.14,4.14,4.14,4.14,100
IN4,20130409,4.55,4.55,4.55,4.55,100
IN4,20130402,5.01,5.01,5.01,5.01,100
IN4,20130326,5.56,5.56,5.56,5.56,100
IN4,20130219,5.56,6.76,5.56,6.76,200
IN4,20130208,5.56,6.75,5.56,6.76,200
IN4,20130207,5.24,6.34,5.24,6.34,600
IN4,20130129,5.80,5.80,5.80,5.79,100
IN4,20130117,5.29,5.29,5.29,5.29,100
IN4,20130111,4.82,4.82,4.82,4.83,100
IN4,20121213,4.41,4.41,4.41,4.41,100
IN4,20121207,4.87,4.87,4.87,4.87,100
IN4,20121205,4.46,4.46,4.46,4.46,100
IN4,20121115,4.91,4.91,4.91,4.92,100
IN4,20121026,4.55,5.57,4.55,5.56,700
IN4,20121009,5.05,5.05,5.05,5.06,100
IN4,20121008,4.63,4.63,4.63,4.63,100
IN4,20121002,4.63,5.65,4.63,5.65,200
IN4,20120927,5.14,5.14,5.14,5.14,100
IN4,20120822,4.97,6.07,4.97,6.08,300
IN4,20120821,5.52,5.52,5.52,5.52,200
IN4,20120815,5.48,5.48,5.48,5.48,200
IN4,20120814,5.01,5.01,5.01,5.01,100
IN4,20120810,4.59,4.59,4.59,4.59,100
IN4,20120807,4.46,5.40,4.46,5.40,300
IN4,20120806,4.92,4.92,4.92,4.93,100
IN4,20120731,4.50,4.50,4.50,4.50,100
IN4,20120730,4.98,4.98,4.98,4.97,100
IN4,20120727,4.55,4.55,4.55,4.55,100
IN4,20120725,4.93,4.93,4.93,4.93,100
IN4,20120718,5.44,5.44,5.44,5.44,1900
IN4,20120712,4.89,5.44,4.89,5.44,400
IN4,20120709,5.40,5.40,5.40,5.40,2300
IN4,20120706,5.40,5.40,5.40,5.40,100
IN4,20120705,4.93,4.93,4.93,4.93,100
IN4,20120704,4.08,4.92,4.08,4.93,200
IN4,20120628,4.50,4.50,4.50,4.50,500
IN4,20120626,4.12,4.12,4.12,4.12,100
IN4,20120620,3.78,3.78,3.78,3.78,100
IN4,20120615,3.44,3.44,3.44,3.44,100
IN4,20120509,2.47,2.47,2.47,2.46,100
IN4,20120503,2.24,2.24,2.24,2.25,200
IN4,20120419,2.47,2.47,2.47,2.46,100
IN4,20120411,2.72,2.72,2.72,2.72,100
IN4,20120330,2.97,2.97,2.97,2.97,100
