<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KDM,20180306,2.60,2.90,2.60,2.70,65500
KDM,20180305,2.80,2.90,2.70,2.80,118300
KDM,20180302,2.70,3.00,2.60,2.90,41900
KDM,20180301,2.60,2.90,2.60,2.80,101100
KDM,20180228,2.50,2.70,2.50,2.70,162900
KDM,20180227,2.40,2.50,2.40,2.50,30200
KDM,20180226,2.50,2.60,2.40,2.50,38300
KDM,20180223,2.50,2.60,2.50,2.50,18700
KDM,20180222,2.50,2.60,2.50,2.50,52700
KDM,20180221,2.60,2.60,2.50,2.60,25800
KDM,20180213,2.40,2.60,2.40,2.60,22400
KDM,20180212,2.40,2.60,2.40,2.50,152400
KDM,20180209,2.60,2.60,2.40,2.40,118600
KDM,20180208,2.70,2.70,2.60,2.60,11500
KDM,20180207,2.60,2.80,2.60,2.80,162200
KDM,20180206,2.60,2.70,2.60,2.70,60500
KDM,20180205,2.90,2.90,2.80,2.80,57500
KDM,20180202,3.30,3.40,3.10,3.10,88500
KDM,20180201,2.80,3.10,2.80,3.10,162500
KDM,20180131,2.80,2.90,2.80,2.90,55200
KDM,20180130,2.80,2.90,2.80,2.80,55900
KDM,20180129,2.90,2.90,2.70,2.80,24900
KDM,20180126,2.80,2.90,2.70,2.80,36800
KDM,20180125,2.80,2.80,2.80,2.80,22700
KDM,20180124,2.80,2.90,2.80,2.90,72500
KDM,20180123,2.90,2.90,2.90,2.90,52900
KDM,20180122,2.90,3.00,2.90,2.90,39600
KDM,20180119,3.00,3.10,2.90,3.00,62200
KDM,20180118,3.10,3.10,2.90,3.10,90600
KDM,20180117,3.10,3.20,3.00,3.20,123100
KDM,20180116,3.10,3.30,3.00,3.20,98400
KDM,20180115,3.30,3.30,3.10,3.10,83900
KDM,20180112,3.00,3.40,3.00,3.30,127410
KDM,20180111,3.40,3.40,3.10,3.10,217600
KDM,20180110,3.00,3.40,3.00,3.40,167100
KDM,20180109,3.30,3.40,3.30,3.30,109300
KDM,20180108,4.20,4.20,3.60,3.60,245812
KDM,20180105,3.90,3.90,3.60,3.90,351500
KDM,20180104,3.60,3.60,3.40,3.60,376300
KDM,20180103,3.20,3.30,3.00,3.30,281078
KDM,20180102,2.80,3.00,2.80,3.00,198400
KDM,20171229,2.70,2.80,2.70,2.80,38000
KDM,20171228,2.70,2.80,2.60,2.80,179910
KDM,20171227,2.60,2.70,2.60,2.70,79900
KDM,20171226,2.70,2.80,2.60,2.80,36000
KDM,20171225,2.70,2.80,2.60,2.70,153600
KDM,20171222,2.80,2.80,2.70,2.80,34200
KDM,20171221,2.80,2.80,2.70,2.80,42400
KDM,20171220,2.80,2.80,2.70,2.80,7400
KDM,20171219,2.70,2.80,2.70,2.80,10700
KDM,20171218,2.70,2.80,2.60,2.70,19900
KDM,20171215,2.70,2.80,2.60,2.70,34100
KDM,20171214,2.80,2.80,2.70,2.80,69300
KDM,20171213,2.70,2.80,2.70,2.80,2100
KDM,20171212,2.70,2.80,2.70,2.80,61200
KDM,20171211,2.80,2.90,2.70,2.80,62500
KDM,20171208,2.90,2.90,2.80,2.90,13400
KDM,20171207,2.80,2.90,2.70,2.90,80000
KDM,20171206,2.90,2.90,2.80,2.80,38202
KDM,20171205,3.00,3.10,2.90,2.90,79500
KDM,20171204,2.90,3.10,2.90,3.10,215700
KDM,20171201,2.80,2.90,2.80,2.90,18700
KDM,20171130,2.90,3.00,2.80,2.90,46200
KDM,20171129,2.90,2.90,2.90,2.90,21200
KDM,20171128,3.00,3.00,2.90,3.00,90300
KDM,20171127,2.80,3.00,2.80,2.90,87200
KDM,20171124,2.70,2.80,2.70,2.80,27500
KDM,20171123,2.70,2.70,2.60,2.70,47500
KDM,20171122,2.70,2.70,2.60,2.70,73800
KDM,20171121,2.80,2.80,2.60,2.70,39500
KDM,20171120,2.70,2.80,2.70,2.80,41500
KDM,20171117,2.90,3.00,2.80,2.80,70800
KDM,20171116,2.70,2.90,2.70,2.80,82300
KDM,20171115,2.60,2.80,2.60,2.70,57700
KDM,20171114,2.50,2.60,2.50,2.60,35200
KDM,20171113,2.60,2.60,2.50,2.60,64100
KDM,20171110,2.70,2.70,2.60,2.70,51800
KDM,20171109,2.80,2.80,2.60,2.80,70700
KDM,20171108,2.80,2.80,2.80,2.80,9400
KDM,20171107,2.80,2.90,2.70,2.80,77900
KDM,20171106,2.80,2.90,2.80,2.90,110500
KDM,20171103,2.90,2.90,2.80,2.80,31900
KDM,20171102,3.00,3.00,2.80,2.90,46700
KDM,20171101,2.90,3.00,2.90,2.90,39000
KDM,20171031,2.90,2.90,2.90,2.90,25300
KDM,20171030,3.00,3.00,2.90,2.90,49800
KDM,20171027,3.10,3.10,3.00,3.10,21720
KDM,20171026,3.40,3.40,3.10,3.10,112700
KDM,20171025,3.40,3.40,3.30,3.40,20500
KDM,20171024,3.40,3.50,3.40,3.40,14700
KDM,20171023,3.50,3.60,3.40,3.50,85700
KDM,20171020,3.60,3.60,3.50,3.60,61000
KDM,20171019,3.60,3.70,3.60,3.70,9700
KDM,20171018,3.60,3.60,3.60,3.60,40000
KDM,20171017,3.60,3.60,3.50,3.60,2000
KDM,20171016,3.60,3.70,3.60,3.60,35900
KDM,20171013,3.60,3.60,3.50,3.60,58500
KDM,20171012,3.60,3.70,3.60,3.70,47200
KDM,20171011,3.70,3.70,3.50,3.60,39600
KDM,20171010,3.60,3.70,3.60,3.70,28300
KDM,20171009,3.70,3.70,3.60,3.70,25500
KDM,20171006,3.80,3.80,3.70,3.70,40500
KDM,20171005,3.70,3.80,3.60,3.80,77900
KDM,20171004,3.80,3.80,3.70,3.80,101400
KDM,20171003,3.80,3.90,3.80,3.80,93100
KDM,20171002,3.90,3.90,3.80,3.80,50200
KDM,20170929,3.80,3.90,3.80,3.80,80400
KDM,20170928,3.90,3.90,3.80,3.80,89100
KDM,20170927,3.90,3.90,3.80,3.80,128300
KDM,20170926,3.90,3.90,3.80,3.80,46400
KDM,20170925,4.00,4.00,3.90,3.90,86800
KDM,20170922,4.00,4.00,4.00,4.00,37000
KDM,20170921,4.00,4.00,3.90,4.00,35900
KDM,20170920,4.00,4.00,3.90,3.90,22400
KDM,20170919,3.90,4.10,3.90,4.10,55134
KDM,20170918,3.90,3.90,3.90,3.90,73436
KDM,20170915,4.00,4.00,3.80,3.80,11200
KDM,20170914,3.90,4.00,3.90,3.90,23800
KDM,20170913,3.80,3.90,3.80,3.80,18400
KDM,20170912,3.90,3.90,3.90,3.90,15000
KDM,20170911,4.00,4.00,3.90,3.90,26700
KDM,20170908,4.00,4.10,3.90,4.00,15900
KDM,20170907,4.00,4.10,3.90,3.90,52400
KDM,20170906,3.90,4.10,3.90,4.10,138210
KDM,20170905,4.00,4.00,3.80,3.80,54000
KDM,20170901,3.90,4.00,3.90,4.00,51110
KDM,20170831,4.00,4.10,3.90,3.90,71640
KDM,20170830,4.00,4.00,3.90,4.00,75500
KDM,20170829,4.00,4.10,3.90,4.10,99400
KDM,20170828,4.00,4.10,4.00,4.10,70000
KDM,20170825,4.10,4.10,3.90,4.00,115250
KDM,20170824,4.10,4.10,4.00,4.10,84400
KDM,20170823,4.10,4.20,4.10,4.10,41600
KDM,20170822,4.20,4.20,4.00,4.10,102800
KDM,20170821,4.30,4.30,4.20,4.20,72100
KDM,20170818,4.20,4.30,4.20,4.30,135500
KDM,20170817,4.50,4.50,4.30,4.30,42200
KDM,20170816,4.50,4.50,4.40,4.50,74500
KDM,20170815,4.40,4.60,4.40,4.60,235700
KDM,20170814,4.30,4.40,4.30,4.40,113000
KDM,20170811,4.30,4.40,4.20,4.30,69500
KDM,20170810,4.40,4.40,4.30,4.30,136000
KDM,20170809,4.70,4.70,4.30,4.50,301300
KDM,20170808,4.80,4.80,4.60,4.70,194700
KDM,20170807,5.00,5.10,4.80,4.80,249110
KDM,20170804,4.40,4.80,4.30,4.80,643800
KDM,20170803,4.10,4.40,4.10,4.40,161700
KDM,20170802,4.20,4.30,4.10,4.30,158400
KDM,20170801,4.30,4.30,4.20,4.30,54400
KDM,20170731,4.40,4.40,4.30,4.30,138300
KDM,20170728,4.40,4.40,4.20,4.40,217900
KDM,20170727,4.40,4.50,4.30,4.30,282600
KDM,20170726,4.20,4.50,4.10,4.40,449400
KDM,20170725,4.00,4.10,3.90,4.10,63400
KDM,20170724,4.30,4.30,4.10,4.10,110700
KDM,20170721,4.50,4.50,4.30,4.30,190200
KDM,20170720,4.50,4.50,4.40,4.50,130700
KDM,20170719,4.30,4.60,4.30,4.50,276800
KDM,20170718,4.40,4.40,4.30,4.40,66800
KDM,20170717,4.50,4.60,4.40,4.40,214800
KDM,20170714,4.50,4.60,4.40,4.50,180600
KDM,20170713,4.50,4.60,4.40,4.50,98500
KDM,20170712,4.80,4.80,4.40,4.60,308200
KDM,20170711,4.40,4.70,4.40,4.70,340900
KDM,20170710,4.50,4.60,4.30,4.30,135460
KDM,20170707,4.60,4.70,4.40,4.50,336400
KDM,20170706,4.60,4.70,4.50,4.70,143600
KDM,20170705,4.50,4.80,4.30,4.60,130300
KDM,20170704,4.50,4.70,4.40,4.40,106710
KDM,20170703,4.60,4.70,4.20,4.40,256600
KDM,20170630,4.70,4.70,4.50,4.60,154700
KDM,20170629,4.80,5.00,4.60,4.80,136970
KDM,20170628,4.60,5.00,4.60,4.80,134810
KDM,20170627,5.10,5.10,4.60,4.60,165300
KDM,20170626,5.00,5.20,4.80,5.10,228500
KDM,20170623,4.30,4.80,4.30,4.80,132300
KDM,20170622,4.60,4.70,4.40,4.40,347140
KDM,20170621,5.30,5.40,4.80,4.80,440400
KDM,20170620,5.70,5.80,5.00,5.30,354100
KDM,20170619,5.40,5.50,5.00,5.50,513000
KDM,20170616,5.00,5.00,4.80,5.00,783100
KDM,20170615,4.60,4.60,4.40,4.60,220400
KDM,20170614,3.90,4.20,3.90,4.20,313400
KDM,20170613,3.90,4.00,3.80,3.90,68500
KDM,20170612,3.90,4.00,3.90,4.00,32100
KDM,20170609,4.00,4.10,3.90,3.90,47300
KDM,20170608,3.90,4.00,3.80,4.00,110700
KDM,20170607,3.90,4.00,3.90,4.00,235210
