<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KHS,20180330,13.00,13.00,12.90,13.00,2600
KHS,20180329,13.40,13.40,12.50,13.10,7100
KHS,20180328,12.21,12.30,11.95,12.30,3200
KHS,20180327,12.83,12.83,12.65,12.66,2100
KHS,20180326,11.76,11.85,11.67,11.85,5500
KHS,20180323,12.03,12.03,12.03,12.03,1000
KHS,20180321,12.03,12.03,11.94,11.94,2600
KHS,20180320,12.12,12.12,12.03,12.03,2700
KHS,20180319,12.12,12.12,11.94,12.12,7600
KHS,20180316,11.94,12.03,11.85,12.03,2600
KHS,20180315,12.12,12.12,12.03,12.03,5800
KHS,20180314,12.12,12.39,12.12,12.39,200
KHS,20180313,12.75,12.75,12.13,12.12,1900
KHS,20180312,11.59,12.75,11.59,12.75,1500
KHS,20180309,11.77,11.77,11.59,11.59,5200
KHS,20180308,11.94,11.94,11.67,11.68,25000
KHS,20180307,12.12,12.12,12.12,12.12,100
KHS,20180306,12.12,12.12,12.12,12.12,2000
KHS,20180305,11.85,12.03,11.85,12.03,4400
KHS,20180302,11.59,12.12,11.59,12.12,5500
KHS,20180301,13.10,13.10,12.03,12.12,5700
KHS,20180228,11.94,12.30,11.77,12.30,4600
KHS,20180226,12.48,12.48,12.39,12.39,1500
KHS,20180223,12.57,12.57,12.48,12.48,11700
KHS,20180221,13.10,13.10,13.10,13.10,100
KHS,20180213,12.30,12.30,12.30,12.30,200
KHS,20180209,12.13,12.57,11.95,12.57,3100
KHS,20180208,12.12,12.65,12.03,12.66,5200
KHS,20180207,12.21,13.01,12.03,13.01,10813
KHS,20180205,13.28,13.37,13.28,13.37,3150
KHS,20180202,12.12,12.30,12.03,12.30,17300
KHS,20180201,12.48,12.48,12.12,12.12,9200
KHS,20180131,12.57,12.75,12.57,12.57,24100
KHS,20180130,13.37,13.37,12.57,12.57,4250
KHS,20180129,13.64,13.64,13.37,13.37,1500
KHS,20180126,13.64,13.73,13.55,13.64,5400
KHS,20180125,14.26,14.26,13.55,13.55,18119
KHS,20180123,15.15,15.15,14.70,14.71,200
KHS,20180122,13.73,13.82,13.73,13.81,10000
KHS,20180119,13.55,13.82,13.55,13.64,14000
KHS,20180118,13.45,13.54,13.45,13.55,500
KHS,20180117,13.81,13.81,13.72,13.81,9601
KHS,20180116,13.81,13.81,13.54,13.81,34100
KHS,20180115,14.08,14.08,13.72,13.81,4070
KHS,20180112,14.17,14.17,13.73,14.08,31000
KHS,20180111,14.26,14.44,13.99,14.26,7510
KHS,20180110,14.53,14.53,14.35,14.35,13000
KHS,20180109,14.35,14.62,14.26,14.53,29442
KHS,20180108,14.53,14.62,14.35,14.53,48100
KHS,20180105,14.52,14.52,14.43,14.53,13443
KHS,20180104,14.71,14.89,13.73,14.88,34347
KHS,20180103,14.71,15.33,14.71,14.80,34040
KHS,20180102,16.66,16.66,15.50,15.69,22637
KHS,20171229,16.22,16.93,14.97,16.93,138843
KHS,20171228,15.42,16.40,15.42,16.04,121051
KHS,20171227,14.17,14.98,14.17,14.97,124410
KHS,20171226,14.71,15.16,12.93,13.64,184000
