<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KLB,20180330,9.90,10.20,9.90,10.10,108300
KLB,20180329,9.90,10.00,9.60,9.90,21148
KLB,20180328,9.50,9.80,9.50,9.60,7810
KLB,20180327,9.90,9.90,9.90,9.90,2300
KLB,20180326,9.20,10.00,9.20,10.00,6817
KLB,20180323,10.00,10.00,10.00,10.00,520
KLB,20180322,9.90,10.00,9.00,10.00,14000
KLB,20180321,9.90,9.90,9.80,9.80,9610
KLB,20180320,9.90,10.00,9.90,10.00,510
KLB,20180319,9.90,9.90,9.80,9.90,5220
KLB,20180316,9.90,10.00,9.80,10.00,4300
KLB,20180315,9.90,9.90,9.80,9.90,500
KLB,20180314,9.90,9.90,9.90,9.90,200
KLB,20180313,10.00,10.00,10.00,10.00,10140
KLB,20180312,10.00,10.00,9.80,9.90,13220
KLB,20180309,9.80,10.00,9.80,10.00,15400
KLB,20180308,10.00,10.00,9.90,10.00,1760
KLB,20180307,10.00,10.00,10.00,10.00,100
KLB,20180306,10.00,10.00,9.80,10.00,3614
KLB,20180305,10.00,10.00,10.00,10.00,831
KLB,20180302,9.80,10.00,9.80,10.00,1760
KLB,20180301,10.00,10.00,9.50,10.00,11014
KLB,20180228,9.30,10.00,9.00,9.80,7906
KLB,20180227,10.00,10.00,8.50,10.00,6979
KLB,20180226,10.00,10.00,9.90,9.90,8800
KLB,20180222,10.00,10.00,9.80,9.90,3302
KLB,20180221,10.00,10.00,9.80,10.00,7700
KLB,20180213,10.00,10.00,9.20,9.90,3756
KLB,20180212,9.80,9.80,9.80,9.80,1000
KLB,20180209,9.20,9.20,9.20,9.20,2000
KLB,20180208,9.80,9.80,9.80,9.80,122
KLB,20180207,9.60,9.80,9.60,9.80,600
KLB,20180206,9.80,9.80,9.50,9.50,1200
KLB,20180205,10.00,10.00,10.00,10.00,900
KLB,20180202,9.80,9.90,9.70,9.90,13000
KLB,20180201,10.00,10.00,9.80,9.90,13200
KLB,20180131,10.00,10.00,9.50,10.00,14100
KLB,20180130,10.00,10.00,9.90,10.00,10520
KLB,20180129,10.00,10.00,9.90,10.00,6200
KLB,20180126,9.90,10.00,9.90,9.90,21500
KLB,20180125,10.10,10.10,9.80,10.00,10400
KLB,20180124,10.00,10.10,9.80,10.10,7010
KLB,20180123,9.80,10.10,9.80,10.10,11500
KLB,20180122,10.20,10.20,10.00,10.00,200
KLB,20180119,10.10,10.20,9.60,10.20,19000
KLB,20180118,10.20,10.30,10.00,10.20,23100
KLB,20180117,10.20,10.20,10.20,10.20,4000
KLB,20180116,10.40,10.40,10.20,10.40,28200
KLB,20180115,10.50,10.50,10.10,10.40,9310
KLB,20180112,10.70,10.70,10.40,10.50,13905
KLB,20180111,10.60,11.00,10.20,10.50,23400
KLB,20180110,10.20,10.60,10.00,10.60,3200
KLB,20180109,10.40,10.80,10.20,10.80,16700
KLB,20180108,11.00,11.00,10.20,10.90,48000
KLB,20180105,10.70,10.80,10.20,10.70,47009
KLB,20180104,11.00,11.00,10.00,10.60,7600
KLB,20180103,10.60,11.00,9.80,10.50,33812
KLB,20180102,9.50,11.00,9.50,10.50,31300
KLB,20171229,10.00,10.50,9.60,10.50,161500
KLB,20171228,10.00,10.00,9.50,10.00,45200
KLB,20171227,10.00,10.00,9.60,10.00,21420
KLB,20171226,9.80,10.00,9.50,10.00,52600
KLB,20171225,9.50,10.00,8.60,10.00,50900
KLB,20171222,9.00,10.00,8.90,9.50,29900
KLB,20171221,8.80,8.80,8.80,8.80,4100
KLB,20171220,8.50,9.00,8.50,9.00,47200
KLB,20171219,8.90,9.00,8.50,9.00,31800
KLB,20171218,9.00,9.00,8.90,8.90,200
KLB,20171215,8.80,8.90,8.50,8.80,22000
KLB,20171214,8.90,8.90,8.90,8.90,15000
KLB,20171213,8.90,8.90,8.90,8.90,5200
KLB,20171212,8.90,9.00,8.90,8.90,7700
KLB,20171211,8.90,8.90,8.80,8.90,8800
KLB,20171208,8.70,9.20,8.70,8.80,25700
KLB,20171207,8.80,8.80,8.70,8.80,1255
KLB,20171206,8.70,8.80,8.70,8.80,800
KLB,20171205,8.50,8.80,8.50,8.80,1300
KLB,20171204,8.90,8.90,8.60,8.80,3414
KLB,20171201,8.90,8.90,8.80,8.90,23700
KLB,20171130,8.90,8.90,8.80,8.90,6500
KLB,20171129,8.90,8.90,8.80,8.80,5311
KLB,20171128,8.80,8.90,8.50,8.90,14500
KLB,20171127,9.00,9.00,8.50,8.90,31900
KLB,20171124,8.90,9.00,8.90,8.90,400
KLB,20171123,8.90,8.90,8.80,8.80,10700
KLB,20171122,8.10,9.00,8.10,8.90,3210
KLB,20171121,8.90,9.00,8.30,8.70,5400
KLB,20171120,9.00,9.00,9.00,9.00,1300
KLB,20171117,9.00,9.00,8.20,9.00,1305
KLB,20171116,9.00,9.00,8.90,8.90,1210
KLB,20171115,9.00,9.00,9.00,9.00,500
KLB,20171114,8.70,9.00,8.70,9.00,3123
KLB,20171113,9.00,9.00,8.70,8.70,2400
KLB,20171110,9.10,9.10,9.00,9.00,3060
KLB,20171109,9.10,9.20,8.80,9.20,32400
KLB,20171108,9.20,9.20,9.00,9.10,8000
KLB,20171107,8.90,9.00,8.90,9.00,4800
KLB,20171106,9.00,9.10,9.00,9.10,1510
KLB,20171103,9.00,9.10,9.00,9.10,19300
KLB,20171102,9.20,9.30,9.10,9.30,8500
KLB,20171101,9.10,9.40,9.10,9.40,28700
KLB,20171031,9.20,9.50,9.00,9.50,37206
KLB,20171027,9.30,9.50,9.20,9.50,32720
