<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
L63,20180228,6.30,6.30,6.30,6.30,8000
L63,20180130,6.30,6.30,6.30,6.30,72
L63,20180110,6.30,6.70,6.30,6.70,3400
L63,20180102,6.70,6.70,6.70,6.70,2100
L63,20171228,6.70,6.70,6.70,6.70,7000
L63,20171221,5.94,5.94,5.94,5.94,200
L63,20171220,6.79,6.79,6.79,6.79,2900
L63,20171207,5.94,5.94,5.94,5.94,200
L63,20171206,6.79,6.79,6.79,6.79,100
L63,20171201,5.94,5.94,5.94,5.94,50
L63,20171110,5.94,5.94,5.94,5.94,200
L63,20171019,5.19,5.19,5.19,5.19,100
L63,20171012,4.72,4.72,4.72,4.72,75
L63,20171011,4.72,4.72,4.72,4.72,40
L63,20171006,4.71,4.71,4.71,4.72,200
L63,20170912,4.43,4.43,4.43,4.43,7
L63,20170907,4.44,4.44,4.44,4.43,500
L63,20170906,4.88,4.88,4.88,4.88,700
L63,20170828,4.88,4.88,4.88,4.88,1500
L63,20170811,4.88,4.88,4.88,4.88,2500
L63,20170803,5.32,5.32,5.32,5.32,1000
L63,20170717,4.88,4.88,4.88,4.88,34000
L63,20170711,4.88,4.88,4.88,4.88,5525
L63,20170704,5.32,5.76,5.32,5.76,1100
L63,20170703,5.76,5.76,5.76,5.76,67
L63,20170630,5.76,5.76,5.76,5.76,400
L63,20170522,5.05,5.05,5.05,5.05,100
L63,20170516,4.43,4.43,4.43,4.43,100
L63,20170515,3.90,3.90,3.90,3.90,100
L63,20170505,4.52,4.52,4.52,4.52,400
L63,20170414,5.32,5.32,5.32,5.32,200
L63,20170412,6.21,6.21,6.21,6.21,910
L63,20170410,6.21,6.21,6.21,6.21,2000
L63,20170407,6.21,6.21,6.21,6.21,6000
L63,20170403,6.21,6.21,6.21,6.21,7700
L63,20170329,6.21,6.21,6.21,6.21,500
L63,20170328,6.21,6.21,6.21,6.21,4000
L63,20170327,6.21,6.21,6.21,6.21,100
L63,20170324,6.20,6.20,6.20,6.21,9800
L63,20170323,5.76,5.76,5.76,5.76,100
L63,20170322,5.05,5.05,5.05,5.05,6020
L63,20170320,5.85,5.85,5.85,5.85,57
L63,20170316,5.86,5.86,5.86,5.85,100
L63,20170315,6.56,6.56,4.96,4.97,1217
L63,20170306,5.76,5.76,5.76,5.76,300
L63,20170301,5.23,5.23,5.23,5.23,300
L63,20170228,6.12,6.12,6.12,6.12,40
L63,20170227,6.11,6.11,6.11,6.12,800
L63,20161226,4.43,4.43,4.43,4.43,8900
L63,20161213,4.43,4.43,4.43,4.43,10000
L63,20161212,4.43,4.43,4.43,4.43,800
L63,20161209,4.43,4.43,4.43,4.43,4300
L63,20161125,4.43,4.43,4.43,4.43,3400
L63,20161122,4.44,4.44,4.44,4.43,3000
L63,20161121,4.26,4.26,4.26,4.26,1200
L63,20161118,4.08,4.08,4.08,4.08,100
L63,20161109,3.55,3.55,3.55,3.55,8600
L63,20161108,4.00,4.00,4.00,3.99,500
L63,20161107,3.63,3.63,3.63,3.64,200
L63,20161104,3.99,4.43,3.99,4.43,7900
L63,20161103,4.61,4.61,4.61,4.61,1200
L63,20161102,4.08,4.70,4.08,4.70,1100
L63,20161101,4.70,4.70,4.70,4.70,1500
L63,20161031,4.43,4.43,3.81,4.43,1200
L63,20161028,4.43,4.43,4.43,4.43,800
L63,20161027,3.99,3.99,3.99,3.99,600
L63,20161026,3.55,3.55,3.55,3.55,8000
L63,20161025,4.00,4.00,4.00,3.99,1000
L63,20161021,3.73,3.73,3.55,3.55,10700
L63,20161020,4.17,4.17,4.17,4.17,3000
L63,20161019,4.88,4.88,4.88,4.88,3300
L63,20161018,5.58,5.58,5.58,5.59,1500
L63,20161014,6.48,6.48,6.48,6.47,600
L63,20161013,7.54,7.54,7.54,7.54,100
L63,20161006,8.87,8.87,8.87,8.87,1000
