<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MAC,20180330,8.10,8.10,8.10,8.10,147
MAC,20180329,7.70,8.10,7.70,8.10,200
MAC,20180328,8.00,8.00,8.00,8.00,30
MAC,20180327,7.80,8.00,7.80,8.00,2500
MAC,20180326,8.00,8.00,7.90,7.90,8800
MAC,20180323,7.80,7.90,7.70,7.90,25050
MAC,20180322,7.70,7.90,7.70,7.90,12820
MAC,20180321,7.80,7.80,7.70,7.70,26550
MAC,20180320,7.80,7.80,7.60,7.80,10200
MAC,20180319,7.60,7.60,7.60,7.60,10586
MAC,20180316,7.80,7.80,7.50,7.80,8000
MAC,20180313,7.80,7.80,7.80,7.80,10000
MAC,20180312,7.60,7.80,7.40,7.80,14400
MAC,20180309,7.40,7.60,7.40,7.60,1461
MAC,20180308,7.60,7.60,7.50,7.50,13400
MAC,20180307,7.30,7.40,7.30,7.40,11669
MAC,20180306,7.50,7.70,7.20,7.70,6248
MAC,20180305,7.90,8.00,7.30,7.70,864
MAC,20180302,7.30,7.90,7.30,7.80,77013
MAC,20180301,7.30,7.30,7.20,7.20,43300
MAC,20180228,7.20,7.30,7.20,7.20,9780
MAC,20180227,7.20,7.20,7.20,7.20,44300
MAC,20180226,7.20,7.20,7.20,7.20,49000
MAC,20180223,7.30,7.30,7.20,7.30,25000
MAC,20180221,7.30,7.40,7.30,7.30,6703
MAC,20180213,7.20,7.40,7.20,7.40,8500
MAC,20180212,7.20,7.30,7.20,7.30,25500
MAC,20180209,7.40,7.40,7.20,7.30,12000
MAC,20180208,7.20,7.20,7.20,7.20,25400
MAC,20180207,7.50,7.50,7.50,7.50,1297
MAC,20180206,7.20,7.40,7.20,7.40,54200
MAC,20180205,7.80,8.30,6.90,7.60,46200
MAC,20180202,7.60,7.60,7.60,7.60,30000
MAC,20180201,7.60,7.90,7.60,7.90,10100
MAC,20180131,7.60,7.90,7.60,7.90,34891
MAC,20180129,7.90,7.90,7.50,7.90,8700
MAC,20180126,7.80,7.80,7.60,7.60,45100
MAC,20180125,8.00,8.00,7.90,7.90,2200
MAC,20180124,8.00,8.40,7.90,7.90,31940
MAC,20180123,8.00,8.00,7.80,8.00,57056
MAC,20180122,7.70,8.00,7.70,8.00,600
MAC,20180119,8.00,8.00,7.80,8.00,150910
MAC,20180118,7.70,7.90,7.70,7.90,1014
MAC,20180117,7.90,7.90,7.70,7.80,5189
MAC,20180116,7.70,7.90,7.70,7.90,6501
MAC,20180115,7.90,8.00,7.70,7.70,800
MAC,20180112,7.70,7.90,7.70,7.90,1200
MAC,20180111,8.10,8.30,8.00,8.00,2400
MAC,20180110,7.80,8.10,7.80,8.10,22400
MAC,20180109,7.70,8.10,7.70,8.10,359
MAC,20180108,7.80,8.10,7.70,8.10,8058
MAC,20180105,8.10,8.10,8.00,8.00,300
