<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MEC,20180302,3.30,3.30,3.20,3.20,4000
MEC,20180301,3.90,3.90,3.30,3.50,2300
MEC,20180228,3.60,3.60,3.60,3.60,100
MEC,20180227,3.70,3.70,3.70,3.70,100
MEC,20180226,3.30,3.50,3.30,3.50,6400
MEC,20180222,3.40,3.40,3.40,3.40,300
MEC,20180213,3.50,3.50,3.20,3.30,1700
MEC,20180212,3.00,3.20,3.00,3.20,1100
MEC,20180208,3.30,3.30,3.30,3.30,100
MEC,20180207,3.00,3.00,3.00,3.00,100
MEC,20180206,3.00,3.00,2.60,2.80,22200
MEC,20180205,3.30,3.30,2.80,2.80,4400
MEC,20180202,3.00,3.30,3.00,3.00,2700
MEC,20180201,3.00,3.00,3.00,3.00,1000
MEC,20180129,2.80,3.00,2.80,3.00,1024
MEC,20180125,2.80,3.10,2.80,3.10,2500
MEC,20180124,3.10,3.10,3.10,3.10,100
MEC,20180123,2.80,3.00,2.80,3.00,1039
MEC,20180122,2.90,2.90,2.90,2.90,100
MEC,20180119,2.80,2.80,2.80,2.80,3100
MEC,20180118,2.90,2.90,2.80,2.80,14200
MEC,20180117,3.00,3.00,3.00,3.00,1000
MEC,20180116,3.00,3.00,3.00,3.00,9200
MEC,20180115,2.90,3.00,2.80,3.00,16100
MEC,20180112,2.90,2.90,2.80,2.90,6200
MEC,20180111,3.00,3.00,2.90,2.90,3100
MEC,20180110,2.80,3.00,2.80,2.90,15140
MEC,20180109,2.90,3.00,2.80,3.00,29900
MEC,20180108,3.10,3.20,3.10,3.10,6000
MEC,20180104,3.20,3.30,3.20,3.30,1850
MEC,20180103,3.00,3.30,3.00,3.30,3193
MEC,20171229,3.30,3.30,3.30,3.30,4
MEC,20171228,3.00,3.30,3.00,3.30,5411
MEC,20171226,3.30,3.30,3.30,3.30,2400
MEC,20171225,3.30,3.60,3.30,3.60,9100
MEC,20171222,3.40,3.60,3.40,3.60,19800
MEC,20171221,3.20,3.60,3.20,3.60,4800
MEC,20171220,3.30,3.60,3.30,3.40,3200
MEC,20171219,3.00,3.30,3.00,3.30,1100
MEC,20171218,3.10,3.10,3.00,3.00,3300
