<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MIM,20180213,14.80,14.80,14.80,14.80,100
MIM,20180208,13.50,13.50,13.50,13.50,100
MIM,20180129,13.50,15.00,13.50,15.00,200
MIM,20180122,15.00,15.00,14.50,15.00,213190
MIM,20180117,15.00,15.00,15.00,15.00,71000
MIM,20180116,15.00,15.00,15.00,15.00,272000
MIM,20180111,14.00,14.00,14.00,14.00,100
MIM,20180110,14.50,15.00,14.50,15.00,2000
MIM,20180109,14.50,14.50,14.50,14.50,1100
MIM,20180108,14.50,14.50,14.50,14.50,100
MIM,20180105,13.20,13.20,13.20,13.20,100
MIM,20180104,14.40,14.40,14.40,14.40,3000
MIM,20171229,14.40,14.40,14.40,14.40,2100
MIM,20171215,14.40,14.40,14.40,14.40,1800
MIM,20171208,14.60,14.60,13.10,13.10,7200
MIM,20171201,15.00,15.00,14.50,14.50,4500
MIM,20171124,15.80,15.80,14.50,15.00,3600
MIM,20171117,15.70,15.70,15.60,15.60,3600
MIM,20171110,15.00,15.80,14.50,15.80,11900
MIM,20171027,14.90,14.90,14.90,14.90,3600
MIM,20171020,13.00,14.00,13.00,13.60,4900
MIM,20171013,12.80,14.20,12.70,14.20,2100
MIM,20171006,13.00,13.10,13.00,13.00,4900
MIM,20170922,13.60,13.60,13.00,13.00,11420
MIM,20170915,12.40,12.40,12.40,12.40,11200
MIM,20170908,11.20,11.30,11.20,11.30,1200
MIM,20170901,13.00,13.00,10.80,12.40,11100
MIM,20170825,12.80,12.80,11.80,11.90,18300
MIM,20170818,12.90,12.90,11.70,11.70,4800
MIM,20170811,11.80,11.80,11.80,11.80,9000
MIM,20170804,10.80,10.80,10.80,10.80,2300
MIM,20170728,9.90,9.90,9.90,9.90,5500
MIM,20170721,9.60,9.60,9.00,9.00,7100
MIM,20170714,8.90,8.90,8.80,8.80,4640
MIM,20170707,8.10,8.10,7.90,8.10,65713
MIM,20170630,7.40,7.40,7.40,7.40,12380
MIM,20170623,6.80,6.80,6.80,6.80,3100
MIM,20170616,6.20,6.20,6.20,6.20,4300
MIM,20170609,5.70,5.70,5.70,5.70,135300
MIM,20170602,5.20,5.20,5.20,5.20,3000
MIM,20170526,4.80,4.80,4.80,4.80,100
MIM,20170519,4.40,4.40,4.40,4.40,100
