<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
NHC,20180329,34.90,36.50,34.90,36.50,3700
NHC,20180328,34.90,34.90,34.90,34.90,2
NHC,20180322,32.60,34.90,32.60,34.90,300
NHC,20180307,32.60,32.60,32.60,32.60,12
NHC,20180302,32.60,32.60,32.60,32.60,100
NHC,20180226,30.11,30.11,30.11,30.11,1700
NHC,20180213,31.06,32.60,31.06,32.60,200
NHC,20180206,31.36,31.36,31.36,31.35,150
NHC,20180205,29.62,29.62,29.62,29.63,100
NHC,20180202,26.65,27.80,26.65,27.80,400
NHC,20180201,25.89,26.75,25.89,26.75,200
NHC,20180131,24.93,24.93,24.93,24.93,3000
NHC,20180130,25.89,25.89,25.89,25.89,4
NHC,20180129,25.79,25.89,25.50,25.89,2900
NHC,20180126,25.03,25.79,25.03,25.79,200
NHC,20180125,24.93,25.89,24.93,24.93,20900
NHC,20180124,24.93,25.70,24.93,25.70,724
NHC,20180123,22.14,24.44,22.14,24.45,200
NHC,20180122,24.54,24.54,24.54,24.54,200
NHC,20180119,24.55,24.55,24.55,24.54,100
NHC,20180118,27.23,27.23,27.23,27.23,83
NHC,20180117,24.84,27.23,24.84,27.23,200
NHC,20180116,22.63,27.52,22.63,27.52,200
NHC,20180112,25.88,25.88,25.12,25.12,300
NHC,20180108,25.02,25.02,25.02,25.02,1160
NHC,20180104,24.16,25.03,24.16,25.02,300
NHC,20180102,27.80,27.80,26.84,26.85,2000
NHC,20171229,27.80,27.80,27.80,27.80,400
NHC,20171228,27.81,27.81,27.81,27.80,3212
NHC,20171227,29.34,29.34,29.34,29.34,10
NHC,20171226,29.34,29.34,29.34,29.34,300
NHC,20171218,32.59,32.59,32.59,32.60,100
NHC,20171213,30.39,30.39,30.39,30.39,40
NHC,20171212,28.76,30.39,28.76,30.39,200
NHC,20171208,27.80,27.80,27.80,27.80,12
NHC,20171206,27.80,27.80,27.80,27.80,600
NHC,20171205,27.80,27.80,27.80,27.80,2000
NHC,20171201,29.53,29.53,29.53,29.53,100
NHC,20171127,32.79,32.79,32.79,32.79,300
NHC,20171120,36.82,36.82,36.82,36.82,10
NHC,20171117,36.81,36.81,36.81,36.82,100
NHC,20171116,34.93,34.93,34.93,34.92,150
NHC,20171114,27.45,32.09,27.45,32.09,200
NHC,20171113,29.72,29.72,29.72,29.72,100
NHC,20171110,26.50,27.45,26.50,27.45,2100
NHC,20171109,25.74,25.74,25.65,25.65,706
NHC,20171108,26.60,28.40,26.60,28.39,6150
NHC,20171107,29.43,29.53,29.43,29.44,1600
NHC,20171106,33.13,33.13,32.65,32.65,210
NHC,20171103,36.25,36.25,36.25,36.25,100
NHC,20171018,40.22,40.22,40.22,40.22,100
NHC,20171017,37.57,37.57,37.57,37.57,200
NHC,20171016,34.26,34.26,34.26,34.26,100
NHC,20171013,31.23,31.23,31.23,31.23,100
NHC,20171012,28.39,28.39,28.39,28.39,200
NHC,20171011,28.39,28.39,28.39,28.39,400
NHC,20171002,28.39,28.39,28.39,28.39,5000
NHC,20170914,28.58,28.58,28.58,28.58,100
NHC,20170912,28.39,28.39,28.39,28.39,60
NHC,20170908,27.45,28.40,27.45,28.39,500
NHC,20170906,28.86,28.86,28.86,28.87,100
NHC,20170831,37.38,37.38,31.23,31.23,400
NHC,20170828,34.07,34.07,34.07,34.07,100
NHC,20170825,37.76,37.76,37.76,37.76,100
NHC,20170823,37.48,37.48,37.48,37.48,100
NHC,20170818,41.55,41.55,41.55,41.55,100
NHC,20170815,36.53,39.65,36.53,39.66,300
NHC,20170814,36.72,36.72,36.72,36.72,100
NHC,20170811,27.73,33.69,27.73,33.69,600
NHC,20170810,36.91,36.91,30.76,30.76,200
NHC,20170809,34.07,34.07,34.07,34.07,100
NHC,20170808,38.05,38.05,32.37,32.37,700
NHC,20170807,35.97,35.97,35.97,35.97,100
NHC,20170804,35.02,35.02,35.02,35.02,800
NHC,20170803,35.02,35.02,35.02,35.02,100
NHC,20170802,32.65,32.65,32.65,32.65,1400
NHC,20170801,33.03,33.03,33.03,33.03,100
NHC,20170731,33.03,33.03,32.46,32.46,2500
NHC,20170727,32.46,32.46,32.46,32.46,200
NHC,20170726,33.22,33.22,33.22,33.22,54
NHC,20170725,33.22,33.22,33.22,33.22,100
NHC,20170724,30.76,32.18,30.76,32.18,200
NHC,20170721,30.76,30.76,30.76,30.76,100
NHC,20170720,30.67,30.67,30.67,30.67,100
NHC,20170719,28.11,30.48,28.11,28.11,400
NHC,20170717,28.39,31.14,28.39,31.14,200
NHC,20170714,28.59,28.59,28.59,28.58,100
NHC,20170706,30.20,31.71,30.20,31.71,500
NHC,20170705,27.45,29.25,27.45,29.25,210
NHC,20170704,26.41,26.70,26.41,26.69,4796
NHC,20170629,21.77,25.37,21.77,25.37,600
NHC,20170628,23.95,23.95,23.95,23.95,50
NHC,20170627,23.95,23.95,23.95,23.95,600
NHC,20170626,26.60,26.60,26.60,26.60,26
NHC,20170621,24.14,26.60,24.14,26.60,400
NHC,20170620,26.50,26.78,25.55,26.79,1600
NHC,20170619,26.03,26.69,24.23,26.69,400
NHC,20170615,26.69,26.69,26.60,26.60,600
NHC,20170614,26.60,26.60,26.60,26.60,100
NHC,20170609,28.30,28.30,28.30,28.30,100
NHC,20170607,27.45,27.45,27.45,27.45,40
NHC,20170606,27.45,27.45,27.45,27.45,100
NHC,20170602,27.45,27.45,27.45,27.45,700
NHC,20170601,29.25,29.25,29.25,29.25,10
NHC,20170531,28.87,29.25,28.87,29.25,200
NHC,20170529,26.41,27.64,26.41,27.45,1200
NHC,20170526,26.50,29.15,26.50,29.15,200
NHC,20170522,26.12,28.30,26.12,28.30,200
NHC,20170517,28.40,28.40,28.40,28.39,1026
NHC,20170516,30.38,30.38,28.49,28.49,6220
NHC,20170515,31.23,31.23,31.23,31.23,100
NHC,20170512,33.22,33.22,33.22,33.22,120
NHC,20170511,33.22,36.82,33.22,36.82,2300
NHC,20170510,36.82,36.82,36.82,36.82,102
NHC,20170509,32.84,36.82,32.84,36.82,3312
NHC,20170505,33.12,36.44,33.12,36.44,1200
NHC,20170503,33.69,36.72,33.69,36.72,220
NHC,20170428,31.51,37.29,31.51,37.29,4104
NHC,20170427,34.92,34.92,34.92,34.92,1420
NHC,20170424,32.27,32.27,32.27,32.27,100
NHC,20170421,32.18,32.18,32.18,32.18,200
NHC,20170420,32.18,32.18,32.18,32.18,1000
NHC,20170419,32.18,32.18,32.18,32.18,100
NHC,20170418,33.13,33.13,33.13,33.13,1100
NHC,20170417,31.43,33.13,31.43,33.13,900
NHC,20170414,33.32,33.32,33.32,33.32,74
NHC,20170413,33.31,33.31,33.31,33.32,138
NHC,20170412,34.54,34.54,31.61,31.61,200
NHC,20170411,31.52,35.02,31.52,31.61,400
NHC,20170407,34.36,34.36,34.36,34.36,122
NHC,20170405,31.80,31.80,31.71,31.71,1374
NHC,20170403,32.18,32.18,32.18,32.18,410
NHC,20170331,32.18,32.18,31.71,31.71,608
NHC,20170330,34.55,34.55,34.55,34.55,18
NHC,20170329,31.42,34.55,31.42,34.55,200
NHC,20170328,34.83,34.83,34.83,34.83,100
NHC,20170327,34.83,34.83,32.18,32.18,1500
NHC,20170323,32.18,32.18,32.18,32.18,100
NHC,20170322,32.65,34.92,32.46,32.46,3100
NHC,20170321,36.06,36.06,36.06,36.06,100
NHC,20170320,40.04,40.04,40.04,40.04,100
NHC,20170317,37.39,37.39,37.39,37.39,100
NHC,20170316,36.73,37.83,31.47,36.63,3200
NHC,20170315,34.88,35.06,34.88,34.88,710
NHC,20170314,33.21,38.75,33.21,38.75,6000
NHC,20170310,32.94,36.82,32.85,36.81,2600
NHC,20170309,36.44,36.44,33.21,36.45,1100
NHC,20170308,33.31,36.82,33.22,36.81,1500
NHC,20170307,36.91,36.91,36.91,36.91,400
NHC,20170306,39.12,39.12,39.03,39.03,300
NHC,20170302,39.21,39.21,39.21,39.21,100
NHC,20170227,35.61,35.89,35.61,35.89,300
NHC,20170221,39.21,39.21,39.21,39.21,100
NHC,20170202,36.81,36.81,36.81,36.81,100
NHC,20170125,39.67,39.67,33.49,33.49,1500
NHC,20170123,37.18,37.18,37.18,37.18,100
NHC,20170118,35.61,35.61,35.61,35.61,100
NHC,20170113,39.49,39.49,39.49,39.49,100
NHC,20170112,37.83,37.83,37.83,37.83,100
NHC,20170111,35.52,35.52,35.52,35.52,100
NHC,20170110,34.14,34.14,34.14,34.14,100
NHC,20170109,32.10,32.10,32.10,32.11,400
NHC,20161230,34.23,35.61,34.23,35.61,200
NHC,20161228,33.21,34.23,33.21,34.23,200
NHC,20161227,32.20,32.20,32.20,32.20,1100
NHC,20161223,32.20,32.20,32.20,32.20,2
NHC,20161221,30.44,32.20,30.44,32.20,300
NHC,20161216,30.45,32.30,30.45,32.29,200
NHC,20161213,32.29,32.29,29.99,29.99,200
NHC,20161208,29.71,29.71,29.71,29.71,1000
NHC,20161207,29.71,29.71,29.71,29.71,100
NHC,20161205,29.26,29.26,29.26,29.26,500
NHC,20161202,29.53,29.53,29.53,29.53,800
NHC,20161128,29.08,30.69,29.08,29.44,700
NHC,20161125,27.29,28.90,27.29,28.90,1300
NHC,20161124,27.65,27.74,27.65,27.74,200
NHC,20161123,27.47,27.47,27.47,27.47,100
NHC,20161122,26.84,27.92,26.84,27.92,1900
NHC,20161116,27.83,29.89,27.83,29.35,400
NHC,20161114,27.47,27.47,27.47,27.47,100
NHC,20161111,26.49,27.30,26.49,27.29,12200
NHC,20161110,25.51,28.55,25.51,28.55,200
NHC,20161109,26.49,28.28,26.49,28.28,400
NHC,20161108,25.51,28.55,25.51,28.55,200
NHC,20161104,25.78,28.28,25.78,28.28,500
NHC,20161031,28.54,28.54,28.54,28.55,100
NHC,20161028,28.72,28.72,28.72,28.72,100
NHC,20161021,26.84,27.29,26.84,27.29,1300
NHC,20161019,26.40,27.65,26.40,27.65,4100
NHC,20161018,26.13,26.67,26.13,26.67,400
NHC,20161017,26.04,26.85,25.95,26.85,10200
NHC,20161012,27.74,28.19,27.74,28.19,4340
NHC,20161010,26.84,29.52,26.84,29.53,1200
NHC,20161007,28.64,28.64,28.64,28.63,200
NHC,20161006,31.77,31.77,31.77,31.77,100
NHC,20161005,26.84,29.97,26.84,29.98,6900
NHC,20161004,25.95,27.29,25.95,27.29,300
NHC,20161003,28.10,28.10,28.10,28.10,100
NHC,20160930,26.40,27.03,26.40,26.40,7100
NHC,20160929,26.40,26.40,26.40,26.40,7000
NHC,20160928,26.40,26.40,26.40,26.40,3100
NHC,20160927,26.85,26.85,26.40,26.40,6400
NHC,20160923,26.84,28.27,26.84,28.28,600
NHC,20160922,28.63,28.63,28.63,28.63,10
NHC,20160919,28.64,28.64,28.64,28.63,600
NHC,20160916,28.10,28.10,28.10,28.10,400
NHC,20160915,28.10,28.10,26.58,26.58,1600
NHC,20160914,26.85,28.19,26.85,28.19,300
NHC,20160913,26.40,26.85,26.40,26.85,2400
NHC,20160909,26.40,26.76,26.40,26.76,300
NHC,20160908,23.89,26.40,23.89,24.88,23400
NHC,20160907,26.48,27.74,26.48,26.49,7300
NHC,20160901,27.30,27.30,27.30,27.29,100
NHC,20160831,26.49,26.85,26.49,26.49,4200
NHC,20160830,26.85,28.82,26.49,26.49,600
NHC,20160829,26.84,26.84,26.84,26.85,9600
NHC,20160826,29.00,29.00,29.00,28.99,100
NHC,20160825,26.40,26.85,23.98,26.85,4302
NHC,20160824,27.02,29.80,26.13,26.58,10000
NHC,20160823,28.64,28.64,27.74,27.74,13600
NHC,20160822,29.88,29.88,28.99,29.53,6000
NHC,20160815,31.59,32.22,31.59,32.21,2700
NHC,20160809,35.08,35.08,35.08,35.08,100
NHC,20160805,29.80,33.02,29.53,33.02,2300
NHC,20160804,29.88,31.31,29.79,31.32,1600
NHC,20160803,32.12,32.12,32.12,32.12,12
NHC,20160802,29.80,32.13,29.53,32.12,1900
NHC,20160801,29.89,29.89,29.80,29.80,1900
NHC,20160729,29.53,33.10,29.53,33.11,1600
NHC,20160728,32.21,32.21,32.21,32.21,300
NHC,20160727,35.71,35.71,30.52,30.51,400
NHC,20160726,33.73,33.73,33.73,33.74,200
NHC,20160722,32.48,37.40,32.48,37.40,300
NHC,20160721,36.06,36.06,36.06,36.06,100
NHC,20160720,33.02,33.02,33.02,33.02,100
NHC,20160719,30.16,30.16,30.07,30.07,310
NHC,20160718,33.38,33.38,33.38,33.38,100
