<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
NVL,20180330,66.80,69.20,66.80,69.20,2490280
NVL,20180329,65.90,66.80,65.90,66.30,506440
NVL,20180328,66.00,69.50,65.80,66.10,2897690
NVL,20180327,62.00,65.00,61.10,65.00,1437130
NVL,20180326,60.69,61.84,60.54,60.76,3170310
NVL,20180323,62.59,62.59,60.53,60.69,2581420
NVL,20180322,62.21,63.43,62.13,63.05,3358080
NVL,20180321,62.60,63.74,62.21,62.21,2824040
NVL,20180320,64.27,67.94,63.36,63.36,2647170
NVL,20180319,60.31,64.35,60.23,64.35,2632680
NVL,20180316,60.23,60.46,60.08,60.23,3747450
NVL,20180315,60.00,60.38,60.00,60.23,3469970
NVL,20180314,60.00,60.30,60.00,60.23,3343830
NVL,20180313,60.31,60.84,60.15,60.15,2841080
NVL,20180312,60.84,61.68,60.84,60.84,3683290
NVL,20180309,60.99,61.98,60.99,61.53,3044370
NVL,20180308,60.23,62.29,60.23,61.37,2776620
NVL,20180307,60.07,60.69,59.85,60.46,1541650
NVL,20180306,60.69,61.83,60.38,60.38,2703170
NVL,20180305,65.27,65.50,61.84,61.83,2689470
NVL,20180302,67.40,67.40,65.49,65.50,2626210
NVL,20180301,65.04,67.41,65.04,67.40,3563930
NVL,20180228,64.12,66.25,64.12,65.50,3627460
NVL,20180227,62.98,64.43,62.98,64.27,3314300
NVL,20180226,62.52,63.44,62.52,63.13,2982420
NVL,20180223,61.29,62.59,61.29,62.60,3187060
NVL,20180222,61.06,61.90,61.06,61.60,3014800
NVL,20180221,61.15,61.53,61.07,61.37,2775250
NVL,20180213,59.93,61.07,59.93,61.07,2508250
NVL,20180212,60.84,61.07,59.92,60.31,2377370
NVL,20180209,60.69,61.07,60.31,61.07,2385810
NVL,20180208,61.22,61.60,60.99,61.07,2412560
NVL,20180207,62.44,62.82,61.37,61.60,2918700
NVL,20180206,62.44,62.98,61.60,62.44,1754640
NVL,20180205,62.29,62.52,61.83,62.29,2744630
NVL,20180202,61.06,62.44,60.99,62.21,2765420
NVL,20180201,60.99,61.53,60.99,61.37,2385420
NVL,20180131,60.69,61.60,60.31,61.30,2390060
NVL,20180130,61.37,61.83,59.46,61.07,2230100
NVL,20180129,64.19,64.81,61.68,61.83,2508670
NVL,20180126,64.43,64.89,64.12,64.50,2454710
NVL,20180125,64.28,65.35,64.20,64.58,2357070
NVL,20180122,61.76,63.82,61.53,63.82,2169410
NVL,20180119,60.23,61.52,59.84,61.53,2105670
NVL,20180118,60.00,60.08,57.64,59.92,2119180
NVL,20180117,59.93,60.23,58.10,59.47,1993570
NVL,20180116,59.54,60.76,58.01,59.47,1643790
NVL,20180115,58.02,59.55,57.64,59.54,1626690
NVL,20180112,57.78,58.09,57.33,57.79,1531690
NVL,20180111,56.11,57.79,55.73,57.25,1407430
NVL,20180110,54.73,56.49,54.65,55.73,1788010
NVL,20180109,52.90,55.57,52.90,54.96,1585810
NVL,20180108,51.91,53.28,51.91,53.13,1153370
NVL,20180105,51.45,52.21,51.14,52.06,1082960
NVL,20180104,51.07,51.68,50.38,51.60,1130450
NVL,20180103,50.00,51.15,50.00,51.07,883360
NVL,20180102,50.00,50.15,49.69,50.00,355760
NVL,20171229,48.55,50.76,48.40,49.69,563250
NVL,20171228,47.71,48.70,47.71,48.32,333000
NVL,20171227,47.18,47.71,47.03,47.71,218140
NVL,20171226,47.02,47.40,46.94,47.18,184580
NVL,20171225,46.95,47.03,46.57,47.02,204970
NVL,20171222,46.56,46.95,46.56,46.95,731720
NVL,20171221,47.03,47.26,46.87,46.87,351460
NVL,20171220,46.95,47.18,46.80,46.95,447540
NVL,20171219,47.25,47.63,46.94,46.95,653590
NVL,20171218,47.33,47.63,47.02,47.02,447840
NVL,20171215,47.02,47.48,47.02,47.25,1619170
NVL,20171214,47.56,47.56,46.72,47.02,632360
NVL,20171213,47.71,47.71,47.02,47.56,613480
NVL,20171212,46.95,47.71,46.57,47.71,672810
NVL,20171211,47.64,47.64,46.87,46.95,1286680
NVL,20171208,47.18,47.79,47.10,47.56,1197400
NVL,20171207,46.87,47.63,46.64,46.95,1296410
NVL,20171206,47.02,47.02,46.64,46.64,582970
