<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ONW,20180330,16.40,16.40,16.40,16.40,100
ONW,20180222,16.40,16.40,16.40,16.40,100
ONW,20180221,16.40,16.40,16.40,16.40,100
ONW,20180202,16.60,16.70,16.40,16.40,300
ONW,20180201,16.40,16.40,16.40,16.40,100
ONW,20180123,16.40,16.40,16.40,16.40,100
ONW,20180122,16.30,16.30,16.30,16.30,100
ONW,20171219,16.30,16.30,16.30,16.30,100
ONW,20171215,16.30,16.30,16.30,16.30,100
ONW,20171208,16.20,16.20,16.20,16.20,100
ONW,20171207,16.20,16.20,16.20,16.20,100
ONW,20171129,16.20,16.20,16.20,16.20,100
ONW,20171115,16.10,16.10,16.10,16.10,100
ONW,20171101,16.00,16.00,16.00,16.00,100
ONW,20171031,16.00,16.00,16.00,16.00,100
ONW,20171023,16.00,16.00,16.00,16.00,100
ONW,20171016,16.00,16.00,16.00,16.00,100
ONW,20171013,16.00,16.00,16.00,16.00,100
ONW,20171004,15.80,16.00,15.80,16.00,300
ONW,20170920,15.80,15.90,15.80,15.90,300
ONW,20170915,15.70,15.90,15.70,15.90,400
ONW,20170830,15.60,15.80,15.60,15.80,400
ONW,20170821,15.50,15.60,15.50,15.60,200
ONW,20170811,15.50,15.50,15.50,15.50,100
ONW,20170804,15.10,15.40,15.10,15.40,300
ONW,20170726,15.30,15.30,15.30,15.30,100
ONW,20170724,13.50,15.30,13.50,15.30,400
ONW,20170712,15.40,15.40,15.40,15.40,100
ONW,20170710,15.40,15.40,15.40,15.40,100
ONW,20170703,15.30,15.30,15.30,15.30,200
ONW,20170616,15.20,15.20,15.20,15.20,100
ONW,20170613,15.00,15.00,15.00,15.00,100
ONW,20170612,13.40,13.40,13.40,13.40,100
ONW,20170609,13.50,13.50,11.10,12.90,700
ONW,20170608,12.70,13.50,12.70,13.50,600
ONW,20170531,12.90,14.00,12.90,12.90,1400
ONW,20170530,13.20,13.70,11.30,13.10,1600
ONW,20170529,11.80,13.60,11.80,13.60,1300
ONW,20170526,13.70,13.70,13.70,13.70,600
ONW,20170525,13.90,15.00,12.00,13.80,1100
ONW,20170524,14.90,15.00,11.80,13.80,1200
ONW,20170523,12.80,15.00,12.80,14.50,470
ONW,20170519,15.00,15.10,15.00,15.10,300
ONW,20170518,13.20,15.00,13.20,14.50,400
ONW,20170516,15.40,15.60,15.40,15.60,700
ONW,20170515,15.40,15.50,15.40,15.50,300
ONW,20170509,15.10,15.50,15.10,15.50,500
ONW,20170505,15.00,15.30,15.00,15.30,300
ONW,20170428,15.00,15.00,15.00,15.00,100
ONW,20170426,15.00,16.40,15.00,16.40,2000
ONW,20170424,15.00,16.30,15.00,16.30,200
ONW,20170421,14.80,14.80,14.80,14.80,500
ONW,20170420,14.90,14.90,14.90,14.90,1500
ONW,20170419,15.10,16.30,15.10,16.30,7100
ONW,20170418,15.00,16.30,15.00,16.30,2100
ONW,20170417,16.10,16.20,15.00,16.20,1800
ONW,20170414,16.00,16.20,16.00,16.20,400
ONW,20170413,15.00,16.00,15.00,16.00,1100
ONW,20170412,15.90,16.00,15.90,16.00,300
ONW,20170411,15.80,15.90,15.80,15.90,200
ONW,20170410,15.70,15.80,15.70,15.80,200
ONW,20170407,15.70,15.70,15.70,15.70,100
ONW,20170405,15.60,15.60,15.60,15.60,100
ONW,20170404,15.50,15.50,15.50,15.50,100
ONW,20170403,15.30,15.40,15.30,15.40,200
ONW,20170331,15.40,15.40,13.00,14.00,1100
ONW,20170330,15.30,15.30,15.10,15.10,1600
ONW,20170329,15.20,15.20,15.20,15.20,100
ONW,20170328,15.10,15.10,15.10,15.10,100
ONW,20170327,14.90,15.00,14.90,15.00,200
ONW,20170324,14.80,14.90,14.80,14.90,200
ONW,20170323,14.70,14.80,14.70,14.80,200
ONW,20170322,14.70,14.70,14.60,14.60,200
ONW,20170321,14.50,14.50,14.50,14.50,100
ONW,20170320,14.20,14.50,14.20,14.50,300
ONW,20170317,14.10,14.20,14.10,14.20,200
ONW,20170316,14.00,14.00,14.00,14.00,100
ONW,20170315,13.70,13.80,13.70,13.80,300
ONW,20170314,13.50,13.60,13.50,13.60,200
ONW,20170313,13.30,13.40,13.30,13.40,200
ONW,20170310,13.20,13.20,13.20,13.20,100
ONW,20170309,13.00,13.00,13.00,13.00,200
ONW,20170308,12.90,13.10,12.90,13.10,300
ONW,20170307,12.90,13.00,12.90,13.00,200
ONW,20170306,12.60,12.70,12.60,12.70,200
ONW,20170303,12.80,12.80,12.60,12.70,300
ONW,20170302,12.00,12.70,12.00,12.70,300
ONW,20170301,12.10,12.10,11.80,11.80,200
ONW,20170228,11.50,11.50,11.50,11.50,100
ONW,20170227,11.00,11.00,11.00,11.00,100
ONW,20170224,10.50,10.50,10.50,10.50,100
ONW,20170223,10.00,10.00,10.00,10.00,100
ONW,20170222,9.80,9.80,9.80,9.80,200
ONW,20170221,9.30,9.30,9.30,9.30,100
ONW,20170217,8.40,8.40,7.80,8.40,400
