<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PAN,20180306,67.00,69.00,65.00,69.00,235700
PAN,20180305,68.50,69.50,65.00,67.00,346650
PAN,20180302,66.50,68.90,65.00,68.10,437590
PAN,20180301,63.40,66.00,63.00,65.40,309520
PAN,20180228,61.50,64.00,60.70,63.40,186700
PAN,20180227,60.50,62.10,60.20,61.50,205300
PAN,20180226,59.00,61.50,57.90,60.50,580310
PAN,20180223,57.80,59.20,57.50,59.20,140980
PAN,20180222,55.50,57.80,55.50,56.80,177990
PAN,20180221,52.00,54.50,51.80,54.50,713110
PAN,20180213,51.90,51.90,50.60,51.00,145790
PAN,20180212,52.00,52.00,50.90,51.00,84260
PAN,20180209,50.00,50.80,49.80,50.40,125590
PAN,20180208,51.00,51.50,50.50,50.60,188550
PAN,20180207,49.50,51.00,49.10,51.00,224590
PAN,20180206,48.10,49.50,44.65,48.10,304950
PAN,20180205,48.00,49.70,45.00,48.00,116670
PAN,20180202,48.00,48.80,47.50,48.10,64850
PAN,20180201,49.00,49.00,47.00,48.00,98970
PAN,20180131,50.00,50.00,48.50,48.50,92870
PAN,20180130,50.20,50.20,48.50,49.90,138160
PAN,20180129,49.50,49.70,48.85,49.00,110410
PAN,20180126,50.00,52.00,49.20,49.50,130760
PAN,20180125,49.50,50.00,48.60,49.40,173770
PAN,20180122,50.00,51.00,48.90,49.40,284400
PAN,20180119,49.00,49.90,48.50,49.40,483970
PAN,20180118,46.00,48.40,46.00,47.60,292010
PAN,20180117,45.00,47.00,45.00,45.90,237550
PAN,20180116,44.60,45.10,44.60,44.95,134550
PAN,20180115,45.00,45.00,44.20,45.00,128790
PAN,20180112,45.00,45.90,45.00,45.00,143330
PAN,20180111,46.00,46.50,45.00,45.10,144450
PAN,20180110,46.80,46.80,44.90,45.20,88900
PAN,20180109,45.10,45.40,44.00,44.70,115360
PAN,20180108,45.90,47.90,45.00,45.10,134990
PAN,20180105,46.00,46.25,43.80,45.00,164610
PAN,20180104,40.60,43.25,40.60,43.25,212400
PAN,20180103,37.85,40.45,37.50,40.45,110360
PAN,20180102,37.85,37.85,36.00,37.85,78070
PAN,20171229,36.00,38.40,36.00,36.00,120100
PAN,20171228,35.95,35.95,33.60,35.95,163740
PAN,20171227,33.30,33.90,33.20,33.60,29070
PAN,20171226,33.00,35.00,32.80,33.00,28390
PAN,20171225,33.20,33.85,33.20,33.85,250
PAN,20171222,34.00,34.00,34.00,34.00,1000
PAN,20171221,33.30,35.00,33.30,33.90,12650
PAN,20171220,33.50,33.50,33.00,33.10,8780
PAN,20171219,33.65,33.65,33.50,33.60,1380
PAN,20171218,33.30,33.80,33.20,33.80,13220
PAN,20171215,33.95,34.00,33.50,34.00,27620
PAN,20171214,33.15,33.70,33.15,33.70,4380
PAN,20171213,33.90,33.90,33.70,33.70,180
PAN,20171212,34.00,34.00,33.10,33.90,20220
PAN,20171211,35.90,35.90,33.20,34.00,36860
PAN,20171208,35.00,35.00,35.00,35.00,1300
PAN,20171207,36.00,36.80,35.00,35.00,15940
PAN,20171206,35.00,36.00,35.00,35.50,26700
PAN,20171205,35.00,35.30,35.00,35.00,7940
PAN,20171204,35.00,35.90,35.00,35.00,19200
PAN,20171201,36.80,36.80,34.50,34.50,7690
PAN,20171130,34.60,34.60,34.50,34.50,3220
PAN,20171129,34.00,34.60,34.00,34.60,2870
PAN,20171128,34.60,35.00,33.90,34.70,270
PAN,20171127,34.00,34.00,34.00,34.00,1860
PAN,20171124,34.20,34.20,33.55,33.55,5660
PAN,20171123,33.95,34.00,33.50,34.00,28640
PAN,20171122,34.70,34.70,33.50,33.50,6060
PAN,20171121,33.50,34.00,33.50,33.50,43010
PAN,20171120,33.50,34.00,33.20,33.50,20380
PAN,20171117,34.00,34.00,33.05,33.50,15860
PAN,20171116,34.00,34.50,33.50,34.00,25790
PAN,20171115,34.00,34.00,33.10,33.10,4140
PAN,20171114,34.00,34.00,34.00,34.00,10080
PAN,20171113,33.05,34.00,33.05,34.00,8460
PAN,20171110,34.90,34.90,33.00,34.00,4420
PAN,20171109,34.90,34.90,34.90,34.90,2000
PAN,20171108,34.00,34.50,34.00,34.50,1800
PAN,20171107,34.00,34.70,34.00,34.70,2060
PAN,20171106,33.10,34.90,32.55,34.90,5740
PAN,20171103,34.00,34.00,34.00,34.00,30
PAN,20171101,34.80,34.80,34.00,34.00,1260
PAN,20171031,31.25,34.00,31.25,33.90,10610
PAN,20171030,34.00,34.00,33.60,33.60,16550
PAN,20171027,34.80,34.80,33.50,34.00,41600
PAN,20171026,34.00,34.00,33.60,34.00,20630
