<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PHH,20180330,10.60,12.00,10.50,12.00,117000
PHH,20180323,13.10,13.10,10.30,11.90,368400
PHH,20180316,13.00,13.00,11.80,12.00,12500
PHH,20180309,12.00,12.00,12.00,12.00,100
PHH,20180302,12.00,12.00,10.70,11.90,15200
PHH,20180223,10.50,10.50,10.50,10.50,100
PHH,20180209,9.20,12.00,9.20,12.00,9100
PHH,20180202,9.50,11.90,9.50,11.00,670200
PHH,20180126,10.00,13.00,10.00,13.00,14600
PHH,20180119,11.70,11.70,11.70,11.70,100
PHH,20180112,10.20,10.90,10.10,10.90,7600
PHH,20180105,11.10,11.50,10.50,11.50,5900
PHH,20171229,13.00,13.30,10.00,11.50,81400
PHH,20171222,12.00,12.20,10.50,12.20,55400
PHH,20171215,11.70,11.70,10.70,11.70,9200
PHH,20171208,10.10,13.00,10.10,12.50,23400
PHH,20171201,13.30,13.30,11.60,13.00,27200
PHH,20171124,12.60,12.60,11.60,12.60,21500
PHH,20171117,10.60,13.40,10.60,12.00,21500
PHH,20171110,14.20,14.20,11.10,13.30,21500
PHH,20171103,14.20,14.20,12.70,13.20,10859
PHH,20171027,12.30,13.40,12.30,13.40,8700
PHH,20171020,14.00,14.00,12.60,13.50,6000
PHH,20171013,12.20,13.90,12.20,13.90,25100
PHH,20171006,12.10,14.20,12.10,14.20,50100
PHH,20170929,14.50,15.20,13.20,15.10,42500
PHH,20170922,13.80,15.00,13.60,14.10,10300
PHH,20170915,13.90,13.90,12.20,13.70,10800
PHH,20170908,11.20,13.20,11.20,12.80,17600
PHH,20170901,12.10,13.80,12.00,13.70,26600
PHH,20170825,12.30,15.00,12.10,15.00,39400
PHH,20170818,14.90,16.30,12.30,13.90,3500
PHH,20170811,13.20,14.40,13.20,14.40,600
PHH,20170810,14.80,14.90,14.80,14.90,200
PHH,20170808,14.70,14.90,14.70,14.90,900
PHH,20170807,13.90,14.80,13.90,14.80,1200
PHH,20170804,13.80,14.50,13.80,14.50,4000
PHH,20170803,13.80,14.20,13.80,14.20,1500
PHH,20170802,13.90,14.70,13.70,14.70,2200
PHH,20170801,13.90,14.80,12.60,14.80,4100
PHH,20170731,13.90,14.90,12.50,14.90,9900
PHH,20170727,14.20,14.20,14.20,14.20,1000
PHH,20170725,14.00,14.80,14.00,14.80,2200
PHH,20170721,15.30,15.30,15.30,15.30,100
PHH,20170720,15.30,15.30,14.20,15.30,2500
PHH,20170719,15.40,15.50,15.30,15.40,4000
PHH,20170717,15.50,15.50,15.50,15.50,100
PHH,20170714,15.30,15.30,14.00,15.10,12900
PHH,20170713,15.40,15.40,15.40,15.40,100
PHH,20170712,14.10,15.50,14.10,15.50,1100
PHH,20170711,14.90,15.80,14.90,15.80,1600
PHH,20170710,14.20,15.50,14.20,15.50,1500
PHH,20170707,15.00,16.00,15.00,16.00,7400
PHH,20170706,15.00,15.00,15.00,15.00,300
PHH,20170705,15.10,15.10,15.10,15.10,100
PHH,20170704,14.10,14.60,14.00,14.60,5400
PHH,20170703,15.20,15.70,15.00,15.00,6900
PHH,20170630,13.90,16.50,13.90,16.50,20400
PHH,20170629,13.90,15.20,13.90,15.00,19700
PHH,20170628,14.50,15.00,14.50,15.00,9000
PHH,20170627,13.90,15.00,13.30,15.00,17801
PHH,20170626,15.00,15.00,15.00,15.00,300
PHH,20170623,15.00,16.00,14.40,14.80,6400
PHH,20170622,14.20,14.40,14.00,14.40,8400
PHH,20170621,14.30,14.30,14.30,14.30,100
PHH,20170620,14.30,14.30,13.80,14.20,2300
PHH,20170619,14.50,14.50,13.40,14.10,9700
PHH,20170616,14.90,14.90,12.80,12.80,49500
PHH,20170615,14.80,14.80,14.50,14.60,19100
PHH,20170614,14.90,15.00,14.70,14.70,5400
PHH,20170613,15.00,15.00,14.60,14.80,15400
PHH,20170612,14.70,15.00,14.10,14.80,55500
PHH,20170609,14.90,15.00,14.50,14.50,128900
PHH,20170608,15.00,15.00,14.30,14.70,56500
PHH,20170607,14.10,14.90,14.10,14.20,94700
PHH,20170606,14.80,14.90,13.90,14.60,109900
PHH,20170605,14.00,15.00,13.90,14.50,47400
PHH,20170602,14.40,15.00,13.80,14.80,53900
PHH,20170601,16.00,16.00,13.80,14.90,49300
PHH,20170531,14.80,15.90,13.80,15.90,32000
PHH,20170530,13.90,14.90,13.80,14.20,31400
PHH,20170529,15.80,16.30,13.70,15.30,32900
PHH,20170526,14.00,15.50,13.30,15.00,15900
PHH,20170525,13.50,13.90,13.20,13.90,15000
PHH,20170524,14.00,14.00,13.00,13.90,17020
PHH,20170523,13.80,14.00,13.80,14.00,500
PHH,20170522,13.30,13.80,13.00,13.70,24840
PHH,20170519,12.80,13.70,12.80,13.70,26600
PHH,20170518,12.70,12.90,12.60,12.90,26120
PHH,20170517,13.00,13.00,12.40,13.00,32200
PHH,20170516,13.20,13.20,12.80,13.10,40500
PHH,20170515,13.60,13.60,13.10,13.50,20200
PHH,20170512,13.60,13.60,13.50,13.60,9800
PHH,20170511,13.70,13.70,13.60,13.70,15900
PHH,20170510,13.60,13.80,13.60,13.80,8500
PHH,20170509,13.70,13.80,13.60,13.60,21300
PHH,20170508,13.80,13.80,13.80,13.80,15000
PHH,20170505,13.70,13.80,13.60,13.80,52800
PHH,20170504,13.60,13.80,13.50,13.60,36500
PHH,20170503,13.30,13.70,13.30,13.60,7000
PHH,20170428,13.80,14.60,13.40,14.00,104200
PHH,20170427,13.80,13.80,13.30,13.30,16000
PHH,20170426,13.30,13.80,13.30,13.50,34100
PHH,20170425,13.30,13.30,13.20,13.30,45000
PHH,20170424,13.30,13.30,13.20,13.30,39400
PHH,20170421,13.30,13.40,13.20,13.40,46900
PHH,20170420,11.40,13.30,11.40,13.20,52500
PHH,20170419,13.30,13.40,13.10,13.10,63100
PHH,20170418,13.30,13.40,13.20,13.40,36000
PHH,20170417,13.20,13.70,13.20,13.40,4900
PHH,20170414,13.30,13.90,13.10,13.90,51300
PHH,20170413,13.10,13.30,13.10,13.20,50600
PHH,20170412,13.10,13.20,12.90,13.10,36500
PHH,20170411,13.10,13.10,12.80,13.00,109200
PHH,20170410,12.50,13.00,12.50,13.00,64800
PHH,20170407,12.50,12.60,12.10,12.10,14500
PHH,20170405,12.30,12.60,11.90,12.00,7100
PHH,20170404,11.50,12.80,11.20,12.60,25200
PHH,20170403,11.90,12.00,11.60,11.60,26300
PHH,20170331,14.40,14.40,11.60,14.40,114800
PHH,20170330,13.80,13.80,12.90,12.90,27200
PHH,20170329,14.00,15.10,11.90,13.60,580400
PHH,20170328,13.50,14.30,12.60,12.60,80101
PHH,20170327,11.30,12.50,11.30,12.50,33100
PHH,20170324,10.80,11.50,10.80,11.30,12500
PHH,20170323,11.20,11.30,11.20,11.30,200
PHH,20170322,9.50,11.80,9.50,11.80,41400
PHH,20170321,10.50,11.00,10.40,10.90,39700
PHH,20170320,11.50,13.00,11.10,11.50,31400
PHH,20170317,11.20,13.40,11.20,12.10,18400
PHH,20170316,11.20,11.90,11.20,11.90,41600
PHH,20170315,11.00,11.50,10.10,11.40,13300
PHH,20170314,10.30,10.50,10.00,10.50,6500
PHH,20170313,11.00,11.30,8.80,11.10,103800
PHH,20170310,11.00,11.30,9.50,10.60,116300
PHH,20170309,10.90,11.80,9.30,10.30,140400
PHH,20170308,10.00,11.00,10.00,10.70,14900
PHH,20170307,10.10,10.20,9.90,9.90,9800
PHH,20170306,10.10,10.10,10.00,10.10,11300
PHH,20170303,11.00,11.00,9.10,10.10,32700
PHH,20170302,10.20,11.30,10.00,10.80,5700
PHH,20170301,9.90,9.90,9.90,9.90,5000
PHH,20170228,10.00,10.30,9.40,10.00,13400
PHH,20170227,9.70,10.40,8.90,10.30,39700
PHH,20170224,10.30,10.30,9.00,9.00,6600
PHH,20170223,9.10,9.10,9.00,9.00,7200
PHH,20170222,10.50,10.50,9.10,9.10,1100
PHH,20170220,9.10,9.30,9.10,9.30,19900
PHH,20170217,9.90,9.90,9.00,9.00,1100
PHH,20170216,9.00,9.00,8.90,8.90,13000
PHH,20170215,8.90,8.90,8.90,8.90,70200
PHH,20170214,9.80,9.80,8.80,8.80,1100
PHH,20170210,8.60,8.60,8.60,8.60,500
PHH,20170209,8.60,9.70,8.60,9.70,200
PHH,20170208,7.70,9.40,7.70,9.40,900
PHH,20170207,9.00,9.00,9.00,9.00,14500
PHH,20170206,9.00,9.00,7.80,7.80,1400
PHH,20170203,7.00,9.00,7.00,9.00,4100
PHH,20170202,7.90,7.90,7.90,7.90,100
PHH,20170125,7.80,10.30,7.80,10.30,4000
PHH,20170120,9.10,9.10,9.10,9.10,100
PHH,20170119,10.00,10.50,10.00,10.40,4500
PHH,20170118,9.40,10.50,9.40,9.40,37500
PHH,20170117,10.50,11.30,10.50,11.30,2000
PHH,20170116,9.70,11.00,9.70,10.50,3200
PHH,20170113,10.60,11.60,10.60,11.60,2500
PHH,20170109,10.30,11.00,10.30,11.00,1200
PHH,20170106,10.00,11.50,10.00,11.50,3000
PHH,20170105,9.90,10.00,9.90,10.00,2000
PHH,20170104,9.10,9.10,9.10,9.10,200
PHH,20161228,10.00,10.60,9.10,10.00,2700
PHH,20161227,10.00,10.10,9.90,10.00,8000
PHH,20161226,10.00,10.00,10.00,10.00,200
PHH,20161223,10.00,10.00,10.00,10.00,200
