<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PNG,20180306,14.00,14.50,13.90,14.20,122700
PNG,20180302,14.00,14.10,13.10,14.10,111200
PNG,20180228,13.00,13.00,13.00,13.00,100
PNG,20180202,13.90,13.90,13.90,13.90,5
PNG,20180201,13.80,14.00,13.80,14.00,2000
PNG,20180126,13.60,13.70,13.00,13.00,2200
PNG,20180108,13.50,13.50,13.50,13.50,100
PNG,20171129,13.00,15.00,13.00,15.00,200
PNG,20171122,14.50,14.50,14.50,14.50,300
PNG,20171115,14.00,15.00,14.00,15.00,5000
PNG,20171019,14.00,14.00,14.00,14.00,2000
PNG,20170929,14.00,14.00,14.00,14.00,100
PNG,20170927,14.00,14.00,14.00,14.00,5000
PNG,20170926,14.00,14.00,14.00,14.00,20125
PNG,20170925,13.50,13.50,13.50,13.50,5
PNG,20170921,12.50,15.50,12.50,12.50,300
PNG,20170920,13.50,13.50,13.50,13.50,100
PNG,20170915,14.50,14.50,14.50,14.50,55000
PNG,20170822,15.00,15.00,15.00,15.00,5500
PNG,20170817,15.00,15.00,15.00,15.00,300
PNG,20170815,15.20,15.20,14.00,14.00,500
PNG,20170814,14.50,15.50,14.00,14.00,19200
PNG,20170811,14.08,14.55,13.70,13.70,29800
PNG,20170809,13.14,13.14,13.14,13.14,1200
PNG,20170804,14.08,14.08,14.08,14.08,20000
PNG,20170803,14.08,14.08,14.08,14.08,5000
PNG,20170802,13.89,13.89,13.89,13.89,10100
PNG,20170726,13.89,14.08,13.89,14.08,25000
PNG,20170721,14.46,14.46,13.89,13.89,2300
PNG,20170720,13.14,14.08,13.14,14.08,30200
PNG,20170717,14.55,14.55,14.08,14.08,15500
PNG,20170629,14.82,14.82,14.82,14.83,700
PNG,20170620,15.01,15.01,15.01,15.01,100
PNG,20170608,15.01,15.01,15.01,15.01,9000
PNG,20170525,15.01,15.01,15.01,15.01,14000
PNG,20170519,15.01,15.01,15.01,15.01,10000
PNG,20170515,15.01,15.01,15.01,15.01,1000
PNG,20170510,15.48,15.48,15.48,15.48,19800
PNG,20170508,15.48,15.48,15.48,15.48,3
PNG,20170504,15.48,15.48,15.48,15.48,90
PNG,20170503,15.48,15.48,15.48,15.48,2
PNG,20170428,15.48,15.48,15.48,15.48,2000
PNG,20170427,14.07,14.17,14.07,14.17,24900
PNG,20170413,15.01,15.01,15.01,15.01,100
PNG,20170412,13.60,15.95,13.60,15.95,49500
PNG,20170316,15.48,15.48,15.48,15.48,600
PNG,20170313,15.48,15.48,15.48,15.48,3100
PNG,20170306,15.48,15.48,15.48,15.48,45
PNG,20170228,15.48,15.48,13.23,15.48,10860
PNG,20170227,15.48,15.48,15.48,15.48,14
PNG,20170224,15.49,15.49,15.49,15.48,100
PNG,20170222,14.08,14.08,14.08,14.08,14
PNG,20170221,14.07,14.07,14.07,14.08,300
PNG,20170216,15.02,15.02,15.02,15.01,400
PNG,20170116,13.70,14.08,13.70,14.08,5200
PNG,20170113,13.61,13.61,13.61,13.61,3700
PNG,20170111,13.14,13.14,13.14,13.14,2200
PNG,20170109,13.14,13.14,13.14,13.14,2600
PNG,20170103,13.61,13.61,13.61,13.61,100
PNG,20161230,15.39,15.68,13.61,13.61,25100
PNG,20161229,13.61,14.08,13.61,14.08,1400
PNG,20161228,13.61,13.61,13.61,13.61,2200
PNG,20161221,12.48,14.92,12.48,14.92,300
PNG,20161213,14.36,14.36,14.36,14.36,1000
PNG,20161212,12.54,12.54,12.54,12.54,100
PNG,20161209,14.17,14.17,14.17,14.17,500
PNG,20161206,12.81,14.81,12.81,14.81,300
PNG,20161202,14.99,14.99,13.63,13.63,46700
PNG,20161125,11.90,14.81,11.90,14.81,300
PNG,20161123,12.91,15.00,12.91,13.08,400
PNG,20161122,13.17,14.63,12.81,13.18,47400
PNG,20161118,10.90,12.72,10.90,12.72,5100
PNG,20161117,12.45,14.09,12.45,12.72,1300
PNG,20161115,14.36,14.36,14.36,14.36,100
PNG,20161114,12.73,12.73,12.73,12.72,20000
PNG,20161111,13.17,14.45,13.17,13.18,27700
PNG,20161110,13.81,13.81,13.81,13.81,100
PNG,20161109,12.72,12.72,12.72,12.72,300
PNG,20161107,13.91,14.00,13.91,13.99,300
PNG,20161104,12.18,12.27,12.18,12.18,12400
PNG,20161101,14.27,14.27,14.27,14.27,100
PNG,20161028,15.00,15.00,13.18,13.18,3100
PNG,20161027,13.18,13.18,13.18,13.18,7700
PNG,20161026,13.17,13.99,13.17,13.18,1200
PNG,20161025,12.72,14.99,12.72,14.99,300
PNG,20161021,14.54,14.54,14.54,14.54,100
PNG,20161020,12.72,12.72,12.72,12.72,300
PNG,20161019,13.63,13.63,13.63,13.63,61000
PNG,20161018,14.99,14.99,14.99,14.99,200
PNG,20161017,14.90,14.90,13.63,13.63,30300
PNG,20161013,14.54,14.54,14.54,14.54,4400
PNG,20161012,14.54,14.54,14.54,14.54,2000
PNG,20161010,14.54,14.54,14.54,14.54,100
PNG,20160930,14.99,14.99,14.99,14.99,100
PNG,20160928,13.63,13.63,13.63,13.63,1900
PNG,20160923,15.45,15.45,15.00,14.99,200
PNG,20160922,13.72,15.36,13.72,15.36,1100
PNG,20160921,13.72,13.72,13.72,13.72,9000
PNG,20160920,15.45,15.45,13.81,13.81,1100
PNG,20160916,14.36,14.72,14.17,14.72,34500
PNG,20160915,13.17,14.17,12.72,12.72,11500
PNG,20160914,13.08,13.08,10.81,13.08,400
PNG,20160913,12.72,12.72,12.72,12.72,15000
PNG,20160907,13.54,13.54,13.54,13.54,100
PNG,20160906,13.45,13.45,12.72,12.72,10200
PNG,20160905,11.63,13.54,11.63,13.54,2100
PNG,20160830,13.63,13.63,13.63,13.63,100
PNG,20160816,13.18,13.18,13.18,13.18,10000
PNG,20160815,13.18,13.18,13.18,13.18,32600
PNG,20160812,13.18,13.18,13.18,13.18,4100
PNG,20160811,13.18,13.18,13.18,13.18,14900
PNG,20160805,13.18,14.91,13.18,14.90,1100
PNG,20160804,13.18,13.18,13.18,13.18,10000
PNG,20160803,13.18,14.45,13.18,13.18,15100
PNG,20160802,13.18,13.18,13.18,13.18,36000
PNG,20160801,13.63,13.63,13.63,13.63,100
PNG,20160729,13.63,13.63,12.72,13.18,52400
PNG,20160727,13.63,13.63,13.63,13.63,40000
PNG,20160726,14.54,14.54,14.54,14.54,400
PNG,20160725,13.90,14.54,13.90,14.54,1400
PNG,20160721,14.45,14.45,14.45,14.45,300
PNG,20160719,13.63,14.45,13.63,14.45,30700
PNG,20160715,13.63,13.63,13.63,13.63,600
PNG,20160714,13.63,13.63,13.63,13.63,35000
PNG,20160713,13.63,13.63,13.63,13.63,10100
PNG,20160712,13.63,13.63,13.63,13.63,6400
PNG,20160711,13.99,13.99,13.63,13.63,3300
PNG,20160708,12.72,14.08,12.72,14.08,10500
PNG,20160707,13.63,14.08,13.63,14.08,9600
PNG,20160706,11.90,13.63,11.90,13.63,14100
PNG,20160705,14.54,14.63,12.72,12.90,48000
PNG,20160704,12.72,12.72,12.72,12.72,20200
PNG,20160701,14.54,14.54,14.54,14.54,34000
PNG,20160630,16.36,16.36,14.54,14.54,11100
PNG,20160629,14.99,14.99,14.54,14.54,24400
PNG,20160628,13.63,14.99,13.63,14.99,12400
PNG,20160627,14.54,14.54,14.54,14.54,22000
PNG,20160624,14.99,14.99,14.54,14.99,22700
PNG,20160623,17.17,17.17,14.99,15.90,59800
PNG,20160622,15.00,15.00,15.00,14.99,90561
PNG,20160621,11.81,13.36,11.81,13.36,24900
PNG,20160620,11.63,11.72,11.63,11.72,1900
PNG,20160616,9.08,11.26,8.72,11.27,500
PNG,20160615,9.81,9.81,9.81,9.81,100
PNG,20160614,8.63,8.63,8.63,8.63,100
PNG,20160613,8.27,10.99,8.27,10.99,200
PNG,20160610,8.36,10.90,8.36,10.90,200
