<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PNJ,20180306,166.00,172.00,163.50,172.00,410770
PNJ,20180305,162.90,170.00,162.90,165.30,277370
PNJ,20180302,162.90,164.50,162.30,163.30,372740
PNJ,20180301,165.00,167.10,164.00,164.00,205110
PNJ,20180228,165.00,167.80,164.90,166.70,162700
PNJ,20180227,166.00,168.00,164.10,166.80,295910
PNJ,20180226,172.00,172.50,165.60,165.60,708950
PNJ,20180223,165.00,171.00,164.50,170.70,219270
PNJ,20180222,165.00,165.60,162.60,164.00,225550
PNJ,20180221,160.00,167.00,159.60,165.00,281220
PNJ,20180213,159.80,160.00,157.00,159.50,165670
PNJ,20180212,151.00,155.00,150.20,155.00,311480
PNJ,20180209,140.00,147.50,139.00,147.50,473810
PNJ,20180208,146.00,150.50,145.30,146.10,178900
PNJ,20180207,145.00,148.00,143.80,147.60,378580
PNJ,20180206,140.90,145.00,135.80,140.90,1127520
PNJ,20180205,146.00,150.90,144.00,146.00,384760
PNJ,20180202,149.00,152.00,149.00,150.50,296350
PNJ,20180201,148.10,152.00,147.00,149.00,200350
PNJ,20180131,149.00,150.50,147.50,149.00,232940
PNJ,20180130,140.00,146.50,139.10,146.00,537170
PNJ,20180129,143.50,144.00,141.00,141.20,201200
PNJ,20180126,145.80,146.50,140.00,143.50,267620
PNJ,20180125,145.00,146.50,145.00,145.20,432090
PNJ,20180122,143.90,146.00,143.00,145.00,388760
PNJ,20180119,146.90,146.90,142.00,143.00,888650
PNJ,20180118,136.10,138.00,134.00,138.00,332260
PNJ,20180117,140.50,141.40,138.00,138.00,190050
PNJ,20180116,141.00,141.50,139.50,140.90,479470
PNJ,20180115,136.50,140.90,135.70,139.50,246360
PNJ,20180112,136.50,136.90,135.00,136.50,281300
PNJ,20180111,137.00,137.00,135.60,136.30,148850
PNJ,20180110,134.00,138.00,134.00,137.10,453520
PNJ,20180109,135.30,135.50,133.60,133.70,216780
PNJ,20180108,134.00,135.50,132.70,134.60,225860
PNJ,20180105,134.00,134.60,132.60,134.00,308200
PNJ,20180104,133.00,135.00,132.40,134.00,364810
PNJ,20180103,133.60,135.00,132.00,133.00,715160
PNJ,20180102,133.60,138.90,133.50,133.60,798850
PNJ,20171229,135.90,137.00,135.40,137.00,306890
PNJ,20171228,132.90,135.10,132.30,135.10,276470
PNJ,20171227,132.00,133.00,131.70,132.30,234490
PNJ,20171226,131.20,133.00,131.00,131.70,159460
PNJ,20171225,131.50,132.00,130.50,131.00,197100
PNJ,20171222,132.00,133.00,130.90,130.90,326190
PNJ,20171221,132.00,134.70,131.60,133.00,273660
PNJ,20171220,131.40,132.00,130.50,131.50,244000
PNJ,20171219,131.00,131.00,129.60,130.90,317400
PNJ,20171218,131.20,132.69,128.92,130.21,542880
PNJ,20171215,125.34,130.21,124.54,130.21,517860
PNJ,20171214,120.86,125.24,120.86,125.24,233910
PNJ,20171213,122.75,123.94,120.76,121.26,322040
PNJ,20171212,123.24,124.24,116.29,122.75,349730
PNJ,20171211,122.75,124.94,121.76,122.25,163830
PNJ,20171208,121.86,123.25,121.86,122.75,246170
PNJ,20171207,125.23,125.43,121.85,121.86,274350
PNJ,20171206,123.84,125.23,122.95,124.24,480400
PNJ,20171205,126.23,126.73,124.24,124.24,468260
PNJ,20171204,126.23,127.22,125.43,126.23,256930
PNJ,20171201,123.84,126.23,123.84,126.23,291940
PNJ,20171130,123.05,124.64,121.46,123.84,306190
PNJ,20171129,120.86,121.75,120.36,121.26,180710
PNJ,20171128,121.26,122.15,119.97,120.66,407880
PNJ,20171127,123.25,123.74,120.86,121.26,436100
