<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PPP,20180329,10.10,10.10,10.10,10.10,5
PPP,20180327,10.10,10.10,10.10,10.10,302
PPP,20180326,10.10,10.10,10.10,10.10,105
PPP,20180323,10.29,10.29,10.20,10.19,1100
PPP,20180319,10.66,10.66,10.66,10.66,20
PPP,20180316,10.66,10.66,10.66,10.66,400
PPP,20180314,10.47,10.66,10.47,10.66,1300
PPP,20180305,10.65,10.65,10.65,10.66,3100
PPP,20180302,10.19,10.19,10.19,10.19,50
PPP,20180301,10.19,10.19,10.19,10.19,300
PPP,20180228,10.20,10.20,10.20,10.19,2100
PPP,20180226,9.27,9.27,9.18,9.27,3600
PPP,20180223,9.26,9.26,9.26,9.27,100
PPP,20180206,8.43,8.43,8.43,8.43,100
PPP,20180202,7.69,7.69,7.69,7.69,100
PPP,20180130,7.69,7.69,7.69,7.69,100
PPP,20180125,8.52,8.52,8.52,8.52,700
PPP,20180124,9.45,9.45,9.45,9.45,300
PPP,20180123,10.47,10.47,10.47,10.47,300
PPP,20171221,11.58,11.58,11.58,11.58,600
PPP,20171122,11.12,11.12,11.12,11.12,50
PPP,20171025,11.12,11.12,11.12,11.12,9500
PPP,20170831,11.12,11.12,11.12,11.12,3600
PPP,20170830,11.12,11.12,11.12,11.12,100
PPP,20170821,10.65,11.12,10.65,11.12,5000
PPP,20170817,10.57,10.57,10.57,10.56,400
PPP,20170816,10.66,10.66,10.66,10.66,200
PPP,20170810,10.29,10.29,10.29,10.29,100
PPP,20170807,9.73,9.73,9.73,9.73,7500
PPP,20170804,9.73,9.73,9.73,9.73,9800
PPP,20170802,9.54,9.54,9.54,9.54,1000
PPP,20170727,9.54,9.54,9.54,9.54,26
PPP,20170725,9.73,9.73,9.55,9.54,15200
PPP,20170706,9.36,9.36,9.36,9.36,20700
PPP,20170704,9.36,9.36,9.36,9.36,7200
PPP,20170703,9.36,9.36,9.36,9.36,100
PPP,20170627,9.36,9.36,9.36,9.36,600
PPP,20170626,9.36,9.36,9.36,9.36,500
PPP,20170621,9.27,9.27,9.27,9.27,1000
PPP,20170615,9.27,9.27,9.27,9.27,24
PPP,20170608,9.26,9.26,9.26,9.27,900
PPP,20170607,8.80,8.80,8.80,8.80,50
PPP,20170601,8.80,8.80,8.80,8.80,100
PPP,20170522,8.81,8.81,8.81,8.80,3000
PPP,20170518,9.26,9.26,9.26,9.27,1100
PPP,20170510,10.19,10.19,10.19,10.19,100
PPP,20170509,9.73,9.73,9.73,9.73,600
PPP,20170504,10.19,10.19,10.19,10.19,400
PPP,20170424,11.12,11.12,11.12,11.12,900
PPP,20170411,12.33,12.33,12.33,12.32,400
PPP,20170403,13.62,13.62,13.34,13.44,500
PPP,20170331,12.51,12.51,12.51,12.51,200
PPP,20170330,13.81,13.81,13.81,13.81,100
PPP,20170329,12.79,12.79,12.79,12.79,100
PPP,20170328,11.77,11.77,11.77,11.77,100
PPP,20170323,11.77,13.07,11.77,13.07,300
PPP,20170322,13.07,13.07,13.07,13.07,108
PPP,20170321,12.88,12.88,12.05,12.05,200
PPP,20170320,12.79,12.79,11.86,11.86,2100
PPP,20170317,13.86,13.86,11.77,11.77,308
PPP,20170316,12.99,12.99,12.99,12.99,100
PPP,20170315,12.38,12.38,12.38,12.38,100
PPP,20170314,12.20,12.20,11.33,11.33,200
PPP,20170313,12.56,12.56,12.56,12.55,100
PPP,20170310,11.86,11.86,11.86,11.86,100
PPP,20170308,11.42,11.42,10.90,10.90,200
PPP,20170306,9.93,10.46,9.93,10.46,200
PPP,20170302,10.98,10.98,10.98,10.98,100
PPP,20170224,10.11,10.11,10.11,10.11,100
PPP,20170223,10.02,11.07,10.02,11.07,2000
PPP,20170222,10.02,10.11,10.02,10.11,500
PPP,20170221,10.98,10.98,9.24,9.24,1800
PPP,20170220,10.19,10.19,10.19,10.20,100
PPP,20170216,9.41,9.41,9.41,9.41,100
PPP,20170215,10.28,10.28,8.63,8.63,200
PPP,20170214,9.50,9.50,9.50,9.50,100
PPP,20170213,8.72,8.72,8.72,8.72,100
PPP,20170210,9.50,9.50,8.02,8.02,200
PPP,20170209,8.81,8.81,8.81,8.80,100
PPP,20170208,9.68,9.68,9.68,9.68,100
PPP,20170207,8.97,8.97,8.97,8.98,100
PPP,20170206,9.68,9.68,8.20,8.19,200
PPP,20170203,8.98,8.98,8.98,8.98,100
PPP,20170125,8.29,8.29,8.29,8.28,100
PPP,20170120,9.06,9.06,9.06,9.07,1100
PPP,20170119,10.02,10.02,10.02,10.02,100
PPP,20170117,9.24,9.24,9.24,9.24,100
PPP,20170116,12.03,12.03,10.20,10.20,200
PPP,20170112,11.33,11.33,11.33,11.33,100
PPP,20170110,10.46,10.46,10.46,10.46,100
PPP,20170106,9.50,9.59,9.50,9.59,300
PPP,20161219,8.72,8.72,8.72,8.72,3000
PPP,20161212,9.59,9.59,9.59,9.59,100
PPP,20161206,8.72,8.72,8.72,8.72,1000
PPP,20161201,8.72,8.72,8.72,8.72,5000
PPP,20161118,8.63,8.63,8.63,8.63,1000
PPP,20161115,8.63,8.63,8.63,8.63,3000
PPP,20161107,8.63,8.63,8.63,8.63,100
PPP,20161103,8.72,8.72,8.72,8.72,500
PPP,20161102,8.98,8.98,8.98,8.98,800
PPP,20161101,8.72,8.72,8.72,8.72,300
PPP,20161031,8.72,8.72,8.72,8.72,1000
PPP,20161026,9.59,9.59,9.59,9.59,1000
PPP,20161021,10.72,10.72,8.98,8.98,200
PPP,20161018,9.94,9.94,9.94,9.94,100
PPP,20161013,9.33,9.33,9.33,9.33,100
PPP,20161012,8.02,8.63,8.02,8.63,500
PPP,20161006,7.94,7.94,7.85,7.85,1200
PPP,20161005,8.71,8.71,8.71,8.72,100
PPP,20161003,9.41,9.41,9.41,9.41,100
PPP,20160923,10.37,10.37,10.37,10.37,100
PPP,20160922,8.72,9.59,8.72,9.59,17600
PPP,20160921,8.54,8.72,8.54,8.72,5400
PPP,20160920,8.02,8.02,8.02,8.02,100
PPP,20160914,7.93,7.93,7.93,7.93,100
PPP,20160913,7.93,8.63,7.93,8.63,300
PPP,20160912,8.63,8.63,8.63,8.63,100
PPP,20160908,8.02,8.02,8.02,8.02,100
PPP,20160907,8.54,8.54,8.54,8.54,1200
PPP,20160906,8.54,8.54,8.54,8.54,400
PPP,20160905,8.28,8.54,8.28,8.54,700
PPP,20160831,8.28,8.54,8.28,8.54,2300
PPP,20160829,8.02,8.02,8.02,8.02,100
PPP,20160826,7.33,7.33,7.33,7.32,100
PPP,20160825,9.33,9.33,8.11,8.11,200
PPP,20160823,8.63,8.63,8.63,8.63,200
PPP,20160822,7.84,7.84,7.84,7.85,100
