<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PVV,20180330,1.40,1.40,1.40,1.40,140500
PVV,20180329,1.50,1.50,1.50,1.50,100
PVV,20180328,1.50,1.50,1.40,1.50,20600
PVV,20180327,1.50,1.50,1.40,1.50,8600
PVV,20180326,1.50,1.50,1.30,1.50,74100
PVV,20180323,1.40,1.40,1.40,1.40,286200
PVV,20180322,1.40,1.50,1.30,1.30,150500
PVV,20180321,1.30,1.40,1.30,1.40,115500
PVV,20180320,1.30,1.40,1.30,1.30,252500
PVV,20180319,1.40,1.40,1.30,1.30,432200
PVV,20180316,1.20,1.40,1.20,1.40,54610
PVV,20180315,1.40,1.40,1.30,1.30,35700
PVV,20180314,1.30,1.40,1.20,1.40,25600
PVV,20180313,1.30,1.40,1.20,1.30,32700
PVV,20180312,1.30,1.40,1.20,1.30,485300
PVV,20180309,1.30,1.30,1.20,1.30,52400
PVV,20180308,1.30,1.30,1.20,1.30,10600
PVV,20180307,1.30,1.30,1.20,1.20,17800
PVV,20180306,1.20,1.30,1.20,1.30,8600
PVV,20180305,1.30,1.30,1.20,1.20,196100
PVV,20180302,1.30,1.30,1.20,1.30,10300
PVV,20180301,1.30,1.30,1.20,1.30,43500
PVV,20180228,1.30,1.30,1.20,1.30,256900
PVV,20180227,1.30,1.30,1.20,1.30,55200
PVV,20180226,1.10,1.30,1.10,1.30,176700
PVV,20180223,1.30,1.30,1.10,1.20,36900
PVV,20180222,1.10,1.30,1.10,1.20,16500
PVV,20180221,1.30,1.30,1.20,1.20,154300
PVV,20180213,1.20,1.30,1.10,1.30,274800
PVV,20180212,1.30,1.30,1.20,1.20,59400
PVV,20180209,1.30,1.30,1.20,1.30,74600
PVV,20180208,1.30,1.30,1.20,1.30,107900
PVV,20180207,1.20,1.30,1.10,1.30,18600
PVV,20180206,1.20,1.30,1.10,1.20,236700
PVV,20180205,1.30,1.30,1.20,1.20,167300
PVV,20180202,1.30,1.30,1.20,1.30,7600
PVV,20180201,1.30,1.30,1.20,1.30,64800
PVV,20180131,1.20,1.30,1.10,1.20,449800
PVV,20180130,1.20,1.40,1.20,1.20,357400
PVV,20180129,1.40,1.40,1.30,1.30,185700
PVV,20180126,1.40,1.40,1.30,1.40,440000
PVV,20180125,1.30,1.40,1.20,1.40,288800
PVV,20180124,1.50,1.50,1.30,1.30,81800
PVV,20180123,1.30,1.40,1.30,1.40,263700
PVV,20180122,1.50,1.50,1.30,1.30,464200
PVV,20180119,1.50,1.50,1.40,1.40,404600
PVV,20180118,1.50,1.50,1.40,1.50,747400
PVV,20180117,1.50,1.50,1.40,1.50,120600
PVV,20180116,1.50,1.50,1.40,1.50,88600
PVV,20180115,1.40,1.50,1.40,1.40,121000
PVV,20180112,1.50,1.60,1.40,1.40,105400
PVV,20180111,1.50,1.50,1.40,1.50,246600
PVV,20180110,1.50,1.50,1.40,1.50,211000
PVV,20180109,1.60,1.60,1.50,1.50,339400
PVV,20180108,1.50,1.60,1.40,1.60,128500
PVV,20180105,1.50,1.50,1.40,1.50,353200
PVV,20180104,1.50,1.50,1.40,1.40,158200
PVV,20180103,1.40,1.50,1.40,1.50,75200
PVV,20180102,1.50,1.50,1.40,1.50,93400
PVV,20171229,1.40,1.50,1.40,1.50,67100
PVV,20171228,1.50,1.50,1.30,1.40,221900
PVV,20171227,1.30,1.50,1.30,1.40,38100
PVV,20171226,1.40,1.50,1.40,1.40,214400
PVV,20171225,1.50,1.60,1.50,1.50,69900
PVV,20171222,1.40,1.60,1.40,1.60,49500
PVV,20171221,1.60,1.60,1.40,1.50,101700
PVV,20171220,1.50,1.50,1.40,1.50,517100
PVV,20171219,1.50,1.50,1.40,1.40,21000
PVV,20171218,1.50,1.50,1.40,1.50,86410
PVV,20171215,1.50,1.50,1.40,1.40,98900
PVV,20171214,1.50,1.50,1.40,1.40,36500
PVV,20171213,1.50,1.50,1.40,1.40,82400
PVV,20171212,1.50,1.50,1.40,1.50,68900
PVV,20171211,1.50,1.50,1.40,1.50,35232
PVV,20171208,1.50,1.50,1.40,1.50,71300
PVV,20171207,1.50,1.50,1.40,1.40,21000
PVV,20171206,1.50,1.50,1.40,1.40,82700
PVV,20171205,1.50,1.50,1.40,1.40,80600
PVV,20171204,1.40,1.60,1.40,1.40,320610
PVV,20171201,1.40,1.50,1.40,1.50,130600
PVV,20171130,1.50,1.50,1.40,1.40,71422
PVV,20171129,1.50,1.50,1.40,1.50,148200
PVV,20171128,1.40,1.50,1.40,1.40,101200
PVV,20171127,1.50,1.50,1.40,1.50,169032
PVV,20171124,1.40,1.50,1.40,1.50,84810
PVV,20171123,1.40,1.50,1.30,1.50,257600
PVV,20171122,1.40,1.50,1.40,1.40,136300
PVV,20171121,1.40,1.50,1.40,1.40,57000
PVV,20171120,1.40,1.50,1.40,1.50,58600
PVV,20171117,1.40,1.50,1.30,1.40,269518
PVV,20171116,1.30,1.40,1.30,1.40,32800
PVV,20171115,1.30,1.40,1.30,1.30,58200
PVV,20171114,1.30,1.40,1.30,1.30,44500
PVV,20171113,1.40,1.40,1.40,1.40,51800
PVV,20171110,1.30,1.50,1.30,1.50,58700
PVV,20171109,1.50,1.50,1.40,1.40,79000
PVV,20171108,1.50,1.50,1.30,1.50,70300
PVV,20171107,1.40,1.40,1.30,1.40,293400
PVV,20171106,1.30,1.40,1.30,1.30,71300
PVV,20171103,1.40,1.40,1.30,1.30,46700
PVV,20171102,1.40,1.40,1.20,1.30,346300
PVV,20171101,1.40,1.40,1.30,1.30,159900
PVV,20171031,1.30,1.40,1.20,1.40,197100
PVV,20171030,1.40,1.40,1.30,1.30,344300
PVV,20171027,1.40,1.50,1.40,1.40,169119
PVV,20171026,1.40,1.50,1.40,1.50,746900
PVV,20171025,1.50,1.60,1.50,1.50,411500
PVV,20171024,1.60,1.70,1.60,1.60,348620
PVV,20171023,1.70,1.80,1.60,1.70,307600
PVV,20171020,1.90,1.90,1.70,1.70,713800
PVV,20171019,1.80,1.90,1.70,1.80,167300
PVV,20171018,1.90,1.90,1.80,1.80,75300
PVV,20171017,1.80,1.90,1.70,1.90,72100
PVV,20171016,1.80,1.90,1.70,1.80,62200
PVV,20171013,1.70,1.90,1.70,1.80,147100
PVV,20171012,1.90,1.90,1.70,1.80,127600
PVV,20171011,1.80,1.90,1.70,1.80,177400
PVV,20171010,1.90,1.90,1.80,1.80,460400
PVV,20171009,1.80,1.90,1.80,1.90,161000
PVV,20171006,1.80,1.90,1.80,1.80,171000
PVV,20171005,1.80,1.90,1.80,1.80,169400
PVV,20171004,1.90,1.90,1.70,1.90,54200
PVV,20171003,1.70,1.90,1.70,1.80,42719
PVV,20171002,2.00,2.00,1.80,1.80,630300
PVV,20170929,1.90,2.00,1.80,2.00,178800
PVV,20170928,2.00,2.00,1.90,1.90,83800
PVV,20170927,1.90,2.00,1.90,1.90,181800
PVV,20170926,2.00,2.00,1.90,2.00,61700
PVV,20170925,2.00,2.00,1.90,1.90,320600
PVV,20170922,1.90,2.00,1.90,1.90,77300
PVV,20170921,1.90,2.00,1.90,2.00,83400
PVV,20170920,2.00,2.00,1.90,2.00,112800
PVV,20170919,1.90,2.00,1.90,1.90,88800
PVV,20170918,1.90,2.00,1.90,2.00,49700
PVV,20170915,1.90,2.00,1.90,1.90,60300
PVV,20170914,1.80,2.00,1.80,2.00,63300
PVV,20170913,1.80,1.90,1.80,1.90,80500
PVV,20170912,1.90,1.90,1.80,1.80,83500
PVV,20170911,1.90,1.90,1.80,1.90,157500
PVV,20170908,1.80,2.00,1.80,1.90,51620
PVV,20170907,2.00,2.00,1.80,1.90,76600
PVV,20170906,1.90,2.00,1.80,2.00,195600
PVV,20170905,2.00,2.00,1.80,1.90,43620
PVV,20170901,2.00,2.00,1.80,2.00,99800
PVV,20170831,2.00,2.00,1.80,1.90,165504
PVV,20170830,2.00,2.00,1.80,1.90,256000
PVV,20170829,2.00,2.00,1.90,1.90,138000
PVV,20170828,2.10,2.10,1.90,1.90,133000
PVV,20170825,2.10,2.10,1.90,2.00,520900
PVV,20170824,2.10,2.10,1.90,2.10,125900
PVV,20170823,2.10,2.10,1.90,2.10,194400
PVV,20170822,2.00,2.10,2.00,2.10,267200
PVV,20170821,2.20,2.20,2.00,2.10,215200
