<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PXS,20180330,7.21,7.21,7.17,7.20,156120
PXS,20180329,7.35,7.40,7.21,7.21,144990
PXS,20180328,7.45,7.45,7.20,7.25,62490
PXS,20180327,7.56,7.56,7.20,7.22,266270
PXS,20180326,7.67,7.80,7.30,7.30,278190
PXS,20180323,7.71,7.71,7.45,7.67,199880
PXS,20180322,7.70,8.00,7.70,7.71,278760
PXS,20180321,7.76,8.00,7.60,7.60,198670
PXS,20180320,7.76,7.76,7.51,7.60,79050
PXS,20180319,7.76,7.77,7.62,7.76,140030
PXS,20180316,7.62,7.70,7.45,7.62,158800
PXS,20180315,7.36,7.78,7.36,7.62,148950
PXS,20180314,7.41,7.50,7.35,7.45,204330
PXS,20180313,7.60,7.75,7.45,7.50,291580
PXS,20180312,7.62,7.95,7.60,7.62,98290
PXS,20180309,7.45,7.90,7.45,7.65,151080
PXS,20180308,7.90,8.05,7.83,7.90,110900
PXS,20180307,8.10,8.20,7.65,7.80,288550
PXS,20180306,8.10,8.30,8.10,8.20,214920
PXS,20180305,8.75,8.75,8.30,8.30,321830
PXS,20180302,8.20,8.63,8.20,8.55,191200
PXS,20180301,8.43,8.80,8.33,8.33,449820
PXS,20180228,7.85,8.33,7.85,8.33,704760
PXS,20180227,7.80,7.88,7.65,7.79,97340
PXS,20180226,7.90,8.10,7.40,7.80,435610
PXS,20180223,7.82,7.82,7.45,7.69,157380
PXS,20180222,7.69,7.69,7.41,7.43,145170
PXS,20180221,7.89,7.90,7.70,7.74,106750
PXS,20180213,7.79,7.80,7.60,7.78,140010
PXS,20180212,7.33,7.34,6.86,7.34,143190
PXS,20180209,6.90,7.00,6.84,6.86,593030
PXS,20180208,7.55,7.60,7.35,7.35,141620
PXS,20180207,7.85,7.85,7.40,7.55,263250
PXS,20180206,7.36,7.36,7.36,7.36,447020
PXS,20180205,7.91,8.50,7.91,7.91,223720
PXS,20180202,8.53,8.76,8.50,8.50,211940
PXS,20180201,9.10,9.10,8.50,8.50,237320
PXS,20180131,8.50,8.88,8.30,8.88,409670
PXS,20180130,8.03,8.30,8.02,8.30,456020
PXS,20180129,8.31,8.83,8.31,8.33,464670
PXS,20180126,9.40,9.40,8.83,8.83,939040
PXS,20180125,9.49,10.20,9.49,9.49,2210510
PXS,20180122,9.50,10.25,9.40,10.20,910960
PXS,20180119,10.00,10.00,9.60,9.60,404040
PXS,20180118,9.30,9.90,9.30,9.90,526590
PXS,20180117,10.30,10.45,9.72,9.72,1116970
PXS,20180116,10.50,10.70,10.40,10.45,661390
PXS,20180115,11.00,11.00,10.50,10.70,593910
PXS,20180112,11.00,11.55,10.80,11.00,1140830
PXS,20180111,11.40,11.55,11.00,11.30,377170
PXS,20180110,11.20,11.55,11.00,11.50,2119520
PXS,20180109,11.25,11.25,10.60,10.80,1138900
PXS,20180108,10.75,11.05,10.50,10.80,821590
PXS,20180105,11.00,11.10,10.60,10.80,740320
PXS,20180104,10.70,11.05,10.70,11.05,1844350
PXS,20180103,10.10,10.45,9.99,10.35,703430
PXS,20180102,9.96,10.80,9.85,9.96,772300
PXS,20171229,10.70,11.05,10.30,10.30,748910
PXS,20171228,10.50,11.00,10.10,10.60,932270
PXS,20171227,10.70,10.80,10.25,10.65,1507230
PXS,20171226,9.50,10.10,9.50,10.10,1250500
PXS,20171225,8.91,9.50,8.75,9.45,887910
PXS,20171222,9.15,9.27,8.70,8.91,368500
PXS,20171221,9.00,9.60,8.90,9.16,587440
PXS,20171220,8.66,9.08,8.56,9.08,1614120
PXS,20171219,8.12,8.51,8.12,8.49,795360
PXS,20171218,7.68,8.12,7.68,8.12,657310
PXS,20171215,7.45,7.77,7.40,7.59,150230
PXS,20171214,7.32,7.49,7.32,7.45,105110
PXS,20171213,7.20,7.70,7.13,7.50,319380
PXS,20171212,7.10,7.40,6.95,7.20,127770
PXS,20171211,7.01,7.29,7.01,7.01,205160
PXS,20171208,7.40,7.50,7.39,7.39,311650
PXS,20171207,7.75,7.76,7.60,7.60,254410
PXS,20171206,7.80,7.96,7.70,7.75,156080
PXS,20171205,8.00,8.00,7.80,7.80,273700
PXS,20171204,7.98,8.10,7.98,8.05,394060
PXS,20171201,7.89,8.14,7.86,7.98,273090
PXS,20171130,7.90,8.01,7.70,7.89,184150
PXS,20171129,7.75,8.00,7.66,7.90,336520
PXS,20171128,8.10,8.10,7.66,7.82,188650
PXS,20171127,7.99,8.25,7.99,8.10,449940
PXS,20171124,7.55,7.91,7.55,7.91,817400
PXS,20171123,7.20,7.56,7.20,7.40,431990
PXS,20171122,7.00,7.17,7.00,7.15,222370
PXS,20171121,7.02,7.08,6.98,6.98,233840
PXS,20171120,7.08,7.18,7.04,7.05,74060
PXS,20171117,7.19,7.19,6.98,7.00,150390
PXS,20171116,7.00,7.10,7.00,7.00,333420
PXS,20171115,6.84,7.00,6.80,6.95,107010
PXS,20171114,6.84,7.12,6.84,7.04,96770
PXS,20171113,7.10,7.16,7.08,7.08,119290
PXS,20171110,7.14,7.25,7.10,7.16,139730
PXS,20171109,7.20,7.21,7.07,7.09,111490
PXS,20171108,7.25,7.25,7.10,7.20,133830
PXS,20171107,6.60,7.02,6.60,7.02,501150
PXS,20171106,6.34,6.57,6.34,6.57,163060
PXS,20171103,6.30,6.40,6.21,6.34,122810
PXS,20171102,6.70,6.74,6.24,6.24,556590
PXS,20171101,6.70,6.75,6.60,6.70,204870
PXS,20171031,6.89,6.89,6.60,6.60,135670
PXS,20171030,7.00,7.00,6.66,6.70,232850
PXS,20171027,6.75,7.00,6.65,7.00,149600
PXS,20171026,7.03,7.05,6.74,6.75,183820
PXS,20171025,7.10,7.17,7.01,7.01,94320
PXS,20171024,7.10,7.16,7.05,7.10,136270
PXS,20171023,7.40,7.60,7.21,7.21,663770
PXS,20171020,7.80,7.82,7.75,7.75,130340
PXS,20171019,7.77,7.78,7.71,7.76,155730
PXS,20171018,7.80,7.80,7.75,7.75,143940
PXS,20171017,7.83,7.84,7.78,7.78,162220
PXS,20171016,7.83,7.86,7.78,7.78,124120
PXS,20171013,7.84,7.85,7.82,7.85,156100
PXS,20171012,7.88,7.88,7.78,7.87,139780
PXS,20171011,7.82,7.96,7.82,7.84,347160
PXS,20171010,7.80,8.00,7.78,7.82,260800
PXS,20171009,7.90,8.00,7.80,7.82,399980
PXS,20171006,8.05,8.20,7.81,7.95,227710
PXS,20171005,8.10,8.30,7.81,8.00,206750
PXS,20171004,8.20,8.37,8.10,8.27,212710
PXS,20171003,8.57,8.64,8.31,8.37,425190
PXS,20171002,8.65,8.70,8.48,8.48,390450
PXS,20170929,8.74,8.74,8.61,8.61,485890
PXS,20170928,8.79,8.88,8.66,8.74,412690
PXS,20170927,8.87,8.91,8.65,8.66,561770
PXS,20170926,8.83,9.05,8.83,8.87,1499070
PXS,20170925,8.74,8.83,8.66,8.66,387670
PXS,20170922,8.79,8.79,8.61,8.70,517750
PXS,20170921,8.79,8.88,8.66,8.70,132120
PXS,20170920,8.66,8.88,8.66,8.79,291500
PXS,20170919,8.96,9.01,8.66,8.79,459670
PXS,20170918,8.65,8.91,8.57,8.92,1411210
PXS,20170915,8.00,8.36,7.90,8.36,454270
PXS,20170914,7.97,8.05,7.88,7.92,90930
PXS,20170913,7.94,7.96,7.85,7.87,69760
PXS,20170912,7.82,7.93,7.80,7.85,95430
PXS,20170911,7.86,7.89,7.83,7.83,37080
PXS,20170908,7.95,7.95,7.90,7.89,44780
PXS,20170907,7.92,7.99,7.91,7.93,158670
PXS,20170906,7.82,7.90,7.79,7.86,101700
PXS,20170905,7.82,7.91,7.79,7.82,91820
PXS,20170901,7.88,8.01,7.78,7.87,125550
PXS,20170831,7.79,7.88,7.78,7.81,124950
PXS,20170830,7.85,7.86,7.75,7.81,128500
PXS,20170829,7.93,7.93,7.84,7.85,67120
PXS,20170828,7.92,7.97,7.81,7.93,72810
PXS,20170825,7.95,7.95,7.81,7.93,62310
PXS,20170824,7.89,7.89,7.79,7.89,125040
PXS,20170823,7.87,7.92,7.84,7.89,121550
PXS,20170822,8.09,8.09,7.84,7.89,99490
PXS,20170821,7.96,7.98,7.93,7.96,69680
PXS,20170818,7.99,8.05,7.96,7.95,128260
PXS,20170817,8.13,8.13,7.98,8.02,121150
PXS,20170816,8.19,8.19,7.99,8.01,212960
PXS,20170815,8.18,8.18,7.99,8.02,224790
PXS,20170814,8.14,8.23,8.05,8.05,278550
PXS,20170811,8.31,8.31,8.15,8.15,313830
PXS,20170810,8.24,8.47,8.22,8.31,205580
PXS,20170809,8.48,8.57,8.22,8.24,534980
PXS,20170808,8.66,8.66,8.51,8.57,75330
PXS,20170807,8.61,8.91,8.61,8.66,332870
PXS,20170804,8.56,8.65,8.39,8.61,377020
PXS,20170803,8.46,8.56,8.46,8.53,81380
PXS,20170802,8.33,8.58,8.33,8.46,175570
PXS,20170801,8.27,8.61,8.27,8.56,364050
PXS,20170731,8.23,8.57,8.23,8.32,83580
PXS,20170728,8.30,8.38,8.22,8.33,73590
PXS,20170727,8.22,8.36,8.22,8.30,72170
PXS,20170726,8.31,8.38,8.18,8.22,81340
PXS,20170725,8.45,8.45,8.17,8.18,103500
PXS,20170724,8.41,8.43,8.14,8.34,54030
PXS,20170721,8.44,8.45,8.40,8.40,107120
PXS,20170720,8.49,8.50,8.44,8.44,82360
PXS,20170719,8.48,8.54,8.46,8.47,112950
PXS,20170718,8.55,8.55,8.44,8.48,200890
PXS,20170717,8.57,8.62,8.52,8.55,123240
PXS,20170714,8.60,8.60,8.52,8.59,125020
PXS,20170713,8.57,8.61,8.53,8.57,207370
PXS,20170712,8.57,8.64,8.52,8.60,121750
PXS,20170711,8.53,8.54,8.48,8.48,176240
PXS,20170710,8.66,8.66,8.50,8.54,183460
PXS,20170707,8.66,8.66,8.61,8.66,131820
PXS,20170706,8.75,8.83,8.65,8.66,164200
PXS,20170705,8.83,8.83,8.66,8.79,253920
PXS,20170704,8.58,8.65,8.57,8.64,428460
PXS,20170703,8.57,8.58,8.55,8.57,119250
PXS,20170630,8.60,8.61,8.54,8.59,49270
PXS,20170629,8.54,8.60,8.53,8.60,200980
PXS,20170628,8.54,8.54,8.48,8.50,75770
PXS,20170627,8.56,8.56,8.49,8.49,83460
PXS,20170626,8.49,8.56,8.49,8.55,226840
PXS,20170623,8.46,8.55,8.43,8.47,252740
PXS,20170622,8.47,8.55,8.46,8.47,84890
PXS,20170621,8.44,8.56,8.43,8.56,226800
PXS,20170620,8.50,8.52,8.43,8.47,225550
PXS,20170619,8.56,8.61,8.48,8.53,178070
PXS,20170616,8.57,8.60,8.53,8.53,108640
PXS,20170615,8.63,8.66,8.54,8.62,219290
PXS,20170614,8.57,8.66,8.57,8.64,189800
PXS,20170613,8.57,8.64,8.53,8.57,117820
PXS,20170612,8.70,8.70,8.55,8.56,107180
PXS,20170609,8.65,8.66,8.57,8.60,45820
PXS,20170608,8.61,8.61,8.54,8.57,243600
PXS,20170607,8.70,8.70,8.63,8.66,216820
PXS,20170606,8.66,8.70,8.65,8.65,209830
PXS,20170605,8.66,8.74,8.66,8.70,223860
PXS,20170602,8.79,8.79,8.66,8.70,125830
PXS,20170601,8.74,8.83,8.74,8.79,144840
PXS,20170531,8.83,8.87,8.74,8.83,153690
PXS,20170530,8.74,8.96,8.74,8.83,276090
PXS,20170529,8.83,8.96,8.70,8.74,381230
PXS,20170526,8.96,9.00,8.83,8.83,270700
PXS,20170525,9.09,9.26,9.00,9.09,573170
PXS,20170524,8.74,8.96,8.74,8.96,267130
PXS,20170523,8.83,8.83,8.66,8.74,195670
PXS,20170522,8.74,9.13,8.74,8.83,595510
PXS,20170519,8.60,8.66,8.57,8.58,334910
PXS,20170518,8.63,8.64,8.60,8.63,197900
PXS,20170517,8.59,8.65,8.59,8.63,103970
PXS,20170516,8.63,8.78,8.57,8.74,225050
PXS,20170515,8.62,8.62,8.57,8.60,226080
PXS,20170512,8.58,8.61,8.56,8.59,195740
PXS,20170511,8.59,8.60,8.56,8.58,267190
PXS,20170510,8.65,8.66,8.55,8.58,207460
PXS,20170509,8.64,8.66,8.50,8.65,274510
PXS,20170508,8.64,8.65,8.50,8.50,78730
PXS,20170505,8.50,8.63,8.50,8.61,141750
PXS,20170504,8.54,8.57,8.49,8.50,116240
PXS,20170503,8.63,8.75,8.57,8.57,161110
PXS,20170428,8.66,8.83,8.59,8.59,155670
PXS,20170427,8.66,8.83,8.65,8.83,119850
PXS,20170426,8.65,8.83,8.64,8.65,203270
PXS,20170425,8.57,8.66,8.52,8.59,134000
PXS,20170424,8.59,8.60,8.49,8.57,171790
PXS,20170421,8.64,8.70,8.57,8.59,93470
PXS,20170420,8.74,8.74,8.62,8.66,57800
PXS,20170419,8.58,8.74,8.58,8.74,168050
PXS,20170418,8.66,8.66,8.56,8.58,142720
PXS,20170417,8.79,8.88,8.57,8.57,590140
PXS,20170414,8.92,8.96,8.75,8.79,292930
PXS,20170413,8.96,8.96,8.87,8.92,111760
PXS,20170412,8.96,9.01,8.88,8.96,150360
PXS,20170411,9.00,9.09,8.91,8.92,113320
PXS,20170410,9.04,9.04,8.87,8.87,205520
PXS,20170407,9.00,9.00,8.87,9.00,227620
PXS,20170405,8.83,9.00,8.83,8.87,146590
PXS,20170404,8.92,8.96,8.79,8.83,331710
PXS,20170403,9.09,9.09,8.92,8.96,142450
PXS,20170331,9.18,9.27,9.09,9.09,337100
PXS,20170330,9.05,9.13,8.96,9.05,361540
PXS,20170329,9.01,9.01,8.88,8.96,352920
PXS,20170328,8.74,8.79,8.66,8.79,254550
PXS,20170327,8.91,8.91,8.70,8.70,436700
