<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
S55,20180306,27.20,27.90,27.20,27.20,18300
S55,20180305,27.70,27.70,27.50,27.50,10000
S55,20180302,28.20,28.30,27.80,28.00,16500
S55,20180301,28.50,28.50,27.70,27.80,56900
S55,20180228,27.90,29.00,27.60,27.90,21422
S55,20180227,28.20,28.20,27.60,27.60,47800
S55,20180226,28.20,28.70,28.20,28.20,33610
S55,20180223,29.20,29.20,28.30,28.50,9300
S55,20180222,27.00,29.10,27.00,28.50,17340
S55,20180221,27.80,29.20,27.80,29.20,1300
S55,20180213,27.00,27.60,27.00,27.50,7500
S55,20180212,27.40,27.80,27.40,27.60,5400
S55,20180209,27.10,27.60,27.00,27.60,11300
S55,20180208,28.00,28.50,27.30,28.50,2600
S55,20180207,27.50,27.50,27.00,27.00,11300
S55,20180206,26.00,28.00,25.10,25.70,29300
S55,20180205,28.70,28.70,27.00,27.00,11900
S55,20180202,27.70,29.20,27.60,28.70,14100
S55,20180201,28.00,28.50,28.00,28.20,9404
S55,20180131,30.90,30.90,29.00,29.50,9868
S55,20180130,27.60,30.30,27.60,30.00,61120
S55,20180129,27.60,27.60,27.50,27.60,30910
S55,20180126,25.00,25.10,24.80,25.10,16840
S55,20180125,25.00,25.10,25.00,25.00,7460
S55,20180124,25.10,25.10,25.10,25.10,140
S55,20180123,24.90,25.90,24.90,25.10,500
S55,20180122,25.00,25.50,25.00,25.50,4260
S55,20180119,25.00,25.20,25.00,25.20,1700
S55,20180118,25.10,25.10,25.10,25.10,12700
S55,20180117,25.20,25.20,25.00,25.10,21210
S55,20180116,25.00,26.00,25.00,25.50,5081
S55,20180115,24.90,26.50,24.80,26.50,4111
S55,20180112,25.00,25.00,25.00,25.00,2800
S55,20180111,25.00,25.40,25.00,25.00,69650
S55,20180110,25.20,25.20,25.00,25.00,14220
S55,20180109,24.80,25.50,24.80,25.50,6200
S55,20180108,25.00,25.00,24.70,24.80,44900
S55,20180105,25.10,25.10,24.80,24.80,9560
S55,20180104,24.80,25.10,24.70,25.00,16480
S55,20180103,25.00,25.00,25.00,25.00,6500
S55,20180102,25.20,25.20,24.80,25.10,6500
S55,20171229,25.20,25.60,25.20,25.60,200
S55,20171228,25.30,25.30,25.30,25.30,8400
S55,20171227,25.40,25.40,25.30,25.30,5500
S55,20171226,25.60,25.60,25.40,25.40,14500
S55,20171225,25.80,25.90,25.30,25.90,7404
S55,20171222,25.80,25.80,25.20,25.20,1650
S55,20171221,26.00,26.00,25.80,26.00,1300
S55,20171220,27.00,27.00,26.00,26.00,1700
S55,20171219,25.50,26.00,25.50,26.00,1500
S55,20171218,25.80,25.80,25.80,25.80,200
S55,20171215,25.60,26.50,25.40,26.50,2410
S55,20171214,25.70,25.70,25.60,25.60,9000
S55,20171213,25.60,25.70,25.50,25.70,6320
S55,20171212,25.50,25.70,25.40,25.60,18080
S55,20171211,25.70,25.70,25.70,25.70,20
S55,20171208,25.80,25.80,25.50,25.70,5600
S55,20171207,25.60,25.80,25.60,25.80,2600
S55,20171206,25.80,25.80,25.60,25.80,2914
S55,20171205,25.80,25.90,25.80,25.80,27120
S55,20171204,25.70,25.90,25.70,25.90,9820
S55,20171201,25.80,26.00,25.70,25.90,9600
S55,20171130,25.90,25.90,25.90,25.90,460
S55,20171129,25.80,26.10,25.60,26.00,35000
S55,20171128,25.70,26.00,25.60,26.00,1900
S55,20171127,25.50,26.00,25.50,26.00,1920
S55,20171124,25.80,26.00,25.50,26.00,2800
S55,20171123,25.90,25.90,25.80,25.80,4020
S55,20171122,26.00,26.00,25.90,25.90,900
S55,20171121,26.10,26.10,26.10,26.10,1110
S55,20171120,26.00,26.40,25.80,26.10,108500
S55,20171117,25.90,26.00,25.80,26.00,24980
