<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SAF,20180330,59.40,59.40,59.40,59.40,600
SAF,20180316,54.00,54.00,54.00,54.00,30
SAF,20180315,54.00,54.00,54.00,54.00,100
SAF,20180314,54.00,54.00,54.00,54.00,56
SAF,20180313,54.00,54.00,54.00,54.00,20
SAF,20180309,54.00,54.00,54.00,54.00,9
SAF,20180308,54.00,54.00,54.00,54.00,4
SAF,20180307,54.00,54.00,54.00,54.00,100
SAF,20180306,54.00,54.00,54.00,54.00,600
SAF,20180305,53.90,53.90,53.90,53.90,150
SAF,20180301,50.00,50.00,50.00,50.00,35
SAF,20180226,50.00,50.00,50.00,50.00,2700
SAF,20180223,49.00,49.00,49.00,49.00,9500
SAF,20180206,49.10,49.10,48.60,48.60,200
SAF,20180201,54.00,54.00,54.00,54.00,100
SAF,20180130,53.40,53.40,53.40,53.40,1500
SAF,20180122,53.40,53.40,53.40,53.40,1100
SAF,20180119,53.40,53.40,53.40,53.40,200
SAF,20180118,49.00,49.00,49.00,49.00,122
SAF,20180116,44.60,44.60,44.60,44.60,200
SAF,20180115,46.50,46.50,46.50,46.50,1074
SAF,20180112,50.60,50.60,50.60,50.60,200
SAF,20180109,53.70,53.70,53.70,53.70,10
SAF,20180104,53.70,53.70,53.70,53.70,200
SAF,20180103,60.00,60.00,57.60,57.60,1900
SAF,20180102,64.00,64.00,64.00,64.00,100
SAF,20171229,67.90,67.90,67.90,67.90,100
SAF,20171228,63.00,63.00,63.00,63.00,1560
SAF,20171227,58.00,58.00,58.00,58.00,68
SAF,20171226,58.00,58.00,58.00,58.00,100
SAF,20171225,57.00,57.00,57.00,57.00,3640
SAF,20171213,57.00,57.00,57.00,57.00,68
SAF,20171212,57.00,57.00,57.00,57.00,100
SAF,20171211,54.90,55.10,54.90,55.10,3200
SAF,20171208,54.50,54.50,54.50,54.50,1603
SAF,20171207,54.00,54.20,54.00,54.20,1200
SAF,20171206,46.90,53.80,46.90,53.80,1400
SAF,20171201,53.50,53.50,52.00,52.00,1100
SAF,20171130,51.00,51.00,51.00,51.00,60
SAF,20171129,51.00,51.00,51.00,51.00,100
SAF,20171124,48.50,48.50,48.50,48.50,66
SAF,20171123,48.50,48.50,48.50,48.50,31
SAF,20171122,48.50,48.50,48.50,48.50,100
SAF,20171121,51.00,51.00,51.00,51.00,100
SAF,20171117,54.00,54.00,54.00,54.00,100
SAF,20171116,49.80,49.80,49.80,49.80,10
SAF,20171109,49.80,49.80,49.80,49.80,300
SAF,20171107,52.20,52.30,52.20,52.30,800
SAF,20171106,47.60,47.60,47.60,47.60,100
SAF,20171102,49.40,49.40,49.40,49.40,100
SAF,20171101,51.00,51.00,51.00,51.00,100
SAF,20171031,54.60,54.60,54.60,54.60,41
SAF,20171030,60.00,60.00,54.60,54.60,700
SAF,20171027,60.00,60.00,60.00,60.00,200
SAF,20171020,60.00,60.00,60.00,60.00,500
SAF,20171019,66.00,66.00,60.00,60.00,1700
SAF,20171016,62.00,62.00,60.00,60.00,2200
SAF,20171013,61.00,62.00,61.00,62.00,200
SAF,20171012,60.00,60.00,60.00,60.00,100
SAF,20171009,65.00,65.00,65.00,65.00,1800
SAF,20171006,67.00,67.00,67.00,67.00,2500
SAF,20171005,67.00,67.00,67.00,67.00,1300
SAF,20170929,61.00,67.00,61.00,67.00,1200
SAF,20170928,67.10,67.10,67.10,67.10,166
SAF,20170926,67.00,67.00,61.00,61.00,1100
SAF,20170925,66.90,67.00,66.90,67.00,200
SAF,20170922,65.00,65.00,65.00,65.00,100
SAF,20170921,56.00,63.00,56.00,61.00,3700
SAF,20170920,59.40,61.00,59.40,61.00,2400
SAF,20170915,55.90,55.90,55.90,55.90,24
SAF,20170913,50.70,55.90,50.70,55.90,2100
SAF,20170912,55.80,55.80,55.80,55.80,400
SAF,20170905,55.80,55.80,55.80,55.80,200
SAF,20170831,55.90,55.90,55.90,55.90,10
SAF,20170828,55.90,55.90,55.90,55.90,6
SAF,20170821,50.40,55.90,50.40,55.90,800
SAF,20170815,53.00,55.90,53.00,55.90,4300
SAF,20170814,53.00,53.00,53.00,53.00,100
SAF,20170811,51.90,51.90,51.90,51.90,100
SAF,20170807,55.10,55.10,55.10,55.10,100
SAF,20170804,52.80,55.00,52.80,55.00,200
SAF,20170802,52.60,52.60,52.60,52.60,100
SAF,20170801,54.50,54.50,54.50,54.50,100
SAF,20170731,55.40,59.90,55.40,59.90,1566
SAF,20170728,56.90,59.80,56.90,59.80,600
SAF,20170726,55.00,55.00,55.00,55.00,700
SAF,20170724,55.00,55.00,55.00,55.00,10
SAF,20170721,55.00,55.00,55.00,55.00,100
SAF,20170720,55.00,55.00,55.00,55.00,576
SAF,20170719,55.00,55.50,55.00,55.50,210
SAF,20170718,55.00,55.00,55.00,55.00,2030
SAF,20170714,55.00,55.00,55.00,55.00,200
SAF,20170713,55.00,55.00,55.00,55.00,100
SAF,20170711,55.00,55.00,55.00,55.00,240
SAF,20170707,55.00,55.00,55.00,55.00,300
SAF,20170705,55.00,55.00,55.00,55.00,300
SAF,20170704,53.50,53.60,53.50,53.60,300
SAF,20170630,58.00,58.00,54.00,57.00,800
SAF,20170629,52.00,56.50,52.00,56.50,300
SAF,20170628,51.70,56.80,51.70,56.80,600
SAF,20170627,57.20,57.20,57.20,57.20,60
SAF,20170626,53.50,57.20,53.50,57.20,1100
SAF,20170623,56.00,59.40,56.00,59.40,310
SAF,20170622,54.70,54.70,54.70,54.70,120
SAF,20170615,50.00,50.00,50.00,50.00,1000
SAF,20170613,50.10,50.10,50.00,50.00,200
SAF,20170612,50.30,50.30,50.00,50.00,600
SAF,20170609,50.50,54.80,50.30,54.80,1100
SAF,20170608,51.00,54.50,50.70,54.20,1910
SAF,20170607,51.10,54.70,51.10,54.70,900
SAF,20170605,49.30,54.80,49.30,54.80,200
SAF,20170602,51.10,54.50,50.00,50.00,7300
SAF,20170601,51.20,55.00,51.10,55.00,800
