<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SAS,20180330,31.50,31.70,30.70,30.90,14268
SAS,20180329,32.00,32.00,31.50,32.00,1110
SAS,20180328,32.00,32.00,31.00,31.00,9447
SAS,20180327,31.50,32.30,31.00,31.80,27805
SAS,20180326,32.50,32.50,32.00,32.00,6005
SAS,20180323,32.50,32.60,31.50,32.20,20630
SAS,20180322,31.80,32.70,31.50,32.50,48381
SAS,20180321,31.00,31.50,31.00,31.50,27030
SAS,20180320,30.50,31.90,30.50,31.00,62320
SAS,20180319,30.00,30.50,30.00,30.20,64360
SAS,20180316,30.20,31.50,30.20,30.20,22190
SAS,20180315,29.20,30.00,29.00,30.00,11030
SAS,20180314,30.50,30.50,29.00,29.30,141199
SAS,20180313,29.90,30.20,29.90,30.00,30210
SAS,20180312,29.80,30.30,29.80,30.20,25928
SAS,20180309,29.00,30.00,29.00,30.00,155660
SAS,20180308,30.00,30.00,30.00,30.00,33870
SAS,20180307,29.90,30.10,29.90,30.00,13115
SAS,20180306,29.80,29.80,29.80,29.80,11
SAS,20180305,30.00,30.00,29.30,30.00,5192
SAS,20180302,30.00,30.20,29.60,30.20,5345
SAS,20180301,30.00,30.40,30.00,30.00,7522
SAS,20180228,30.00,30.00,30.00,30.00,2900
SAS,20180227,29.90,30.40,29.80,30.10,29381
SAS,20180226,30.00,30.00,29.60,29.60,6775
SAS,20180223,29.30,30.00,29.00,29.40,8300
SAS,20180222,29.10,29.90,29.00,29.50,1600
SAS,20180221,30.00,30.00,29.00,30.00,1300
SAS,20180213,29.00,29.80,29.00,29.80,2375
SAS,20180212,29.00,30.00,29.00,29.90,5365
SAS,20180209,29.00,29.00,28.50,29.00,4200
SAS,20180208,29.00,29.20,29.00,29.00,9604
SAS,20180207,29.00,29.00,28.00,28.00,184870
SAS,20180206,27.50,28.80,25.90,28.00,47860
SAS,20180205,30.50,30.50,29.40,29.40,7305
SAS,20180202,30.40,30.40,29.70,30.40,10350
SAS,20180201,30.60,30.60,29.50,29.90,15700
SAS,20180131,30.70,30.90,30.40,30.50,27570
SAS,20180130,30.70,31.00,30.50,30.50,38410
SAS,20180129,30.70,31.00,30.10,31.00,4255
SAS,20180126,29.50,31.70,29.50,31.00,30734
SAS,20180125,31.00,31.00,29.00,30.10,23530
SAS,20180124,31.10,31.10,30.90,30.90,11250
SAS,20180123,30.90,31.70,30.90,31.10,10150
SAS,20180122,30.10,32.40,30.10,30.90,47209
