<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SCO,20180302,3.70,3.70,3.70,3.70,112
SCO,20180223,3.30,3.30,3.30,3.30,100
SCO,20180112,2.90,2.90,2.90,2.90,30
SCO,20180105,2.90,2.90,2.90,2.90,110
SCO,20171229,2.60,2.60,2.60,2.60,3300
SCO,20171201,2.30,2.30,2.30,2.30,200
SCO,20171103,2.00,2.00,2.00,2.00,90
SCO,20171027,2.00,2.00,2.00,2.00,100
SCO,20171020,2.30,2.30,2.30,2.30,100
SCO,20171013,2.00,2.00,2.00,2.00,500
SCO,20171006,2.30,2.30,2.30,2.30,100
SCO,20170922,2.00,2.00,2.00,2.00,700
SCO,20170908,2.30,2.30,2.30,2.30,1200
SCO,20170901,2.70,2.70,2.70,2.70,200
SCO,20170825,3.10,3.10,3.10,3.10,500
SCO,20170818,2.70,2.70,2.70,2.70,500
SCO,20170811,3.10,3.10,3.10,3.10,500
SCO,20170721,3.20,3.20,3.20,3.20,500
SCO,20170714,3.70,3.70,3.70,3.70,100
SCO,20170707,4.10,4.10,3.10,3.10,1200
SCO,20170630,3.60,3.60,3.60,3.60,500
SCO,20170623,3.20,3.20,3.20,3.20,100
SCO,20170616,2.60,3.40,2.60,3.40,4600
SCO,20170609,3.30,3.30,2.50,3.30,10250
SCO,20170602,2.90,2.90,2.90,2.90,1050
SCO,20170526,2.60,2.60,2.60,2.60,1000
SCO,20170519,2.60,2.60,2.20,2.60,1300
SCO,20170512,2.70,2.70,2.20,2.70,1200
SCO,20170505,2.70,2.70,2.40,2.40,2100
SCO,20170428,2.90,2.90,2.30,2.90,2690
SCO,20170414,2.60,2.60,2.60,2.60,200
SCO,20170331,2.30,2.30,2.30,2.30,200
SCO,20170324,2.30,2.30,2.00,2.00,8500
SCO,20170317,2.60,2.60,2.00,2.00,8500
SCO,20170303,2.30,2.30,2.30,2.30,3600
SCO,20161230,2.00,2.00,2.00,2.00,400
SCO,20161223,1.60,1.80,1.60,1.80,4000
SCO,20161209,1.60,1.60,1.60,1.60,2100
SCO,20161125,1.80,1.80,1.80,1.80,10000
SCO,20160527,2.10,2.10,2.10,2.10,500
SCO,20160523,2.40,2.40,2.40,2.40,200
SCO,20160517,2.40,2.40,2.40,2.40,100
SCO,20160516,2.30,2.30,2.30,2.30,100
SCO,20160513,2.10,2.10,2.10,2.10,100
SCO,20160504,1.90,1.90,1.90,1.90,100
SCO,20160425,1.70,1.70,1.70,1.70,100
SCO,20160422,1.80,1.80,1.80,1.80,100
SCO,20160420,2.00,2.00,2.00,2.00,100
SCO,20160329,2.30,2.30,2.30,2.30,700
SCO,20160325,2.60,2.60,2.60,2.60,100
SCO,20160315,3.00,3.00,3.00,3.00,200
SCO,20151217,2.60,2.60,2.60,2.60,10
SCO,20151124,2.60,2.60,2.60,2.60,200
SCO,20151123,2.60,2.60,2.60,2.60,400
SCO,20151120,2.40,2.70,2.40,2.70,400
SCO,20151119,2.40,2.40,2.40,2.40,200
SCO,20151118,2.10,2.10,2.10,2.10,200
SCO,20151117,1.80,2.00,1.80,2.00,400
SCO,20151116,1.60,1.80,1.60,1.80,400
SCO,20151113,1.80,1.80,1.80,1.80,1000
SCO,20151111,1.80,1.80,1.80,1.80,200
SCO,20151102,1.60,1.60,1.60,1.60,100
SCO,20151028,1.40,1.40,1.40,1.40,100
SCO,20151019,1.30,1.30,1.30,1.30,300
SCO,20151015,1.30,1.30,1.30,1.30,100
SCO,20150917,1.20,1.20,1.20,1.20,100
SCO,20150911,1.30,1.30,1.30,1.30,100
SCO,20150904,1.50,1.50,1.50,1.50,1000
SCO,20150820,1.70,1.70,1.70,1.70,100
SCO,20150813,1.90,1.90,1.90,1.90,3000
SCO,20150807,2.20,2.20,2.20,2.20,700
SCO,20150805,2.00,2.00,2.00,2.00,500
SCO,20150803,1.90,1.90,1.90,1.90,300
SCO,20150730,1.70,1.70,1.70,1.70,2800
SCO,20150729,1.70,1.70,1.70,1.70,100
SCO,20150728,1.50,1.50,1.50,1.50,3100
SCO,20150727,1.70,1.70,1.70,1.70,100
SCO,20150702,1.50,1.50,1.50,1.50,100
SCO,20150622,1.70,1.70,1.70,1.70,700
SCO,20150527,1.80,1.80,1.80,1.80,200
SCO,20150525,2.00,2.00,2.00,2.00,200
SCO,20150521,1.90,1.90,1.90,1.90,100
SCO,20150505,2.10,2.10,2.10,2.10,200
SCO,20150504,2.30,2.30,2.30,2.30,100
SCO,20150414,2.50,2.50,2.50,2.50,100
SCO,20150402,2.70,2.70,2.70,2.70,200
SCO,20150306,2.70,2.70,2.70,2.70,200
SCO,20150302,2.50,2.50,2.50,2.50,100
SCO,20150213,2.30,2.30,2.30,2.30,200
SCO,20150209,2.50,2.50,2.50,2.50,100
SCO,20150130,2.30,2.30,2.30,2.30,100
SCO,20150126,2.50,2.50,2.50,2.50,200
SCO,20150123,2.70,2.70,2.70,2.70,200
SCO,20150120,2.30,2.70,2.30,2.70,400
SCO,20150119,2.50,2.50,2.50,2.50,200
SCO,20150114,2.30,2.30,2.30,2.30,200
SCO,20150106,2.40,2.50,2.40,2.50,200
SCO,20141219,2.30,2.30,2.30,2.30,200
SCO,20141218,2.50,2.50,2.50,2.50,200
SCO,20141211,2.70,2.70,2.70,2.70,200
SCO,20141210,2.90,2.90,2.90,2.90,200
SCO,20141209,3.20,3.20,3.20,3.20,200
SCO,20141204,3.50,3.50,3.50,3.50,200
SCO,20141202,3.80,3.80,3.80,3.80,200
SCO,20141201,4.20,4.20,4.20,4.20,100
SCO,20141128,4.60,4.60,4.60,4.60,100
SCO,20141126,4.20,4.20,4.20,4.20,100
SCO,20141125,3.90,3.90,3.70,3.90,9700
SCO,20141124,3.40,3.80,3.40,3.80,700
SCO,20141121,3.40,3.80,3.40,3.80,300
SCO,20141120,3.70,3.70,3.70,3.70,200
SCO,20141119,3.60,3.60,3.60,3.60,2800
SCO,20141118,3.30,3.30,3.30,3.30,300
SCO,20141117,3.00,3.00,3.00,3.00,100
SCO,20141114,2.80,2.80,2.80,2.80,100
SCO,20141113,2.60,2.60,2.60,2.60,100
SCO,20141111,2.40,2.40,2.40,2.40,200
SCO,20141110,2.60,2.60,2.60,2.60,100
SCO,20141104,2.40,2.40,2.40,2.40,200
SCO,20141029,2.60,2.60,2.60,2.60,200
SCO,20141028,2.80,2.80,2.80,2.80,200
SCO,20141022,3.20,3.20,2.90,2.90,1400
SCO,20141021,3.20,3.20,3.20,3.20,200
SCO,20141017,3.40,3.40,3.40,3.40,8600
SCO,20141016,3.10,3.10,3.10,3.10,200
SCO,20141014,3.30,3.30,3.30,3.30,200
SCO,20141010,3.60,3.60,3.60,3.60,600
SCO,20141009,3.50,3.60,3.40,3.60,500
SCO,20141007,3.30,3.30,3.30,3.30,200
SCO,20141003,3.60,3.60,3.60,3.60,100
SCO,20141002,3.30,3.30,3.30,3.30,200
SCO,20141001,3.60,3.60,3.60,3.60,100
SCO,20140930,3.30,3.30,3.30,3.30,300
SCO,20140929,3.70,3.70,3.60,3.60,400
SCO,20140926,4.00,4.00,4.00,4.00,100
SCO,20140925,3.70,3.70,3.70,3.70,700
SCO,20140924,3.40,3.40,3.40,3.40,200
SCO,20140923,3.60,3.60,3.60,3.60,100
SCO,20140922,3.90,3.90,3.90,3.90,1000
SCO,20140919,3.60,3.60,3.60,3.60,800
SCO,20140918,3.30,3.30,3.30,3.30,200
SCO,20140917,3.00,3.00,3.00,3.00,100
SCO,20140915,2.80,2.80,2.80,2.80,100
SCO,20140909,2.60,2.60,2.60,2.60,1000
SCO,20140904,2.40,2.40,2.40,2.40,100
SCO,20140822,2.20,2.20,2.20,2.20,200
SCO,20140819,2.40,2.40,2.40,2.40,500
SCO,20140818,2.60,2.60,2.60,2.60,200
SCO,20140811,2.80,2.80,2.80,2.80,200
SCO,20140730,3.80,3.80,2.70,2.70,300
SCO,20140620,3.80,3.80,3.80,3.80,500
SCO,20140619,4.20,4.20,4.20,4.20,100
SCO,20140612,4.60,4.60,4.60,4.60,100
SCO,20140611,4.90,4.90,4.90,4.90,400
SCO,20140602,5.40,5.40,5.40,5.40,100
SCO,20140423,6.00,6.00,6.00,6.00,100
SCO,20140417,5.40,5.70,5.40,5.70,5000
SCO,20140403,6.00,6.00,6.00,6.00,200
SCO,20140402,5.50,5.50,5.50,5.50,100
SCO,20140328,6.10,6.10,6.10,6.10,1000
SCO,20140324,6.00,6.00,6.00,6.00,1100
SCO,20140228,6.50,6.50,6.50,6.50,100
SCO,20140225,6.00,6.00,6.00,6.00,200
SCO,20140224,5.50,5.50,5.50,5.50,100
SCO,20140214,6.10,6.10,6.10,6.10,100
SCO,20140110,6.70,6.70,6.70,6.70,100
SCO,20140108,6.20,6.20,6.20,6.20,500
SCO,20140106,6.80,6.80,6.80,6.80,100
SCO,20131206,6.30,6.30,6.30,6.30,100
SCO,20131108,6.30,6.30,6.30,6.30,1000
SCO,20131107,6.30,6.30,6.30,6.30,100
SCO,20131106,6.30,6.30,6.30,6.30,100
SCO,20131011,7.00,7.00,7.00,7.00,100
SCO,20131009,6.50,6.50,6.50,6.50,200
SCO,20131008,6.00,6.00,6.00,6.00,300
SCO,20131002,6.60,6.60,6.60,6.60,500
SCO,20130925,7.30,7.30,7.30,7.30,100
SCO,20130923,7.30,7.30,7.30,7.30,100
SCO,20130920,8.10,8.10,8.10,8.10,100
SCO,20130919,9.00,9.00,9.00,9.00,100
SCO,20130913,10.00,10.00,10.00,10.00,100
SCO,20130912,11.10,11.10,11.10,11.10,100
SCO,20130910,12.30,12.30,12.30,12.30,100
SCO,20130906,11.20,11.20,11.20,11.20,100
SCO,20130618,7.30,7.30,7.30,7.30,200
SCO,20130510,8.10,8.10,8.10,8.10,100
SCO,20130509,9.00,9.00,9.00,9.00,100
SCO,20130402,9.90,9.90,9.90,9.90,100
SCO,20130221,10.20,10.20,10.20,10.20,100
SCO,20130206,9.40,9.40,9.40,9.40,100
SCO,20130117,8.70,8.70,8.70,8.70,100
SCO,20130109,8.00,8.00,8.00,8.00,100
SCO,20130104,7.40,7.40,7.40,7.40,100
SCO,20130102,6.80,6.80,6.80,6.80,100
SCO,20121221,6.20,6.20,6.20,6.20,500
SCO,20121219,6.40,6.40,6.40,6.40,100
SCO,20121210,7.10,7.10,7.10,7.10,100
SCO,20121128,6.60,6.60,6.60,6.60,100
SCO,20121126,6.20,6.20,6.20,6.20,100
SCO,20121122,6.80,6.80,6.80,6.80,100
SCO,20121115,6.20,6.20,6.20,6.20,100
SCO,20121114,5.70,5.70,5.70,5.70,100
SCO,20121113,5.50,5.50,5.00,5.00,300
SCO,20121112,5.00,5.00,5.00,5.00,100
SCO,20121109,4.60,4.60,4.60,4.60,100
SCO,20121030,4.20,4.20,4.20,4.20,100
SCO,20121019,4.60,4.60,4.60,4.60,100
SCO,20121018,5.10,5.10,5.10,5.10,100
SCO,20121016,5.60,5.60,5.60,5.60,900
SCO,20121012,5.40,5.40,5.40,5.40,100
SCO,20121011,5.10,5.10,5.10,5.10,2000
SCO,20121010,5.60,5.60,5.60,5.60,1000
SCO,20121008,5.60,5.60,5.60,5.60,2900
SCO,20121002,6.00,6.00,6.00,6.00,100
SCO,20120928,6.60,6.60,6.60,6.60,100
SCO,20120913,7.30,7.30,7.30,7.30,100
SCO,20120912,6.70,6.70,6.70,6.70,100
SCO,20120907,6.20,6.20,6.20,6.20,1800
SCO,20120906,5.70,5.70,5.70,5.70,100
SCO,20120829,5.20,5.20,5.20,5.20,1000
SCO,20120827,4.90,4.90,4.90,4.90,100
SCO,20120823,4.50,4.50,4.50,4.50,100
SCO,20120821,5.00,5.00,5.00,5.00,100
SCO,20120820,5.50,5.50,5.50,5.50,500
SCO,20120816,5.30,5.30,5.30,5.30,500
SCO,20120815,5.40,5.40,5.40,5.40,100
SCO,20120813,5.90,5.90,5.90,5.90,1000
SCO,20120810,5.80,5.80,5.80,5.80,800
SCO,20120809,5.80,5.80,5.80,5.80,1000
SCO,20120808,5.40,5.40,5.40,5.40,100
SCO,20120807,6.10,6.10,5.70,5.70,800
SCO,20120803,5.70,6.20,5.70,6.20,2200
SCO,20120802,5.80,6.20,5.80,6.20,5100
SCO,20120801,6.20,6.30,6.20,6.30,1400
SCO,20120730,6.00,6.00,5.80,5.80,900
SCO,20120727,6.40,6.40,6.40,6.40,1000
SCO,20120726,6.40,6.40,6.40,6.40,500
SCO,20120725,6.00,6.10,5.80,5.80,1000
SCO,20120724,5.50,6.10,5.50,5.50,900
SCO,20120723,6.00,6.00,6.00,6.00,300
SCO,20120720,6.00,6.00,6.00,6.00,500
SCO,20120719,6.60,6.60,6.60,6.60,100
SCO,20120718,7.30,7.30,7.30,7.30,200
SCO,20120716,8.10,8.10,8.10,8.10,100
SCO,20120712,9.30,9.30,7.80,9.20,700
SCO,20120711,9.60,9.60,8.10,8.10,300
SCO,20120710,8.90,8.90,8.90,8.90,100
SCO,20120709,8.10,8.10,8.10,8.10,100
SCO,20120705,8.90,8.90,8.90,8.90,100
SCO,20120704,7.20,8.70,7.20,8.70,300
SCO,20120703,8.00,8.00,8.00,8.00,100
SCO,20120621,8.80,8.80,8.80,8.80,100
SCO,20120619,7.50,8.90,7.50,8.90,300
SCO,20120618,8.30,8.30,8.30,8.30,100
SCO,20120615,8.00,8.00,8.00,8.00,100
SCO,20120614,7.40,7.40,7.40,7.40,100
SCO,20120613,6.90,6.90,6.90,6.90,100
SCO,20120612,7.60,7.60,7.60,7.60,100
