<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SDK,20180330,36.00,36.00,35.60,36.00,14500
SDK,20180329,35.10,35.80,35.10,35.60,11104
SDK,20180328,35.00,35.00,35.00,35.00,4000
SDK,20180327,35.00,35.00,34.80,35.00,9960
SDK,20180326,35.00,35.00,34.60,34.60,9800
SDK,20180320,36.00,36.00,36.00,36.00,100
SDK,20180319,36.00,36.00,36.00,36.00,700
SDK,20180315,35.00,35.00,35.00,35.00,2400
SDK,20180312,35.40,35.40,35.40,35.40,2300
SDK,20180308,35.00,35.00,35.00,35.00,1800
SDK,20180307,34.80,34.80,34.80,34.80,1500
SDK,20180306,34.00,35.00,34.00,35.00,2600
SDK,20180227,34.00,34.00,34.00,34.00,1227
SDK,20180222,34.40,34.40,34.40,34.40,17
SDK,20180221,34.00,35.00,34.00,35.00,3000
SDK,20180213,33.90,33.90,33.90,33.90,30
SDK,20180212,33.90,33.90,33.90,33.90,30
SDK,20180209,33.00,34.00,33.00,34.00,4930
SDK,20180208,33.00,33.00,33.00,33.00,2402
SDK,20180207,33.00,33.00,33.00,33.00,7202
SDK,20180206,33.00,33.00,33.00,33.00,6600
SDK,20180205,33.00,33.00,33.00,33.00,10030
SDK,20180202,33.00,33.00,33.00,33.00,3000
SDK,20180201,33.00,33.00,33.00,33.00,1500
SDK,20180131,33.00,33.40,33.00,33.40,8500
SDK,20180125,33.00,33.00,33.00,33.00,1000
SDK,20180122,33.00,33.00,33.00,33.00,2800
SDK,20180119,33.00,33.00,33.00,33.00,2400
SDK,20180118,33.00,33.00,33.00,33.00,2500
SDK,20180117,35.00,35.00,35.00,35.00,100
SDK,20180116,33.00,33.00,33.00,33.00,1500
SDK,20180112,33.00,33.00,33.00,33.00,1600
SDK,20180111,33.00,33.00,33.00,33.00,290
SDK,20180109,32.90,32.90,32.90,32.90,100
SDK,20180108,32.00,32.00,32.00,32.00,100
SDK,20171229,32.00,32.00,32.00,32.00,1800
SDK,20171227,30.10,32.50,30.10,32.50,500
SDK,20171222,32.50,32.50,32.50,32.50,100
SDK,20171221,32.00,32.00,32.00,32.00,2200
SDK,20171220,30.00,32.00,30.00,32.00,2100
SDK,20171207,30.50,31.80,30.00,30.00,4700
SDK,20171206,31.00,31.00,31.00,31.00,100
SDK,20171130,29.50,29.60,29.50,29.50,7300
SDK,20171128,30.30,30.30,30.30,30.30,1500
SDK,20171124,30.50,33.90,29.90,29.90,1400
SDK,20171117,29.80,29.80,29.80,29.80,100
SDK,20171116,29.70,29.80,29.70,29.80,4510
SDK,20171115,29.50,29.50,29.50,29.50,100
SDK,20171109,29.50,29.50,29.50,29.50,800
SDK,20171108,29.70,29.70,29.70,29.70,1600
SDK,20171106,29.50,29.70,29.50,29.50,1800
SDK,20171101,29.00,29.00,29.00,29.00,2500
SDK,20171031,30.30,30.30,30.30,30.30,3500
SDK,20171026,29.00,32.70,29.00,32.70,600
SDK,20171024,28.50,28.50,28.50,28.50,1000
SDK,20171020,28.20,28.20,27.80,27.80,1400
SDK,20171016,28.40,28.40,28.40,28.40,800
SDK,20171013,28.20,28.20,28.00,28.10,2000
SDK,20171012,28.00,28.40,27.50,28.40,3300
SDK,20171011,27.40,27.50,27.40,27.50,1000
SDK,20171010,27.30,27.30,27.30,27.30,100
SDK,20171009,27.00,27.00,27.00,27.00,500
SDK,20171006,27.00,27.00,27.00,27.00,700
SDK,20171005,27.00,27.00,27.00,27.00,100
SDK,20171004,27.00,27.20,27.00,27.00,5300
SDK,20170928,27.10,27.10,27.10,27.10,100
SDK,20170927,27.10,27.10,27.00,27.00,400
SDK,20170922,27.10,27.10,27.00,27.00,1000
SDK,20170921,27.10,27.10,27.00,27.10,3800
SDK,20170920,27.00,27.00,27.00,27.00,1200
SDK,20170915,27.50,27.50,27.50,27.50,2500
SDK,20170914,27.40,27.50,27.40,27.50,1700
SDK,20170907,27.00,27.00,27.00,27.00,4000
SDK,20170906,27.10,27.10,27.00,27.00,7900
SDK,20170905,27.50,27.70,27.50,27.70,1000
SDK,20170831,27.80,27.80,27.80,27.80,300
SDK,20170825,27.00,27.50,27.00,27.50,1700
SDK,20170823,27.50,27.50,27.50,27.50,2100
SDK,20170822,27.20,27.20,26.50,26.50,2600
SDK,20170821,27.00,27.00,27.00,27.00,1100
SDK,20170816,28.00,28.00,28.00,28.00,100
SDK,20170811,27.30,27.80,27.30,27.80,3500
SDK,20170727,27.10,27.10,26.90,26.90,2000
SDK,20170726,27.10,27.10,27.00,27.00,1400
SDK,20170725,27.10,27.10,27.10,27.10,500
SDK,20170724,27.10,27.10,27.10,27.10,300
SDK,20170719,27.00,27.00,27.00,27.00,2300
SDK,20170718,27.30,27.30,27.30,27.30,400
SDK,20170717,27.00,27.00,27.00,27.00,1000
SDK,20170706,27.20,27.20,27.00,27.00,1600
SDK,20170704,28.00,28.00,28.00,28.00,800
SDK,20170703,27.70,27.70,27.10,27.10,9500
SDK,20170627,27.80,27.80,27.50,27.50,600
SDK,20170623,27.00,27.00,27.00,27.00,400
SDK,20170622,26.50,27.80,26.50,27.80,600
SDK,20170621,27.00,27.00,27.00,27.00,3900
SDK,20170620,27.00,27.00,26.50,26.50,900
SDK,20170619,27.00,27.00,27.00,27.00,1300
SDK,20170616,25.00,27.20,25.00,27.10,1200
SDK,20170614,27.50,27.50,26.60,26.80,5800
SDK,20170613,27.50,27.50,27.50,27.50,600
SDK,20170612,27.50,27.50,27.50,27.50,800
SDK,20170608,27.50,27.50,27.50,27.50,2200
SDK,20170607,28.00,28.00,27.00,27.00,4700
SDK,20170606,27.10,27.10,27.10,27.10,800
SDK,20170605,27.00,27.00,27.00,27.00,1700
SDK,20170602,27.90,28.00,27.80,27.80,7700
SDK,20170601,27.10,27.10,26.80,26.80,6600
SDK,20170530,27.90,28.00,27.00,27.00,4500
SDK,20170526,27.90,27.90,27.90,27.90,400
SDK,20170525,27.90,28.00,27.00,27.00,5200
SDK,20170524,27.00,27.90,26.80,27.90,5500
SDK,20170523,27.90,27.90,27.90,27.90,1000
SDK,20170522,28.00,28.00,28.00,28.00,100
SDK,20170519,26.60,27.00,26.60,27.00,10900
SDK,20170518,27.00,27.00,27.00,27.00,200
SDK,20170517,27.00,27.00,27.00,27.00,1000
SDK,20170515,27.90,27.90,27.90,27.90,2100
SDK,20170512,28.40,28.40,28.00,28.00,10800
SDK,20170511,28.00,28.00,27.00,27.00,200
SDK,20170509,28.00,28.00,28.00,28.00,100
SDK,20170508,27.50,27.50,27.50,27.50,100
SDK,20170505,27.10,27.90,27.10,27.90,1100
SDK,20170504,27.60,28.00,27.60,28.00,5300
SDK,20170503,28.40,28.50,28.40,28.50,2900
SDK,20170428,28.00,29.00,28.00,29.00,5600
SDK,20170427,27.00,27.00,27.00,27.00,100
SDK,20170425,27.00,28.00,26.70,28.00,3100
SDK,20170424,27.10,28.00,27.10,28.00,1200
SDK,20170421,29.30,29.30,29.30,29.30,200
SDK,20170419,30.00,30.00,29.00,29.70,2200
SDK,20170418,28.95,28.95,28.51,28.60,11300
SDK,20170417,28.51,28.51,28.51,28.51,1800
SDK,20170414,28.69,28.69,28.51,28.51,1500
SDK,20170413,29.13,29.13,28.69,28.69,5700
SDK,20170412,28.69,28.95,28.69,28.95,22100
SDK,20170411,28.95,28.95,28.51,28.51,8800
SDK,20170410,28.34,30.71,28.34,29.39,29200
SDK,20170407,28.07,28.42,27.81,27.90,5600
SDK,20170405,27.89,27.89,27.63,27.72,5700
SDK,20170404,28.07,28.07,27.63,27.63,4300
SDK,20170331,27.63,27.63,27.63,27.63,3400
SDK,20170321,28.07,28.07,28.07,28.07,300
SDK,20170317,27.20,27.64,27.20,27.63,2400
SDK,20170316,26.32,27.20,26.06,27.20,2000
SDK,20170315,25.44,25.88,25.44,25.88,8400
SDK,20170310,25.09,25.09,25.09,25.09,600
SDK,20170309,25.44,25.44,25.44,25.44,1500
SDK,20170308,25.44,25.53,25.44,25.53,3400
SDK,20170307,25.44,25.44,25.44,25.44,5700
SDK,20170228,25.00,25.00,25.00,25.00,400
SDK,20170227,25.00,25.44,25.00,25.44,1300
SDK,20170223,26.32,26.32,26.32,26.32,100
SDK,20170217,26.23,26.32,26.23,26.32,8300
SDK,20170215,26.23,26.23,26.23,26.23,3800
SDK,20170210,26.23,26.23,26.23,26.23,200
SDK,20170203,26.32,26.32,26.32,26.32,3500
SDK,20170123,25.88,25.88,25.88,25.88,600
SDK,20170120,25.26,25.26,25.26,25.27,100
SDK,20170110,24.21,24.21,24.21,24.21,500
SDK,20170109,24.57,24.57,24.57,24.56,100
SDK,20170105,24.12,25.44,24.12,25.44,5000
SDK,20170103,25.35,25.35,25.35,25.35,100
SDK,20161226,24.12,24.12,24.12,24.12,1000
SDK,20161221,24.12,24.12,24.12,24.12,900
SDK,20161220,24.12,24.12,24.12,24.12,400
SDK,20161213,24.12,24.12,24.12,24.12,100
SDK,20161212,24.12,24.12,24.12,24.12,200
SDK,20161209,24.56,24.56,24.56,24.56,500
SDK,20161207,25.00,25.00,25.00,25.00,100
SDK,20161206,24.56,24.56,24.56,24.56,500
SDK,20161202,26.05,26.05,24.56,25.18,3500
SDK,20161130,26.05,26.05,26.05,26.05,2300
SDK,20161124,25.88,26.32,25.88,26.32,5800
SDK,20161118,26.32,26.32,26.32,26.32,1100
SDK,20161117,26.32,26.32,26.32,26.32,2000
SDK,20161116,26.32,26.32,26.32,26.32,2000
SDK,20161114,25.44,26.32,25.44,26.32,600
SDK,20161111,23.69,23.69,23.69,23.69,500
SDK,20161103,25.44,25.44,25.44,25.44,100
SDK,20161101,25.44,25.44,25.44,25.44,500
SDK,20161031,25.44,25.44,25.44,25.44,5000
SDK,20161028,25.44,25.44,25.44,25.44,2100
SDK,20161027,25.44,25.44,25.44,25.44,300
SDK,20161025,25.88,25.88,25.88,25.88,2700
SDK,20161021,25.88,25.88,25.88,25.88,200
SDK,20161020,25.88,25.88,25.88,25.88,2000
SDK,20161019,25.44,25.44,25.44,25.44,2000
SDK,20161018,25.44,25.44,25.44,25.44,4500
SDK,20161014,25.44,25.44,25.44,25.44,2300
SDK,20161012,25.88,25.88,25.88,25.88,1000
SDK,20161011,25.44,25.44,25.44,25.44,1500
SDK,20161010,25.79,25.79,25.00,25.00,300
SDK,20161007,25.00,25.00,25.00,25.00,200
SDK,20161005,25.36,25.36,25.36,25.35,5100
SDK,20161003,25.26,25.26,25.26,25.27,100
SDK,20160930,25.44,25.44,25.35,25.44,1600
SDK,20160929,25.44,25.44,25.44,25.44,1800
SDK,20160928,25.44,25.44,25.35,25.35,2100
SDK,20160927,25.79,25.79,21.93,25.79,4400
SDK,20160922,25.88,25.88,25.70,25.70,300
SDK,20160920,26.32,26.32,25.62,25.62,1100
SDK,20160919,26.32,26.32,25.61,25.88,600
SDK,20160916,29.21,29.21,29.21,29.21,100
SDK,20160914,25.44,25.44,25.44,25.44,2000
SDK,20160912,25.44,25.44,25.44,25.44,2000
SDK,20160909,25.00,25.00,25.00,25.00,100
SDK,20160905,25.44,25.44,25.44,25.44,1200
SDK,20160901,26.32,26.32,26.32,26.32,100
SDK,20160830,25.44,25.44,25.44,25.44,1200
SDK,20160826,25.09,25.09,25.09,25.09,800
SDK,20160825,25.18,25.18,25.09,25.09,1500
SDK,20160824,25.26,25.26,25.26,25.27,1500
SDK,20160823,25.27,25.44,25.27,25.44,1400
SDK,20160822,25.53,25.53,25.53,25.53,900
SDK,20160819,25.62,25.62,25.62,25.62,1000
SDK,20160818,28.86,28.86,25.44,25.44,1500
SDK,20160817,25.88,25.88,25.44,25.44,3100
SDK,20160816,25.44,25.44,25.44,25.44,2700
SDK,20160815,25.44,25.44,25.44,25.44,3000
SDK,20160812,25.44,25.44,25.44,25.44,6800
SDK,20160811,25.44,25.44,25.44,25.44,1500
SDK,20160810,26.14,26.14,26.14,26.14,100
SDK,20160809,25.44,25.88,24.57,25.88,3800
SDK,20160804,25.88,27.02,25.88,25.88,1900
SDK,20160802,27.11,27.11,27.11,27.11,200
SDK,20160801,25.88,25.88,25.88,25.88,3400
SDK,20160729,27.29,27.37,26.41,26.41,9800
SDK,20160728,26.75,26.75,26.75,26.76,1000
SDK,20160727,27.99,27.99,27.99,27.98,1000
SDK,20160726,26.32,26.32,26.32,26.32,400
SDK,20160721,26.40,26.40,26.40,26.41,400
SDK,20160718,28.95,28.95,27.89,27.90,200
SDK,20160715,28.07,28.07,27.63,27.63,3400
SDK,20160714,26.06,27.99,26.06,27.98,14100
SDK,20160713,25.44,26.31,25.44,26.32,5600
SDK,20160712,25.44,25.44,25.35,25.35,1400
SDK,20160711,25.00,25.00,25.00,25.00,500
SDK,20160708,25.00,25.00,25.00,25.00,2100
SDK,20160707,25.00,25.00,25.00,25.00,1000
SDK,20160706,25.18,25.18,24.74,25.00,4900
SDK,20160705,24.56,24.65,24.56,24.65,4000
SDK,20160704,24.57,24.57,24.13,24.12,3000
SDK,20160701,24.57,25.27,24.57,25.27,5900
SDK,20160630,24.12,24.47,24.12,24.48,5300
SDK,20160629,23.16,24.13,23.16,24.12,1300
SDK,20160628,22.98,23.24,22.98,23.25,1200
SDK,20160627,23.69,23.69,22.99,22.98,5400
SDK,20160624,23.68,23.77,23.24,23.25,4800
SDK,20160623,23.68,24.12,23.68,24.12,4800
SDK,20160622,26.24,26.24,24.57,24.56,2600
SDK,20160621,23.25,23.34,23.25,23.34,2100
SDK,20160620,23.25,23.25,23.25,23.25,1900
SDK,20160617,23.07,23.07,23.07,23.07,8400
SDK,20160616,22.81,23.07,22.81,23.07,5100
SDK,20160615,22.90,23.07,22.90,23.07,1800
SDK,20160614,22.90,22.90,22.81,22.81,2300
SDK,20160613,22.90,22.90,22.90,22.90,2300
SDK,20160610,22.90,22.99,22.90,22.90,4500
SDK,20160609,22.89,22.89,22.89,22.90,200
SDK,20160608,22.81,24.13,22.81,24.12,3800
SDK,20160607,26.40,26.40,22.80,22.81,200
SDK,20160606,22.98,22.98,22.98,22.98,2500
SDK,20160603,22.99,22.99,22.81,22.98,10800
SDK,20160602,22.81,22.81,22.81,22.81,1100
SDK,20160601,22.90,22.90,22.81,22.81,500
SDK,20160531,22.90,23.16,22.90,23.16,4200
SDK,20160530,22.90,22.90,22.64,22.81,5000
SDK,20160527,22.81,23.16,22.72,22.90,35400
SDK,20160526,21.94,22.81,21.94,22.81,8700
SDK,20160524,21.75,21.93,21.67,21.76,7900
SDK,20160523,21.93,21.93,21.50,21.49,1700
SDK,20160519,20.61,21.49,20.61,21.49,2200
SDK,20160518,21.93,22.11,21.49,21.93,14800
SDK,20160516,21.93,21.93,21.75,21.93,4300
