<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SPA,20180329,16.50,16.50,16.50,16.50,100
SPA,20180323,14.40,14.40,14.40,14.40,1
SPA,20180226,14.40,14.40,14.40,14.40,100
SPA,20180208,13.44,13.44,13.44,13.44,100
SPA,20180202,11.90,11.90,11.90,11.90,100
SPA,20180131,14.40,14.40,11.71,14.40,600
SPA,20180130,13.73,13.73,13.73,13.73,100
SPA,20180129,12.96,12.96,12.96,12.96,100
SPA,20180126,11.91,11.91,11.91,11.90,100
SPA,20180125,10.65,10.65,10.65,10.66,100
SPA,20180124,8.74,9.98,8.74,9.98,200
SPA,20180123,11.04,11.04,9.60,9.60,300
SPA,20180122,11.23,11.23,11.23,11.23,100
SPA,20180112,9.89,9.89,9.89,9.89,700
SPA,20180110,9.88,9.88,9.88,9.89,500
SPA,20180109,11.42,11.42,11.42,11.42,300
SPA,20180104,11.42,11.42,11.42,11.42,400
SPA,20180102,13.44,13.44,13.44,13.44,100
SPA,20171225,13.15,16.80,13.05,16.80,1500
SPA,20171221,15.27,15.27,15.27,15.26,1000
SPA,20171220,15.45,15.45,15.45,15.46,100
SPA,20171219,14.02,14.11,10.85,14.11,500
SPA,20171215,14.01,14.01,10.56,10.56,200
SPA,20171214,12.20,12.20,12.20,12.19,100
SPA,20171213,10.65,10.65,10.65,10.66,100
SPA,20171208,10.46,10.46,8.16,8.16,200
SPA,20171207,9.12,9.12,9.12,9.12,100
SPA,20171128,7.97,7.97,7.97,7.97,100
SPA,20171124,9.12,9.12,9.12,9.12,500
SPA,20171122,10.75,10.75,10.66,10.66,300
SPA,20171121,12.48,12.48,12.48,12.48,100
SPA,20171120,11.61,15.65,11.61,11.62,1600
SPA,20171115,12.58,14.40,12.58,14.40,600
SPA,20171114,12.48,12.77,12.48,12.77,300
SPA,20171109,9.02,11.71,9.02,11.71,3300
SPA,20171107,8.16,11.04,8.16,11.04,1100
SPA,20171030,9.60,9.60,9.60,9.60,7300
SPA,20171023,9.12,9.12,9.12,9.12,1900
SPA,20171020,9.12,9.79,9.12,9.79,1500
SPA,20171005,8.83,8.83,8.83,8.83,100
SPA,20171003,10.37,10.37,10.37,10.37,600
SPA,20170921,17.28,17.28,17.28,17.28,2
SPA,20170818,17.28,17.28,17.28,17.28,100
SPA,20170815,15.84,15.84,15.84,15.84,2
SPA,20170810,15.84,15.84,15.84,15.84,16
SPA,20170719,15.84,15.84,15.84,15.84,200
SPA,20170630,15.26,15.26,15.26,15.26,100
SPA,20170628,17.95,17.95,17.95,17.95,200
SPA,20170620,21.12,21.12,21.12,21.12,200
SPA,20170614,19.20,19.20,19.20,19.20,200
SPA,20170504,14.40,14.40,14.40,14.40,1000
SPA,20170410,15.16,15.16,15.16,15.17,200
SPA,20170407,13.06,13.35,13.06,13.34,3000
SPA,20170405,11.52,11.62,11.52,11.62,1600
SPA,20170404,10.08,10.56,10.08,10.56,3100
SPA,20170403,8.93,9.69,8.93,9.70,1500
SPA,20170331,8.16,9.80,7.78,9.79,2910
SPA,20170330,8.64,8.64,8.26,8.26,800
SPA,20170324,8.74,8.74,8.45,8.45,1700
SPA,20170321,8.74,8.74,8.74,8.74,900
SPA,20170320,8.93,8.93,8.93,8.93,1050
SPA,20170316,10.27,10.27,10.27,10.27,22
SPA,20170315,10.27,10.27,10.27,10.27,50
SPA,20170314,10.27,10.27,10.27,10.27,20
SPA,20170313,10.27,10.27,10.27,10.27,102
SPA,20170310,10.27,10.36,10.27,10.27,2300
SPA,20170308,12.03,12.03,12.03,12.03,100
SPA,20170307,13.41,13.41,13.41,13.42,100
SPA,20170228,13.88,13.97,13.88,13.97,6600
SPA,20170217,13.88,13.98,13.88,13.97,19400
SPA,20170213,14.06,14.15,13.88,13.88,905100
SPA,20170210,13.97,14.06,12.58,12.58,900100
SPA,20170209,12.58,12.58,12.58,12.58,200
SPA,20170208,12.40,14.07,12.40,12.58,1600600
SPA,20170207,12.40,12.40,12.40,12.40,200
SPA,20170206,12.40,12.40,12.40,12.40,500
SPA,20170203,12.40,12.40,12.40,12.40,300
SPA,20170202,12.40,12.40,12.40,12.40,300
SPA,20170125,12.40,12.40,12.40,12.40,300
SPA,20170124,12.40,12.40,12.40,12.40,300
SPA,20170123,12.40,12.40,12.40,12.40,400
SPA,20170120,12.40,12.40,12.40,12.40,500
SPA,20170119,12.40,12.40,12.40,12.40,500
SPA,20170118,12.40,12.40,12.40,12.40,500
SPA,20170117,12.40,12.40,12.40,12.40,200
SPA,20170116,12.40,12.40,12.40,12.40,500
SPA,20170113,12.40,12.40,12.40,12.40,500
SPA,20170112,12.40,12.40,12.40,12.40,500
SPA,20170111,12.49,12.49,12.49,12.49,5000
SPA,20170110,12.59,12.59,12.59,12.58,1000
SPA,20170106,12.68,12.68,12.68,12.68,5000
SPA,20170103,12.96,12.96,12.96,12.96,100
SPA,20161228,13.42,13.42,13.42,13.42,100
