<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TIG,20180306,3.70,3.80,3.60,3.70,165600
TIG,20180305,3.80,3.80,3.60,3.70,77241
TIG,20180302,3.70,3.80,3.60,3.80,94551
TIG,20180301,3.70,3.80,3.60,3.70,127659
TIG,20180228,3.80,3.80,3.70,3.80,39072
TIG,20180227,3.80,3.80,3.70,3.80,166800
TIG,20180226,3.80,3.80,3.60,3.70,333615
TIG,20180223,3.80,3.90,3.80,3.90,35500
TIG,20180222,3.80,3.90,3.80,3.90,364300
TIG,20180221,3.80,3.90,3.80,3.90,127003
TIG,20180213,3.80,3.90,3.80,3.80,157361
TIG,20180212,3.70,3.80,3.70,3.80,195100
TIG,20180209,3.60,3.70,3.60,3.70,69850
TIG,20180208,3.70,3.80,3.70,3.70,171430
TIG,20180207,3.70,3.80,3.60,3.80,172484
TIG,20180206,3.70,3.70,3.50,3.70,367045
TIG,20180205,3.90,4.00,3.70,3.80,332100
TIG,20180202,4.00,4.00,3.90,4.00,137210
TIG,20180201,4.10,4.10,3.80,4.00,414565
TIG,20180131,3.90,4.20,3.90,4.10,1010352
TIG,20180130,3.70,3.90,3.70,3.90,434315
TIG,20180129,3.70,3.80,3.60,3.70,281910
TIG,20180126,3.70,3.80,3.70,3.70,516335
TIG,20180125,3.80,3.80,3.70,3.80,230900
TIG,20180124,3.80,3.80,3.70,3.80,128800
TIG,20180123,3.80,3.90,3.70,3.80,241700
TIG,20180122,3.80,3.80,3.70,3.70,158800
TIG,20180119,3.80,3.80,3.80,3.80,806175
TIG,20180118,3.90,3.90,3.80,3.90,369723
TIG,20180117,3.90,4.00,3.80,3.80,215504
TIG,20180116,3.90,3.90,3.80,3.90,161200
TIG,20180115,3.80,4.00,3.80,3.90,360903
TIG,20180112,3.90,4.00,3.80,3.80,133768
TIG,20180111,3.80,4.00,3.80,3.90,260020
TIG,20180110,3.90,4.00,3.80,3.90,419748
TIG,20180109,3.80,3.90,3.80,3.90,96720
TIG,20180108,3.90,3.90,3.80,3.90,84200
TIG,20180105,3.90,3.90,3.90,3.90,263408
TIG,20180104,3.90,3.90,3.90,3.90,165165
TIG,20180103,3.90,4.00,3.90,4.00,114920
TIG,20180102,4.00,4.00,3.90,4.00,117090
TIG,20171229,4.00,4.00,3.90,4.00,301495
TIG,20171228,4.00,4.00,3.90,4.00,342600
TIG,20171227,4.10,4.10,4.00,4.10,284684
TIG,20171226,3.90,4.10,3.90,4.10,508600
TIG,20171225,4.00,4.00,3.90,3.90,222740
TIG,20171222,4.00,4.10,4.00,4.00,197732
TIG,20171221,4.00,4.10,4.00,4.10,146994
TIG,20171220,4.20,4.20,4.00,4.00,403230
TIG,20171219,4.20,4.20,4.10,4.10,214360
TIG,20171218,4.10,4.20,4.00,4.20,632200
TIG,20171215,4.00,4.10,4.00,4.10,387250
TIG,20171214,4.00,4.10,4.00,4.10,65110
TIG,20171213,4.00,4.20,4.00,4.10,276864
TIG,20171212,3.90,4.10,3.80,4.00,567710
TIG,20171211,4.00,4.00,3.90,3.90,66500
TIG,20171208,4.20,4.20,3.90,4.00,377410
TIG,20171207,4.00,4.20,4.00,4.20,567972
TIG,20171206,3.80,4.00,3.80,3.90,296466
TIG,20171205,3.90,4.00,3.80,3.80,381400
TIG,20171204,3.90,4.00,3.90,3.90,377865
TIG,20171201,3.80,3.80,3.80,3.80,216205
TIG,20171130,3.80,3.90,3.80,3.80,157256
TIG,20171129,3.80,3.90,3.80,3.90,71900
TIG,20171128,3.90,3.90,3.80,3.90,309771
TIG,20171127,3.80,4.00,3.80,3.90,545040
TIG,20171124,3.70,3.80,3.70,3.80,69550
