<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TIX,20180329,30.00,30.00,30.00,30.00,30
TIX,20180323,29.40,29.40,29.40,29.40,10
TIX,20180320,30.10,33.25,30.10,30.10,30
TIX,20180315,31.10,31.10,31.10,31.10,10
TIX,20180228,32.50,32.50,32.50,32.50,10
TIX,20180223,32.50,32.50,32.50,32.50,10
TIX,20180213,31.90,31.90,31.90,31.90,10
TIX,20180212,34.10,34.10,34.10,34.10,10
TIX,20180130,41.70,41.70,36.30,36.30,20
TIX,20180129,39.00,39.00,39.00,39.00,420
TIX,20180125,36.45,36.45,36.45,36.45,130
TIX,20180122,32.60,36.40,32.60,34.10,30
TIX,20180119,37.70,37.75,34.05,34.05,70
TIX,20180118,35.30,35.30,30.70,35.30,190
TIX,20180116,33.00,33.00,33.00,33.00,10
TIX,20180115,35.00,35.00,34.75,34.75,80
TIX,20180110,37.35,37.35,37.35,37.35,230
TIX,20180105,34.95,34.95,34.95,34.95,210
TIX,20180103,32.70,32.70,32.70,32.70,10
TIX,20180102,36.20,33.90,33.90,33.90,10
TIX,20171226,37.80,38.00,36.20,36.20,130
TIX,20171215,38.80,38.80,35.50,38.80,50
TIX,20171212,36.30,41.60,36.30,36.30,160
TIX,20171211,39.00,39.00,39.00,39.00,500
TIX,20171207,38.50,38.50,35.30,38.50,150
TIX,20171206,37.90,38.00,33.30,36.00,60
TIX,20171205,31.10,35.55,31.00,35.55,810
TIX,20171204,37.55,37.55,33.25,33.25,210
TIX,20171201,35.10,38.90,35.10,35.10,170
TIX,20171130,36.30,41.70,36.30,36.40,50
TIX,20171129,44.40,44.40,38.70,39.00,1500
TIX,20171128,46.00,46.85,41.50,41.50,22800
TIX,20171127,41.95,43.80,38.10,43.80,1550
TIX,20171124,43.73,43.78,40.95,40.95,23010
TIX,20171123,39.05,40.96,35.68,40.95,6500
TIX,20171122,38.32,38.32,38.32,38.32,150
TIX,20171121,35.82,35.82,35.82,35.83,10
TIX,20171120,33.39,33.49,33.39,33.48,25020
TIX,20171117,31.34,31.34,31.34,31.34,200
TIX,20171114,29.38,29.38,29.28,29.29,40
TIX,20171109,28.89,28.89,28.89,28.89,10
TIX,20171108,29.38,29.38,29.38,29.38,10
TIX,20171107,29.58,29.58,29.58,29.58,10
TIX,20171025,30.84,30.84,30.84,30.85,10
TIX,20171023,32.21,32.21,32.21,32.21,500
TIX,20171020,32.21,32.21,32.21,32.21,500
TIX,20171019,33.48,33.48,32.21,32.21,2120
TIX,20171018,33.48,33.48,33.48,33.48,10
TIX,20171012,40.81,40.81,35.73,35.73,260
TIX,20171011,38.17,39.54,38.17,38.17,70
TIX,20171010,38.17,39.54,38.17,38.17,70
TIX,20171006,41.83,41.83,39.10,39.10,450
TIX,20171005,39.10,39.10,36.61,39.10,3520
TIX,20171004,36.56,36.56,36.56,36.56,1200
TIX,20171003,34.16,34.16,34.16,34.17,10000
TIX,20171002,33.92,33.92,33.92,33.92,600
TIX,20170928,33.93,33.93,33.93,33.92,10
TIX,20170831,31.73,31.73,31.73,31.73,10
TIX,20170810,29.67,29.67,29.67,29.68,10
TIX,20170804,31.48,31.48,31.48,31.48,10
TIX,20170803,31.92,31.92,31.92,31.92,10
TIX,20170728,29.88,29.88,29.88,29.87,10
TIX,20170725,31.34,31.34,31.34,31.34,10
TIX,20170724,32.80,32.80,32.80,32.80,10
TIX,20170721,39.93,39.93,34.95,34.95,6810
TIX,20170720,37.34,37.34,37.34,37.34,15960
TIX,20170719,37.24,37.24,34.90,34.90,3360
TIX,20170718,32.65,34.84,32.65,34.85,60
TIX,20170717,32.61,32.61,32.61,32.60,1640
TIX,20170714,30.65,32.75,29.19,30.51,2390
TIX,20170713,31.29,33.44,30.66,30.65,240
TIX,20170712,34.66,34.66,31.24,31.29,890
TIX,20170711,32.41,32.41,28.80,32.41,200
TIX,20170710,30.31,30.31,30.31,30.31,160
TIX,20170707,32.26,32.26,28.35,28.36,600
TIX,20170706,34.42,34.42,30.17,30.16,520
TIX,20170705,30.27,32.17,29.39,32.17,90
TIX,20170704,34.51,34.51,30.06,30.07,660
TIX,20170703,32.26,32.26,32.26,32.26,10
TIX,20170630,26.94,30.16,26.94,30.16,20
TIX,20170627,30.31,30.31,28.17,28.21,210
TIX,20170626,32.54,32.54,30.13,30.12,160
TIX,20170623,32.12,34.96,32.12,32.31,17950
TIX,20170622,34.40,36.86,32.63,32.68,10150
TIX,20170619,34.49,34.49,34.49,34.49,20
TIX,20170616,37.24,37.24,33.66,34.49,130
TIX,20170615,34.82,34.82,34.82,34.82,10
TIX,20170613,32.54,32.54,32.54,32.54,10
TIX,20170612,34.40,34.40,34.40,34.40,10
TIX,20170605,33.38,33.38,33.38,33.38,100
TIX,20170519,35.70,35.70,35.70,35.70,10
TIX,20170516,38.16,38.16,35.70,35.70,20
TIX,20170511,35.70,35.70,35.70,35.70,100
TIX,20170510,38.25,38.25,33.37,33.38,50
TIX,20170509,35.79,35.79,35.79,35.79,500
TIX,20170508,33.56,33.56,33.47,33.47,1560
TIX,20170505,35.33,35.33,35.33,35.33,30
TIX,20170503,38.44,38.44,33.42,33.42,20
TIX,20170428,41.33,41.33,35.93,35.93,1810
TIX,20170427,38.63,38.63,38.63,38.63,190
TIX,20170426,36.11,36.11,36.11,36.12,10
TIX,20170425,29.43,33.79,29.43,33.79,20
TIX,20170420,31.61,31.61,31.61,31.61,2000
TIX,20170413,34.87,34.87,30.68,30.68,30
TIX,20170411,37.88,37.88,32.96,32.96,20
TIX,20170407,39.97,40.11,35.42,35.42,40
TIX,20170405,37.52,37.52,35.10,37.51,20020
TIX,20170404,35.10,35.10,35.10,35.10,50
TIX,20170403,32.82,32.82,32.82,32.82,4010
TIX,20170321,30.68,30.68,30.68,30.68,10
TIX,20170306,32.63,32.63,32.63,32.63,10
TIX,20170303,34.87,34.87,34.87,34.86,10
TIX,20170301,32.58,32.58,32.58,32.59,10
TIX,20170228,34.87,34.87,34.87,34.86,110
TIX,20170224,32.49,37.28,32.49,32.59,9050
TIX,20170223,34.87,34.87,30.78,34.86,140
TIX,20170222,32.58,32.58,32.58,32.59,100
TIX,20170221,34.63,34.63,30.49,30.49,50
TIX,20170220,30.36,32.40,30.31,32.40,1050
TIX,20170216,34.68,34.68,30.31,30.31,2940
TIX,20170215,32.44,32.44,32.44,32.45,20
TIX,20170213,30.68,30.68,30.35,30.35,2910
TIX,20170210,32.44,32.44,30.35,30.35,510
TIX,20170209,32.31,32.31,30.22,30.35,550
TIX,20170203,30.22,30.22,30.22,30.22,30
TIX,20170125,37.00,37.00,32.16,32.17,5060
TIX,20170124,37.14,37.14,34.58,34.58,4010
TIX,20170123,34.72,34.72,34.72,34.72,3000
TIX,20170120,37.33,37.33,32.49,32.49,5110
TIX,20170119,34.91,34.91,34.91,34.91,510
