<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TOT,20180326,5.50,5.50,5.50,5.50,3300
TOT,20180321,4.80,4.80,4.80,4.80,100
TOT,20180319,5.30,5.30,5.30,5.30,100
TOT,20180316,6.20,6.20,6.20,6.20,100
TOT,20180307,9.90,9.90,9.90,9.90,38
TOT,20180302,9.90,9.90,9.90,9.90,20
TOT,20180227,9.90,9.90,9.90,9.90,40
TOT,20180207,9.90,9.90,9.90,9.90,140
TOT,20180119,9.90,9.90,9.90,9.90,200
TOT,20180118,8.50,10.00,8.50,10.00,1000
TOT,20180117,8.50,9.90,8.50,9.90,1500
TOT,20180111,8.70,10.00,8.70,10.00,1150
TOT,20180105,11.90,11.90,10.00,10.00,1100
TOT,20171228,10.60,10.60,10.00,10.00,1600
TOT,20171227,9.30,9.30,9.30,9.30,2510
TOT,20171226,8.10,8.10,8.10,8.10,100
TOT,20171225,7.10,7.10,7.10,7.10,100
TOT,20171222,6.20,6.20,6.20,6.20,100
TOT,20171221,5.40,5.40,5.40,5.40,110
TOT,20171220,4.70,4.70,4.70,4.70,100
TOT,20171219,4.10,4.10,4.10,4.10,100
TOT,20171218,4.60,4.60,4.60,4.60,100
TOT,20171215,5.40,5.40,5.40,5.40,100
TOT,20171214,6.30,6.30,6.30,6.30,10
TOT,20171213,6.30,6.30,6.30,6.30,100
TOT,20171212,7.40,7.40,7.40,7.40,100
TOT,20171208,8.70,8.70,8.70,8.70,2300
TOT,20171207,8.50,8.70,8.50,8.70,3500
TOT,20171206,8.70,8.70,8.70,8.70,1300
TOT,20171204,8.70,8.80,8.70,8.80,5100
TOT,20171201,7.70,7.70,7.70,7.70,100
TOT,20171130,9.00,9.00,9.00,9.00,200
TOT,20171129,8.60,9.80,8.60,9.80,600
TOT,20171128,8.60,8.60,8.60,8.60,100
TOT,20171127,7.50,7.50,7.50,7.50,100
TOT,20171124,6.60,6.60,6.60,6.60,100
TOT,20171123,5.80,5.80,5.80,5.80,100
TOT,20171122,5.10,5.10,5.10,5.10,100
TOT,20171121,5.40,5.40,4.00,4.00,300
TOT,20171117,5.70,5.70,4.30,4.30,400
TOT,20171116,6.30,6.30,4.80,4.80,700
TOT,20171115,5.50,5.50,5.50,5.50,100
TOT,20171114,6.40,6.40,6.40,6.40,100
TOT,20171110,7.50,7.50,7.50,7.50,100
TOT,20171107,6.60,6.60,6.60,6.60,100
TOT,20171106,7.70,7.70,7.70,7.70,100
TOT,20171101,9.00,9.10,9.00,9.10,2800
TOT,20171030,8.50,8.50,8.50,8.50,1100
TOT,20171027,8.50,8.50,8.50,8.50,500
TOT,20171020,8.50,8.50,8.50,8.50,1300
TOT,20171013,8.50,8.50,8.50,8.50,1800
TOT,20171004,8.20,8.30,8.20,8.30,3600
TOT,20170929,9.00,9.00,9.00,9.00,1300
TOT,20170928,9.00,9.00,9.00,9.00,3900
TOT,20170926,9.40,9.40,9.40,9.40,500
TOT,20170925,8.20,8.20,8.20,8.20,100
TOT,20170922,8.50,8.50,8.50,8.50,100
TOT,20170921,9.30,9.30,9.30,9.30,100
TOT,20170920,10.50,10.50,10.30,10.50,4600
TOT,20170918,10.50,10.50,10.50,10.50,1000
TOT,20170915,10.90,10.90,10.90,10.90,100
TOT,20170914,10.00,10.00,8.60,8.80,7400
TOT,20170913,8.60,9.00,8.60,8.60,3300
TOT,20170912,10.00,10.20,8.30,8.30,3100
TOT,20170911,8.90,9.00,8.20,8.20,1500
TOT,20170908,8.50,9.30,8.10,8.10,2900
TOT,20170907,8.10,8.10,8.00,8.00,3300
TOT,20170906,8.00,8.00,8.00,8.00,3100
TOT,20170905,8.10,8.10,8.00,8.00,2900
TOT,20170901,8.00,8.00,8.00,8.00,5000
TOT,20170831,8.00,8.00,8.00,8.00,3400
TOT,20170830,8.00,8.00,8.00,8.00,1000
TOT,20170829,9.10,9.10,9.10,9.10,100
TOT,20170828,8.00,8.20,8.00,8.00,7000
TOT,20170825,8.00,8.20,8.00,8.20,13200
TOT,20170824,7.20,7.20,7.20,7.20,200
TOT,20170823,8.40,8.40,8.40,8.40,2000
TOT,20170822,8.40,9.10,8.40,9.10,800
TOT,20170821,8.00,9.20,7.50,9.10,4000
TOT,20170818,8.10,8.10,8.00,8.00,2800
TOT,20170817,7.10,7.10,7.10,7.10,200
TOT,20170816,6.20,6.20,6.20,6.20,100
TOT,20170815,5.40,5.40,5.40,5.40,100
TOT,20170811,4.70,4.70,4.70,4.70,800
TOT,20170810,4.10,4.10,4.10,4.10,300
TOT,20170809,4.60,4.60,4.60,4.60,100
TOT,20170808,5.00,5.00,5.00,5.00,200
TOT,20170804,5.40,5.40,5.40,5.40,300
TOT,20170802,5.30,6.90,5.30,6.90,1700
TOT,20170801,7.00,7.00,5.80,5.90,3700
TOT,20170731,6.80,6.80,6.80,6.80,100
TOT,20170728,7.90,7.90,7.90,7.90,100
TOT,20170727,7.90,7.90,7.90,7.90,100
TOT,20170726,7.00,7.00,6.30,6.30,3900
TOT,20170725,7.30,7.30,7.30,7.30,800
TOT,20170724,6.40,6.50,6.40,6.40,2900
TOT,20170721,7.50,7.50,7.50,7.50,200
TOT,20170720,8.60,8.60,8.60,8.60,200
TOT,20170719,10.00,10.00,10.00,10.00,10
TOT,20170718,10.00,10.00,10.00,10.00,300
TOT,20170717,11.60,11.60,10.20,10.20,2000
