<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TVT,20180306,22.30,22.30,21.30,22.00,120
TVT,20180305,20.80,22.30,20.80,22.30,1030
TVT,20180302,21.50,22.00,21.10,21.90,1430
TVT,20180301,22.65,22.65,21.50,21.50,46210
TVT,20180228,22.70,22.70,21.50,21.50,10920
TVT,20180227,21.50,21.50,20.80,21.50,6290
TVT,20180226,21.50,22.00,21.30,21.50,26780
TVT,20180223,21.40,21.50,21.20,21.50,18560
TVT,20180222,21.40,21.50,21.40,21.50,34080
TVT,20180221,21.40,21.65,21.40,21.65,220
TVT,20180213,21.20,21.40,21.20,21.40,1070
TVT,20180212,20.70,21.40,19.30,21.40,23950
TVT,20180209,20.60,21.10,20.60,20.70,1370
TVT,20180208,21.00,21.20,21.00,21.00,28920
TVT,20180207,20.70,21.10,20.70,21.00,23110
TVT,20180206,20.40,21.50,19.95,20.40,13040
TVT,20180205,21.95,21.70,21.00,21.45,2070
TVT,20180202,21.95,21.95,21.95,21.95,10
TVT,20180201,21.70,21.70,21.70,21.70,10
TVT,20180131,21.90,21.90,21.50,21.60,12610
TVT,20180130,21.20,21.25,21.20,21.25,9390
TVT,20180129,21.30,21.30,20.50,21.20,23620
TVT,20180126,21.00,21.20,20.60,20.60,3600
TVT,20180125,21.00,21.40,21.00,21.30,16080
TVT,20180122,21.00,21.30,21.00,21.30,6810
TVT,20180119,21.00,21.30,20.90,21.30,10840
TVT,20180118,21.00,21.00,20.85,20.90,11500
TVT,20180117,21.00,21.00,20.90,20.90,4050
TVT,20180116,20.60,21.00,20.60,21.00,1030
TVT,20180115,21.30,21.30,20.50,21.20,17220
TVT,20180112,21.30,21.50,21.30,21.40,900
TVT,20180111,21.85,21.85,21.00,21.30,1010
TVT,20180110,22.00,22.00,21.00,21.30,2180
TVT,20180109,21.10,21.40,20.40,21.40,15290
TVT,20180108,21.40,21.70,20.05,20.70,10080
TVT,20180105,21.55,21.55,21.40,21.40,3310
TVT,20180104,21.40,21.60,21.40,21.60,6070
TVT,20180103,21.30,21.40,21.30,21.35,15080
TVT,20180102,21.40,21.60,21.35,21.40,5980
TVT,20171229,20.55,21.50,20.55,21.10,8020
