<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VE8,20180305,9.90,9.90,9.90,9.90,1800
VE8,20180302,9.90,9.90,9.90,9.90,1000
VE8,20180301,9.90,10.00,9.90,10.00,1000
VE8,20180223,9.10,9.10,9.10,9.10,1300
VE8,20180208,10.00,10.00,10.00,10.00,3800
VE8,20180207,10.10,10.10,10.10,10.10,100
VE8,20180205,10.00,10.00,10.00,10.00,2000
VE8,20180131,9.90,10.00,9.90,10.00,6400
VE8,20180129,9.20,9.30,9.20,9.30,200
VE8,20180126,9.00,9.00,9.00,9.00,100
VE8,20180125,10.00,10.00,9.90,9.90,2100
VE8,20180124,10.00,10.00,9.90,9.90,2200
VE8,20180123,10.60,10.60,9.10,9.10,500
VE8,20180122,10.10,10.10,9.90,9.90,8200
VE8,20180119,10.00,10.90,9.90,10.90,17500
VE8,20180117,11.00,11.00,11.00,11.00,2400
VE8,20180116,11.00,11.00,11.00,11.00,4000
VE8,20180115,11.00,11.00,10.90,11.00,2400
VE8,20180112,12.00,12.00,12.00,12.00,200
VE8,20180111,11.00,11.50,11.00,11.50,1100
VE8,20180110,11.80,11.80,11.80,11.80,100
VE8,20180109,11.00,11.00,11.00,11.00,200
VE8,20180105,11.00,11.90,11.00,11.90,200
VE8,20180104,11.20,11.80,11.20,11.80,600
VE8,20171229,12.50,13.50,11.30,11.80,500
VE8,20171228,12.50,12.50,12.50,12.50,200
VE8,20171227,10.60,11.70,10.60,11.70,200
VE8,20171226,11.00,11.70,11.00,11.70,1100
VE8,20171219,11.50,11.50,11.50,11.50,100
VE8,20171215,10.00,11.20,10.00,11.20,800
VE8,20171214,11.40,11.40,11.00,11.00,9500
VE8,20171213,11.60,11.60,11.00,11.00,1800
VE8,20171212,11.60,11.60,11.00,11.00,2900
VE8,20171211,11.00,11.00,11.00,11.00,1000
VE8,20171208,10.70,10.70,10.70,10.70,700
VE8,20171206,11.70,11.70,11.70,11.70,100
VE8,20171205,11.00,11.00,11.00,11.00,200
VE8,20171204,12.00,12.30,11.00,11.70,400
VE8,20171201,12.40,12.40,11.00,11.60,1600
VE8,20171130,11.70,11.90,11.70,11.90,200
VE8,20171129,12.00,12.00,11.00,11.10,900
VE8,20171128,10.40,11.90,10.40,11.00,1700
VE8,20171127,11.80,12.50,11.50,11.50,1200
VE8,20171124,11.70,12.30,11.70,12.30,5600
VE8,20171120,12.70,13.00,12.70,12.90,500
VE8,20171116,12.70,12.70,12.70,12.70,20
VE8,20171114,12.70,12.70,12.70,12.70,100
VE8,20171110,12.20,12.20,12.20,12.20,100
VE8,20171109,11.50,11.50,11.50,11.50,600
VE8,20171103,11.70,12.70,11.70,12.70,500
VE8,20171102,11.40,12.90,11.40,12.90,1400
VE8,20171101,12.60,12.60,12.60,12.60,400
VE8,20171027,13.50,14.00,13.50,14.00,200
VE8,20171012,12.80,13.20,12.80,13.20,200
VE8,20171011,12.50,12.50,12.50,12.50,200
VE8,20171009,11.70,11.70,11.70,11.70,1600
VE8,20171006,12.90,12.90,12.90,12.90,100
VE8,20171005,12.10,12.10,12.10,12.10,500
VE8,20171004,13.20,13.20,13.10,13.10,200
VE8,20171003,12.20,12.20,12.20,12.20,1000
VE8,20171002,13.80,14.00,12.30,13.20,600
VE8,20170928,13.60,14.00,13.60,13.60,300
VE8,20170927,13.00,13.00,13.00,13.00,100
VE8,20170926,12.60,12.60,12.60,12.60,1500
VE8,20170925,14.00,14.00,14.00,14.00,100
VE8,20170921,12.30,13.30,12.20,13.30,25200
VE8,20170920,12.20,13.10,12.20,13.10,6300
VE8,20170915,13.50,13.50,13.50,13.50,200
VE8,20170911,13.00,14.00,12.00,14.00,2100
VE8,20170907,13.30,13.30,13.30,13.30,2000
VE8,20170901,14.70,14.70,14.70,14.70,100
VE8,20170824,13.20,13.70,13.20,13.70,1000
VE8,20170821,14.00,14.00,12.60,13.90,800
VE8,20170817,12.60,13.50,12.60,13.50,500
VE8,20170816,14.00,14.00,14.00,14.00,100
VE8,20170815,14.00,14.00,13.00,13.00,300
VE8,20170814,14.00,14.90,13.00,13.00,920
VE8,20170810,14.30,14.30,14.30,14.30,100
VE8,20170809,13.50,13.50,13.50,13.50,120
VE8,20170807,14.00,15.20,14.00,15.00,800
VE8,20170803,15.00,15.50,15.00,15.50,400
VE8,20170802,14.90,14.90,14.90,14.90,100
VE8,20170801,13.50,14.50,13.50,14.20,1300
VE8,20170731,13.50,13.50,13.50,13.50,175
VE8,20170727,13.00,13.00,13.00,13.00,100
VE8,20170726,14.70,14.70,12.20,12.20,1200
VE8,20170725,13.90,13.90,12.60,13.50,4200
VE8,20170721,14.00,14.00,14.00,14.00,80
VE8,20170720,14.00,14.00,14.00,14.00,100
VE8,20170719,13.00,14.00,13.00,13.00,400
VE8,20170712,12.10,12.90,12.10,12.90,8300
VE8,20170710,12.00,12.20,12.00,12.20,700
VE8,20170707,12.10,12.10,12.10,12.10,600
VE8,20170706,12.10,12.20,12.10,12.10,11200
VE8,20170705,12.10,13.00,12.10,13.00,16327
VE8,20170704,12.10,12.10,12.10,12.10,5400
VE8,20170703,12.10,12.20,12.10,12.10,10100
VE8,20170630,12.00,12.20,12.00,12.20,7413
VE8,20170629,12.00,12.00,12.00,12.00,100
VE8,20170628,12.00,12.00,12.00,12.00,10220
VE8,20170627,12.00,12.30,12.00,12.30,1300
VE8,20170626,13.00,13.00,12.00,12.00,1000
VE8,20170623,12.00,12.20,12.00,12.20,5100
VE8,20170622,11.80,11.80,11.80,11.80,300
VE8,20170621,12.40,12.40,12.40,12.40,100
VE8,20170620,12.00,12.00,12.00,12.00,200
VE8,20170619,11.80,12.50,11.80,12.50,2100
VE8,20170616,11.80,12.10,11.80,12.10,6200
VE8,20170615,11.00,11.80,11.00,11.80,1900
VE8,20170614,12.50,12.50,12.10,12.10,3500
VE8,20170613,12.00,12.10,11.50,12.10,5967
VE8,20170612,12.00,12.50,12.00,12.50,200
VE8,20170609,12.50,13.20,12.50,13.20,200
VE8,20170608,11.90,12.20,11.90,12.20,1500
VE8,20170607,13.20,13.20,13.20,13.20,100
VE8,20170606,12.00,12.18,11.91,12.00,4630
VE8,20170605,12.09,12.36,11.56,12.09,890
VE8,20170602,12.09,12.09,11.47,12.09,11600
VE8,20170601,12.45,12.45,12.00,12.09,2600
VE8,20170531,12.09,12.09,12.09,12.09,1800
VE8,20170530,12.09,12.09,12.09,12.09,5100
VE8,20170529,12.89,12.89,12.00,12.53,3900
VE8,20170526,13.16,13.34,12.63,12.62,6300
VE8,20170525,12.35,13.33,12.09,13.07,4100
VE8,20170524,12.71,12.71,12.71,12.71,100
VE8,20170523,12.00,12.71,11.91,12.71,20000
VE8,20170522,11.55,11.91,11.55,11.64,46400
VE8,20170519,11.65,11.65,11.65,11.64,100
VE8,20170518,11.47,11.47,11.38,11.38,10000
VE8,20170516,11.11,12.09,11.11,12.09,18400
VE8,20170509,11.11,11.29,11.11,11.29,5100
VE8,20170508,11.11,11.11,11.11,11.11,300
VE8,20170427,10.67,11.20,10.67,11.20,7700
VE8,20170425,11.02,11.20,11.02,11.20,1100
VE8,20170424,10.93,10.93,10.93,10.93,200
VE8,20170421,10.67,11.03,10.67,11.02,4300
VE8,20170420,11.20,11.20,10.67,10.67,200
VE8,20170419,10.66,10.75,10.66,10.76,9300
VE8,20170418,10.66,10.84,10.66,10.84,5000
VE8,20170417,11.65,11.65,11.65,11.64,100
VE8,20170412,11.82,12.89,11.82,12.89,1000
VE8,20170403,11.29,12.00,11.29,12.00,500
VE8,20170330,10.40,10.93,10.31,10.93,1100
VE8,20170328,11.02,11.02,10.93,10.93,200
VE8,20170320,11.20,11.20,11.20,11.20,100
VE8,20170317,10.22,10.22,10.22,10.22,310
VE8,20170316,10.40,11.29,10.40,11.29,400
VE8,20170314,10.04,10.40,9.95,10.40,10700
VE8,20170310,9.78,10.05,9.78,10.04,4100
VE8,20170309,9.96,9.96,9.96,9.96,3500
VE8,20170308,9.95,9.95,9.95,9.96,100
VE8,20170302,10.13,10.13,10.13,10.13,5000
VE8,20170301,10.31,10.31,10.31,10.31,100
VE8,20170228,10.13,10.13,9.51,9.51,7200
VE8,20170227,10.49,10.49,10.49,10.49,500
VE8,20170223,10.67,10.67,10.67,10.67,100
VE8,20170222,10.04,10.49,10.04,10.40,800
VE8,20170215,10.67,11.03,10.49,11.02,9000
VE8,20170213,10.67,10.67,10.67,10.67,5000
VE8,20170209,10.67,10.67,10.67,10.67,300
VE8,20170208,10.84,11.02,10.66,10.67,6000
VE8,20170125,10.58,11.02,10.58,11.02,200
VE8,20170123,9.78,10.31,9.78,10.31,200
VE8,20170111,10.57,10.93,9.51,10.49,2000
VE8,20170109,10.14,10.14,10.14,10.13,100
VE8,20170106,9.87,9.87,9.87,9.87,100
VE8,20170103,9.78,9.78,9.78,9.78,100
VE8,20161229,9.86,9.86,9.86,9.87,100
VE8,20161227,10.58,11.11,9.42,9.42,2700
VE8,20161223,10.67,10.67,8.89,10.31,300
VE8,20161222,9.78,10.76,9.78,9.87,300
VE8,20161221,10.49,10.49,10.49,10.49,100
VE8,20161220,10.13,10.13,10.13,10.13,100
VE8,20161216,10.13,10.40,10.13,10.40,3600
VE8,20161213,11.11,11.11,11.11,11.11,100
VE8,20161208,10.40,10.40,10.40,10.40,100
VE8,20161207,11.11,11.11,9.33,9.60,500
VE8,20161128,10.31,10.31,10.31,10.31,100
VE8,20161124,9.77,9.77,9.77,9.78,2300
VE8,20161123,9.96,10.31,9.78,10.13,2100
VE8,20161122,9.34,9.87,9.34,9.87,1600
VE8,20161111,9.96,9.96,9.96,9.96,200
VE8,20161110,8.80,9.69,8.80,9.69,700
VE8,20161107,9.78,9.78,9.78,9.78,100
VE8,20161101,9.33,9.87,9.33,9.87,900
VE8,20161031,9.33,9.69,9.33,9.69,1000
VE8,20161018,9.51,10.31,9.51,10.13,2100
VE8,20161014,9.33,9.51,9.33,9.51,4000
VE8,20161013,9.24,9.51,9.24,9.33,14100
VE8,20161007,9.06,9.24,9.06,9.24,1200
VE8,20161004,9.06,9.24,8.97,9.24,7900
VE8,20161003,9.33,9.33,9.33,9.33,1000
VE8,20160926,9.06,9.42,8.98,9.42,5500
VE8,20160919,9.42,9.42,9.42,9.42,100
VE8,20160914,9.07,9.33,9.07,9.33,500
VE8,20160913,9.60,9.60,9.51,9.51,1000
VE8,20160912,9.06,9.33,9.06,9.33,200
VE8,20160909,9.33,9.33,9.33,9.33,100
VE8,20160908,9.24,9.24,9.24,9.24,5000
VE8,20160906,8.97,9.24,8.97,9.24,4600
VE8,20160901,9.33,9.33,9.33,9.33,800
VE8,20160831,8.98,9.34,8.98,9.33,1100
VE8,20160830,8.97,9.15,8.97,9.16,2100
VE8,20160826,9.15,9.24,9.06,9.24,3000
VE8,20160824,9.78,9.78,9.33,9.33,2900
VE8,20160823,9.78,9.78,9.33,9.51,3300
VE8,20160822,9.33,9.51,9.33,9.51,2600
VE8,20160818,9.33,9.33,9.33,9.33,200
VE8,20160817,9.42,9.42,9.42,9.42,100
VE8,20160803,9.06,9.51,8.97,9.51,2500
VE8,20160802,9.15,9.33,9.06,9.33,4000
VE8,20160729,9.33,9.60,9.24,9.42,14500
VE8,20160727,9.16,9.51,9.07,9.51,3000
VE8,20160721,9.60,9.60,9.60,9.60,200
VE8,20160720,9.07,9.78,8.98,9.78,1300
VE8,20160719,9.07,9.60,9.07,9.60,500
VE8,20160714,9.69,9.69,9.69,9.69,400
VE8,20160712,9.34,10.76,9.34,10.76,1900
VE8,20160708,9.42,9.78,9.42,9.78,3200
VE8,20160707,9.24,9.42,9.24,9.42,1900
VE8,20160706,8.98,9.24,8.98,9.24,1200
VE8,20160705,9.33,9.42,8.89,9.42,8420
VE8,20160704,9.77,9.77,9.33,9.33,200
VE8,20160701,9.33,9.33,9.33,9.33,200
VE8,20160629,9.33,9.33,9.33,9.33,100
VE8,20160628,9.42,9.42,9.42,9.42,400
VE8,20160623,9.51,9.51,9.51,9.51,100
VE8,20160622,9.42,9.42,9.24,9.33,2700
VE8,20160621,9.60,9.60,9.25,9.24,1700
VE8,20160614,9.87,9.87,9.78,9.78,400
VE8,20160613,9.80,9.96,9.80,9.96,17500
VE8,20160610,9.65,9.72,9.65,9.72,16900
VE8,20160609,9.49,9.49,9.41,9.41,1000
VE8,20160608,9.80,9.80,9.41,9.41,10600
VE8,20160607,9.65,10.19,9.41,9.80,19956
VE8,20160606,9.48,9.48,9.40,9.41,1800
VE8,20160603,9.64,9.64,9.40,9.64,9700
VE8,20160602,9.33,9.57,9.17,9.56,10300
VE8,20160601,9.33,9.33,9.33,9.33,500
VE8,20160530,9.40,9.40,9.40,9.41,100
VE8,20160527,8.94,9.09,8.94,9.09,8000
VE8,20160524,9.25,10.03,9.25,9.72,4700
VE8,20160523,8.94,9.17,8.94,9.17,5000
VE8,20160520,8.86,8.86,8.86,8.86,1200
VE8,20160519,8.78,8.86,8.78,8.86,3718
VE8,20160518,8.39,8.62,8.39,8.62,2600
VE8,20160516,8.31,8.31,8.31,8.31,4900
VE8,20160506,8.23,8.23,8.23,8.23,200
VE8,20160505,8.23,8.23,8.23,8.23,200
VE8,20160504,8.15,8.15,8.07,8.07,4300
VE8,20160429,8.15,8.31,8.15,8.31,6000
VE8,20160426,8.39,8.39,8.39,8.39,7000
VE8,20160425,8.38,8.38,8.38,8.39,300
VE8,20160421,7.84,8.62,7.84,8.62,1800
VE8,20160420,8.63,8.63,8.63,8.62,100
VE8,20160419,8.39,8.39,8.39,8.39,100
VE8,20160415,8.63,9.25,8.63,9.02,800
VE8,20160414,8.46,8.46,8.46,8.47,200
VE8,20160412,8.38,8.62,8.38,8.62,300
VE8,20160407,8.62,8.62,8.62,8.62,300
VE8,20160406,8.39,8.63,8.39,8.62,300
VE8,20160404,8.39,9.02,8.39,9.02,700
VE8,20160401,8.31,8.31,8.31,8.31,5000
VE8,20160331,8.31,8.31,8.31,8.31,4000
VE8,20160330,8.38,8.38,8.38,8.39,400
VE8,20160328,8.38,8.54,8.38,8.54,7300
VE8,20160324,8.62,8.62,8.62,8.62,100
VE8,20160322,8.31,8.55,8.31,8.54,200
VE8,20160316,8.47,8.47,8.39,8.39,1100
VE8,20160315,8.38,8.46,8.30,8.47,400
VE8,20160314,8.55,8.55,8.55,8.54,100
VE8,20160311,8.38,8.38,8.38,8.39,100
VE8,20160309,8.39,8.55,8.39,8.54,400
VE8,20160308,8.47,8.47,8.47,8.47,100
VE8,20160307,8.39,8.47,8.39,8.47,5600
VE8,20160304,8.46,8.46,8.46,8.47,200
VE8,20160303,8.54,8.54,8.54,8.54,100
VE8,20160229,8.46,8.54,8.46,8.54,1100
VE8,20160225,8.54,8.54,8.54,8.54,2300
VE8,20160224,8.62,8.62,8.54,8.54,6300
VE8,20160223,8.39,8.63,8.39,8.62,16000
VE8,20160222,8.31,8.39,8.31,8.39,5300
VE8,20160219,8.39,8.39,8.31,8.31,74900
VE8,20160218,8.31,8.39,8.31,8.39,5800
VE8,20160217,8.31,8.31,8.31,8.31,1600
VE8,20160216,7.84,8.47,7.84,8.23,49100
VE8,20160215,7.76,7.84,7.76,7.84,7200
VE8,20160203,7.52,7.76,7.52,7.76,300
VE8,20160202,7.60,7.60,7.60,7.60,200
VE8,20160201,7.84,7.84,7.84,7.84,100
VE8,20160129,7.53,7.61,7.53,7.60,1800
VE8,20160128,7.44,7.44,7.44,7.45,5800
VE8,20160127,7.61,7.61,7.61,7.60,100
VE8,20160126,7.21,7.52,7.21,7.45,3100
VE8,20160125,7.76,7.76,7.76,7.76,100
VE8,20160122,7.45,7.45,7.21,7.45,13908
VE8,20160120,7.21,7.21,7.21,7.21,700
VE8,20160119,7.14,7.14,7.14,7.13,5800
VE8,20160118,7.13,7.13,6.98,7.06,10600
VE8,20160115,7.13,7.29,7.13,7.29,400
VE8,20160114,7.13,7.37,7.13,7.37,1500
VE8,20160112,7.37,7.37,7.37,7.37,1000
VE8,20160108,7.45,7.45,7.45,7.45,100
VE8,20160105,7.29,7.29,7.29,7.29,2000
VE8,20160104,7.37,7.37,7.29,7.29,2500
VE8,20151230,7.45,7.45,7.21,7.37,2100
VE8,20151228,7.21,7.29,7.21,7.29,4500
VE8,20151225,7.13,7.29,7.13,7.29,4100
VE8,20151221,7.29,7.29,7.29,7.29,1000
VE8,20151217,7.29,7.29,7.29,7.29,100
VE8,20151216,7.21,7.21,7.05,7.13,5800
VE8,20151215,7.13,7.13,7.13,7.13,700
VE8,20151214,7.13,7.21,7.13,7.21,4800
VE8,20151211,7.21,7.21,7.21,7.21,100
VE8,20151209,7.13,7.29,7.13,7.29,10100
VE8,20151208,7.29,7.37,7.22,7.37,5900
VE8,20151203,7.29,7.53,7.29,7.53,200
VE8,20151202,7.13,7.92,7.13,7.92,1300
VE8,20151201,7.13,7.37,7.13,7.37,2900
VE8,20151130,7.21,7.37,7.21,7.37,3400
VE8,20151127,7.52,7.52,7.29,7.29,2100
VE8,20151126,7.60,7.60,7.21,7.21,600
VE8,20151125,7.29,7.29,7.29,7.29,100
VE8,20151124,7.29,7.45,7.29,7.45,300
VE8,20151123,7.37,7.53,7.21,7.45,3500
VE8,20151119,7.45,7.45,7.45,7.45,100
VE8,20151118,7.36,7.44,7.36,7.45,200
VE8,20151116,7.60,7.60,7.60,7.60,200
VE8,20151113,7.29,7.61,7.29,7.60,1500
VE8,20151112,7.61,7.61,7.22,7.53,600
VE8,20151111,7.53,7.53,7.53,7.53,600
VE8,20151110,7.45,7.45,7.45,7.45,1100
VE8,20151109,7.52,7.52,7.36,7.37,1300
VE8,20151105,7.61,7.61,7.61,7.60,100
VE8,20151104,7.45,7.45,7.45,7.45,10400
VE8,20151103,7.45,7.45,7.45,7.45,800
VE8,20151102,7.45,7.45,7.45,7.45,100
VE8,20151030,7.21,7.21,7.21,7.21,1600
VE8,20151029,7.21,7.44,7.21,7.45,500
VE8,20151027,7.13,7.60,7.13,7.60,4100
VE8,20151026,7.05,7.60,7.05,7.60,1300
VE8,20151023,7.45,7.68,7.45,7.68,3000
VE8,20151022,7.45,7.84,7.37,7.84,3700
VE8,20151021,7.45,7.45,7.06,7.37,6800
VE8,20151019,7.06,7.84,7.06,7.84,2100
VE8,20151016,6.82,7.37,6.82,7.37,1100
VE8,20151015,6.74,6.74,6.74,6.74,1900
VE8,20151014,6.66,6.74,6.66,6.74,1400
VE8,20151013,6.66,6.74,6.66,6.74,2900
VE8,20151012,6.74,6.74,6.74,6.74,300
VE8,20151008,6.67,6.90,6.43,6.90,1600
VE8,20151002,6.66,6.97,6.66,6.98,3900
VE8,20151001,6.66,6.66,6.66,6.66,1000
VE8,20150930,6.66,6.66,6.66,6.66,100
VE8,20150929,6.66,6.66,6.66,6.66,2000
VE8,20150928,6.66,6.66,6.66,6.66,2000
VE8,20150925,6.58,6.58,6.58,6.58,9000
VE8,20150924,6.51,6.59,6.51,6.58,4200
VE8,20150923,6.43,6.51,6.35,6.51,1600
VE8,20150921,6.51,6.51,6.43,6.51,17800
VE8,20150918,6.43,6.51,6.43,6.51,2400
VE8,20150917,6.43,6.51,6.35,6.51,1800
VE8,20150916,6.35,6.35,6.35,6.35,5300
VE8,20150915,6.35,6.35,6.35,6.35,1500
VE8,20150914,6.27,6.43,6.27,6.43,600
VE8,20150910,6.27,6.27,6.27,6.27,5000
VE8,20150908,6.27,6.51,6.27,6.51,1000
VE8,20150907,6.51,6.51,6.51,6.51,100
VE8,20150903,6.35,6.35,6.35,6.35,2800
VE8,20150901,6.35,6.35,6.35,6.35,2300
VE8,20150828,6.43,6.43,6.43,6.43,1500
VE8,20150827,6.35,6.35,6.27,6.27,3500
VE8,20150826,6.35,6.35,6.35,6.35,2500
VE8,20150825,6.43,6.43,6.43,6.43,100
VE8,20150824,6.35,6.35,6.27,6.27,6600
VE8,20150819,6.43,6.43,6.43,6.43,4000
VE8,20150818,6.27,6.43,6.27,6.43,900
VE8,20150817,6.27,6.51,6.27,6.51,3700
VE8,20150814,6.27,6.51,6.27,6.51,2700
VE8,20150813,6.43,6.43,6.27,6.43,7100
VE8,20150812,6.35,6.35,6.27,6.27,2200
VE8,20150811,6.35,6.66,6.35,6.66,500
VE8,20150803,6.58,6.74,6.11,6.74,44600
VE8,20150730,6.58,6.74,6.58,6.74,1500
VE8,20150729,6.51,6.66,6.51,6.66,6400
VE8,20150727,6.51,6.82,6.35,6.82,2300
VE8,20150723,6.51,6.82,6.35,6.82,15200
VE8,20150722,6.67,6.90,6.59,6.90,2400
VE8,20150721,6.90,6.98,6.82,6.98,2000
VE8,20150720,6.82,6.82,6.74,6.74,1500
VE8,20150717,6.90,6.90,6.90,6.90,100
VE8,20150714,6.82,7.05,6.82,7.06,1200
VE8,20150710,6.98,7.14,6.98,7.13,13800
VE8,20150709,7.06,7.06,7.06,7.06,4100
VE8,20150708,7.06,7.06,7.06,7.06,100
VE8,20150707,7.05,7.05,6.74,6.82,37900
VE8,20150706,7.21,7.84,7.05,7.21,2202
VE8,20150703,6.98,7.14,6.98,7.13,28800
VE8,20150702,6.98,7.06,6.98,7.06,5000
VE8,20150701,6.90,6.90,6.90,6.90,1000
VE8,20150630,6.74,6.82,6.74,6.82,12000
VE8,20150629,6.82,6.82,6.82,6.82,13700
VE8,20150626,6.90,6.90,6.90,6.90,2000
VE8,20150625,6.90,6.90,6.82,6.82,6500
VE8,20150623,6.82,7.06,6.82,6.98,2200
VE8,20150622,6.51,6.51,6.51,6.51,10000
VE8,20150619,7.06,7.22,6.98,6.98,4000
VE8,20150617,6.98,6.98,6.98,6.98,200
VE8,20150616,6.82,6.98,6.82,6.98,3200
VE8,20150615,6.75,6.98,6.75,6.98,2200
VE8,20150612,6.90,7.06,6.90,7.06,7500
VE8,20150611,6.98,7.37,6.98,7.37,7700
VE8,20150610,6.67,6.98,6.67,6.98,1300
VE8,20150609,6.90,7.05,6.90,7.06,1100
VE8,20150605,7.13,7.21,7.13,7.21,6000
