<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VID,20180330,11.70,11.70,11.70,11.70,17010
VID,20180329,10.25,10.95,10.25,10.95,22070
VID,20180328,10.30,10.40,10.25,10.25,142020
VID,20180327,11.10,11.60,11.00,11.00,76600
VID,20180326,11.95,12.85,11.80,11.80,114740
VID,20180323,13.90,13.90,12.65,12.65,65870
VID,20180322,14.30,14.40,13.00,13.60,93380
VID,20180321,14.40,15.00,13.40,13.70,57730
VID,20180320,14.35,14.40,13.60,14.40,192320
VID,20180319,12.65,13.50,12.00,13.50,145590
VID,20180316,12.65,14.55,12.65,12.65,399460
VID,20180315,13.55,13.60,13.50,13.60,70500
VID,20180314,12.70,12.75,12.60,12.75,64490
VID,20180313,11.20,11.95,11.20,11.95,191210
VID,20180312,11.20,11.20,10.90,11.20,89670
VID,20180309,9.55,10.50,9.55,10.50,137970
VID,20180308,10.00,10.40,9.85,9.85,48640
VID,20180307,10.40,11.30,10.25,10.25,222770
VID,20180306,11.95,11.95,10.50,11.00,266460
VID,20180305,11.20,11.20,11.20,11.20,70200
VID,20180302,10.50,10.50,10.00,10.50,290490
VID,20180301,9.82,9.82,9.82,9.82,73600
VID,20180228,9.18,9.18,9.18,9.18,58120
VID,20180227,8.58,8.58,8.58,8.58,89680
VID,20180226,7.60,8.02,7.60,8.02,94500
VID,20180223,7.55,7.60,7.50,7.50,19020
VID,20180222,7.50,7.55,7.50,7.55,6370
VID,20180221,7.08,7.67,7.08,7.67,10590
VID,20180213,6.90,7.47,6.85,7.45,8520
VID,20180212,7.67,7.67,7.00,7.35,13990
VID,20180209,7.18,7.50,7.18,7.44,9620
VID,20180208,7.64,7.80,7.64,7.64,7020
VID,20180207,7.69,7.69,7.30,7.64,4580
VID,20180206,7.20,7.64,6.69,7.20,16000
VID,20180205,7.19,7.70,7.19,7.19,30580
VID,20180202,7.41,7.70,7.37,7.70,29800
VID,20180201,7.70,7.80,7.41,7.41,9910
VID,20180131,7.00,7.90,7.00,7.78,42960
VID,20180130,6.99,7.46,6.99,7.46,78500
VID,20180129,6.99,6.99,6.60,6.98,59490
VID,20180126,6.90,6.90,6.60,6.84,1590
VID,20180125,6.90,6.90,6.30,6.60,8580
VID,20180122,6.42,6.97,6.40,6.70,12030
VID,20180119,6.97,6.97,6.53,6.85,4090
VID,20180118,6.85,6.99,6.41,6.97,1660
VID,20180117,6.70,6.85,6.70,6.85,34160
VID,20180116,6.50,6.70,6.50,6.70,15040
VID,20180115,6.89,6.89,6.50,6.50,12880
VID,20180112,6.79,6.80,6.70,6.79,12010
VID,20180111,6.85,6.85,6.65,6.79,26440
VID,20180110,6.31,6.80,6.31,6.65,3220
VID,20180109,6.50,7.00,6.50,6.50,41420
VID,20180108,7.40,7.48,6.90,6.90,6000
VID,20180105,6.75,7.22,6.75,7.00,6760
VID,20180104,6.79,7.20,6.75,6.75,53910
VID,20180103,7.25,7.73,7.24,7.25,39150
VID,20180102,7.78,8.40,7.43,7.78,34840
VID,20171229,7.98,7.98,7.90,7.98,124660
VID,20171228,7.40,7.46,7.00,7.46,119440
VID,20171227,6.98,6.98,6.98,6.98,24090
VID,20171226,6.30,6.53,6.15,6.53,36720
