<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNE,20180306,6.51,6.64,6.50,6.63,145730
VNE,20180305,6.44,6.57,6.43,6.55,157760
VNE,20180302,6.50,6.58,6.49,6.50,171450
VNE,20180301,6.51,6.58,6.50,6.52,140270
VNE,20180228,6.60,6.63,6.51,6.58,166370
VNE,20180227,6.56,6.75,6.55,6.60,184570
VNE,20180226,6.69,6.69,6.51,6.57,118690
VNE,20180223,6.70,6.70,6.53,6.65,180340
VNE,20180222,6.70,6.77,6.61,6.61,157340
VNE,20180221,6.70,6.72,6.60,6.71,164790
VNE,20180213,6.50,6.66,6.45,6.60,154950
VNE,20180212,6.28,6.40,6.25,6.40,161610
VNE,20180209,6.05,6.18,5.86,6.10,659260
VNE,20180208,6.49,6.49,6.22,6.30,155400
VNE,20180207,6.40,6.42,6.10,6.42,319660
VNE,20180206,6.00,6.18,5.88,6.00,535720
VNE,20180205,6.32,6.62,6.30,6.32,329480
VNE,20180202,6.70,6.70,6.57,6.62,166210
VNE,20180201,6.94,6.95,6.70,6.70,251450
VNE,20180131,6.50,6.95,6.49,6.94,418810
VNE,20180130,6.68,6.68,6.49,6.50,586980
VNE,20180129,7.10,7.10,6.69,6.70,638050
VNE,20180126,7.20,7.26,7.01,7.08,444650
VNE,20180125,7.37,7.37,7.20,7.20,845350
VNE,20180122,7.60,7.65,7.40,7.40,434690
VNE,20180119,7.49,7.53,7.38,7.50,487650
VNE,20180118,7.55,7.55,7.33,7.45,300210
VNE,20180117,7.78,7.82,7.55,7.55,542000
VNE,20180116,7.80,7.85,7.63,7.69,539500
VNE,20180115,7.98,7.98,7.71,7.84,491570
VNE,20180112,7.90,7.99,7.87,7.90,399460
VNE,20180111,7.90,7.99,7.83,7.96,1566900
VNE,20180110,7.83,8.02,7.83,7.88,602120
VNE,20180109,8.01,8.05,7.80,7.85,610650
VNE,20180108,8.16,8.18,7.86,8.04,699430
VNE,20180105,8.00,8.28,7.95,8.16,1301580
VNE,20180104,7.57,7.86,7.57,7.86,1269960
VNE,20180103,7.49,7.70,7.46,7.50,394330
VNE,20180102,7.46,7.58,7.41,7.46,242290
VNE,20171229,7.30,7.59,7.20,7.59,375360
VNE,20171228,7.41,7.42,7.30,7.31,183710
VNE,20171227,7.47,7.60,7.40,7.48,169950
VNE,20171226,7.65,7.69,7.49,7.49,309850
VNE,20171225,7.38,7.40,7.34,7.39,258610
VNE,20171222,7.42,7.42,7.33,7.37,125950
VNE,20171221,7.46,7.46,7.31,7.44,167290
VNE,20171220,7.31,7.59,7.31,7.46,360120
VNE,20171219,7.53,7.57,7.21,7.31,582980
VNE,20171218,7.59,7.65,7.56,7.56,474640
VNE,20171215,7.68,7.68,7.52,7.59,251390
VNE,20171214,7.26,7.71,7.26,7.68,1454670
VNE,20171213,7.21,7.24,7.19,7.21,177720
VNE,20171212,7.21,7.38,7.12,7.20,301840
VNE,20171211,7.31,7.44,7.20,7.19,485460
VNE,20171208,7.38,7.41,7.31,7.31,148250
VNE,20171207,7.46,7.59,7.36,7.38,616550
VNE,20171206,7.50,7.54,7.45,7.46,287750
VNE,20171205,7.64,7.64,7.51,7.50,293530
VNE,20171204,7.64,7.72,7.58,7.60,343960
VNE,20171201,7.58,7.78,7.57,7.64,250220
VNE,20171130,7.61,7.61,7.51,7.58,736000
VNE,20171129,7.73,7.75,7.60,7.61,849510
VNE,20171128,7.82,7.82,7.70,7.73,364720
