<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VPS,20180306,17.80,17.80,17.80,17.80,20
VPS,20180305,17.00,17.85,17.00,17.85,100
VPS,20180302,17.00,17.00,17.00,17.00,10
VPS,20180301,16.35,17.00,16.35,17.00,20
VPS,20180228,16.85,16.85,16.75,16.75,750
VPS,20180227,16.85,16.85,16.85,16.85,40
VPS,20180226,16.70,17.60,16.70,17.60,20
VPS,20180223,16.65,17.65,16.65,17.65,20
VPS,20180221,16.55,16.55,16.55,16.55,10
VPS,20180209,16.75,17.55,16.75,17.55,1030
VPS,20180208,17.85,18.00,16.30,18.00,1430
VPS,20180207,17.50,17.50,17.50,17.50,500
VPS,20180206,17.60,18.80,16.40,18.80,110
VPS,20180205,17.60,17.60,16.55,17.60,1010
VPS,20180202,17.05,17.60,15.90,17.60,250
VPS,20180201,17.05,17.05,17.05,17.05,300
VPS,20180130,17.10,18.00,17.10,18.00,20
VPS,20180126,17.05,18.00,17.00,18.00,280
VPS,20180119,17.00,17.00,17.00,17.00,10
VPS,20180118,17.35,17.60,17.35,17.60,1000
VPS,20180117,17.50,18.65,17.50,18.65,130
VPS,20180116,17.50,17.50,17.00,17.50,1620
VPS,20180115,17.50,17.50,16.60,17.50,1060
VPS,20180112,17.55,17.55,16.60,17.55,3440
VPS,20180111,17.55,17.55,17.55,17.55,10
VPS,20180110,16.50,16.50,16.50,16.50,1250
VPS,20180109,18.20,18.20,17.20,17.20,3500
VPS,20180108,18.15,18.15,18.15,18.15,20
VPS,20180105,18.15,18.15,18.15,18.15,30
VPS,20180104,18.15,18.15,18.15,18.15,1010
VPS,20180103,19.50,19.50,19.50,19.50,20
VPS,20180102,19.00,20.30,19.00,19.00,110
VPS,20171229,17.10,19.00,17.00,19.00,2010
VPS,20171227,17.95,17.95,17.90,17.95,830
VPS,20171226,17.90,17.90,17.90,17.90,20
VPS,20171225,18.70,18.70,18.00,18.00,340
VPS,20171221,17.55,17.55,17.55,17.55,10
VPS,20171220,20.45,20.45,18.60,18.60,2690
VPS,20171219,20.50,20.50,20.00,20.00,1110
VPS,20171218,19.95,19.95,19.95,19.95,10
VPS,20171215,17.60,19.45,17.60,19.45,520
VPS,20171213,18.50,18.85,18.50,18.85,330
VPS,20171212,19.85,19.85,19.85,19.85,10
VPS,20171211,19.45,19.45,19.45,19.45,10
VPS,20171208,18.60,19.45,18.60,19.30,1040
VPS,20171207,19.00,19.00,19.00,19.00,10
VPS,20171206,18.50,19.70,17.30,18.95,150
VPS,20171205,17.60,18.50,16.40,18.50,1640
VPS,20171204,17.60,17.60,17.60,17.60,170
VPS,20171201,17.65,17.65,17.60,17.60,230
VPS,20171130,18.20,18.20,18.20,18.20,1620
VPS,20171129,19.50,19.50,19.50,19.50,10
VPS,20171128,19.45,19.45,19.45,19.45,30
VPS,20171127,19.45,19.45,19.45,19.45,10
VPS,20171123,18.80,18.80,18.80,18.80,10
VPS,20171122,19.00,19.00,18.00,18.50,580
VPS,20171121,18.85,18.85,18.85,18.85,1020
VPS,20171120,18.85,19.45,18.85,18.85,1670
VPS,20171117,18.85,18.85,18.85,18.85,10
VPS,20171116,17.65,17.65,17.65,17.65,10
VPS,20171115,18.80,18.80,18.80,18.80,2000
VPS,20171114,18.79,18.79,18.79,18.80,10
VPS,20171102,17.79,17.79,17.79,17.79,500
VPS,20171101,18.17,18.17,17.79,17.79,750
VPS,20171005,19.13,19.13,19.13,19.13,10
VPS,20170929,18.65,18.65,18.65,18.65,40
VPS,20170926,19.13,19.13,19.13,19.13,11000
VPS,20170925,19.32,19.32,19.32,19.32,13560
VPS,20170922,19.04,19.33,19.04,19.32,1980
VPS,20170921,19.04,19.04,19.04,19.04,2000
VPS,20170918,17.69,19.03,17.69,19.04,600
VPS,20170914,18.66,18.66,18.66,18.65,10
VPS,20170912,17.89,17.89,17.89,17.89,30
VPS,20170911,17.89,17.89,17.89,17.89,1560
VPS,20170831,19.13,19.13,19.13,19.13,600
VPS,20170829,19.13,19.13,19.13,19.13,100
VPS,20170816,19.13,19.13,19.13,19.13,10
VPS,20170815,18.65,18.65,18.65,18.65,1170
VPS,20170814,18.75,18.75,18.65,18.65,3440
VPS,20170811,19.03,19.03,18.75,18.75,500
VPS,20170810,19.23,19.23,19.13,19.13,1840
VPS,20170809,19.13,19.13,19.13,19.13,2290
VPS,20170808,19.13,19.51,19.13,19.13,3720
VPS,20170803,19.33,19.61,19.33,19.61,710
VPS,20170802,18.18,19.28,18.18,19.28,310
VPS,20170801,19.28,19.28,19.28,19.28,1010
VPS,20170728,18.94,20.76,18.94,20.71,3640
VPS,20170727,18.75,20.09,18.75,20.09,2020
VPS,20170726,20.09,20.09,19.37,20.09,2330
VPS,20170725,19.38,19.38,19.38,19.37,20
VPS,20170724,20.19,20.19,18.18,18.18,20
VPS,20170721,19.52,19.52,19.52,19.52,40
VPS,20170718,20.57,21.05,19.61,20.95,4970
VPS,20170713,21.04,21.04,21.04,21.05,10
VPS,20170712,21.52,22.00,21.52,21.52,70
VPS,20170711,21.53,21.53,21.53,21.52,10
VPS,20170710,21.04,21.52,19.61,20.86,170
VPS,20170707,19.90,20.71,19.61,20.71,7730
VPS,20170706,19.23,19.90,19.23,19.90,3760
VPS,20170705,19.52,19.52,19.13,19.23,480
VPS,20170704,19.52,19.90,18.27,19.90,2530
VPS,20170703,18.94,19.23,17.89,19.23,360
VPS,20170630,19.04,19.23,18.94,18.94,4420
VPS,20170629,18.84,18.94,18.17,18.94,1400
VPS,20170628,18.94,18.94,18.94,18.94,30
VPS,20170622,18.17,19.04,18.17,19.04,1080
VPS,20170621,18.28,18.28,18.28,18.27,10
VPS,20170620,18.75,18.75,17.32,17.32,1250
VPS,20170619,17.89,19.23,17.89,18.18,180
VPS,20170615,19.13,19.13,19.13,19.13,300
VPS,20170614,17.75,18.99,17.75,18.99,60
VPS,20170613,18.18,18.85,18.18,18.85,60
VPS,20170609,18.28,19.04,18.28,19.04,220
VPS,20170608,18.28,19.09,18.28,19.09,400
VPS,20170607,19.09,19.09,19.09,19.09,20
VPS,20170605,19.08,19.08,19.08,19.09,10
VPS,20170602,19.13,19.13,18.17,18.65,1190
VPS,20170531,18.65,19.32,18.65,19.32,1460
VPS,20170530,18.46,18.46,18.00,18.46,1160
VPS,20170526,18.92,18.92,18.00,18.92,260
VPS,20170525,18.00,19.34,18.00,19.34,2730
VPS,20170524,18.47,19.34,18.05,19.34,1320
VPS,20170523,19.39,19.39,19.39,19.39,30
VPS,20170522,19.39,19.39,19.39,19.39,10
VPS,20170519,18.93,19.34,18.93,19.34,30
VPS,20170518,19.39,19.39,19.39,19.39,10
VPS,20170517,18.19,18.19,18.19,18.19,20
VPS,20170515,19.39,19.39,19.39,19.39,100
VPS,20170512,18.19,19.39,18.19,19.39,150
VPS,20170510,18.19,19.39,18.19,19.39,740
VPS,20170509,18.18,19.38,18.18,19.39,510
VPS,20170508,19.29,19.29,18.18,19.29,60
VPS,20170505,18.46,19.38,18.18,18.46,1870
VPS,20170504,18.19,18.46,18.19,18.46,30
VPS,20170503,18.09,18.37,18.09,18.37,1010
VPS,20170428,18.00,18.46,18.00,18.46,2060
VPS,20170427,18.46,18.46,18.00,18.46,1060
VPS,20170425,18.83,18.83,18.83,18.83,10
VPS,20170424,18.37,18.74,18.37,18.74,420
VPS,20170421,18.00,18.00,18.00,18.00,2000
VPS,20170420,18.09,18.46,18.00,18.46,1770
VPS,20170419,18.46,18.46,18.00,18.00,1650
VPS,20170418,18.46,18.46,18.46,18.46,120
VPS,20170417,17.54,18.47,17.45,18.46,1920
VPS,20170414,18.28,18.64,18.28,18.65,210
VPS,20170413,18.46,18.60,18.00,18.46,730
VPS,20170412,18.69,18.69,17.68,18.28,740
VPS,20170411,18.09,18.46,18.09,18.46,510
VPS,20170410,18.46,18.88,18.46,18.74,1100
VPS,20170407,17.81,19.29,17.81,18.46,370
VPS,20170405,18.18,18.46,18.18,18.46,210
VPS,20170404,18.46,18.46,18.46,18.46,10
VPS,20170403,18.46,18.46,18.00,18.46,2910
VPS,20170331,18.65,18.92,18.65,18.92,11900
VPS,20170330,17.81,18.00,17.81,18.00,210
VPS,20170329,18.92,18.92,18.92,18.92,10
VPS,20170328,17.91,18.46,17.91,18.46,520
VPS,20170327,17.68,18.47,17.68,18.46,810
VPS,20170324,17.81,18.46,17.81,18.19,920
VPS,20170323,19.39,19.39,18.47,18.46,5040
VPS,20170322,19.39,19.39,19.39,19.39,4050
VPS,20170321,19.76,19.85,18.47,19.85,150
VPS,20170320,19.80,19.80,19.75,19.76,970
VPS,20170317,19.94,20.03,19.89,20.03,1040
VPS,20170313,19.39,20.13,19.39,20.12,2060
VPS,20170310,19.39,19.39,19.39,19.39,4050
VPS,20170309,19.39,19.39,19.39,19.39,60
VPS,20170308,18.92,19.39,18.92,19.39,4200
VPS,20170306,19.39,19.39,18.97,18.97,4020
VPS,20170303,19.39,19.39,19.39,19.39,730
VPS,20170302,19.39,19.39,19.39,19.39,500
VPS,20170301,19.38,19.38,18.69,19.39,2260
VPS,20170228,20.03,20.12,20.03,20.03,3750
VPS,20170224,20.03,20.12,20.03,20.03,1530
VPS,20170223,20.17,20.17,20.03,20.03,4510
VPS,20170222,20.03,20.03,20.03,20.03,4130
VPS,20170221,19.85,20.21,19.85,20.03,1990
VPS,20170220,19.75,20.03,19.75,20.03,5310
VPS,20170217,20.03,20.21,18.92,19.20,8970
VPS,20170216,19.29,20.03,19.29,20.03,5100
VPS,20170215,20.03,20.21,20.03,20.03,3850
VPS,20170214,18.93,20.04,18.93,20.03,170
VPS,20170213,20.31,20.31,19.76,19.76,20
VPS,20170210,19.94,19.94,19.94,19.94,10
VPS,20170209,18.74,19.94,18.65,19.94,2310
VPS,20170208,19.20,19.20,19.02,19.02,630
VPS,20170207,19.20,19.20,18.46,19.11,150
VPS,20170206,19.02,19.20,19.02,19.20,4990
VPS,20170203,19.57,20.30,19.01,19.02,120
VPS,20170202,20.12,20.12,20.12,20.12,10
VPS,20170125,18.83,19.84,18.83,18.97,4510
VPS,20170124,18.92,18.92,17.63,18.92,1860
VPS,20170123,19.20,19.20,18.00,18.92,4110
VPS,20170120,17.26,18.00,17.08,18.00,5210
VPS,20170119,18.00,18.00,18.00,18.00,200
VPS,20170118,17.63,17.63,17.54,17.54,400
VPS,20170117,17.91,18.46,17.08,18.46,3240
VPS,20170116,17.91,17.91,17.91,17.91,3050
VPS,20170113,18.00,18.00,17.91,17.91,3100
VPS,20170112,17.63,18.00,17.63,18.00,4500
VPS,20170111,18.01,18.01,17.08,17.08,3020
VPS,20170110,16.62,16.99,16.62,16.99,3110
VPS,20170109,17.54,17.54,16.99,16.99,3130
VPS,20170106,16.71,17.08,16.71,17.08,20
VPS,20170105,16.66,17.08,16.66,16.99,3340
VPS,20170104,16.99,16.99,16.66,16.66,3310
VPS,20170103,17.08,17.08,17.08,17.08,10
VPS,20161229,17.17,17.17,16.62,16.62,60
VPS,20161227,16.99,16.99,15.97,16.71,2570
VPS,20161226,16.71,16.71,16.61,16.71,5020
VPS,20161223,16.71,16.85,16.07,16.06,7660
VPS,20161222,17.08,17.26,16.24,16.99,5550
VPS,20161221,17.45,17.45,15.32,17.26,520
VPS,20161220,17.26,17.26,16.06,16.43,8420
VPS,20161219,17.36,17.36,16.16,17.26,11060
VPS,20161216,17.45,18.00,15.97,17.36,10840
VPS,20161215,16.84,17.54,16.84,16.85,7940
VPS,20161214,18.37,18.37,17.12,18.09,8920
VPS,20161213,18.74,18.74,16.34,18.37,2210
VPS,20161212,17.81,17.81,15.87,17.54,160
VPS,20161209,16.89,16.89,16.89,16.89,10
VPS,20161208,16.16,16.71,15.88,16.71,4830
VPS,20161207,16.62,16.62,15.97,16.25,1420
VPS,20161206,17.91,17.91,15.88,15.88,520
VPS,20161205,17.36,17.36,16.80,16.80,1270
VPS,20161202,15.45,16.25,15.45,16.25,30
VPS,20161201,16.95,16.95,15.01,15.19,930
VPS,20161130,16.69,16.69,15.28,15.89,2180
VPS,20161129,16.34,16.65,15.63,15.72,2330
VPS,20161128,17.49,17.49,15.63,15.63,2330
VPS,20161125,16.82,18.45,16.77,16.78,2010
VPS,20161124,18.10,18.10,17.93,17.92,260
VPS,20161123,18.46,18.46,18.19,18.28,2490
VPS,20161122,18.37,18.37,17.22,18.37,50
VPS,20161121,18.37,18.37,17.26,18.37,330
VPS,20161118,18.46,18.50,18.46,18.50,5000
VPS,20161117,17.66,18.50,17.66,18.50,710
VPS,20161116,18.54,18.54,18.45,18.54,6010
VPS,20161115,17.39,18.54,17.39,18.54,110
VPS,20161114,18.54,18.54,17.21,18.45,170
VPS,20161111,18.45,18.45,18.45,18.45,10
VPS,20161110,18.01,18.37,16.51,18.01,16330
VPS,20161109,17.22,17.66,17.22,17.66,4290
VPS,20161108,15.89,17.31,15.89,17.31,740
VPS,20161107,15.89,16.68,15.71,16.60,4440
VPS,20161104,16.95,17.66,16.86,16.86,2140
VPS,20161103,18.54,18.54,17.17,18.10,13100
VPS,20161102,18.55,18.55,18.46,18.45,210
VPS,20161101,17.13,18.45,17.04,18.37,4370
VPS,20161031,17.44,18.72,17.44,18.32,3070
VPS,20161028,19.00,19.00,17.76,18.72,7610
VPS,20161027,18.79,18.92,18.73,18.73,8960
VPS,20161026,18.98,18.98,18.19,18.79,14380
VPS,20161025,20.12,20.12,18.67,19.55,19260
VPS,20161024,20.50,20.50,19.49,20.06,5090
VPS,20161021,20.62,20.62,19.42,19.55,21100
VPS,20161020,19.36,19.36,19.30,19.36,49270
VPS,20161019,18.10,18.10,18.10,18.10,4880
VPS,20161018,16.93,16.93,16.90,16.93,23450
VPS,20161017,15.89,15.89,15.83,15.83,900
VPS,20161014,15.46,15.90,15.46,15.89,320
VPS,20161013,16.49,17.15,15.39,16.37,1310
VPS,20161012,15.32,16.52,15.32,16.49,4000
VPS,20161011,15.45,15.45,15.45,15.45,100
VPS,20161007,15.39,15.39,15.39,15.39,30
VPS,20161005,15.39,15.58,15.39,15.58,60
VPS,20161004,14.64,14.76,14.64,14.76,200
VPS,20160930,14.51,14.51,14.51,14.51,1000
VPS,20160928,14.94,14.94,14.94,14.95,170
VPS,20160927,14.89,14.89,14.89,14.88,890
VPS,20160926,15.39,15.39,15.39,15.39,360
VPS,20160923,14.88,15.38,14.88,15.39,1180
VPS,20160922,14.88,14.88,14.88,14.88,1200
VPS,20160921,15.45,15.45,15.45,15.45,60
VPS,20160919,15.71,15.71,14.89,15.58,100
VPS,20160915,15.20,15.58,15.20,15.55,420
VPS,20160914,14.76,14.76,14.76,14.76,820
VPS,20160909,15.33,15.83,14.38,15.83,5880
VPS,20160908,16.40,16.40,15.32,15.33,12400
VPS,20160907,16.14,16.46,15.70,16.46,4580
VPS,20160905,15.14,15.70,15.14,15.70,580
VPS,20160901,16.08,16.08,15.01,15.01,5380
VPS,20160831,16.33,16.33,16.08,16.08,1110
VPS,20160830,16.09,16.09,16.09,16.08,40
VPS,20160829,16.15,16.15,16.15,16.15,10
VPS,20160826,16.33,16.33,15.57,15.58,1600
VPS,20160825,16.08,16.08,15.89,15.89,570
VPS,20160824,16.27,16.27,16.08,16.08,510
VPS,20160823,15.45,15.45,15.45,15.45,320
VPS,20160822,16.08,16.08,16.08,16.08,1350
VPS,20160819,16.52,16.52,15.83,16.27,1080
VPS,20160818,16.46,16.46,15.83,15.83,310
VPS,20160817,16.40,16.46,16.40,16.46,500
VPS,20160816,15.76,16.71,15.76,16.65,1320
VPS,20160815,15.76,16.90,15.76,16.90,6950
VPS,20160812,16.08,16.08,16.08,16.08,460
VPS,20160811,15.14,15.70,14.95,15.70,3410
VPS,20160810,15.14,16.59,15.14,16.02,930
VPS,20160809,15.77,15.77,15.14,15.77,720
VPS,20160808,15.83,15.83,15.77,15.77,850
VPS,20160805,16.71,16.71,15.76,15.77,4050
VPS,20160804,16.40,16.90,16.40,16.90,310
VPS,20160802,16.84,16.84,16.84,16.84,10
VPS,20160801,17.09,17.22,15.70,16.65,3620
VPS,20160729,15.83,16.84,15.83,16.84,1510
VPS,20160728,15.33,16.97,15.33,16.97,110
VPS,20160727,17.59,17.59,16.14,16.15,3980
VPS,20160726,17.66,17.66,16.14,17.34,1010
VPS,20160725,15.83,17.29,15.83,17.28,3750
VPS,20160722,16.97,16.97,16.97,16.97,100
VPS,20160721,16.97,16.97,16.97,16.97,10
VPS,20160720,16.97,16.97,16.97,16.97,100
VPS,20160719,16.15,17.22,16.15,17.22,20
VPS,20160718,16.84,16.84,16.84,16.84,10
VPS,20160715,17.03,17.28,15.77,15.77,1860
VPS,20160714,17.90,17.90,16.21,16.21,1940
VPS,20160713,17.20,17.20,17.20,17.20,11250
VPS,20160712,16.38,17.56,16.09,16.09,2190
VPS,20160711,17.32,18.14,16.21,16.97,1540
VPS,20160708,17.62,17.62,17.38,17.38,8450
VPS,20160707,18.96,18.96,16.50,18.67,3870
VPS,20160706,17.73,17.73,17.50,17.73,10580
VPS,20160705,16.62,16.62,16.62,16.62,2080
VPS,20160704,15.39,15.56,14.75,15.57,6110
VPS,20160701,13.63,14.57,13.63,14.57,4150
VPS,20160630,14.51,14.57,13.45,13.63,1230
