<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
API,20180417,27.10,28.80,26.90,28.70,5900
API,20180416,28.90,28.90,28.90,28.90,200
API,20180413,28.20,29.90,27.90,28.90,3400
API,20180412,28.20,28.20,28.20,28.20,500
API,20180411,28.40,29.90,26.80,26.80,900
API,20180410,26.80,28.00,26.80,27.90,700
API,20180409,26.70,28.00,26.60,27.90,6000
API,20180406,26.60,27.50,26.10,26.90,4600
API,20180405,26.00,26.10,26.00,26.10,200
API,20180404,26.00,26.20,26.00,26.00,400
API,20180403,25.10,26.50,25.10,26.10,700
API,20180402,26.00,26.50,25.70,26.50,800
API,20180330,25.20,28.00,25.20,28.00,6000
API,20180329,25.50,27.90,25.50,27.40,2700
API,20180328,26.10,27.50,26.10,27.30,1300
API,20180327,25.60,27.90,25.60,27.50,600
API,20180326,26.10,27.60,26.10,27.60,2900
API,20180323,28.90,28.90,28.90,28.90,100
API,20180322,25.60,28.90,25.60,28.90,2000
API,20180321,25.40,27.50,24.50,27.50,5600
API,20180320,22.30,25.50,22.30,25.50,1200
API,20180319,22.90,23.20,19.20,23.20,1400
API,20180316,21.10,25.00,21.10,21.10,29600
API,20180315,25.00,25.00,23.40,23.40,30300
API,20180314,28.10,28.50,26.00,26.00,36700
API,20180313,29.00,29.00,28.80,28.80,1700
API,20180312,29.20,29.20,29.20,29.20,300
API,20180309,28.50,29.70,28.50,29.60,3000
API,20180308,29.50,31.00,29.50,30.50,7500
API,20180307,29.20,29.80,29.20,29.80,300
API,20180306,29.20,29.70,29.20,29.70,600
API,20180305,29.20,29.90,29.20,29.90,300
API,20180302,29.10,30.00,29.10,30.00,300
API,20180301,29.50,30.90,29.50,30.90,300
API,20180228,29.60,32.00,29.10,31.90,18300
API,20180227,29.10,31.60,29.10,31.60,1800
API,20180226,29.10,29.50,29.10,29.30,900
API,20180223,29.90,31.80,27.70,30.00,2600
API,20180222,32.80,32.80,29.20,29.20,1500
API,20180221,32.00,34.30,29.70,30.50,2200
API,20180213,28.20,31.20,28.20,31.20,2200
API,20180212,28.60,28.60,28.60,28.60,200
API,20180209,28.60,28.80,28.10,28.80,800
API,20180208,28.00,28.00,27.80,28.00,7200
API,20180207,31.60,31.60,30.70,30.70,200
API,20180206,28.80,28.80,28.80,28.80,200
API,20180205,29.90,29.90,29.90,29.90,100
API,20180202,29.90,29.90,29.90,29.90,100
API,20180201,29.50,31.30,29.50,29.90,400
API,20180131,27.20,31.90,27.20,31.90,5500
API,20180130,27.20,29.40,27.20,29.40,500
API,20180129,29.50,29.90,29.50,29.60,1200
API,20180126,25.30,29.70,25.30,29.70,7800
API,20180125,26.10,28.20,26.10,27.90,26700
API,20180124,28.90,31.20,26.40,27.70,8900
API,20180123,26.40,28.90,26.40,28.40,4000
API,20180122,29.10,29.10,29.10,29.10,100
API,20180119,28.90,28.90,28.90,28.90,300
API,20180118,28.90,28.90,28.90,28.90,100
API,20180117,29.10,29.10,28.90,28.90,250
API,20180116,28.90,28.90,28.90,28.90,200
API,20180115,29.00,29.00,28.50,28.50,800
API,20180112,29.00,29.00,29.00,29.00,200
API,20180111,29.30,29.30,28.90,28.90,1800
API,20180109,29.50,30.00,29.10,29.30,3200
API,20180108,30.00,30.00,29.80,29.80,5900
API,20180105,29.70,30.00,29.70,30.00,1300
API,20180104,30.00,30.00,30.00,30.00,1100
API,20180103,28.50,29.30,28.50,29.30,300
API,20180102,27.90,30.00,27.90,30.00,10200
API,20171229,30.20,30.90,30.20,30.90,1100
API,20171228,27.80,31.30,27.80,31.30,510
API,20171227,27.90,30.80,27.90,30.80,1100
API,20171226,28.60,30.70,28.60,30.70,300
API,20171225,31.40,31.40,31.40,31.40,240
API,20171222,29.20,31.60,29.20,31.60,12300
API,20171221,29.20,30.10,29.20,30.10,900
API,20171220,30.00,30.00,30.00,30.00,3000
API,20171219,31.70,31.70,31.70,31.70,300
API,20171218,31.00,31.00,29.70,29.70,300
API,20171215,29.20,29.60,29.20,29.60,300
API,20171214,29.30,29.30,29.30,29.30,300
API,20171213,29.20,29.30,29.20,29.20,2300
API,20171212,29.60,29.70,28.20,29.70,10700
API,20171211,28.40,30.00,28.40,29.70,1400
API,20171208,30.50,30.50,30.50,30.50,300
API,20171207,29.60,31.50,28.00,29.70,5700
API,20171206,30.70,30.70,29.60,29.80,1300
API,20171205,29.60,29.90,29.60,29.90,200
API,20171204,29.90,29.90,29.90,29.90,100
API,20171201,29.70,30.00,29.70,29.70,300
API,20171130,28.30,30.20,28.30,28.60,700
API,20171129,30.20,30.20,29.90,29.90,200
API,20171128,31.30,31.30,30.00,30.00,1710
API,20171127,31.50,31.50,31.50,31.50,200
API,20171124,27.60,31.20,27.60,29.80,300
API,20171123,28.20,30.00,28.20,30.00,300
API,20171122,30.00,30.00,30.00,30.00,400
API,20171121,29.30,31.70,28.70,29.10,9800
API,20171120,28.80,31.90,28.80,31.80,620
API,20171117,28.10,31.80,28.10,31.80,500
API,20171116,28.70,30.00,28.70,30.00,2000
API,20171115,28.20,30.00,28.20,30.00,2200
API,20171114,30.10,30.20,28.60,29.90,1800
API,20171113,27.70,30.20,27.70,30.10,900
API,20171110,29.10,30.30,29.10,30.30,600
API,20171109,29.90,30.90,28.40,30.40,2400
API,20171108,27.40,29.90,27.40,29.90,800
API,20171107,27.30,30.00,27.30,30.00,400
API,20171106,29.90,30.00,29.90,30.00,1200
API,20171103,31.00,31.00,30.80,30.80,600
API,20171102,31.40,31.40,30.20,31.10,1500
API,20171101,31.50,31.90,29.30,31.70,1900
API,20171031,32.30,32.30,32.30,32.30,4300
API,20171030,29.50,31.50,29.50,31.40,500
API,20171027,31.00,31.90,29.40,31.90,3100
API,20171026,29.30,32.00,29.30,32.00,1600
API,20171024,32.90,32.90,28.60,30.90,600
API,20171023,28.60,31.00,28.60,30.90,400
API,20171020,33.40,33.40,31.00,31.00,2200
API,20171019,28.30,30.80,28.30,30.40,500
API,20171018,30.00,30.70,30.00,30.70,1500
API,20171017,31.00,31.00,29.10,30.60,500
API,20171016,29.00,31.40,29.00,31.40,500
API,20171013,31.10,31.50,31.10,31.50,1200
API,20171012,31.00,31.90,31.00,31.60,11300
API,20171011,29.80,31.80,29.80,31.60,700
API,20171010,29.40,32.00,29.40,32.00,410
API,20171009,29.70,32.20,29.30,32.20,4400
API,20171006,29.30,34.00,29.30,32.50,4300
API,20171005,30.30,31.90,30.30,31.90,1500
API,20171004,31.90,31.90,31.90,31.90,540
API,20171003,32.60,32.60,32.00,32.00,700
API,20171002,29.80,32.40,29.80,32.30,600
API,20170929,32.50,32.70,32.50,32.70,6500
API,20170928,32.90,32.90,32.90,32.90,1700
API,20170927,33.00,33.00,30.60,32.20,6500
API,20170926,34.50,34.50,31.30,33.90,10300
API,20170925,34.50,34.70,31.50,34.70,12100
API,20170922,35.50,35.50,32.40,34.90,9900
API,20170921,37.00,37.00,35.00,35.90,2310
API,20170920,35.40,37.60,35.40,37.50,3600
API,20170919,34.80,38.00,34.80,37.00,5000
API,20170918,35.00,38.00,34.50,38.00,9930
API,20170915,30.90,35.40,30.90,35.40,3260
API,20170914,33.00,34.90,33.00,34.00,300
API,20170913,32.20,35.20,32.20,34.40,16500
API,20170912,32.00,35.00,29.60,32.00,1300
API,20170911,31.90,31.90,29.70,31.90,2100
API,20170908,31.50,31.90,31.50,31.90,1700
API,20170907,29.20,31.50,29.20,31.50,1200
API,20170906,29.00,31.40,29.00,31.40,1200
API,20170905,29.70,32.80,29.70,31.80,2600
API,20170901,30.00,32.90,30.00,32.90,1700
API,20170831,30.50,33.00,28.20,33.00,14500
API,20170830,29.90,30.50,29.50,30.50,11900
API,20170829,31.00,31.00,29.50,29.50,6204
API,20170828,28.40,31.00,28.40,30.90,2800
API,20170825,27.50,31.00,27.30,31.00,6600
API,20170824,27.60,29.70,27.40,29.70,8400
API,20170823,27.00,30.90,27.00,30.00,3300
API,20170822,29.50,29.50,29.50,29.50,1200
API,20170821,27.70,30.10,27.70,30.10,1400
API,20170818,29.50,31.00,27.30,30.20,7900
API,20170817,30.00,30.00,30.00,30.00,1500
API,20170816,30.80,30.80,30.80,30.80,300
API,20170815,30.00,31.40,28.70,30.90,3400
API,20170814,32.80,32.80,31.70,31.70,300
