<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HOM,20180426,4.00,4.00,4.00,4.00,2000
HOM,20180424,4.20,4.20,4.20,4.20,100
HOM,20180423,3.90,3.90,3.90,3.90,4400
HOM,20180420,3.90,3.90,3.90,3.90,200
HOM,20180418,3.90,3.90,3.90,3.90,100
HOM,20180417,3.80,3.80,3.80,3.80,1300
HOM,20180413,4.00,4.00,3.80,3.80,8900
HOM,20180412,4.00,4.00,4.00,4.00,1100
HOM,20180411,4.00,4.00,4.00,4.00,2000
HOM,20180409,4.00,4.00,4.00,4.00,1200
HOM,20180406,4.00,4.00,4.00,4.00,100
HOM,20180404,4.00,4.00,4.00,4.00,1300
HOM,20180403,4.10,4.10,3.90,4.00,39500
HOM,20180402,4.00,4.00,4.00,4.00,70100
HOM,20180330,4.10,4.10,3.90,3.90,11700
HOM,20180329,4.00,4.10,4.00,4.00,15100
HOM,20180328,4.10,4.10,4.10,4.10,2000
HOM,20180326,4.20,4.20,4.10,4.10,10200
HOM,20180320,4.10,4.10,4.10,4.10,200
HOM,20180316,4.20,4.20,4.10,4.10,1100
HOM,20180314,4.00,4.20,4.00,4.20,8000
HOM,20180313,4.00,4.00,4.00,4.00,7000
HOM,20180312,4.20,4.20,4.10,4.10,300
HOM,20180309,4.20,4.20,4.00,4.10,600
HOM,20180308,4.30,4.30,4.30,4.30,4100
HOM,20180301,4.30,4.30,4.20,4.20,2300
HOM,20180228,4.20,4.40,4.20,4.40,200
HOM,20180227,4.10,4.20,4.10,4.20,11600
HOM,20180226,4.30,4.50,4.30,4.40,216900
HOM,20180223,4.30,4.30,4.30,4.30,400
HOM,20180222,4.10,4.10,4.10,4.10,100
HOM,20180221,4.20,4.20,4.10,4.10,1100
HOM,20180213,4.40,4.40,4.40,4.40,100
HOM,20180209,3.70,4.00,3.70,4.00,300
HOM,20180207,3.90,4.10,3.90,4.10,3600
HOM,20180206,3.70,3.90,3.60,3.80,25300
HOM,20180205,4.10,4.10,3.90,3.90,8800
HOM,20180202,4.10,4.10,3.90,4.10,18600
HOM,20180201,4.00,4.00,4.00,4.00,20000
HOM,20180131,4.10,4.20,4.10,4.20,3400
HOM,20180130,4.20,4.20,4.20,4.20,100
HOM,20180129,4.20,4.20,4.10,4.10,9800
HOM,20180126,4.40,4.40,4.40,4.40,130
HOM,20180125,4.30,4.30,4.30,4.30,100
