<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
S99,20180417,5.30,5.60,5.00,5.00,40100
S99,20180416,5.30,5.40,5.20,5.30,15038
S99,20180413,5.40,5.40,5.20,5.20,29300
S99,20180412,5.20,5.40,5.20,5.30,46610
S99,20180411,5.30,5.40,5.10,5.20,53825
S99,20180410,5.30,5.40,5.20,5.30,18000
S99,20180409,5.30,5.80,5.30,5.40,106030
S99,20180406,5.40,5.50,5.40,5.40,25200
S99,20180405,5.40,5.50,5.30,5.40,90315
S99,20180404,5.30,5.40,5.30,5.40,12683
S99,20180403,5.40,5.40,5.20,5.40,7605
S99,20180402,5.20,5.40,5.20,5.40,15505
S99,20180330,5.20,5.20,5.00,5.20,11600
S99,20180329,5.20,5.30,5.20,5.20,19590
S99,20180328,5.20,5.30,5.10,5.20,45500
S99,20180327,5.10,5.30,5.10,5.20,19700
S99,20180326,5.10,5.30,5.00,5.10,77030
S99,20180323,5.10,5.20,5.10,5.10,21009
S99,20180322,5.20,5.20,5.10,5.10,72581
S99,20180321,5.20,5.30,5.10,5.20,68871
S99,20180320,5.00,5.20,4.90,5.20,46530
S99,20180319,5.10,5.20,5.00,5.00,49000
S99,20180316,5.00,5.10,4.90,5.10,11071
S99,20180315,4.90,5.00,4.80,4.80,12900
S99,20180314,5.00,5.10,4.80,4.80,17484
S99,20180313,5.20,5.20,4.80,4.80,25310
S99,20180312,5.30,5.30,5.20,5.20,24300
S99,20180309,5.10,5.30,5.10,5.30,12100
S99,20180308,5.10,5.20,5.00,5.20,19200
S99,20180307,5.00,5.50,4.90,5.10,36444
S99,20180306,5.10,5.20,5.00,5.00,95600
S99,20180305,5.00,5.10,5.00,5.00,34900
S99,20180302,5.00,5.20,5.00,5.00,71575
S99,20180301,5.00,5.00,4.90,4.90,773
S99,20180228,5.00,5.10,4.90,4.90,14488
S99,20180227,5.10,5.20,5.00,5.00,31396
S99,20180226,5.10,5.20,5.00,5.00,91570
S99,20180223,5.00,5.20,5.00,5.10,12600
S99,20180222,5.10,5.10,5.10,5.10,16220
S99,20180221,5.10,5.20,5.00,5.20,10300
S99,20180213,5.00,5.20,5.00,5.10,3100
S99,20180212,5.00,5.20,5.00,5.00,8100
S99,20180209,5.00,5.10,4.90,5.00,57400
S99,20180208,4.90,5.10,4.90,5.10,29100
S99,20180207,5.00,5.10,4.90,4.90,12100
S99,20180206,5.10,5.10,4.90,4.90,112700
S99,20180205,5.20,5.50,5.00,5.10,65241
