<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SDD,20180413,1.50,1.50,1.50,1.50,343000
SDD,20180410,1.60,1.70,1.60,1.60,15200
SDD,20180409,1.60,1.60,1.60,1.60,100
SDD,20180406,1.70,1.80,1.70,1.70,98256
SDD,20180405,1.70,1.80,1.60,1.80,47954
SDD,20180404,1.80,1.80,1.70,1.70,139640
SDD,20180403,1.70,1.80,1.70,1.80,132700
SDD,20180402,1.70,1.80,1.60,1.70,668400
SDD,20180330,1.60,1.70,1.60,1.70,57366
SDD,20180329,1.70,1.70,1.70,1.70,172915
SDD,20180328,1.70,1.70,1.60,1.60,76920
SDD,20180327,1.80,1.80,1.60,1.60,48519
SDD,20180326,1.70,1.70,1.60,1.70,54700
SDD,20180323,1.70,1.70,1.60,1.60,12906
SDD,20180322,1.70,1.80,1.60,1.60,156500
SDD,20180321,1.70,1.80,1.70,1.70,12671
SDD,20180320,1.80,1.80,1.70,1.70,20200
SDD,20180319,1.80,1.80,1.70,1.70,16100
SDD,20180316,1.80,1.90,1.80,1.80,7103
SDD,20180315,1.80,1.80,1.80,1.80,600
SDD,20180314,1.90,1.90,1.80,1.90,2703
SDD,20180313,1.80,1.90,1.80,1.90,18200
SDD,20180312,1.80,1.90,1.80,1.80,16525
SDD,20180309,1.90,1.90,1.70,1.90,107900
SDD,20180308,1.80,1.90,1.80,1.80,4600
SDD,20180307,1.80,1.90,1.80,1.90,25400
SDD,20180306,1.80,1.80,1.80,1.80,3968
SDD,20180305,1.80,1.90,1.80,1.80,17418
SDD,20180302,1.90,1.90,1.80,1.90,1500
SDD,20180301,1.90,1.90,1.90,1.90,101300
SDD,20180228,1.80,1.80,1.80,1.80,71300
SDD,20180227,1.70,1.80,1.70,1.70,25800
SDD,20180226,1.80,1.80,1.70,1.70,2146
SDD,20180223,1.70,1.80,1.70,1.70,6100
SDD,20180222,1.70,1.80,1.70,1.80,40200
SDD,20180221,1.70,1.80,1.70,1.70,80800
SDD,20180213,1.80,1.80,1.70,1.70,110200
SDD,20180212,1.60,1.70,1.60,1.70,23610
SDD,20180209,1.70,1.70,1.60,1.60,86100
SDD,20180208,1.70,1.80,1.70,1.70,78600
SDD,20180207,1.80,1.90,1.80,1.80,36200
SDD,20180206,1.70,1.80,1.70,1.80,71800
SDD,20180205,1.90,1.90,1.80,1.80,87200
SDD,20180202,1.80,1.90,1.70,1.90,95790
SDD,20180201,2.00,2.00,1.80,1.80,22800
SDD,20180131,1.90,2.00,1.80,2.00,112736
SDD,20180130,1.90,1.90,1.80,1.90,159189
SDD,20180129,2.10,2.10,1.80,1.80,106400
SDD,20180126,2.10,2.10,2.00,2.00,900
SDD,20180125,2.10,2.10,2.00,2.10,87907
SDD,20180124,2.00,2.20,1.90,2.10,75200
SDD,20180123,2.00,2.00,1.90,2.00,747799
SDD,20180122,1.90,2.00,1.90,2.00,56110
SDD,20180119,1.90,2.00,1.90,2.00,121090
SDD,20180118,1.90,2.00,1.90,1.90,65500
SDD,20180117,2.00,2.00,1.90,1.90,7900
SDD,20180116,2.00,2.00,1.90,1.90,545
SDD,20180115,2.00,2.00,1.90,1.90,21300
SDD,20180112,2.00,2.00,1.90,2.00,30200
SDD,20180111,2.00,2.00,1.90,2.00,46610
SDD,20180110,2.00,2.00,1.90,2.00,21554
SDD,20180109,2.00,2.00,2.00,2.00,10300
SDD,20180108,2.00,2.00,1.90,2.00,5100
SDD,20180105,2.00,2.10,1.90,2.10,28918
SDD,20180104,1.90,2.00,1.90,2.00,12314
SDD,20180103,1.90,2.00,1.90,2.00,16566
SDD,20180102,1.90,2.00,1.90,2.00,4600
SDD,20171229,2.00,2.00,1.90,2.00,2372
SDD,20171228,2.00,2.00,2.00,2.00,41920
SDD,20171227,1.90,2.00,1.90,1.90,11922
SDD,20171226,1.90,2.00,1.90,1.90,29500
SDD,20171225,2.00,2.00,1.90,1.90,11670
SDD,20171222,1.90,2.00,1.90,1.90,15800
SDD,20171221,1.90,2.00,1.90,2.00,1128
SDD,20171220,2.00,2.00,2.00,2.00,130
SDD,20171219,1.90,2.00,1.90,2.00,27400
SDD,20171218,2.00,2.00,1.90,2.00,8829
SDD,20171215,2.00,2.00,2.00,2.00,3000
SDD,20171214,1.90,2.00,1.90,2.00,700
SDD,20171213,1.90,1.90,1.90,1.90,150
SDD,20171212,2.00,2.10,2.00,2.00,19260
SDD,20171211,1.90,2.00,1.90,2.00,19272
SDD,20171208,2.00,2.10,2.00,2.10,8359
SDD,20171207,2.00,2.10,1.90,2.00,3106
SDD,20171206,2.00,2.00,1.90,2.00,5230
SDD,20171205,2.00,2.10,2.00,2.00,23100
SDD,20171204,2.00,2.00,1.90,2.00,23600
SDD,20171201,2.00,2.10,2.00,2.00,7186
SDD,20171130,2.10,2.10,2.00,2.00,69700
SDD,20171129,2.00,2.00,2.00,2.00,99950
SDD,20171128,2.00,2.10,1.90,1.90,41800
SDD,20171127,2.00,2.10,2.00,2.10,36200
SDD,20171124,2.10,2.20,2.00,2.10,112124
SDD,20171123,2.00,2.00,2.00,2.00,23700
SDD,20171122,2.00,2.00,1.90,1.90,42755
SDD,20171121,2.00,2.10,2.00,2.10,10667
SDD,20171120,2.00,2.10,2.00,2.10,18875
SDD,20171117,2.00,2.10,2.00,2.00,113430
SDD,20171116,2.10,2.10,2.10,2.10,9300
SDD,20171115,2.00,2.00,2.00,2.00,23566
