<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SDP,20180416,2.50,2.50,2.50,2.50,20100
SDP,20180412,2.60,2.70,2.60,2.70,5100
SDP,20180411,2.40,2.60,2.40,2.60,7500
SDP,20180410,2.60,2.60,2.50,2.50,5300
SDP,20180409,2.60,2.60,2.50,2.50,1500
SDP,20180406,2.70,2.70,2.70,2.70,3520
SDP,20180405,2.60,2.70,2.60,2.70,10100
SDP,20180404,2.70,2.70,2.50,2.70,900
SDP,20180403,2.70,2.70,2.70,2.70,900
SDP,20180330,2.70,2.70,2.70,2.70,100
SDP,20180329,2.60,2.60,2.60,2.60,700
SDP,20180328,2.60,2.70,2.60,2.70,6000
SDP,20180327,2.60,2.70,2.60,2.70,1100
SDP,20180326,2.70,2.70,2.60,2.70,4900
SDP,20180323,2.50,2.70,2.50,2.70,9900
SDP,20180322,2.80,2.80,2.50,2.70,17200
SDP,20180321,2.70,2.70,2.70,2.70,10920
SDP,20180320,2.80,2.80,2.70,2.80,2700
SDP,20180319,2.80,2.80,2.80,2.80,100
SDP,20180316,2.70,2.70,2.60,2.70,2300
SDP,20180315,2.70,2.70,2.60,2.60,22000
SDP,20180314,2.80,2.80,2.70,2.70,14000
SDP,20180313,2.70,2.80,2.70,2.80,4300
SDP,20180312,2.80,2.80,2.80,2.80,1000
SDP,20180309,2.80,2.90,2.80,2.90,13600
SDP,20180308,2.80,2.80,2.80,2.80,19800
SDP,20180307,2.80,2.80,2.60,2.80,25800
SDP,20180306,2.70,2.70,2.60,2.60,11908
SDP,20180305,2.80,2.80,2.70,2.70,7200
SDP,20180302,2.70,2.80,2.70,2.80,41100
SDP,20180301,2.80,2.80,2.80,2.80,16000
SDP,20180228,2.80,2.80,2.70,2.80,3600
SDP,20180227,2.80,2.80,2.70,2.80,4200
SDP,20180226,2.80,2.80,2.70,2.70,47200
SDP,20180223,2.80,2.90,2.80,2.90,20100
SDP,20180222,2.70,2.90,2.70,2.80,26400
SDP,20180221,2.60,2.70,2.60,2.70,27460
SDP,20180213,2.30,2.50,2.30,2.50,59880
SDP,20180212,2.10,2.30,2.00,2.30,59200
