<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TDN,20180426,5.10,5.10,5.00,5.00,800
TDN,20180424,5.00,5.40,5.00,5.40,201
TDN,20180423,5.10,5.30,5.10,5.30,14904
TDN,20180420,4.90,4.90,4.90,4.90,21500
TDN,20180419,4.90,4.90,4.90,4.90,6400
TDN,20180418,5.30,5.30,5.00,5.00,7500
TDN,20180413,5.00,5.00,5.00,5.00,1758
TDN,20180412,5.20,5.20,5.20,5.20,100
TDN,20180411,4.90,5.30,4.90,5.30,4800
TDN,20180406,5.00,5.00,4.90,4.90,11080
TDN,20180405,5.10,5.10,5.10,5.10,4000
TDN,20180404,5.10,5.10,5.10,5.10,3200
TDN,20180329,5.20,5.20,5.20,5.20,400
TDN,20180328,5.10,5.10,5.10,5.10,1083
TDN,20180323,5.10,5.10,5.10,5.10,2208
TDN,20180322,5.30,5.30,5.30,5.30,200
TDN,20180321,5.10,5.10,5.10,5.10,400
TDN,20180320,5.40,5.40,5.40,5.40,300
TDN,20180316,5.50,5.50,5.50,5.50,700
TDN,20180312,5.50,5.50,5.50,5.50,34236
TDN,20180309,5.50,5.50,5.50,5.50,2100
TDN,20180308,6.00,6.00,5.40,5.40,2640
TDN,20180307,5.80,5.80,5.40,5.60,1500
TDN,20180306,6.40,6.40,5.90,5.90,2160
TDN,20180302,6.80,6.80,6.50,6.50,4500
TDN,20180301,7.10,7.20,6.70,6.70,4208314
TDN,20180228,7.00,7.10,7.00,7.10,65100
TDN,20180227,7.00,7.00,6.90,6.90,1580
TDN,20180226,6.60,7.00,6.30,7.00,33932
TDN,20180223,6.00,6.60,6.00,6.60,18500
TDN,20180222,6.00,6.00,6.00,6.00,7300
TDN,20180221,6.00,6.00,6.00,6.00,10500
TDN,20180213,6.00,6.00,6.00,6.00,5785
TDN,20180212,5.70,6.00,5.70,6.00,8000
TDN,20180209,5.20,5.70,5.10,5.70,7557
TDN,20180208,5.20,5.20,5.20,5.20,4900
TDN,20180207,5.30,5.30,5.00,5.20,3400
TDN,20180206,5.40,5.40,5.00,5.00,13300
TDN,20180205,5.50,5.60,5.50,5.50,7800
TDN,20180202,5.60,5.60,5.60,5.60,4700
TDN,20180201,5.60,5.60,5.50,5.50,14640
TDN,20180131,5.90,6.00,5.70,6.00,17500
TDN,20180130,5.90,6.20,5.70,6.20,31600
TDN,20180129,6.30,6.30,6.20,6.20,8800
TDN,20180126,6.00,6.30,6.00,6.30,28392
TDN,20180125,6.50,6.60,6.50,6.60,6100
TDN,20180124,6.40,6.70,6.40,6.70,57300
TDN,20180123,6.20,6.50,6.20,6.50,95058
TDN,20180122,5.90,6.20,5.90,6.20,67900
TDN,20180119,5.40,6.00,5.40,6.00,37600
TDN,20180118,5.10,5.60,5.10,5.60,10520
TDN,20180117,5.00,5.20,5.00,5.20,11000
TDN,20180116,5.00,5.20,5.00,5.20,6992
TDN,20180115,5.30,5.30,5.20,5.20,18700
TDN,20180112,5.50,5.50,5.30,5.40,26900
TDN,20180111,5.30,5.50,5.30,5.50,13500
TDN,20180110,5.30,5.50,5.30,5.50,10700
TDN,20180109,5.30,5.60,5.30,5.60,20077
TDN,20180108,5.30,5.30,5.20,5.30,18930
TDN,20180105,5.30,5.60,5.30,5.60,13100
TDN,20180104,5.90,6.20,5.20,5.30,47480
TDN,20180103,5.80,5.80,5.70,5.70,85800
TDN,20180102,5.90,6.30,5.40,6.30,106540
TDN,20171229,5.50,5.80,5.30,5.80,68060
TDN,20171228,5.00,5.30,5.00,5.30,161940
TDN,20171227,4.90,4.90,4.90,4.90,10
TDN,20171226,4.90,4.90,4.90,4.90,1500
TDN,20171225,4.80,4.90,4.80,4.90,2900
TDN,20171222,4.90,4.90,4.90,4.90,4000
TDN,20171221,4.60,4.80,4.60,4.80,1300
TDN,20171220,4.70,5.00,4.70,5.00,8240
TDN,20171219,5.00,5.00,5.00,5.00,2000
TDN,20171218,4.70,5.00,4.70,5.00,50600
TDN,20171215,4.80,4.80,4.70,4.70,14100
TDN,20171214,4.50,4.80,4.40,4.80,10000
TDN,20171213,4.30,4.50,4.30,4.50,49000
TDN,20171212,4.10,4.30,4.10,4.30,7868
TDN,20171211,4.20,4.30,4.20,4.30,6000
TDN,20171208,4.30,4.40,4.20,4.20,12800
TDN,20171207,4.20,4.20,4.20,4.20,3700
TDN,20171206,4.00,4.20,3.90,4.20,4612
TDN,20171205,4.30,4.30,4.30,4.30,2900
TDN,20171130,4.30,4.30,4.20,4.20,5400
TDN,20171128,4.00,4.30,4.00,4.30,3400
TDN,20171127,4.40,4.40,4.40,4.40,1900
TDN,20171124,4.20,4.20,4.20,4.20,5110
TDN,20171122,4.00,4.40,4.00,4.40,8400
TDN,20171121,4.10,4.10,4.10,4.10,1300
TDN,20171117,4.30,4.40,4.30,4.40,900
TDN,20171116,4.00,4.00,4.00,4.00,200
TDN,20171115,4.00,4.40,4.00,4.40,2900
TDN,20171113,4.30,4.30,4.30,4.30,52
TDN,20171108,4.30,4.30,4.30,4.30,100
TDN,20171107,4.10,4.10,4.10,4.10,2040
TDN,20171103,4.20,4.20,4.20,4.20,24
TDN,20171101,4.10,4.20,4.10,4.20,5628
TDN,20171031,4.20,4.20,4.20,4.20,1000
TDN,20171030,4.20,4.20,4.20,4.20,5000
TDN,20171026,4.20,4.30,4.20,4.30,1600
TDN,20171025,4.30,4.30,4.30,4.30,1900
TDN,20171024,4.40,4.40,4.40,4.40,13000
TDN,20171020,4.60,4.60,4.60,4.60,200
TDN,20171019,4.40,4.40,4.40,4.40,100
TDN,20171016,4.40,4.40,4.40,4.40,2000
