<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TVD,20180416,4.90,5.30,4.90,5.00,5300
TVD,20180412,5.00,5.40,5.00,5.40,2300
TVD,20180411,4.90,5.30,4.90,5.00,6600
TVD,20180409,5.20,5.20,5.20,5.20,7
TVD,20180402,5.20,5.20,5.20,5.20,2800
TVD,20180330,5.40,5.40,5.40,5.40,200
TVD,20180329,5.30,5.30,5.30,5.30,100
TVD,20180328,5.00,5.00,5.00,5.00,100
TVD,20180327,5.00,5.00,5.00,5.00,200
TVD,20180326,5.00,5.40,5.00,5.40,2100
TVD,20180322,5.00,5.30,5.00,5.30,1100
TVD,20180321,5.00,5.00,5.00,5.00,1100
TVD,20180320,5.00,5.00,4.90,4.90,5100
TVD,20180316,5.00,5.00,5.00,5.00,8700
TVD,20180315,5.20,5.20,5.20,5.20,2000
TVD,20180314,5.00,5.00,5.00,5.00,4000
TVD,20180313,5.10,5.10,5.10,5.10,6500
TVD,20180312,5.20,5.40,5.20,5.40,5100
TVD,20180308,5.40,5.40,5.20,5.20,1500
TVD,20180307,5.00,5.40,5.00,5.40,200
TVD,20180305,5.10,5.10,5.10,5.10,1600
TVD,20180302,5.10,5.10,5.10,5.10,6500
TVD,20180301,5.20,5.20,5.10,5.10,10000
TVD,20180228,5.20,5.40,5.20,5.40,3410
TVD,20180227,5.30,5.30,5.30,5.30,100
TVD,20180226,5.20,5.20,5.20,5.20,3400
TVD,20180223,5.20,5.20,5.20,5.20,100
TVD,20180222,5.20,5.20,5.00,5.10,5000
TVD,20180221,5.20,5.30,5.20,5.30,400
TVD,20180213,5.30,5.30,5.30,5.30,100
TVD,20180209,5.20,5.20,5.20,5.20,71
TVD,20180207,5.20,5.20,5.20,5.20,100
TVD,20180206,5.00,5.00,4.90,5.00,6300
TVD,20180205,5.10,5.30,5.00,5.30,1900
TVD,20180131,5.20,5.20,5.20,5.20,8800
TVD,20180130,5.20,5.20,5.20,5.20,9300
TVD,20180129,5.50,5.50,5.50,5.50,90
TVD,20180126,5.30,5.50,5.30,5.50,5200
TVD,20180125,5.40,5.60,5.40,5.60,8700
TVD,20180124,5.30,5.60,5.30,5.60,21600
TVD,20180123,5.30,5.30,5.30,5.30,11300
TVD,20180122,5.30,5.30,5.30,5.30,9900
TVD,20180119,5.20,5.40,5.20,5.40,1000
TVD,20180118,5.20,5.20,5.20,5.20,100
TVD,20180116,5.00,5.30,5.00,5.30,12496
TVD,20180115,5.40,5.40,5.00,5.20,5200
TVD,20180112,5.20,5.20,5.20,5.20,9030
TVD,20180111,5.50,5.50,5.40,5.50,7000
TVD,20180110,5.40,5.40,5.40,5.40,500
TVD,20180109,5.30,5.40,5.30,5.40,2300
TVD,20180105,5.10,5.40,5.00,5.40,6600
TVD,20180104,5.40,5.40,5.40,5.40,200
TVD,20180103,5.40,5.50,5.30,5.40,11500
TVD,20180102,5.50,5.50,5.50,5.50,5000
TVD,20171229,5.40,5.50,5.40,5.50,21800
TVD,20171228,5.10,5.50,5.10,5.40,34700
TVD,20171227,5.00,5.00,5.00,5.00,99
TVD,20171226,4.90,5.00,4.90,5.00,5400
TVD,20171225,4.90,4.90,4.90,4.90,1000
TVD,20171222,4.90,4.90,4.90,4.90,4500
TVD,20171221,5.00,5.10,4.90,4.90,7082
TVD,20171220,4.90,4.90,4.90,4.90,100
TVD,20171218,4.80,4.80,4.80,4.80,2000
TVD,20171215,4.90,4.90,4.90,4.90,1000
TVD,20171208,5.00,5.00,5.00,5.00,11
TVD,20171207,4.80,5.00,4.80,5.00,1519
TVD,20171206,4.80,4.90,4.80,4.90,5000
TVD,20171205,4.80,4.80,4.80,4.80,9000
TVD,20171204,4.80,4.80,4.80,4.80,1910
TVD,20171201,5.10,5.10,5.00,5.00,800
TVD,20171130,5.10,5.20,5.00,5.00,15400
TVD,20171129,5.00,5.00,5.00,5.00,210
TVD,20171128,4.80,4.80,4.80,4.80,1000
TVD,20171124,5.10,5.10,5.10,5.10,200
TVD,20171123,5.00,5.00,5.00,5.00,5000
TVD,20171122,5.10,5.20,5.10,5.20,2000
TVD,20171121,5.20,5.20,5.20,5.20,2000
TVD,20171120,5.30,5.30,5.30,5.30,100
TVD,20171117,5.00,5.00,5.00,5.00,100
TVD,20171115,5.00,5.00,5.00,5.00,2100
TVD,20171114,4.90,4.90,4.90,4.90,100
TVD,20171113,4.80,4.80,4.80,4.80,3090
TVD,20171110,5.10,5.10,5.10,5.10,100
TVD,20171109,5.00,5.00,5.00,5.00,1000
TVD,20171108,4.80,5.20,4.80,5.20,2900
TVD,20171102,5.00,5.30,5.00,5.30,1600
TVD,20171031,5.30,5.30,5.30,5.30,100
TVD,20171030,5.10,5.10,5.00,5.00,12000
TVD,20171027,5.40,5.40,5.40,5.40,10
TVD,20171026,5.00,5.40,4.90,5.40,700
TVD,20171025,5.40,5.40,5.40,5.40,100
TVD,20171024,5.40,5.40,5.40,5.40,5
TVD,20171023,5.10,5.40,5.10,5.40,422
TVD,20171016,5.60,5.60,5.20,5.50,5246
TVD,20171013,5.20,5.20,5.20,5.20,10667
TVD,20171012,5.20,5.50,5.20,5.50,4800
TVD,20171011,5.20,5.60,5.20,5.60,21300
TVD,20171006,5.10,5.50,5.10,5.50,3000
TVD,20171005,5.60,5.60,5.20,5.60,3080
TVD,20171003,5.40,5.40,5.40,5.40,1000
TVD,20171002,5.60,5.60,5.60,5.60,100
TVD,20170929,5.40,5.40,5.40,5.40,4000
TVD,20170928,5.60,5.60,5.20,5.40,13300
TVD,20170927,5.30,5.30,5.30,5.30,1000
TVD,20170926,5.20,5.30,5.20,5.30,2200
TVD,20170925,5.20,5.60,5.20,5.40,3700
TVD,20170922,5.60,5.70,5.30,5.30,3400
TVD,20170921,5.20,5.40,5.20,5.40,6300
TVD,20170920,5.60,5.60,5.60,5.60,222
TVD,20170919,5.20,5.20,5.10,5.10,3100
TVD,20170918,5.40,5.40,5.40,5.40,100
TVD,20170915,5.10,5.50,5.10,5.50,2100
TVD,20170914,5.40,5.40,5.40,5.40,2400
TVD,20170911,5.50,5.50,5.50,5.50,100
TVD,20170908,5.10,5.20,5.10,5.20,3000
TVD,20170907,5.30,5.60,5.20,5.60,400
TVD,20170901,5.70,5.70,5.70,5.70,167
TVD,20170831,5.50,5.50,5.50,5.50,6700
TVD,20170828,5.70,5.70,5.70,5.70,100
TVD,20170823,5.30,5.50,5.30,5.50,1500
TVD,20170821,5.40,5.40,5.40,5.40,2400
TVD,20170818,5.70,5.70,5.70,5.70,200
TVD,20170811,5.60,6.00,5.60,6.00,1600
TVD,20170810,5.60,6.00,5.60,5.60,2500
TVD,20170809,5.90,5.90,5.90,5.90,95
TVD,20170808,6.00,6.00,5.90,5.90,5250
TVD,20170807,5.80,5.90,5.80,5.90,500
TVD,20170804,5.60,5.70,5.40,5.70,2800
TVD,20170803,6.00,6.00,6.00,6.00,100
TVD,20170802,5.50,5.90,5.50,5.60,700
TVD,20170801,5.70,6.00,5.60,5.90,4447
TVD,20170731,5.70,5.70,5.70,5.70,60
TVD,20170728,5.50,5.70,5.40,5.70,800
TVD,20170727,5.90,5.90,5.90,5.90,100
TVD,20170726,5.60,5.80,5.60,5.80,1000
TVD,20170724,5.60,5.60,5.60,5.60,300
TVD,20170721,5.60,5.90,5.50,5.90,9270
TVD,20170720,5.70,5.70,5.70,5.70,3440
TVD,20170719,5.80,5.80,5.80,5.80,1700
TVD,20170717,5.90,5.90,5.70,5.90,5900
TVD,20170714,5.70,5.80,5.70,5.80,1500
TVD,20170713,5.90,5.90,5.60,5.80,800
TVD,20170712,5.70,6.00,5.70,5.70,345
TVD,20170710,6.10,6.10,5.80,6.10,620
TVD,20170707,5.70,6.10,5.70,5.90,35870
TVD,20170706,5.60,5.60,5.60,5.60,5300
TVD,20170704,5.80,5.80,5.80,5.80,100
TVD,20170703,5.70,5.70,5.50,5.70,5220
TVD,20170629,5.70,5.70,5.60,5.60,2410
TVD,20170628,5.30,5.80,5.30,5.80,4307
TVD,20170627,5.80,5.80,5.80,5.80,1500
TVD,20170626,5.80,5.80,5.80,5.80,208
TVD,20170620,5.70,5.70,5.70,5.70,7
TVD,20170619,5.50,5.70,5.50,5.70,5800
TVD,20170616,5.50,5.60,5.50,5.60,2900
TVD,20170614,5.60,5.70,5.60,5.70,4900
TVD,20170613,5.60,5.70,5.60,5.70,15100
TVD,20170612,5.70,5.70,5.60,5.60,12300
TVD,20170609,5.80,5.80,5.80,5.80,939
TVD,20170607,5.10,5.80,5.10,5.80,292
TVD,20170605,5.50,5.60,5.50,5.50,439
TVD,20170602,5.40,5.60,5.40,5.40,1000
TVD,20170601,5.50,5.50,5.50,5.50,1500
TVD,20170531,5.50,5.50,5.50,5.50,1000
TVD,20170530,5.40,5.40,5.40,5.40,610
TVD,20170529,5.50,5.50,5.40,5.40,200
TVD,20170526,5.40,5.50,5.40,5.50,483
TVD,20170525,5.30,5.40,5.30,5.40,8100
TVD,20170523,5.30,5.30,5.30,5.30,100
TVD,20170519,5.70,5.80,5.70,5.80,6100
TVD,20170518,5.80,5.80,5.80,5.80,100
TVD,20170517,5.71,5.71,5.71,5.70,100
TVD,20170516,5.61,5.61,5.61,5.61,1970
TVD,20170515,5.70,5.70,5.42,5.61,1700
