<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VC7,20180417,17.50,17.50,15.30,15.30,24700
VC7,20180416,16.80,16.80,16.80,16.80,10
VC7,20180413,17.50,17.90,15.60,16.80,2987
VC7,20180412,17.40,17.80,16.50,17.00,3400
VC7,20180411,17.80,18.40,15.50,16.70,22000
VC7,20180410,17.90,17.90,16.20,17.00,4600
VC7,20180409,19.60,19.60,18.00,18.00,300
VC7,20180406,18.50,18.50,16.70,17.90,19760
VC7,20180405,16.80,18.50,15.60,18.00,20300
VC7,20180404,16.90,17.00,16.90,16.90,4400
VC7,20180403,17.00,17.00,16.80,17.00,4000
VC7,20180402,17.40,17.50,16.90,17.40,14900
VC7,20180330,17.50,17.50,16.20,16.90,1540
VC7,20180329,17.00,17.00,16.00,16.90,7300
VC7,20180328,17.60,17.60,17.60,17.60,100
VC7,20180327,16.90,16.90,15.80,16.70,7400
VC7,20180326,16.00,17.40,15.80,17.40,80600
VC7,20180323,17.30,17.50,16.20,17.50,15425
VC7,20180322,17.90,17.90,16.90,17.50,13800
VC7,20180321,18.00,18.00,16.80,16.80,42840
VC7,20180320,17.90,18.50,16.80,16.80,43000
VC7,20180319,17.90,17.90,17.00,17.10,15300
VC7,20180316,17.80,18.00,17.20,17.80,35100
VC7,20180315,18.00,18.00,17.90,17.90,5100
VC7,20180314,18.00,18.00,16.00,17.50,36400
VC7,20180313,18.90,18.90,16.60,17.00,17410
VC7,20180312,19.90,19.90,18.20,18.40,11400
VC7,20180309,19.10,19.10,19.10,19.10,62
VC7,20180308,19.20,19.90,18.90,19.10,11505
VC7,20180307,19.20,20.00,17.50,19.20,1112
VC7,20180306,19.00,19.50,19.00,19.20,1700
VC7,20180305,19.00,19.00,19.00,19.00,1300
VC7,20180302,20.50,20.50,18.60,19.50,24900
VC7,20180301,19.80,19.80,18.50,19.60,55925
VC7,20180228,21.00,21.00,19.70,19.90,41078
VC7,20180227,21.00,21.90,19.50,19.80,44510
VC7,20180226,21.00,21.00,20.00,21.00,237608
VC7,20180223,18.90,19.10,18.90,19.10,38700
VC7,20180222,16.50,17.40,15.90,17.40,68800
VC7,20180221,15.50,15.90,15.10,15.90,34525
VC7,20180213,13.00,14.50,13.00,14.50,6100
VC7,20180212,14.00,14.00,14.00,14.00,13225
VC7,20180209,12.60,14.00,12.60,14.00,60200
VC7,20180208,14.30,14.40,14.00,14.00,33400
VC7,20180207,14.40,14.60,14.00,14.30,58400
VC7,20180206,15.50,15.50,14.40,14.40,56000
VC7,20180205,15.50,16.50,15.00,16.00,38300
VC7,20180202,16.20,16.20,15.40,16.00,62700
VC7,20180201,15.80,17.50,15.80,15.80,87150
VC7,20180131,17.90,17.90,17.00,17.50,29400
VC7,20180130,17.60,17.90,17.40,17.70,18900
