<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
IMGN,20180504,10.45,11.05,10.26,10.57,2274800
IMGN,20180503,11.31,11.51,10.82,11.0,2551500
IMGN,20180502,11.16,11.53,11.06,11.39,2197800
IMGN,20180501,11.0,11.22,10.8,11.14,1628900
IMGN,20180430,10.98,11.18,10.66,10.99,1662900
IMGN,20180427,10.73,11.97,10.73,10.97,3817200
IMGN,20180426,10.47,10.68,10.24,10.52,1554800
IMGN,20180425,10.05,10.57,9.94,10.36,2316900
IMGN,20180424,10.1,10.19,9.74,9.99,2897400
IMGN,20180423,10.24,10.27,9.68,10.12,2865000
IMGN,20180420,10.2,10.4,10.01,10.27,1728400
IMGN,20180419,10.13,10.52,10.03,10.24,2520700
IMGN,20180418,10.65,10.65,9.97,10.19,4914300
IMGN,20180417,10.39,10.93,10.34,10.68,3067400
IMGN,20180416,10.27,10.42,10.08,10.32,1588800
IMGN,20180413,10.48,10.52,10.0,10.1,1202200
IMGN,20180412,10.22,10.56,10.22,10.48,1411300
IMGN,20180411,10.13,10.5,10.04,10.18,1517400
IMGN,20180410,9.88,10.28,9.85,10.22,2147700
IMGN,20180409,10.14,10.45,9.85,9.88,2115900
IMGN,20180406,10.25,10.35,9.78,9.99,2328500
IMGN,20180405,10.92,10.97,10.24,10.32,3350200
IMGN,20180404,10.19,10.89,10.09,10.81,2570200
IMGN,20180403,10.2,10.46,9.87,10.4,2314600
IMGN,20180402,10.2,10.48,9.83,10.19,3113500
IMGN,20180329,10.89,11.03,10.34,10.52,3605700
IMGN,20180328,11.16,11.59,10.05,10.74,4632800
IMGN,20180327,12.98,13.11,10.85,11.01,5946500
IMGN,20180326,12.75,13.41,12.29,12.95,7435900
IMGN,20180323,12.16,12.58,12.07,12.1,3015600
IMGN,20180322,12.35,12.72,12.09,12.16,2872500
IMGN,20180321,12.54,13.0,12.38,12.5,3281300
IMGN,20180320,11.91,12.59,11.9,12.32,2506500
IMGN,20180319,12.26,12.87,11.78,12.02,5771500
