<Ticker>,<DTYYYMMDD>,<Open>,High,<Low>,<close>,<Volume>
LRCX,20180504,188.0,196.880005,187.630005,195.470001,3282700
LRCX,20180503,187.75,190.529999,185.610001,189.429993,2181500
LRCX,20180502,190.28999299999998,191.949997,188.28999299999998,189.520004,2194800
LRCX,20180501,184.139999,190.580002,183.740005,190.389999,2833700
LRCX,20180430,187.350006,188.889999,183.96000700000002,185.059998,2990200
LRCX,20180427,192.279999,192.690002,185.600006,187.259995,3044800
LRCX,20180426,190.889999,192.990005,188.820007,190.399994,3611300
LRCX,20180425,185.990005,189.580002,181.669998,186.669998,3124800
LRCX,20180424,193.869995,195.440002,182.610001,185.820007,5034700
LRCX,20180423,193.5,196.399994,190.440002,191.860001,3488900
LRCX,20180420,190.71000700000002,195.059998,189.990005,191.91000400000001,4980700
LRCX,20180419,198.580002,201.139999,188.78999299999998,190.389999,8773400
LRCX,20180418,200.240005,204.559998,196.5,203.770004,9114900
LRCX,20180417,207.220001,212.850006,206.259995,212.330002,6084500
LRCX,20180416,205.25,205.91000400000001,201.600006,203.550003,1941100
LRCX,20180413,208.550003,208.580002,202.770004,203.740005,2161400
LRCX,20180412,203.820007,206.940002,202.25,206.020004,3084300
LRCX,20180411,198.25,203.46000700000002,197.71000700000002,200.860001,2449800
LRCX,20180410,198.91000400000001,202.059998,196.130005,200.169998,2707700
LRCX,20180409,192.830002,199.720001,192.110001,193.119995,2656700
LRCX,20180406,190.91000400000001,196.270004,189.08999599999999,190.649994,3123900
LRCX,20180405,202.679993,203.41000400000001,192.21000700000002,195.020004,3533900
LRCX,20180404,190.5,202.66000400000001,190.5,201.669998,3699700
LRCX,20180403,197.919998,199.570007,193.940002,197.970001,2682400
LRCX,20180402,201.490005,202.889999,191.350006,193.869995,3550500
LRCX,20180329,198.100006,207.5,196.979996,203.16000400000001,3578200
LRCX,20180328,199.630005,201.75,194.259995,196.21000700000002,3523900
LRCX,20180327,219.229996,219.460007,200.66000400000001,202.619995,4292300
LRCX,20180326,210.649994,215.020004,207.270004,214.960007,3458800
LRCX,20180323,214.05000299999998,215.47000099999997,202.559998,202.630005,5223500
LRCX,20180322,220.5,222.92999300000002,214.649994,214.82000699999998,3249500
LRCX,20180321,221.86999500000002,227.82000699999998,221.00999500000003,224.27999900000003,3567500
LRCX,20180320,218.49000499999997,221.190002,217.94999700000002,219.13000499999998,2223800
LRCX,20180319,218.36000099999998,219.039993,212.05000299999998,217.580002,4098100
LRCX,20180316,224.17999300000002,225.0,221.289993,221.919998,2495800
LRCX,20180315,224.0,227.0,222.55000299999998,223.080002,2446200
LRCX,20180314,223.0,226.13000499999998,221.059998,222.63999900000002,3291900
LRCX,20180313,230.039993,234.88000499999998,222.42999300000002,223.97000099999997,4946200
LRCX,20180312,225.5,230.0,223.0,228.649994,4928800
LRCX,20180309,214.27999900000003,226.080002,213.940002,224.94999700000002,6656800
LRCX,20180308,214.0,214.940002,210.94999700000002,212.74000499999997,3780400
LRCX,20180307,205.830002,212.36000099999998,204.139999,211.74000499999997,5625600
LRCX,20180306,200.139999,209.5,199.509995,207.940002,7636300
LRCX,20180305,192.830002,200.020004,191.240005,198.699997,3292400
LRCX,20180302,185.050003,194.889999,182.16000400000001,194.529999,2775800
LRCX,20180301,192.490005,195.639999,188.119995,190.070007,3003600
LRCX,20180228,194.440002,196.669998,191.330002,191.860001,3608300
LRCX,20180227,198.149994,199.78999299999998,193.369995,193.470001,2822300
LRCX,20180226,194.570007,198.970001,193.149994,198.429993,2363100
LRCX,20180223,190.240005,193.669998,188.610001,193.100006,2227300
LRCX,20180222,190.16000400000001,190.440002,186.929993,188.360001,1752900
LRCX,20180221,194.550003,195.0,189.199997,189.229996,3271300
