Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,41.000000,41.299999,40.810001,41.049999,35.975266,2300
2012-01-04,41.049999,41.049999,41.049999,41.049999,35.975266,0
2012-01-05,40.580002,41.110001,40.580002,41.110001,36.027851,28400
2012-01-06,40.610001,40.610001,40.160000,40.160000,35.195301,2600
2012-01-09,40.910000,41.040001,40.820000,40.820000,35.773705,600
2012-01-10,42.029999,42.250000,41.990002,41.990002,36.799061,25400
2012-01-11,41.950001,42.040001,41.840000,42.040001,36.842884,608800
2012-01-12,42.250000,42.250000,41.869999,41.869999,36.693901,15300
2012-01-13,41.750000,41.939999,41.459999,41.799999,36.632545,9400
2012-01-17,43.049999,43.049999,42.750000,42.750000,37.465103,3600
2012-01-18,42.939999,43.480000,42.900002,43.480000,38.104866,827100
2012-01-19,44.080002,44.209999,43.939999,44.119999,38.665741,12300
2012-01-20,43.759998,44.029999,43.750000,44.029999,38.586872,10600
2012-01-23,44.549999,44.619999,44.389999,44.540001,39.033825,49400
2012-01-24,44.430000,44.549999,44.410000,44.430000,38.937424,44000
2012-01-25,44.349998,44.810001,44.349998,44.730000,39.200340,60300
2012-01-26,45.160000,45.380001,44.599998,44.599998,39.086411,5900
2012-01-27,44.730000,45.110001,44.619999,45.110001,39.533360,169100
2012-01-30,43.849998,43.880001,43.349998,43.880001,38.455418,1145500
2012-01-31,44.430000,44.430000,43.939999,44.180000,38.718323,505500
2012-02-01,44.860001,45.310001,44.860001,44.980000,39.419426,38300
2012-02-02,45.560001,45.680000,45.150002,45.230000,39.638527,861300
2012-02-03,46.020000,46.139999,45.950001,45.950001,40.269516,36600
2012-02-06,45.220001,45.450001,45.150002,45.310001,39.708645,203700
2012-02-07,45.330002,45.330002,45.299999,45.299999,39.699867,400
2012-02-08,46.099998,46.310001,45.880001,46.310001,40.585011,8000
2012-02-09,46.369999,46.490002,46.040001,46.270000,40.549961,6000
2012-02-10,45.230000,45.230000,44.790001,44.790001,39.252914,5500
2012-02-13,45.570000,45.599998,45.330002,45.509998,39.883911,11500
2012-02-14,45.490002,45.490002,45.060001,45.189999,39.603474,13500
2012-02-15,46.150002,46.340000,45.880001,45.980000,40.295811,7900
2012-02-16,46.099998,46.549999,46.099998,46.549999,40.795345,379700
2012-02-17,46.790001,46.790001,46.299999,46.610001,40.847927,522200
2012-02-21,46.529999,46.560001,46.040001,46.259998,40.541183,77700
2012-02-22,46.570000,46.750000,46.509998,46.750000,40.970615,2800
2012-02-23,46.480000,46.540001,46.480000,46.540001,40.786579,600
2012-02-24,46.730000,46.930000,46.610001,46.810001,41.023205,24800
2012-02-27,46.000000,46.360001,46.000000,46.360001,40.628826,7600
2012-02-28,46.680000,46.880001,46.599998,46.869999,41.075779,3700
2012-02-29,47.029999,47.220001,46.720001,46.720001,40.944324,10400
2012-03-01,46.549999,46.959999,46.500000,46.860001,41.067024,53000
2012-03-02,46.700001,46.919998,46.700001,46.750000,40.970615,63400
2012-03-05,46.410000,46.410000,45.680000,45.770000,40.111763,5400
2012-03-06,44.060001,44.160000,43.910000,44.040001,38.595638,6200
2012-03-07,44.400002,44.509998,44.230000,44.349998,38.867306,324900
2012-03-08,45.459999,45.459999,45.230000,45.439999,39.822567,177900
2012-03-09,45.700001,45.980000,45.700001,45.970001,40.287045,1200
2012-03-12,45.770000,45.790001,45.590000,45.590000,39.954021,357600
2012-03-13,46.090000,46.849998,45.980000,46.820000,41.031967,493300
2012-03-14,46.209999,46.410000,45.599998,45.599998,39.962784,28800
2012-03-15,45.610001,45.930000,45.590000,45.930000,40.251991,528200
2012-03-16,45.939999,46.150002,45.750000,45.919998,40.243214,26600
2012-03-19,45.040001,45.200001,44.990002,45.040001,39.472015,9900
2012-03-20,43.910000,44.160000,43.900002,44.160000,38.700802,7400
2012-03-21,43.970001,44.250000,43.799999,44.130001,38.674507,517100
2012-03-22,43.790001,43.880001,43.400002,43.630001,38.236320,24500
2012-03-23,43.549999,43.849998,43.529999,43.810001,38.394073,451400
2012-03-26,44.130001,44.230000,44.000000,44.230000,38.762146,200700
2012-03-27,44.500000,44.500000,44.180000,44.230000,38.762146,49200
2012-03-28,43.939999,43.939999,43.330002,43.549999,38.166206,42800
2012-03-29,42.930000,42.970001,42.520000,42.970001,37.657917,390000
2012-03-30,43.720001,43.720001,43.410000,43.520000,38.139919,1387500
2012-04-02,43.389999,44.240002,43.389999,44.099998,38.648220,28100
2012-04-03,44.389999,44.490002,43.970001,44.119999,38.665741,37300
2012-04-04,43.439999,43.709999,43.230000,43.639999,38.245083,114100
2012-04-05,43.680000,44.360001,43.680000,44.360001,38.876083,29200
2012-04-09,43.590000,43.680000,43.500000,43.580002,38.192501,599500
2012-04-10,43.430000,43.430000,42.650002,42.810001,37.517696,14500
2012-04-11,43.349998,43.389999,43.009998,43.310001,37.955875,121800
2012-04-12,43.610001,44.799999,43.610001,44.799999,39.261688,22500
2012-04-13,44.669998,44.669998,44.189999,44.450001,38.954948,42500
2012-04-16,44.240002,44.240002,43.939999,43.990002,38.551815,20700
2012-04-17,44.310001,44.700001,44.090000,44.700001,39.174046,315700
2012-04-18,44.459999,44.770000,44.459999,44.660000,39.138985,10600
