<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MOMO,20180504,34.73,35.560001,34.349998,35.36000100000001,2166400.0
MOMO,20180503,35.07,35.29000100000001,34.25,35.080002,2316300.0
MOMO,20180502,35.639999,36.130001,35.07,35.43,2764700.0
MOMO,20180501,34.900002,35.66,34.66,35.580002,2417800.0
MOMO,20180430,35.650002,35.75,34.220001,34.900002,2762900.0
MOMO,20180427,36.02,36.200001,35.130001,35.75,2077200.0
MOMO,20180426,34.77,35.93,34.66,35.720001,2165900.0
MOMO,20180425,34.919998,35.0,33.400002,34.299999,2902500.0
MOMO,20180424,36.68,37.34,34.59,35.060001,4369700.0
MOMO,20180423,36.450001,36.990002,36.0,36.580002,3610500.0
MOMO,20180420,35.419998,36.700001,35.049999,36.330002,3701300.0
MOMO,20180419,35.299999,35.900002,34.889999,35.759998,2451900.0
MOMO,20180418,35.439999,35.77,34.82,35.450001,2837100.0
MOMO,20180417,34.5,35.560001,34.160999,35.419998,5748800.0
MOMO,20180416,34.939999,34.955002,33.68,34.389999,3437200.0
MOMO,20180413,35.650002,35.674999,33.419998,34.669998,5362900.0
MOMO,20180412,37.5,37.5,35.18,35.389999,5722900.0
MOMO,20180411,36.59,37.847,36.59,37.400002,2699100.0
MOMO,20180410,37.650002,37.75,36.150002,36.950001,3117100.0
MOMO,20180409,36.619999,37.59,36.549999,36.790001,2674300.0
MOMO,20180406,36.200001,37.040001,35.61000100000001,36.400002,2074700.0
MOMO,20180405,37.5,37.990002,36.66,37.07,2929300.0
MOMO,20180404,35.439999,37.205002,34.709999,37.150002,3146600.0
MOMO,20180403,37.450001,38.069,36.75,37.290001,2822900.0
MOMO,20180402,36.799999,37.619999,36.439999,36.66,2894800.0
MOMO,20180329,36.049999,37.52,35.84,37.380001,4353900.0
MOMO,20180328,36.110001,36.924999,33.5,35.61000100000001,6197100.0
MOMO,20180327,39.299999,39.48,35.529999,36.02,5931200.0
MOMO,20180326,39.73,40.0,38.060001,38.860001,3979900.0
MOMO,20180323,38.439999,39.849998,38.389999,38.900002,5128500.0
MOMO,20180322,38.619999,39.490002,38.150002,38.900002,6870200.0
MOMO,20180321,38.560001,40.450001,38.360001,39.82,7707200.0
MOMO,20180320,36.990002,38.759998,36.529999,38.759998,6711200.0
MOMO,20180319,36.709999,37.779999,36.18,36.98,4282900.0
MOMO,20180316,37.849998,38.118999,36.509998,37.200001,4805000.0
MOMO,20180315,37.5,37.970001,37.299999,37.849998,3534500.0
MOMO,20180314,37.009998,37.68,36.901001,37.27,3897600.0
MOMO,20180313,37.110001,37.279999,36.119999,36.82,3439000.0
MOMO,20180312,37.450001,37.540001,36.639999,37.040001,4090500.0
MOMO,20180309,36.099998,37.615002,35.74000200000001,37.540001,8303600.0
MOMO,20180308,37.200001,37.98,35.700001,35.74000200000001,9367700.0
MOMO,20180307,37.849998,37.860001,35.169998,37.02,23500000.0
MOMO,20180306,34.0,34.369999,33.040001000000004,33.970001,6086900.0
MOMO,20180305,32.560001,33.650002,32.369999,33.27,4501100.0
MOMO,20180302,31.790001,33.450001,31.26,32.889999,5187000.0
MOMO,20180301,33.200001,33.900002,31.559999,31.83,5349200.0
MOMO,20180228,33.299999,33.516998,32.52,33.049999,2962100.0
MOMO,20180227,33.98,34.490002000000004,33.139999,33.48,4697700.0
MOMO,20180226,34.959999,35.400002,33.610001000000004,34.200001,7931900.0
MOMO,20180223,33.580002,35.869999,33.130001,35.75,17961200.0
MOMO,20180222,32.060001,32.060001,30.15,30.530001,3919500.0
MOMO,20180221,32.700001,33.139999,31.940001,31.969999,2704200.0
MOMO,20180220,30.99,32.740002000000004,30.889999,32.360001000000004,4696200.0
MOMO,20180216,30.76,31.5,30.709999,31.049999,2573900.0
MOMO,20180215,31.0,31.955,30.4,30.84,4493900.0
MOMO,20180214,28.27,30.68,28.27,30.549999,5298200.0
MOMO,20180213,28.0,29.190001,27.73,28.290001,4228400.0
MOMO,20180212,28.33,28.67,27.99,28.32,2990200.0
MOMO,20180209,26.799999,27.85,26.209999,27.65,4173900.0
MOMO,20180208,28.200001,28.49,26.379999,26.379999,5289700.0
MOMO,20180207,27.99,28.440001,27.389999,27.799999,4010100.0
MOMO,20180206,27.35,28.870001,26.98,28.08,8460500.0
MOMO,20180205,28.700001,29.639999,28.219999,28.51,6846500.0
MOMO,20180202,30.629999,30.940001,29.290001,29.83,4722800.0
MOMO,20180201,31.110001,31.530001,30.370001,31.01,2856100.0
MOMO,20180131,31.51,31.93,31.23,31.530001,3901500.0
MOMO,20180130,30.530001,31.809999,30.059999,31.02,5525000.0
MOMO,20180129,31.35,32.18,30.73,31.690001,8937300.0
MOMO,20180126,30.290001,30.785,29.809999,30.299999,6719400.0
MOMO,20180125,29.030001,29.83,28.68,29.76,5310100.0
MOMO,20180124,29.200001,29.35,28.58,29.0,4332300.0
MOMO,20180123,29.059999,29.190001,28.450001,29.049999,5294300.0
MOMO,20180122,28.85,29.6,28.4,28.709999,5704300.0
MOMO,20180119,27.610001,29.209999,27.610001,28.6,7340000.0
MOMO,20180118,27.875,28.610001,27.02,27.41,7542900.0
MOMO,20180117,25.49,28.33,25.42,27.950001,13443700.0
MOMO,20180116,26.780001,26.82,25.07,25.129999,5642700.0
MOMO,20180112,26.99,27.120001,26.32,26.469999,4375300.0
MOMO,20180111,27.200001,27.200001,26.280001,26.870001,2640000.0
MOMO,20180110,26.700001,26.98,25.879999,26.790001,3960800.0
MOMO,20180109,28.23,28.99,26.73,27.200001,6151900.0
MOMO,20180108,27.790001,28.75,27.48,27.940001,6020100.0
MOMO,20180105,27.32,27.99,27.129999,27.83,4679100.0
MOMO,20180104,26.16,27.870001,25.92,26.870001,5741200.0
MOMO,20180103,26.290001,26.309999,25.67,25.9,2772600.0
MOMO,20180102,24.84,26.08,24.84,25.860001,3420900.0
MOMO,20171229,25.040001,25.139999,24.360001,24.48,3205600.0
MOMO,20171228,25.610001,25.870001,24.9,25.120001,1978200.0
MOMO,20171227,25.209999,25.82,25.110001,25.620001,2158400.0
MOMO,20171226,25.52,25.65,25.075001,25.23,2338700.0
MOMO,20171222,25.23,25.969999,25.129999,25.42,2635300.0
MOMO,20171221,25.959999,26.15,25.23,25.469999,4109200.0
MOMO,20171220,26.0,26.290001,25.860001,26.02,2673000.0
MOMO,20171219,25.5,26.26,25.41,25.860001,4385700.0
MOMO,20171218,25.17,25.74,24.67,25.360001,3179600.0
MOMO,20171215,24.9,25.23,24.83,25.08,3786000.0
MOMO,20171214,24.690001,25.08,24.4,24.889999,2540000.0
MOMO,20171213,24.99,25.66,24.719999,24.77,3832500.0
MOMO,20171212,24.68,24.9,24.049999,24.75,3028400.0
MOMO,20171211,24.26,25.469999,24.201999999999998,24.77,4284900.0
MOMO,20171208,24.15,24.739,24.02,24.440001,4142500.0
MOMO,20171207,23.469999,24.42,23.450001,23.799999,3603000.0
MOMO,20171206,23.360001,23.82,22.889999,23.440001,3765300.0
MOMO,20171205,24.219999,24.690001,23.6,23.84,6097800.0
