<Ticker>,<DTYYYMMDD>,<Open>,High,<Low>,<close>,<Volume>
NFLX,20180504,308.709991,320.980011,307.670013,320.089996,8209500
NFLX,20180503,312.589996,312.589996,305.730011,311.690002,6135800
NFLX,20180502,311.649994,317.100006,310.399994,313.359985,5697100
NFLX,20180501,310.359985,313.480011,306.690002,313.299988,6036600
NFLX,20180430,311.070007,317.880005,310.119995,312.459991,6088800
NFLX,20180427,316.25,317.450012,306.5,311.76001,7074400
NFLX,20180426,310.0,316.630005,305.579987,313.980011,9266700
NFLX,20180425,306.369995,309.980011,292.619995,305.76001,14919700
NFLX,20180424,319.22000099999997,320.25,302.309998,307.019989,13893200
NFLX,20180423,329.149994,331.22000099999997,317.079987,318.690002,8968000
NFLX,20180420,332.22000099999997,336.51001,326.0,327.769989,9158700
NFLX,20180419,332.880005,335.309998,326.769989,332.700012,8438800
NFLX,20180418,336.299988,338.820007,331.100006,334.519989,11221100
NFLX,20180417,329.660004,338.619995,323.769989,336.059998,33866500
NFLX,20180416,315.98999,316.100006,304.0,307.77999900000003,20307900
NFLX,20180413,317.290009,317.48999,308.230011,311.649994,12046600
NFLX,20180412,309.72000099999997,311.130005,306.75,309.25,10249400
NFLX,20180411,302.880005,311.640015,301.820007,303.670013,14877400
NFLX,20180410,297.679993,298.950012,291.690002,298.070007,10660500
NFLX,20180409,291.769989,299.549988,289.119995,289.929993,9853600
NFLX,20180406,289.100006,298.850006,285.649994,288.850006,11444800
NFLX,20180405,293.149994,299.160004,289.109985,293.97000099999997,10655200
NFLX,20180404,273.630005,290.309998,271.22000099999997,288.940002,12914000
NFLX,20180403,285.450012,291.25,278.01001,283.670013,12694900
NFLX,20180402,291.940002,292.869995,275.049988,280.290009,13405800
NFLX,20180329,287.0,295.350006,275.899994,295.350006,19145500
NFLX,20180328,298.390015,298.799988,281.609985,285.769989,18972900
NFLX,20180327,322.48999,322.899994,297.0,300.690002,12068600
NFLX,20180326,309.359985,321.02999900000003,302.0,320.350006,11988300
NFLX,20180323,307.410004,309.369995,300.359985,300.940002,9529900
