<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
NUAN,20180504,14.61,15.04,14.56,14.88,2026800
NUAN,20180503,14.55,14.72,14.45,14.66,1048800
NUAN,20180502,14.83,14.88,14.58,14.59,1228300
NUAN,20180501,14.7,14.8,14.54,14.77,1341400
NUAN,20180430,14.8,14.91,14.66,14.72,1078700
NUAN,20180427,14.82,14.9,14.67,14.78,1814600
NUAN,20180426,14.7,14.92,14.65,14.81,994300
NUAN,20180425,14.72,14.81,14.5,14.64,1391300
NUAN,20180424,14.96,15.09,14.6,14.76,1227900
NUAN,20180423,15.0,15.12,14.84,14.91,767000
NUAN,20180420,15.14,15.29,14.96,15.01,1371900
NUAN,20180419,15.23,15.35,15.08,15.19,985800
NUAN,20180418,15.41,15.52,15.28,15.31,1301400
NUAN,20180417,15.13,15.61,15.13,15.41,2022100
NUAN,20180416,14.93,15.19,14.83,15.06,1428000
NUAN,20180413,15.12,15.15,14.8,14.88,1209000
NUAN,20180412,15.15,15.18,14.96,15.04,1377800
NUAN,20180411,14.96,15.17,14.9,15.03,1347200
NUAN,20180410,15.1,15.27,14.67,15.05,2667100
NUAN,20180409,15.1,15.22,14.92,14.93,1611900
NUAN,20180406,15.21,15.35,14.95,15.01,1227300
NUAN,20180405,15.4,15.6,15.28,15.33,1775300
NUAN,20180404,14.99,15.31,14.9,15.29,2964100
NUAN,20180403,15.42,15.44,15.02,15.24,2195600
NUAN,20180402,15.68,15.75,15.17,15.3,1892300
NUAN,20180329,15.3,15.82,15.23,15.75,2840000
NUAN,20180328,15.59,15.77,15.28,15.29,2696600
NUAN,20180327,16.190001000000002,16.26,15.45,15.53,3535400
NUAN,20180326,16.02,16.09,15.79,16.08,2385700
NUAN,20180323,16.41,16.450001,15.8,15.82,2284200
NUAN,20180322,16.85,17.57,16.33,16.35,5457300
NUAN,20180321,16.93,17.02,16.790001,16.85,1532000
NUAN,20180320,17.16,17.219998999999998,16.93,16.98,1257400
NUAN,20180319,17.309998999999998,17.379998999999998,16.98,17.17,1424000
NUAN,20180316,17.700001,17.98,17.370001000000002,17.43,2968700
NUAN,20180315,17.35,17.77,17.200001,17.68,4321700
NUAN,20180314,17.51,17.620001000000002,17.24,17.48,1778100
NUAN,20180313,17.969998999999998,18.030001000000002,17.360001,17.4,3603700
NUAN,20180312,17.559998999999998,18.17,17.389999,17.959999,4579100
NUAN,20180309,17.610001,17.74,17.33,17.57,2823300
NUAN,20180308,16.809998999999998,17.59,16.75,17.58,5219400
NUAN,20180307,16.219998999999998,16.74,16.139999,16.709999,2576700
NUAN,20180306,16.450001,16.559998999999998,16.27,16.309998999999998,1264900
NUAN,20180305,16.35,16.52,16.27,16.360001,1664200
NUAN,20180302,15.89,16.389999,15.83,16.379998999999998,1220400
NUAN,20180301,16.110001,16.280001000000002,15.84,16.049999,2155200
NUAN,20180228,16.07,16.280001000000002,16.049999,16.059998999999998,1882900
NUAN,20180227,16.360001,16.4,16.040001,16.040001,1225900
NUAN,20180226,16.26,16.43,16.209999,16.33,1288800
NUAN,20180223,16.24,16.299999,16.049999,16.24,1413000
NUAN,20180222,16.190001000000002,16.51,16.18,16.209999,1689300
NUAN,20180221,16.610001,16.719998999999998,16.27,16.280001000000002,2243400
NUAN,20180220,16.530001000000002,16.860001,16.5,16.559998999999998,2172800
NUAN,20180216,16.49,16.790001,16.49,16.66,2002700
NUAN,20180215,16.41,16.76,16.41,16.6,2356700
NUAN,20180214,16.01,16.450001,15.99,16.42,2698800
NUAN,20180213,15.95,16.290001,15.95,16.110001,1808300
NUAN,20180212,16.17,16.389999,15.89,16.1,7466400
NUAN,20180209,16.799999,16.9,15.61,16.1,6245600
NUAN,20180208,17.129998999999998,17.23,16.299999,16.309998999999998,2808700
NUAN,20180207,16.98,17.25,16.889999,17.059998999999998,2748200
NUAN,20180206,16.51,17.040001,16.299999,16.969998999999998,3469000
NUAN,20180205,17.32,17.65,16.870001000000002,16.889999,2294000
NUAN,20180202,17.67,17.73,17.370001000000002,17.469998999999998,1710400
NUAN,20180201,17.75,18.139999,17.58,17.700001,1996600
NUAN,20180131,17.719998999999998,17.9,17.58,17.809998999999998,1812900
NUAN,20180130,17.700001,17.82,17.540001,17.68,2316400
NUAN,20180129,18.09,18.1,17.82,17.85,2348000
NUAN,20180126,17.959999,18.18,17.709999,18.139999,1983600
NUAN,20180125,18.110001,18.25,17.85,17.92,2037200
NUAN,20180124,18.4,18.549999,18.07,18.110001,2538800
NUAN,20180123,18.459999,18.75,18.18,18.360001,6213900
NUAN,20180122,18.5,18.74,17.75,18.68,8892800
NUAN,20180119,16.719998999999998,17.059998999999998,16.65,17.01,2349300
NUAN,20180118,17.01,17.1,16.68,16.709999,1913900
NUAN,20180117,17.110001,17.200001,16.940001000000002,16.969998999999998,1820300
NUAN,20180116,17.17,17.4,17.07,17.09,2608700
NUAN,20180112,17.16,17.26,17.01,17.09,1862500
NUAN,20180111,17.33,17.4,16.99,17.129998999999998,2265500
NUAN,20180110,17.4,17.43,17.120001000000002,17.32,3035400
NUAN,20180109,17.290001,17.65,17.07,17.42,5478200
NUAN,20180108,16.940001000000002,17.190001000000002,16.719998999999998,17.110001,3162600
NUAN,20180105,17.15,17.309998999999998,16.959999,16.959999,2201800
NUAN,20180104,17.01,17.299999,17.0,17.110001,2957000
NUAN,20180103,16.799999,17.01,16.700001,16.940001000000002,3090100
NUAN,20180102,16.450001,16.65,16.370001000000002,16.620001000000002,1704900
NUAN,20171229,16.389999,16.5,16.25,16.35,2304100
NUAN,20171228,16.469998999999998,16.5,16.299999,16.379998999999998,1693400
NUAN,20171227,16.450001,16.59,16.33,16.42,2050200
NUAN,20171226,16.5,16.5,16.290001,16.459999,867000
NUAN,20171222,16.52,16.65,16.43,16.549999,1506100
NUAN,20171221,16.48,16.610001,16.43,16.52,1739000
NUAN,20171220,16.67,16.690001000000002,16.450001,16.469998999999998,2656700
NUAN,20171219,16.700001,16.77,16.450001,16.58,4193700
NUAN,20171218,16.98,17.040001,16.52,16.639999,6029000
NUAN,20171215,16.68,16.959999,16.549999,16.870001000000002,3627100
NUAN,20171214,16.610001,16.790001,16.49,16.59,3242400
NUAN,20171213,16.360001,17.030001000000002,16.35,16.6,8128500
NUAN,20171212,15.73,16.450001,15.66,16.389999,5509000
NUAN,20171211,15.58,15.78,15.46,15.64,2967800
NUAN,20171208,15.59,15.71,15.47,15.6,2265000
NUAN,20171207,15.43,15.61,15.33,15.51,3162300
NUAN,20171206,14.81,15.6,14.76,15.49,5515900
NUAN,20171205,15.25,15.33,14.97,15.06,4130700
NUAN,20171204,15.87,16.02,15.27,15.29,4158100
NUAN,20171201,15.45,15.92,15.36,15.8,5734100
NUAN,20171130,16.57,16.59,15.24,15.54,24587300
NUAN,20171129,17.200001,17.719998999999998,16.309998999999998,16.370001000000002,18897900
NUAN,20171128,15.24,15.94,15.2,15.86,7330100
NUAN,20171127,15.46,15.56,15.01,15.31,4273400
NUAN,20171124,14.64,14.83,14.53,14.74,1312000
NUAN,20171122,14.65,14.88,14.5,14.63,2953900
NUAN,20171121,14.55,14.76,14.45,14.67,3203400
NUAN,20171120,14.46,14.54,14.28,14.52,1987900
NUAN,20171117,14.46,14.47,14.25,14.44,2178700
NUAN,20171116,14.31,14.51,14.2,14.44,1832000
NUAN,20171115,14.23,14.38,14.02,14.19,2689100
NUAN,20171114,14.65,14.65,14.26,14.29,4051600
NUAN,20171113,14.68,14.93,14.46,14.76,2305600
NUAN,20171110,14.94,15.07,14.78,14.79,1686300
NUAN,20171109,15.01,15.36,14.77,14.99,2502900
NUAN,20171108,14.94,15.14,14.84,15.13,1450900
NUAN,20171107,15.29,15.29,14.85,14.96,2436100
NUAN,20171106,15.3,15.3,14.98,15.27,2281400
NUAN,20171103,15.5,15.5,15.03,15.31,2405500
NUAN,20171102,15.54,16.0,15.07,15.4,4883100
NUAN,20171101,14.75,15.05,14.64,14.75,2397300
NUAN,20171031,14.78,14.93,14.7,14.74,3280800
NUAN,20171030,14.93,15.06,14.73,14.76,1945000
NUAN,20171027,15.32,15.35,14.78,14.94,2389200
NUAN,20171026,14.94,15.29,14.75,15.23,4190300
NUAN,20171025,14.98,15.1,14.75,14.95,2046500
NUAN,20171024,15.29,15.42,15.02,15.05,2462700
NUAN,20171023,15.65,15.65,15.29,15.31,1291100
NUAN,20171020,15.34,15.78,15.27,15.65,2144000
NUAN,20171019,15.51,15.56,15.22,15.32,2740300
NUAN,20171018,15.57,15.66,15.41,15.66,1845600
NUAN,20171017,15.54,15.67,15.49,15.57,1652200
NUAN,20171016,15.77,15.8,15.46,15.52,1355200
NUAN,20171013,15.89,15.98,15.73,15.75,1466200
NUAN,20171012,15.75,15.98,15.75,15.86,1492800
NUAN,20171011,15.91,15.94,15.68,15.8,1771100
NUAN,20171010,15.9,16.08,15.86,15.91,1636100
NUAN,20171009,15.96,16.0,15.84,15.89,966500
NUAN,20171006,15.82,16.059998999999998,15.76,16.0,2453100
NUAN,20171005,16.0,16.0,15.78,15.87,1804500
NUAN,20171004,15.87,16.09,15.75,15.94,2393900
NUAN,20171003,15.9,15.98,15.75,15.87,1441300
NUAN,20171002,15.72,15.93,15.53,15.9,1921700
NUAN,20170929,15.51,15.89,15.45,15.72,7686100
NUAN,20170928,15.55,15.59,15.39,15.5,2469200
NUAN,20170927,15.5,15.71,15.39,15.55,1862600
NUAN,20170926,15.81,15.81,15.38,15.44,3435300
NUAN,20170925,16.0,16.049999,15.57,15.75,1828600
NUAN,20170922,15.8,16.09,15.77,16.049999,1101400
NUAN,20170921,16.01,16.07,15.82,15.87,1034400
NUAN,20170920,16.120001000000002,16.190001000000002,15.9,16.0,1474800
NUAN,20170919,16.32,16.32,16.120001000000002,16.129998999999998,1257900
NUAN,20170918,16.34,16.35,16.18,16.23,1156000
NUAN,20170915,16.309998999999998,16.440001000000002,16.200001,16.290001,1572800
NUAN,20170914,16.27,16.49,16.15,16.360001,1716000
NUAN,20170913,16.09,16.440001000000002,16.030001000000002,16.33,2343400
NUAN,20170912,15.94,16.110001,15.8,16.08,932800
NUAN,20170911,15.69,16.0,15.69,15.93,1557300
NUAN,20170908,15.76,15.8,15.54,15.58,964100
NUAN,20170907,15.92,15.92,15.75,15.75,1346100
NUAN,20170906,15.83,16.0,15.68,15.91,1949400
NUAN,20170905,15.84,15.99,15.71,15.79,1361100
NUAN,20170901,16.059998999999998,16.209999,15.88,15.89,1237600
NUAN,20170831,16.059998999999998,16.120001000000002,15.84,16.07,1774000
NUAN,20170830,15.66,16.049999,15.66,16.040001,2688800
NUAN,20170829,15.57,15.76,15.52,15.67,957700
NUAN,20170828,15.83,15.84,15.71,15.74,1157800
NUAN,20170825,16.049999,16.09,15.83,15.83,1248600
NUAN,20170824,15.96,16.139999,15.92,16.040001,1665800
NUAN,20170823,15.84,16.040001,15.68,15.94,1276700
NUAN,20170822,15.72,16.0,15.71,15.93,910200
NUAN,20170821,15.69,15.86,15.62,15.67,1708700
NUAN,20170818,15.83,15.97,15.66,15.7,1961400
NUAN,20170817,16.15,16.27,15.84,15.86,1439100
NUAN,20170816,16.190001000000002,16.34,16.040001,16.219998999999998,2463300
NUAN,20170815,16.4,16.48,16.17,16.18,1191900
NUAN,20170814,16.299999,16.370001000000002,16.0,16.33,2459800
NUAN,20170811,16.360001,16.559998999999998,16.139999,16.15,2101800
NUAN,20170810,16.540001,16.82,16.32,16.360001,3158000
NUAN,20170809,15.75,17.120001000000002,15.7,16.719998999999998,6212200
NUAN,20170808,16.92,17.17,16.91,17.02,2392200
NUAN,20170807,16.860001,17.059998999999998,16.780001000000002,17.0,3340300
NUAN,20170804,16.690001000000002,16.870001000000002,16.620001000000002,16.85,1019700
NUAN,20170803,16.870001000000002,16.950001,16.6,16.700001,1920900
NUAN,20170802,17.370001000000002,17.370001000000002,16.809998999999998,16.860001,1621500
NUAN,20170801,17.360001,17.4,17.02,17.299999,1716400
NUAN,20170731,17.309998999999998,17.41,17.110001,17.299999,1799200
NUAN,20170728,16.99,17.309998999999998,16.959999,17.26,1317100
NUAN,20170727,17.469998999999998,17.5,16.889999,17.09,1768400
NUAN,20170726,17.469998999999998,17.469998999999998,17.26,17.360001,1264700
NUAN,20170725,17.48,17.52,17.32,17.389999,1890700
NUAN,20170724,17.129998999999998,17.52,17.059998999999998,17.450001,3320100
NUAN,20170721,16.309998999999998,17.469998999999998,16.200001,17.200001,5388800
NUAN,20170720,17.549999,17.57,16.6,16.85,5197000
NUAN,20170719,17.389999,17.59,17.209999,17.549999,2893200
NUAN,20170718,17.24,17.35,17.120001000000002,17.35,1715800
NUAN,20170717,17.459999,17.559998999999998,17.23,17.280001000000002,2634200
NUAN,20170714,17.57,17.639999,17.190001000000002,17.450001,3697200
NUAN,20170713,17.889999,17.969998999999998,17.49,17.5,2357300
NUAN,20170712,17.58,17.879998999999998,17.52,17.870001000000002,2728600
NUAN,20170711,17.389999,17.559998999999998,17.27,17.41,2561200
NUAN,20170710,17.24,17.540001,17.219998999999998,17.450001,2691600
NUAN,20170707,17.24,17.389999,17.200001,17.24,1782600
NUAN,20170706,17.190001000000002,17.25,17.129998999999998,17.17,2920000
NUAN,20170705,17.209999,17.5,17.139999,17.34,2809400
NUAN,20170703,17.5,17.610001,17.129998999999998,17.16,1581500
NUAN,20170630,17.5,17.73,17.379998999999998,17.41,3109400
NUAN,20170629,18.139999,18.200001,17.57,17.57,3501400
NUAN,20170628,18.23,18.6,17.74,18.17,4556800
NUAN,20170627,18.700001,18.709999,18.209999,18.23,2610200
NUAN,20170626,18.85,19.07,18.51,18.73,3223300
NUAN,20170623,18.98,19.040001,18.690001000000002,18.84,11991600
NUAN,20170622,18.73,18.99,18.629998999999998,18.790001,2335000
NUAN,20170621,18.309998999999998,18.66,18.24,18.639999,3222300
NUAN,20170620,18.42,18.620001000000002,18.200001,18.23,2019300
NUAN,20170619,18.299999,18.51,18.27,18.440001000000002,2006500
NUAN,20170616,18.33,18.360001,18.15,18.200001,2304200
NUAN,20170615,18.27,18.469998999999998,18.139999,18.26,2528600
NUAN,20170614,18.6,18.6,18.299999,18.5,3547100
NUAN,20170613,18.51,18.620001000000002,18.32,18.549999,3760500
NUAN,20170612,18.5,18.59,18.08,18.379998999999998,2943500
NUAN,20170609,19.25,19.34,18.43,18.620001000000002,2249600
NUAN,20170608,19.040001,19.17,18.98,19.16,1196400
NUAN,20170607,19.16,19.200001,18.83,18.969998999999998,1553800
NUAN,20170606,19.129998999999998,19.34,19.030001000000002,19.1,1855200
NUAN,20170605,19.290001,19.49,19.17,19.18,2036800
NUAN,20170602,19.139999,19.440001000000002,18.9,19.309998999999998,3232900
NUAN,20170601,18.559998999999998,19.08,18.530001000000002,19.08,2656500
NUAN,20170531,18.780001000000002,18.91,18.309998999999998,18.51,4297400
NUAN,20170530,18.68,19.139999,18.639999,18.809998999999998,2563500
NUAN,20170526,18.780001000000002,18.92,18.639999,18.709999,1367700
NUAN,20170525,18.85,18.9,18.690001000000002,18.860001,2059000
NUAN,20170524,18.809998999999998,18.92,18.73,18.790001,1843400
NUAN,20170523,18.969998999999998,19.0,18.77,18.82,3719100
NUAN,20170522,18.799999,18.99,18.73,18.870001000000002,2069200
