<Ticker>,<DTYYYMMDD>,<Open>,High,<Low>,<close>,<Volume>
QQQ,20180504,161.100006,165.25,160.979996,164.869995,41543200
QQQ,20180503,161.0,162.399994,159.220001,161.800003,60337100
QQQ,20180502,163.059998,163.570007,161.630005,161.820007,38646800
QQQ,20180501,160.520004,162.800003,160.139999,162.779999,36513500
QQQ,20180430,162.470001,163.479996,160.53999299999998,160.940002,35615300
QQQ,20180427,164.369995,164.41000400000001,161.169998,162.08999599999999,51043400
QQQ,20180426,160.699997,162.529999,160.179993,161.990005,43005500
QQQ,20180425,158.740005,159.309998,156.470001,158.649994,52089300
QQQ,20180424,162.66000400000001,162.91000400000001,157.389999,158.46000700000002,70256800
QQQ,20180423,163.08999599999999,163.729996,161.020004,161.889999,33040600
QQQ,20180420,164.490005,164.610001,161.729996,162.300003,49197100
QQQ,20180419,165.600006,165.990005,164.33999599999999,164.91000400000001,34705700
QQQ,20180418,166.100006,167.0,165.309998,166.440002,29573900
QQQ,20180417,164.240005,166.46000700000002,163.91000400000001,166.100006,35536100
QQQ,20180416,162.5,163.190002,161.479996,162.600006,28180800
QQQ,20180413,163.020004,163.259995,160.669998,161.369995,44604900
QQQ,20180412,161.25,162.770004,161.16000400000001,162.21000700000002,30467900
QQQ,20180411,160.199997,162.0,160.100006,160.279999,41622100
QQQ,20180410,160.21000700000002,161.729996,159.070007,161.21000700000002,48296800
QQQ,20180409,157.979996,160.880005,157.46000700000002,157.729996,41810400
QQQ,20180406,158.880005,160.46000700000002,155.880005,156.630005,59870900
QQQ,20180405,161.330002,161.580002,159.479996,160.649994,43054900
QQQ,20180404,154.220001,160.229996,154.03999299999998,159.740005,65768700
QQQ,20180403,156.869995,157.919998,154.440002,157.259995,64090000
QQQ,20180402,158.990005,159.740005,153.880005,155.509995,85549400
QQQ,20180329,158.100006,161.71000700000002,156.630005,160.130005,68692600
QQQ,20180328,158.169998,159.779999,156.03999299999998,157.25,89369700
