<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
SIRI,20180504,6.45,6.72,6.44,6.67,30706800
SIRI,20180503,6.31,6.54,6.31,6.5,25114900
SIRI,20180502,6.32,6.4,6.3,6.32,15298300
SIRI,20180501,6.34,6.34,6.21,6.32,11357800
SIRI,20180430,6.34,6.38,6.28,6.33,10949700
SIRI,20180427,6.31,6.4,6.27,6.3,14619900
SIRI,20180426,6.28,6.38,6.24,6.31,14576800
SIRI,20180425,6.3,6.33,6.2,6.25,21015200
SIRI,20180424,6.32,6.4,6.26,6.27,24994100
SIRI,20180423,6.31,6.36,6.28,6.33,16572000
SIRI,20180420,6.35,6.37,6.28,6.31,14045400
SIRI,20180419,6.33,6.5,6.28,6.34,19871000
SIRI,20180418,6.25,6.36,6.25,6.36,9708800
SIRI,20180417,6.22,6.3,6.19,6.25,13282900
SIRI,20180416,6.2,6.21,6.12,6.17,14966100
SIRI,20180413,6.23,6.28,6.16,6.19,12997600
SIRI,20180412,6.26,6.31,6.21,6.23,11609200
SIRI,20180411,6.27,6.3,6.23,6.25,11903700
SIRI,20180410,6.32,6.34,6.25,6.27,18040200
SIRI,20180409,6.29,6.35,6.24,6.26,14529300
SIRI,20180406,6.27,6.34,6.21,6.26,15790800
SIRI,20180405,6.32,6.36,6.28,6.31,9781800
SIRI,20180404,6.14,6.33,6.12,6.29,16060100
SIRI,20180403,6.12,6.23,6.12,6.16,14542200
SIRI,20180402,6.21,6.26,6.08,6.11,16682700
SIRI,20180329,6.21,6.32,6.2,6.24,18106300
SIRI,20180328,6.22,6.27,6.16,6.18,16768700
SIRI,20180327,6.35,6.37,6.16,6.2,19675200
SIRI,20180326,6.27,6.32,6.2,6.32,16234000
SIRI,20180323,6.26,6.33,6.17,6.17,17380600
SIRI,20180322,6.24,6.34,6.24,6.26,14371100
SIRI,20180321,6.32,6.43,6.32,6.37,15094700
SIRI,20180320,6.34,6.38,6.31,6.32,12411400
SIRI,20180319,6.45,6.45,6.3,6.34,15845500
SIRI,20180316,6.46,6.49,6.41,6.48,21326900
SIRI,20180315,6.49,6.5,6.39,6.4,12329200
SIRI,20180314,6.56,6.56,6.4,6.48,22292800
SIRI,20180313,6.54,6.61,6.51,6.53,13301000
SIRI,20180312,6.54,6.61,6.49,6.6,13009000
SIRI,20180309,6.48,6.55,6.47,6.54,12375000
SIRI,20180308,6.5,6.51,6.44,6.48,11214300
SIRI,20180307,6.37,6.54,6.33,6.47,20258600
SIRI,20180306,6.35,6.38,6.27,6.36,15614200
SIRI,20180305,6.26,6.35,6.24,6.32,12715500
SIRI,20180302,6.23,6.32,6.21,6.3,22370600
SIRI,20180301,6.2,6.38,6.18,6.29,36371400
SIRI,20180228,6.32,6.35,6.27,6.28,16643600
SIRI,20180227,6.34,6.38,6.27,6.29,18668800
SIRI,20180226,6.29,6.36,6.27,6.33,19820600
SIRI,20180223,6.2,6.3,6.16,6.27,15320500
SIRI,20180222,6.14,6.27,6.13,6.15,24716100
SIRI,20180221,6.13,6.22,6.11,6.13,20611200
SIRI,20180220,6.11,6.13,6.05,6.11,11877900
SIRI,20180216,6.19,6.2,6.08,6.11,24615500
SIRI,20180215,6.07,6.23,6.06,6.15,23450000
SIRI,20180214,5.95,6.11,5.91,6.09,19053800
SIRI,20180213,5.81,6.0,5.81,5.96,17024200
SIRI,20180212,5.8,5.93,5.76,5.85,15827800
SIRI,20180209,5.87,5.9,5.68,5.82,33658000
SIRI,20180208,5.99,6.01,5.84,5.85,28943100
SIRI,20180207,6.0,6.1,5.97,6.0,23116600
SIRI,20180206,5.97,6.1,5.88,6.05,35045500
SIRI,20180205,6.13,6.27,6.02,6.02,30004400
SIRI,20180202,6.1,6.22,6.09,6.11,20626300
SIRI,20180201,6.02,6.18,6.02,6.11,17693200
SIRI,20180131,5.89,6.14,5.85,6.11,29616600
SIRI,20180130,5.99,6.04,5.9,5.95,25551400
SIRI,20180129,6.07,6.08,5.91,5.98,34923300
SIRI,20180126,5.77,6.28,5.76,5.98,42598600
SIRI,20180125,5.76,5.82,5.74,5.77,18851400
SIRI,20180124,5.73,5.76,5.69,5.73,20935100
SIRI,20180123,5.62,5.69,5.58,5.68,18499400
SIRI,20180122,5.55,5.73,5.54,5.65,21594300
SIRI,20180119,5.56,5.64,5.51,5.6,26329900
SIRI,20180118,5.42,5.54,5.41,5.47,13486300
SIRI,20180117,5.41,5.5,5.4,5.44,19092500
SIRI,20180116,5.49,5.49,5.37,5.38,20692500
SIRI,20180112,5.51,5.52,5.47,5.48,15779500
SIRI,20180111,5.57,5.59,5.45,5.5,24973300
SIRI,20180110,5.35,5.58,5.35,5.56,54595100
SIRI,20180109,5.33,5.39,5.3,5.31,19410300
SIRI,20180108,5.29,5.35,5.29,5.31,16328400
SIRI,20180105,5.33,5.35,5.27,5.33,17290000
SIRI,20180104,5.21,5.36,5.21,5.31,27002000
SIRI,20180103,5.19,5.28,5.17,5.21,28964500
SIRI,20180102,5.27,5.31,5.19,5.21,30568100
SIRI,20171229,5.37,5.42,5.35,5.36,10635400
SIRI,20171228,5.39,5.4,5.34,5.38,8600600
SIRI,20171227,5.42,5.44,5.38,5.39,9565900
SIRI,20171226,5.35,5.51,5.35,5.42,14677400
SIRI,20171222,5.26,5.38,5.26,5.37,15247500
SIRI,20171221,5.26,5.3,5.24,5.27,24970100
SIRI,20171220,5.33,5.35,5.25,5.26,19580500
SIRI,20171219,5.42,5.45,5.32,5.32,22414000
SIRI,20171218,5.31,5.48,5.31,5.43,32605200
SIRI,20171215,5.7,5.71,5.2,5.37,95984900
SIRI,20171214,5.69,5.74,5.66,5.66,13491300
SIRI,20171213,5.69,5.73,5.68,5.69,13319500
SIRI,20171212,5.64,5.72,5.62,5.69,12568600
SIRI,20171211,5.64,5.67,5.61,5.64,15173000
SIRI,20171208,5.68,5.69,5.62,5.64,10497300
SIRI,20171207,5.59,5.7,5.57,5.63,17854800
SIRI,20171206,5.73,5.74,5.57,5.6,21147200
SIRI,20171205,5.62,5.74,5.6,5.74,26126400
SIRI,20171204,5.54,5.67,5.53,5.61,20409600
SIRI,20171201,5.46,5.57,5.45,5.54,22300300
SIRI,20171130,5.45,5.55,5.44,5.5,15930300
SIRI,20171129,5.43,5.55,5.43,5.48,19204100
SIRI,20171128,5.43,5.45,5.4,5.43,15124300
SIRI,20171127,5.41,5.47,5.4,5.44,15891100
SIRI,20171124,5.43,5.47,5.42,5.44,7844200
SIRI,20171122,5.46,5.49,5.42,5.44,14091200
SIRI,20171121,5.46,5.51,5.45,5.46,13265300
SIRI,20171120,5.47,5.49,5.42,5.43,11537800
SIRI,20171117,5.42,5.49,5.38,5.46,11915900
SIRI,20171116,5.36,5.44,5.35,5.4,17047100
SIRI,20171115,5.35,5.39,5.3,5.38,14497700
SIRI,20171114,5.48,5.49,5.3,5.35,23927000
SIRI,20171113,5.32,5.5,5.32,5.5,24647000
SIRI,20171110,5.28,5.41,5.28,5.34,18671500
SIRI,20171109,5.34,5.4,5.28,5.31,15190400
SIRI,20171108,5.31,5.38,5.31,5.36,15843800
SIRI,20171107,5.35,5.4,5.31,5.34,12812700
SIRI,20171106,5.29,5.4,5.29,5.35,12428100
SIRI,20171103,5.3,5.34,5.26,5.3,16733100
SIRI,20171102,5.41,5.43,5.3,5.34,20639400
SIRI,20171101,5.47,5.52,5.38,5.44,23138600
