<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
TLT,20180504,119.230003,119.230003,118.489998,118.989998,4283500
TLT,20180503,118.839996,119.309998,118.68,118.809998,6345300
TLT,20180502,118.639999,118.870003,118.260002,118.279999,4644000
TLT,20180501,118.769997,118.839996,118.230003,118.410004,7979200
TLT,20180430,119.08000200000001,119.559998,118.940002,119.099998,8321100
TLT,20180427,118.470001,118.949997,118.440002,118.889999,5401800
TLT,20180426,117.730003,118.129997,117.589996,117.980003,6528600
TLT,20180425,117.410004,117.650002,116.940002,117.160004,6603800
TLT,20180424,118.209999,118.449997,117.760002,117.949997,8190800
TLT,20180423,118.33000200000001,118.620003,118.08000200000001,118.489998,7073200
TLT,20180420,118.889999,119.129997,118.43,118.459999,7579400
TLT,20180419,119.41999799999999,119.529999,118.809998,119.32,9875800
TLT,20180418,121.290001,121.339996,120.279999,120.300003,8138400
TLT,20180417,120.91999799999999,121.58000200000001,120.82,121.269997,5590400
TLT,20180416,120.230003,120.970001,120.18,120.940002,4491300
TLT,20180413,120.519997,121.129997,120.5,120.900002,4964000
TLT,20180412,121.040001,121.07,120.410004,120.620003,6622800
TLT,20180411,121.849998,121.889999,121.269997,121.510002,5901300
TLT,20180410,121.199997,121.379997,120.779999,121.08000200000001,6046000
TLT,20180409,120.639999,121.300003,120.349998,121.300003,6307500
TLT,20180406,120.660004,121.150002,120.220001,121.099998,8831200
TLT,20180405,120.099998,120.269997,119.769997,119.790001,7603700
TLT,20180404,121.349998,121.459999,120.599998,120.690002,6654300
TLT,20180403,121.360001,121.480003,120.83000200000001,120.940002,9855000
TLT,20180402,121.349998,122.360001,121.160004,121.879997,12036500
TLT,20180329,121.540001,122.290001,121.510002,121.900002,9694300
TLT,20180328,121.449997,121.639999,120.949997,121.309998,7412500
TLT,20180327,119.83000200000001,121.120003,119.809998,120.989998,9168500
TLT,20180326,120.0,120.449997,119.66999799999999,119.709999,8237900
TLT,20180323,119.68,120.309998,119.620003,120.16999799999999,7250400
TLT,20180322,120.309998,120.82,119.66999799999999,120.260002,12136600
TLT,20180321,118.660004,119.41999799999999,118.110001,119.08000200000001,9742400
TLT,20180320,118.910004,119.220001,118.83000200000001,118.949997,5446000
TLT,20180319,119.209999,119.970001,119.199997,119.43,8491200
TLT,20180316,119.800003,120.010002,119.550003,119.809998,6084300
TLT,20180315,120.16999799999999,120.489998,119.93,120.239998,6757900
TLT,20180314,119.400002,120.400002,119.370003,120.239998,10175000
TLT,20180313,118.309998,119.370003,118.190002,119.190002,7455300
TLT,20180312,118.309998,118.660004,118.190002,118.589996,5801300
