Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,7207500.000000,7347500.000000,7012500.000000,7127500.000000,7127500.000000,0
2012-01-04,7330000.000000,7470000.000000,6832500.000000,6850000.000000,6850000.000000,0
2012-01-05,7037500.000000,7175000.000000,6522500.000000,6540000.000000,6540000.000000,0
2012-01-06,6460000.000000,6705000.000000,6200000.000000,6325000.000000,6325000.000000,0
2012-01-09,6217500.000000,6330000.000000,6065000.000000,6155000.000000,6155000.000000,0
2012-01-10,5777500.000000,5960000.000000,5652500.000000,5885000.000000,5885000.000000,0
2012-01-11,6000000.000000,6122500.000000,5945000.000000,6085000.000000,6085000.000000,0
2012-01-12,6022500.000000,6475000.000000,5887500.000000,5895000.000000,5895000.000000,0
2012-01-13,6162500.000000,6580000.000000,6157500.000000,6207500.000000,6207500.000000,0
2012-01-17,5802500.000000,6202500.000000,5625000.000000,6110000.000000,6110000.000000,0
2012-01-18,6045000.000000,6185000.000000,5662500.000000,5690000.000000,5690000.000000,0
2012-01-19,5520000.000000,5662500.000000,5342500.000000,5375000.000000,5375000.000000,0
2012-01-20,5425000.000000,5490000.000000,5022500.000000,5050000.000000,5050000.000000,0
2012-01-23,5037500.000000,5100000.000000,4725000.000000,4775000.000000,4775000.000000,0
2012-01-24,5032500.000000,5060000.000000,4780000.000000,4825000.000000,4825000.000000,0
2012-01-25,4827500.000000,4942500.000000,4385000.000000,4430000.000000,4430000.000000,0
2012-01-26,4237500.000000,4557500.000000,4205000.000000,4420000.000000,4420000.000000,0
2012-01-27,4555000.000000,4565000.000000,4200000.000000,4225000.000000,4225000.000000,0
2012-01-30,4540000.000000,4610000.000000,4367500.000000,4487500.000000,4487500.000000,0
2012-01-31,4290000.000000,4575000.000000,4245000.000000,4490000.000000,4490000.000000,0
2012-02-01,4285000.000000,4370000.000000,4117500.000000,4235000.000000,4235000.000000,0
2012-02-02,4095000.000000,4142500.000000,3985000.000000,3985000.000000,3985000.000000,0
2012-02-03,3657500.000000,3742500.000000,3562500.000000,3565000.000000,3565000.000000,0
2012-02-06,3632500.000000,3647500.000000,3475000.000000,3482500.000000,3482500.000000,0
2012-02-07,3502500.000000,3637500.000000,3467500.000000,3545000.000000,3545000.000000,0
2012-02-08,3540000.000000,3750000.000000,3505000.000000,3705000.000000,3705000.000000,0
2012-02-09,3742500.000000,4080000.000000,3685000.000000,4070000.000000,4070000.000000,0
2012-02-10,4500000.000000,5275000.000000,4420000.000000,4762500.000000,4762500.000000,100
2012-02-13,4255000.000000,4395000.000000,4042500.000000,4047500.000000,4047500.000000,0
2012-02-14,4167500.000000,4797500.000000,4152500.000000,4297500.000000,4297500.000000,100
2012-02-15,4365000.000000,4840000.000000,4365000.000000,4770000.000000,4770000.000000,100
2012-02-16,5000000.000000,5172500.000000,4352500.000000,4400000.000000,4400000.000000,100
2012-02-17,4235000.000000,4492500.000000,4165000.000000,4262500.000000,4262500.000000,100
2012-02-21,4167500.000000,4390000.000000,4150000.000000,4252500.000000,4252500.000000,100
2012-02-22,4415000.000000,4465000.000000,4225000.000000,4225000.000000,4225000.000000,0
2012-02-23,4260000.000000,4332500.000000,4000000.000000,4000000.000000,4000000.000000,0
2012-02-24,4012500.000000,4275000.000000,3905000.000000,4165000.000000,4165000.000000,0
2012-02-27,4337500.000000,4375000.000000,4037500.000000,4172500.000000,4172500.000000,0
2012-02-28,4250000.000000,4257500.000000,4125000.000000,4150000.000000,4150000.000000,0
2012-02-29,4132500.000000,4250000.000000,4050000.000000,4180000.000000,4180000.000000,0
2012-03-01,4137500.000000,4197500.000000,4052500.000000,4072500.000000,4072500.000000,0
2012-03-02,4105000.000000,4140000.000000,4032500.000000,4055000.000000,4055000.000000,0
2012-03-05,4117500.000000,4192500.000000,4080000.000000,4090000.000000,4090000.000000,0
2012-03-06,4397500.000000,4410000.000000,4242500.000000,4270000.000000,4270000.000000,0
2012-03-07,4207500.000000,4227500.000000,4035000.000000,4045000.000000,4045000.000000,0
2012-03-08,3932500.000000,3962500.000000,3757500.000000,3780000.000000,3780000.000000,0
2012-03-09,3730000.000000,3767500.000000,3612500.000000,3722500.000000,3722500.000000,0
2012-03-12,3697500.000000,3705000.000000,3507500.000000,3507500.000000,3507500.000000,0
2012-03-13,3412500.000000,3507500.000000,3375000.000000,3430000.000000,3430000.000000,0
2012-03-14,3397500.000000,3620000.000000,3390000.000000,3517500.000000,3517500.000000,0
2012-03-15,3565000.000000,3630000.000000,3527500.000000,3547500.000000,3547500.000000,0
2012-03-16,3562500.000000,3710000.000000,3550000.000000,3702500.000000,3702500.000000,0
2012-03-19,3732500.000000,3812500.000000,3687500.000000,3767500.000000,3767500.000000,0
2012-03-20,3880000.000000,3935000.000000,3742500.000000,3782500.000000,3782500.000000,0
2012-03-21,3747500.000000,3765000.000000,3570000.000000,3607500.000000,3607500.000000,0
2012-03-22,3695000.000000,3702500.000000,2425000.000000,2550000.000000,2550000.000000,100
2012-03-23,2055000.000000,2172500.000000,1775000.000000,1790000.000000,1790000.000000,100
2012-03-26,1640000.000000,1687500.000000,1460000.000000,1470000.000000,1470000.000000,0
2012-03-27,1512500.000000,1767500.000000,1502500.000000,1742500.000000,1742500.000000,0
2012-03-28,1792500.000000,2085000.000000,1710000.000000,1800000.000000,1800000.000000,100
2012-03-29,2000000.000000,2007500.000000,1797500.000000,1827500.000000,1827500.000000,0
2012-03-30,1742500.000000,1912500.000000,1725000.000000,1807500.000000,1807500.000000,0
2012-04-02,1870000.000000,1875000.000000,1712500.000000,1760000.000000,1760000.000000,0
2012-04-03,1775000.000000,1895000.000000,1765000.000000,1805000.000000,1805000.000000,0
2012-04-04,1942500.000000,2040000.000000,1850000.000000,1862500.000000,1862500.000000,0
2012-04-05,1962500.000000,1967500.000000,1862500.000000,1922500.000000,1922500.000000,0
2012-04-09,2152500.000000,2152500.000000,2002500.000000,2112500.000000,2112500.000000,0
2012-04-10,2140000.000000,2442500.000000,2090000.000000,2417500.000000,2417500.000000,0
2012-04-11,2205000.000000,2370000.000000,2190000.000000,2352500.000000,2352500.000000,0
2012-04-12,2335000.000000,2345000.000000,1995000.000000,2005000.000000,2005000.000000,0
2012-04-13,2025000.000000,2165000.000000,2022500.000000,2132500.000000,2132500.000000,0
