Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,4.830000,4.840000,4.650000,4.720000,4.720000,173300
2012-01-04,4.680000,4.720000,4.540000,4.560000,4.560000,122600
2012-01-05,4.520000,4.620000,4.520000,4.560000,4.560000,76100
2012-01-06,4.570000,4.610000,4.540000,4.560000,4.560000,87500
2012-01-09,4.580000,4.600000,4.530000,4.540000,4.540000,142500
2012-01-10,4.580000,4.640000,4.560000,4.600000,4.600000,200200
2012-01-11,4.600000,4.620000,4.560000,4.600000,4.600000,173700
2012-01-12,4.600000,4.790000,4.550000,4.780000,4.780000,216300
2012-01-13,4.730000,4.790000,4.720000,4.730000,4.730000,93000
2012-01-17,4.780000,4.810000,4.650000,4.750000,4.750000,165100
2012-01-18,4.760000,4.840000,4.710000,4.840000,4.840000,120200
2012-01-19,4.850000,4.990000,4.840000,4.880000,4.880000,92300
2012-01-20,4.880000,5.190000,4.880000,5.150000,5.150000,244000
2012-01-23,5.150000,5.150000,4.760000,4.760000,4.760000,168000
2012-01-24,4.760000,5.050000,4.720000,5.000000,5.000000,121400
2012-01-25,5.010000,5.010000,4.920000,4.970000,4.970000,78800
2012-01-26,5.100000,5.200000,4.950000,5.000000,5.000000,97200
2012-01-27,4.970000,5.080000,4.950000,5.080000,5.080000,98500
2012-01-30,5.040000,5.060000,4.900000,4.930000,4.930000,50300
2012-01-31,4.960000,5.010000,4.850000,4.950000,4.950000,182100
2012-02-01,4.990000,5.010000,4.860000,4.970000,4.970000,169000
2012-02-02,4.960000,5.120000,4.870000,5.070000,5.070000,115700
2012-02-03,5.150000,5.340000,5.100000,5.330000,5.330000,253200
2012-02-06,5.300000,5.470000,5.250000,5.460000,5.460000,216500
2012-02-07,5.440000,5.440000,5.260000,5.260000,5.260000,166900
2012-02-08,5.280000,5.360000,5.200000,5.280000,5.280000,104300
2012-02-09,5.280000,5.330000,5.180000,5.280000,5.280000,56800
2012-02-10,5.230000,5.260000,5.080000,5.090000,5.090000,104300
2012-02-13,5.140000,5.170000,5.050000,5.110000,5.110000,91200
2012-02-14,5.130000,5.130000,4.780000,4.800000,4.800000,250200
2012-02-15,4.840000,4.840000,4.600000,4.710000,4.710000,273400
2012-02-16,4.620000,4.790000,4.470000,4.760000,4.760000,217400
2012-02-17,4.740000,4.740000,4.610000,4.710000,4.710000,106700
2012-02-21,4.750000,4.770000,4.570000,4.600000,4.600000,172400
2012-02-22,4.600000,4.730000,4.570000,4.610000,4.610000,191100
2012-02-23,4.610000,4.770000,4.580000,4.760000,4.760000,89400
2012-02-24,4.750000,4.870000,4.700000,4.750000,4.750000,83000
2012-02-27,4.750000,4.830000,4.630000,4.810000,4.810000,108200
2012-02-28,4.800000,4.930000,4.710000,4.740000,4.740000,181000
2012-02-29,4.760000,4.780000,4.620000,4.640000,4.640000,278200
2012-03-01,4.650000,4.730000,4.610000,4.630000,4.630000,81900
2012-03-02,4.600000,4.620000,4.470000,4.490000,4.490000,176200
2012-03-05,4.500000,4.590000,4.490000,4.530000,4.530000,328200
2012-03-06,4.550000,4.660000,4.460000,4.510000,4.510000,330400
2012-03-07,4.550000,4.680000,4.400000,4.470000,4.470000,292700
2012-03-08,4.500000,4.560000,4.430000,4.480000,4.480000,177000
2012-03-09,4.470000,4.870000,4.430000,4.760000,4.760000,1167200
2012-03-12,4.740000,4.800000,4.740000,4.770000,4.770000,230600
2012-03-13,4.670000,4.670000,4.410000,4.560000,4.560000,668600
2012-03-14,4.590000,4.800000,4.580000,4.780000,4.780000,767500
2012-03-15,4.790000,4.850000,4.710000,4.830000,4.830000,175400
2012-03-16,5.000000,5.140000,4.920000,5.110000,5.110000,933500
2012-03-19,5.060000,5.230000,4.960000,5.200000,5.200000,381100
2012-03-20,5.160000,5.210000,4.940000,4.940000,4.940000,301200
2012-03-21,4.960000,4.980000,4.880000,4.890000,4.890000,135900
2012-03-22,4.850000,4.870000,4.770000,4.800000,4.800000,130000
2012-03-23,4.810000,4.820000,4.730000,4.800000,4.800000,92500
2012-03-26,4.850000,5.040000,4.840000,4.920000,4.920000,102600
2012-03-27,4.930000,5.010000,4.930000,4.930000,4.930000,75000
2012-03-28,4.930000,4.960000,4.870000,4.880000,4.880000,65000
2012-03-29,4.840000,4.900000,4.840000,4.870000,4.870000,52700
2012-03-30,4.920000,4.920000,4.750000,4.790000,4.790000,386500
2012-04-02,4.810000,4.820000,4.700000,4.770000,4.770000,240800
2012-04-03,4.760000,4.810000,4.660000,4.780000,4.780000,528700
2012-04-04,4.750000,4.770000,4.690000,4.770000,4.770000,203700
2012-04-05,4.740000,4.790000,4.720000,4.740000,4.740000,51800
2012-04-09,4.700000,4.740000,4.450000,4.450000,4.450000,216600
2012-04-10,4.430000,4.460000,4.350000,4.420000,4.420000,288000
2012-04-11,4.500000,4.510000,4.400000,4.410000,4.410000,123900
2012-04-12,4.460000,4.580000,4.440000,4.540000,4.540000,83200
2012-04-13,4.510000,4.560000,4.470000,4.490000,4.490000,114900
2012-04-16,4.510000,4.530000,4.370000,4.410000,4.410000,233200
2012-04-17,4.450000,4.580000,4.410000,4.420000,4.420000,254100
2012-04-18,4.530000,4.530000,4.180000,4.300000,4.300000,395300
2012-04-19,4.300000,4.490000,4.270000,4.380000,4.380000,349500
2012-04-20,4.500000,4.500000,4.370000,4.400000,4.400000,273200
2012-04-23,4.500000,4.500000,4.360000,4.390000,4.390000,291100
2012-04-24,4.400000,4.490000,4.370000,4.410000,4.410000,296300
