<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
WB,20180504,115.0,116.540001,113.300003,115.279999,1730400
WB,20180503,115.510002,116.190002,112.300003,115.699997,1421300
WB,20180502,116.510002,118.949997,115.720001,116.33000200000001,1772200
WB,20180501,114.010002,116.5,113.510002,115.5,933500
WB,20180430,112.5,115.639999,111.139999,114.519997,1270100
WB,20180427,114.779999,116.239998,109.849998,111.870003,1555300
WB,20180426,112.480003,112.82,109.900002,111.610001,1399600
WB,20180425,113.489998,113.730003,108.08000200000001,108.879997,2377100
WB,20180424,119.989998,121.779999,111.309998,114.129997,2109800
WB,20180423,119.230003,120.900002,117.68,117.949997,822200
WB,20180420,118.470001,120.349998,117.370003,119.089996,979500
WB,20180419,118.18,118.959999,116.32,118.32,799200
WB,20180418,121.050003,122.5,117.32,118.379997,1508500
WB,20180417,116.519997,120.889999,115.860001,120.379997,1733300
WB,20180416,114.139999,118.58000200000001,113.989998,116.550003,1445900
WB,20180413,123.449997,123.660004,112.57,114.18,3415300
WB,20180412,124.730003,125.389999,121.300003,122.589996,920800
WB,20180411,122.540001,125.190002,122.5,123.910004,1217000
WB,20180410,121.339996,124.970001,119.959999,123.57,2162300
WB,20180409,116.309998,120.800003,115.41999799999999,117.139999,1994500
WB,20180406,113.709999,116.989998,112.620003,113.599998,972700
WB,20180405,118.339996,120.599998,114.550003,116.129997,1318800
WB,20180404,110.91999799999999,116.629997,109.0,116.529999,1767000
WB,20180403,116.41999799999999,116.989998,112.910004,115.010002,1338200
WB,20180402,119.309998,119.43,113.449997,115.809998,1633700
WB,20180329,116.019997,121.25,115.660004,119.540001,2127300
WB,20180328,118.0,120.43,113.129997,115.089996,3014000
WB,20180327,128.940002,129.5,117.129997,118.230003,2775300
WB,20180326,126.879997,129.279999,123.019997,128.779999,2019600
WB,20180323,126.139999,127.849998,122.32,122.779999,2272000
WB,20180322,130.559998,132.0,123.099998,124.809998,3256300
WB,20180321,135.169998,135.929993,133.059998,134.139999,1044000
WB,20180320,133.25,138.720001,133.25,135.940002,2101300
WB,20180319,131.070007,133.679993,129.600006,133.559998,1231000
WB,20180316,133.880005,133.880005,130.729996,133.029999,1519200
WB,20180315,133.5,134.91000400000001,131.71000700000002,133.720001,1385000
WB,20180314,132.169998,133.550003,130.130005,131.490005,946600
WB,20180313,138.220001,138.399994,129.78999299999998,131.130005,1699300
WB,20180312,138.220001,138.399994,129.78999299999998,130.679993,2537600
WB,20180309,138.809998,139.050003,136.050003,137.509995,1006100
WB,20180308,139.0,139.41000400000001,136.490005,137.570007,1149200
WB,20180307,134.71000700000002,139.0,133.880005,138.929993,1450600
WB,20180306,133.58999599999999,136.699997,132.350006,135.600006,1992300
WB,20180305,128.860001,132.179993,126.66999799999999,131.279999,1556600
WB,20180302,125.150002,130.669998,122.800003,130.550003,1700700
WB,20180301,129.449997,131.050003,126.150002,127.779999,1620300
WB,20180228,130.5,131.820007,126.360001,128.520004,2149600
WB,20180227,132.929993,134.580002,128.059998,129.130005,2413000
WB,20180226,139.96000700000002,140.580002,132.300003,132.770004,2834900
WB,20180223,135.0,139.809998,134.949997,139.740005,1758700
WB,20180222,137.139999,138.0,134.070007,134.71000700000002,1354200
WB,20180221,135.389999,139.58999599999999,135.070007,136.75,1853200
WB,20180220,133.309998,136.5,132.28999299999998,133.899994,1846100
WB,20180216,134.809998,138.899994,133.53999299999998,134.740005,1765700
WB,20180215,140.5,142.119995,134.020004,135.119995,3125600
WB,20180214,127.900002,140.0,127.629997,139.639999,4045300
WB,20180213,124.379997,130.970001,120.260002,129.66000400000001,5019700
WB,20180212,117.150002,119.889999,115.470001,118.309998,2444800
WB,20180209,115.300003,116.650002,108.699997,115.349998,2459100
WB,20180208,118.160004,122.800003,111.760002,111.760002,2030300
WB,20180207,117.190002,121.110001,116.599998,117.529999,1386400
WB,20180206,113.980003,120.82,113.599998,118.309998,3044900
WB,20180205,117.66999799999999,126.190002,115.83000200000001,117.510002,2723900
WB,20180202,128.130005,128.58999599999999,120.989998,121.440002,2799800
WB,20180201,127.75,133.380005,126.0,130.100006,1960900
WB,20180131,131.570007,131.91000400000001,129.100006,129.570007,1279400
WB,20180130,127.519997,130.0,125.5,128.58999599999999,1841000
WB,20180129,131.869995,135.279999,128.699997,132.139999,2371400
WB,20180126,132.21000700000002,136.190002,132.0,136.100006,1589500
WB,20180125,126.410004,130.899994,125.029999,130.520004,1768900
WB,20180124,132.399994,132.720001,125.620003,128.580002,1926300
WB,20180123,130.820007,131.899994,128.110001,131.729996,1224200
WB,20180122,131.949997,132.240005,130.169998,131.130005,1174500
WB,20180119,131.070007,132.5,129.509995,130.28999299999998,1097000
WB,20180118,129.889999,130.820007,126.769997,129.619995,1445100
WB,20180117,124.620003,130.889999,123.449997,129.199997,1918200
WB,20180116,124.400002,128.369995,122.099998,123.190002,3029500
WB,20180112,120.150002,122.050003,118.260002,121.440002,1479700
WB,20180111,120.110001,121.0,119.0,119.93,1007800
WB,20180110,119.800003,120.720001,116.900002,120.099998,1799900
WB,20180109,120.75,121.900002,116.510002,121.68,1757700
WB,20180108,120.349998,122.209999,119.66999799999999,120.029999,1372200
WB,20180105,117.730003,121.0,116.610001,120.860001,1773100
WB,20180104,115.809998,118.5,114.41999799999999,116.209999,1378100
WB,20180103,113.699997,117.190002,113.0,115.089996,2244900
