<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
5707.T,20180502,5040.0,5100.0,5020.0,5070.0,128400
5707.T,20180501,4985.0,5080.0,4970.0,5080.0,139000
5707.T,20180430,5080.0,5080.0,5080.0,5080.0,0
5707.T,20180427,5050.0,5080.0,4985.0,5080.0,150900
5707.T,20180426,5150.0,5150.0,5020.0,5060.0,180700
5707.T,20180425,5090.0,5170.0,5080.0,5150.0,130000
5707.T,20180424,5310.0,5320.0,5120.0,5160.0,247400
5707.T,20180423,5280.0,5380.0,5280.0,5350.0,114400
5707.T,20180420,5260.0,5300.0,5170.0,5270.0,166500
5707.T,20180419,5140.0,5400.0,5140.0,5260.0,361900
5707.T,20180418,5020.0,5100.0,4985.0,5080.0,144300
5707.T,20180417,4985.0,5000.0,4900.0,4980.0,116300
5707.T,20180416,5060.0,5130.0,4900.0,4980.0,223800
5707.T,20180413,5010.0,5150.0,4970.0,5080.0,207300
5707.T,20180412,5170.0,5190.0,4975.0,4985.0,163700
5707.T,20180411,5180.0,5320.0,5150.0,5170.0,208500
5707.T,20180410,4975.0,5140.0,4945.0,5100.0,134600
5707.T,20180409,5020.0,5070.0,4960.0,4985.0,107600
5707.T,20180406,5070.0,5120.0,5020.0,5030.0,130600
5707.T,20180405,5090.0,5140.0,5020.0,5050.0,107700
5707.T,20180404,5160.0,5180.0,5060.0,5070.0,146700
5707.T,20180403,5000.0,5140.0,4980.0,5120.0,154300
5707.T,20180402,5070.0,5150.0,5070.0,5090.0,105100
5707.T,20180330,4980.0,5070.0,4980.0,5060.0,153400
5707.T,20180329,5030.0,5060.0,4890.0,4920.0,156900
5707.T,20180328,4960.0,5050.0,4940.0,5000.0,166100
5707.T,20180327,4910.0,5180.0,4910.0,5170.0,294500
5707.T,20180326,4840.0,4855.0,4710.0,4830.0,252900
5707.T,20180323,4950.0,4965.0,4855.0,4880.0,318900
5707.T,20180322,5190.0,5210.0,5090.0,5180.0,155900
5707.T,20180321,5110.0,5110.0,5110.0,5110.0,0
5707.T,20180320,4980.0,5130.0,4980.0,5110.0,185900
5707.T,20180319,5150.0,5190.0,5080.0,5100.0,148000
5707.T,20180316,5230.0,5260.0,5160.0,5200.0,142000
5707.T,20180315,5180.0,5220.0,5080.0,5200.0,155800
5707.T,20180314,5070.0,5220.0,5050.0,5190.0,173500
5707.T,20180313,5100.0,5160.0,5050.0,5140.0,130500
5707.T,20180312,5180.0,5190.0,5110.0,5140.0,183500
5707.T,20180309,5130.0,5150.0,5000.0,5020.0,330700
5707.T,20180308,5000.0,5130.0,4965.0,5120.0,351700
5707.T,20180307,5080.0,5080.0,4960.0,4995.0,352000
5707.T,20180306,5160.0,5230.0,5110.0,5120.0,254400
5707.T,20180305,5220.0,5230.0,5040.0,5070.0,400900
5707.T,20180302,5320.0,5350.0,5240.0,5300.0,471800
5707.T,20180301,5610.0,5640.0,5460.0,5510.0,417000
5707.T,20180228,5780.0,5820.0,5690.0,5700.0,390300
5707.T,20180227,5830.0,5900.0,5780.0,5820.0,527800
5707.T,20180226,6250.0,6250.0,5720.0,5750.0,1420800
5707.T,20180223,5750.0,5970.0,5730.0,5950.0,212900
5707.T,20180222,5840.0,5840.0,5630.0,5750.0,270100
5707.T,20180221,5890.0,5960.0,5830.0,5880.0,230500
5707.T,20180220,6020.0,6040.0,5880.0,5930.0,311400
5707.T,20180219,5760.0,6170.0,5760.0,6080.0,471400
5707.T,20180216,5680.0,5710.0,5540.0,5680.0,204300
5707.T,20180215,5500.0,5660.0,5420.0,5650.0,334900
5707.T,20180214,5500.0,5590.0,5350.0,5440.0,443300
5707.T,20180213,5640.0,5690.0,5440.0,5480.0,449800
