<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
7762.T,20180518,795.0,803.0,792.0,800.0,1387500
7762.T,20180517,793.0,795.0,786.0,787.0,1537000
7762.T,20180516,778.0,791.0,776.0,790.0,1892100
7762.T,20180515,788.0,796.0,777.0,782.0,2181400
7762.T,20180514,775.0,800.0,764.0,799.0,3578800
7762.T,20180511,839.0,858.0,832.0,855.0,2863900
7762.T,20180510,830.0,833.0,822.0,832.0,1280700
7762.T,20180509,821.0,833.0,821.0,830.0,1397400
7762.T,20180508,819.0,827.0,816.0,819.0,1534700
7762.T,20180507,817.0,817.0,810.0,816.0,894200
7762.T,20180504,819.0,819.0,819.0,819.0,0
7762.T,20180503,819.0,819.0,819.0,819.0,0
7762.T,20180502,825.0,825.0,815.0,819.0,941900
7762.T,20180501,823.0,823.0,814.0,821.0,1031800
7762.T,20180430,820.0,820.0,820.0,820.0,0
7762.T,20180427,820.0,821.0,809.0,820.0,1585900
7762.T,20180426,816.0,820.0,813.0,814.0,1115200
7762.T,20180425,807.0,813.0,804.0,812.0,986000
7762.T,20180424,813.0,818.0,810.0,816.0,1277600
7762.T,20180423,815.0,818.0,810.0,813.0,859300
7762.T,20180420,815.0,817.0,808.0,813.0,1295500
7762.T,20180419,816.0,825.0,813.0,820.0,1751300
7762.T,20180418,803.0,814.0,798.0,808.0,1737300
7762.T,20180417,802.0,807.0,798.0,799.0,1319900
7762.T,20180416,803.0,803.0,796.0,801.0,828300
7762.T,20180413,794.0,803.0,793.0,800.0,1502500
7762.T,20180412,786.0,788.0,777.0,786.0,1870400
7762.T,20180411,788.0,790.0,780.0,786.0,1327500
7762.T,20180410,769.0,785.0,768.0,783.0,1437500
7762.T,20180409,765.0,779.0,765.0,775.0,1232000
7762.T,20180406,772.0,778.0,768.0,773.0,1596100
7762.T,20180405,777.0,783.0,768.0,778.0,1949700
7762.T,20180404,762.0,765.0,757.0,763.0,1701100
7762.T,20180403,750.0,760.0,748.0,759.0,1414100
7762.T,20180402,768.0,770.0,762.0,763.0,1297200
7762.T,20180330,754.0,769.0,754.0,764.0,1648500
7762.T,20180329,748.0,751.0,732.0,741.0,1337700
7762.T,20180328,729.0,739.0,725.0,739.0,2162300
7762.T,20180327,739.0,758.0,737.0,756.0,1800800
7762.T,20180326,726.0,729.0,710.0,729.0,1932500
7762.T,20180323,748.0,751.0,736.0,739.0,2888300
7762.T,20180322,774.0,781.0,769.0,780.0,1499100
7762.T,20180321,776.0,776.0,776.0,776.0,0
7762.T,20180320,764.0,778.0,764.0,776.0,1583300
7762.T,20180319,766.0,768.0,756.0,766.0,1001600
7762.T,20180316,785.0,786.0,770.0,772.0,1284900
7762.T,20180315,777.0,781.0,762.0,780.0,1129400
7762.T,20180314,780.0,786.0,777.0,781.0,964100
7762.T,20180313,783.0,789.0,777.0,788.0,1004900
7762.T,20180312,784.0,789.0,778.0,786.0,1016700
7762.T,20180309,776.0,790.0,766.0,771.0,2184000
7762.T,20180308,776.0,776.0,764.0,768.0,1251700
7762.T,20180307,774.0,781.0,767.0,774.0,1076500
7762.T,20180306,779.0,791.0,777.0,779.0,1074000
7762.T,20180305,774.0,776.0,762.0,770.0,1408000
7762.T,20180302,786.0,788.0,777.0,783.0,1702700
7762.T,20180301,820.0,820.0,801.0,807.0,1426500
7762.T,20180228,827.0,834.0,821.0,822.0,1241600
7762.T,20180227,829.0,837.0,824.0,831.0,1420400
7762.T,20180226,822.0,831.0,814.0,814.0,1170000
7762.T,20180223,813.0,820.0,811.0,817.0,743300
7762.T,20180222,825.0,828.0,809.0,815.0,1546200
7762.T,20180221,837.0,842.0,830.0,836.0,1251200
7762.T,20180220,842.0,848.0,834.0,837.0,1506000
7762.T,20180219,838.0,848.0,834.0,845.0,957000
7762.T,20180216,820.0,837.0,817.0,830.0,1339600
7762.T,20180215,821.0,829.0,816.0,819.0,1665000
7762.T,20180214,816.0,844.0,814.0,820.0,3390100
7762.T,20180213,844.0,850.0,802.0,805.0,5305600
7762.T,20180212,755.0,755.0,755.0,755.0,0
7762.T,20180209,742.0,756.0,737.0,755.0,2489700
7762.T,20180208,765.0,777.0,761.0,772.0,1351700
7762.T,20180207,794.0,794.0,764.0,766.0,2007100
7762.T,20180206,791.0,792.0,750.0,772.0,3075300
7762.T,20180205,822.0,823.0,811.0,815.0,1599400
7762.T,20180202,845.0,847.0,830.0,837.0,1338600
7762.T,20180201,842.0,851.0,835.0,849.0,1296900
7762.T,20180131,841.0,850.0,833.0,834.0,1702300
7762.T,20180130,855.0,861.0,838.0,845.0,1481800
7762.T,20180129,861.0,870.0,856.0,861.0,1100500
7762.T,20180126,870.0,875.0,860.0,864.0,1479400
7762.T,20180125,877.0,877.0,859.0,863.0,1302300
7762.T,20180124,878.0,880.0,874.0,877.0,1611500
7762.T,20180123,856.0,875.0,856.0,873.0,1612700
7762.T,20180122,861.0,864.0,850.0,853.0,972300
7762.T,20180119,857.0,864.0,854.0,863.0,1316300
7762.T,20180118,858.0,866.0,849.0,852.0,1715300
7762.T,20180117,858.0,859.0,848.0,849.0,1430900
7762.T,20180116,867.0,870.0,860.0,865.0,903000
7762.T,20180115,870.0,877.0,866.0,868.0,845300
7762.T,20180112,882.0,889.0,869.0,870.0,1826900
7762.T,20180111,864.0,886.0,864.0,881.0,2237900
7762.T,20180110,862.0,868.0,860.0,864.0,1169800
7762.T,20180109,864.0,875.0,860.0,864.0,1311100
7762.T,20180108,859.0,859.0,859.0,859.0,0
7762.T,20180105,853.0,862.0,852.0,859.0,1245600
7762.T,20180104,838.0,844.0,833.0,843.0,1428400
7762.T,20180103,827.0,827.0,827.0,827.0,0
7762.T,20180102,827.0,827.0,827.0,827.0,0
7762.T,20180101,827.0,827.0,827.0,827.0,0
7762.T,20171229,819.0,832.0,816.0,827.0,1031100
7762.T,20171228,839.0,841.0,823.0,826.0,996800
7762.T,20171227,832.0,837.0,832.0,836.0,640000
7762.T,20171226,840.0,843.0,835.0,837.0,593300
7762.T,20171225,847.0,850.0,839.0,842.0,531600
7762.T,20171222,833.0,842.0,831.0,841.0,1074000
7762.T,20171221,835.0,837.0,826.0,836.0,1382700
7762.T,20171220,817.0,834.0,813.0,832.0,1146400
7762.T,20171219,830.0,831.0,820.0,824.0,1027800
7762.T,20171218,825.0,828.0,820.0,825.0,1324300
7762.T,20171215,830.0,830.0,816.0,821.0,1842500
7762.T,20171214,844.0,845.0,826.0,828.0,1520500
7762.T,20171213,841.0,844.0,827.0,829.0,1369700
7762.T,20171212,840.0,841.0,833.0,835.0,1073300
7762.T,20171211,833.0,840.0,832.0,839.0,1278900
7762.T,20171208,811.0,834.0,811.0,832.0,2528400
7762.T,20171207,821.0,826.0,817.0,823.0,1633800
7762.T,20171206,833.0,833.0,818.0,821.0,1712000
7762.T,20171205,846.0,846.0,831.0,840.0,1954300
7762.T,20171204,870.0,875.0,849.0,851.0,4460100
7762.T,20171201,819.0,825.0,808.0,816.0,1024800
7762.T,20171130,824.0,824.0,811.0,815.0,1561800
7762.T,20171129,823.0,826.0,814.0,817.0,1388200
7762.T,20171128,823.0,826.0,807.0,812.0,1484800
7762.T,20171127,836.0,838.0,823.0,827.0,934900
7762.T,20171124,824.0,832.0,817.0,830.0,953300
7762.T,20171123,826.0,826.0,826.0,826.0,0
7762.T,20171122,838.0,844.0,824.0,826.0,1707300
7762.T,20171121,822.0,831.0,819.0,827.0,1666600
7762.T,20171120,816.0,825.0,808.0,810.0,1262800
7762.T,20171117,827.0,839.0,821.0,824.0,2136900
7762.T,20171116,807.0,824.0,802.0,821.0,2038100
7762.T,20171115,821.0,823.0,809.0,816.0,1938700
7762.T,20171114,843.0,850.0,835.0,835.0,2413500
7762.T,20171113,852.0,872.0,847.0,847.0,3484900
7762.T,20171110,810.0,828.0,809.0,818.0,3016500
7762.T,20171109,840.0,850.0,816.0,829.0,2416000
7762.T,20171108,842.0,844.0,831.0,844.0,1343400
7762.T,20171107,832.0,849.0,828.0,848.0,1612500
7762.T,20171106,844.0,845.0,830.0,834.0,953200
7762.T,20171103,839.0,839.0,839.0,839.0,0
7762.T,20171102,835.0,841.0,833.0,839.0,1180800
7762.T,20171101,838.0,847.0,835.0,841.0,1756000
7762.T,20171031,830.0,835.0,826.0,828.0,1679400
7762.T,20171030,836.0,838.0,824.0,831.0,3462900
7762.T,20171027,833.0,845.0,833.0,844.0,987400
7762.T,20171026,822.0,834.0,821.0,831.0,849300
7762.T,20171025,833.0,840.0,825.0,827.0,1287100
7762.T,20171024,820.0,831.0,815.0,829.0,1231800
7762.T,20171023,824.0,827.0,818.0,825.0,1356000
7762.T,20171020,804.0,814.0,802.0,811.0,1207200
7762.T,20171019,813.0,819.0,806.0,808.0,1457700
7762.T,20171018,815.0,818.0,804.0,812.0,1686400
7762.T,20171017,802.0,812.0,799.0,811.0,1721000
7762.T,20171016,809.0,810.0,795.0,796.0,1547500
7762.T,20171013,801.0,807.0,792.0,801.0,2385800
7762.T,20171012,781.0,805.0,781.0,797.0,2491700
7762.T,20171011,769.0,781.0,769.0,776.0,1282000
7762.T,20171010,766.0,773.0,765.0,772.0,1667300
7762.T,20171009,769.0,769.0,769.0,769.0,0
7762.T,20171006,771.0,775.0,769.0,769.0,1186500
7762.T,20171005,775.0,779.0,768.0,772.0,1152100
7762.T,20171004,775.0,783.0,775.0,777.0,1177400
7762.T,20171003,775.0,782.0,772.0,777.0,1801400
7762.T,20171002,779.0,785.0,772.0,774.0,1282400
7762.T,20170929,772.0,777.0,769.0,775.0,1305200
7762.T,20170928,771.0,778.0,767.0,772.0,1992500
7762.T,20170927,772.0,780.0,770.0,771.0,1617300
7762.T,20170926,784.0,784.0,766.0,772.0,1908900
7762.T,20170925,793.0,795.0,785.0,785.0,836400
7762.T,20170922,792.0,792.0,778.0,785.0,1322200
7762.T,20170921,789.0,795.0,776.0,782.0,1737200
7762.T,20170920,780.0,791.0,777.0,780.0,1887800
