<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAP,20180516,120.64,121.50,118.66,119.03,707049
AAP,20180515,121.29,121.44,118.78,119.92,718938
AAP,20180514,119.88,121.90,119.26,121.61,801769
AAP,20180511,118.31,122.30,117.59,119.94,1193131
AAP,20180510,118.25,118.59,116.78,118.23,492736
AAP,20180509,116.87,118.14,111.86,117.99,1235472
AAP,20180508,118.81,118.97,116.31,116.80,917578
AAP,20180507,116.99,117.50,115.09,116.14,527716
AAP,20180504,115.00,117.73,113.84,116.67,707939
AAP,20180503,115.58,116.6113,114.54,115.43,556635
AAP,20180502,115.51,117.085,113.80,115.90,864824
AAP,20180501,113.86,115.70,113.09,115.58,640250
AAP,20180430,116.46,116.68,113.86,114.45,768105
AAP,20180427,113.15,116.61,112.65,116.34,894089
AAP,20180426,112.02,115.12,110.08,113.18,1405146
AAP,20180425,106.82,109.31,106.44,107.82,873145
AAP,20180424,105.76,107.83,105.20,106.93,962751
AAP,20180423,103.26,105.60,102.15,105.52,877721
AAP,20180420,105.28,106.45,102.90,103.76,870206
AAP,20180419,107.55,108.21,103.49,105.18,1277298
AAP,20180418,108.85,109.72,106.55,107.39,1080024
AAP,20180417,108.75,109.93,106.78,108.20,1004292
AAP,20180416,106.93,108.03,105.02,106.45,781258
AAP,20180413,111.14,112.40,105.39,106.61,1163191
AAP,20180412,111.46,112.59,110.36,110.57,660341
AAP,20180411,111.16,112.3153,110.145,110.93,473966
AAP,20180410,111.14,112.68,109.53,112.14,718238
AAP,20180409,112.94,114.89,110.19,110.35,695073
AAP,20180406,115.63,116.37,110.77,111.91,1051418
AAP,20180405,115.46,116.8299,113.52,116.39,731949
AAP,20180404,110.09,114.98,109.82,114.48,678091
AAP,20180403,112.50,113.88,108.95,111.91,1308524
AAP,20180402,118.61,119.18,110.51,111.93,1320335
AAP,20180329,116.34,119.22,115.40,118.55,631429
AAP,20180328,115.28,119.42,114.08,115.98,852838
AAP,20180327,114.58,117.45,113.29,115.01,1083427
AAP,20180326,112.49,115.07,111.875,114.77,833451
AAP,20180323,112.41,113.26,110.34,110.84,888666
AAP,20180322,114.02,115.14,111.63,111.71,831775
AAP,20180321,114.66,116.29,114.2397,115.24,559068
AAP,20180320,116.39,116.69,113.74,114.25,496554
AAP,20180319,116.79,117.56,114.70,115.87,655782
AAP,20180316,116.93,117.81,115.76,116.63,930834
AAP,20180315,117.54,118.33,115.47,117.10,561641
AAP,20180314,119.16,119.875,116.55,117.06,571442
AAP,20180313,118.75,120.10,117.26,119.00,745950
AAP,20180312,118.56,119.25,117.21,118.41,615748
AAP,20180309,116.44,118.94,114.40,118.86,726187
AAP,20180308,117.33,117.33,114.54,115.75,518628
AAP,20180307,117.43,118.31,115.80,116.77,555457
AAP,20180306,116.54,119.04,115.13,118.59,764456
AAP,20180305,115.45,117.55,115.12,116.36,879140
AAP,20180302,116.67,116.79,113.12,116.07,1169943
AAP,20180301,114.24,117.89,113.43,117.51,1683697
AAP,20180228,110.71,116.11,109.68,114.26,1422805
AAP,20180227,113.26,113.91,108.90,109.80,1768453
AAP,20180226,116.99,117.74,112.08,114.85,1102445
AAP,20180223,111.15,117.07,111.0753,116.32,1263281
AAP,20180222,115.10,115.50,110.20,110.49,1170878
AAP,20180221,116.96,119.30,113.23,114.00,4210771
AAP,20180220,107.40,108.38,103.72,105.35,1777467
AAP,20180216,108.72,109.34,105.776,107.57,729510
AAP,20180215,109.79,110.28,107.5723,108.78,595561
AAP,20180214,105.50,110.00,105.26,109.02,909694
AAP,20180213,109.17,109.99,105.961,106.22,1194540
AAP,20180212,109.795,110.80,108.05,109.48,949781
AAP,20180209,110.39,110.45,103.34,109.14,1216129
AAP,20180208,109.93,115.35,109.30,109.63,1173510
AAP,20180207,112.09,114.5799,109.90,109.93,1749310
AAP,20180206,108.28,113.11,106.745,112.20,916578
AAP,20180205,113.05,114.97,109.81,109.86,949879
AAP,20180202,115.92,117.18,113.125,113.93,818396
AAP,20180201,116.24,118.83,115.83,117.29,601045
AAP,20180131,119.86,120.47,115.825,116.99,1010682
AAP,20180130,121.57,122.70,117.575,119.27,1522938
AAP,20180129,123.52,123.63,122.72,122.89,1101793
AAP,20180126,123.34,123.90,121.66,123.64,1001790
AAP,20180125,121.12,121.34,119.63,120.92,997377
AAP,20180124,119.26,121.24,118.26,120.99,916243
AAP,20180123,117.74,119.14,116.60,119.10,1029252
AAP,20180122,116.88,118.19,115.90,118.03,1176647
AAP,20180119,116.24,117.51,115.21,117.02,917243
AAP,20180118,115.67,115.86,113.66,115.53,737237
AAP,20180117,114.74,116.24,112.98,115.35,1143296
AAP,20180116,116.76,116.84,112.86,113.90,1153920
AAP,20180112,114.38,116.05,113.02,115.96,1104723
AAP,20180111,110.70,113.42,108.90,112.95,725739
AAP,20180110,110.27,112.00,109.79,110.59,569156
AAP,20180109,111.69,111.69,109.81,110.49,879362
AAP,20180108,112.05,112.29,110.64,111.39,1032106
AAP,20180105,111.96,113.15,110.30,112.18,1656839
AAP,20180104,107.75,111.529,107.48,111.00,1783139
AAP,20180103,106.42,107.66,105.30,107.05,1416790
AAP,20180102,100.90,107.93,99.71,106.09,2124827
AAP,20171229,99.85,100.99,99.50,99.69,844081
AAP,20171228,99.86,99.91,98.17,99.71,476116
AAP,20171227,101.72,101.72,99.40,99.77,802477
AAP,20171226,100.80,102.75,100.65,101.96,450584
AAP,20171222,100.64,100.8336,99.71,100.55,825605
AAP,20171221,98.51,100.52,98.20,100.13,880054
AAP,20171220,100.03,100.91,98.03,98.59,837480
AAP,20171219,102.45,102.8632,99.39,99.73,1119150
AAP,20171218,101.34,103.10,100.65,102.71,663803
AAP,20171215,100.84,101.72,100.17,100.69,926955
AAP,20171214,103.23,103.90,99.771,100.20,843433
AAP,20171213,103.63,103.72,101.86,102.50,892801
AAP,20171212,101.71,105.56,101.71,103.03,2061343
AAP,20171211,100.15,101.67,99.11,100.85,1143178
AAP,20171208,98.21,100.62,97.38,100.31,769461
AAP,20171207,97.75,98.37,96.57,97.61,969000
AAP,20171206,100.87,101.42,97.47,97.50,1071596
AAP,20171205,107.10,107.79,100.02,101.15,2086404
AAP,20171204,100.94,105.20,100.76,104.02,1816133
AAP,20171201,100.74,100.97,97.89,99.28,1864589
AAP,20171130,99.58,101.65,98.67,101.03,1718541
AAP,20171129,93.96,100.37,93.405,99.95,2990376
AAP,20171128,89.89,92.91,89.63,92.84,959267
AAP,20171127,89.61,90.7839,89.04,89.87,731913
AAP,20171124,89.64,89.90,88.96,89.23,444190
AAP,20171122,89.20,90.31,88.82,89.62,739661
AAP,20171121,90.94,90.95,88.90,88.93,1397792
AAP,20171120,89.21,91.68,88.24,91.43,1316229
AAP,20171117,91.02,91.44,89.13,89.27,1310358
AAP,20171116,92.00,92.77,89.24,90.50,1963062
AAP,20171115,93.93,95.49,91.37,91.58,2663131
AAP,20171114,94.88,102.89,94.75,95.72,8979152
