<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AHT,20180423,6.96,7.06,6.95,7.05,318249
AHT,20180420,6.92,7.01,6.91,6.92,275901
AHT,20180419,7.09,7.12,6.90,6.95,331595
AHT,20180418,7.02,7.14,7.02,7.09,437511
AHT,20180417,6.95,7.04,6.85,7.01,562789
AHT,20180416,6.75,6.95,6.7201,6.91,463953
AHT,20180413,6.70,6.75,6.63,6.74,485102
AHT,20180412,6.65,6.70,6.475,6.68,366639
AHT,20180411,6.46,6.59,6.46,6.59,253404
AHT,20180410,6.58,6.59,6.48,6.49,299374
AHT,20180409,6.70,6.70,6.48,6.51,331083
AHT,20180406,6.70,6.77,6.61,6.64,364313
AHT,20180405,6.72,6.74,6.65,6.73,319564
AHT,20180404,6.49,6.74,6.48,6.71,543099
AHT,20180403,6.40,6.57,6.38,6.54,572163
AHT,20180402,6.45,6.485,6.3099,6.39,498334
AHT,20180329,6.45,6.58,6.43,6.46,382245
AHT,20180328,6.18,6.54,6.16,6.45,981911
AHT,20180327,6.28,6.375,6.21,6.28,420495
AHT,20180326,6.38,6.39,6.24,6.31,376602
AHT,20180323,6.57,6.62,6.26,6.27,453524
AHT,20180322,6.60,6.72,6.56,6.56,428250
AHT,20180321,6.68,6.72,6.60,6.68,353743
AHT,20180320,6.65,6.72,6.59,6.69,635278
AHT,20180319,6.66,6.685,6.55,6.67,429454
AHT,20180316,6.58,6.69,6.525,6.69,704426
AHT,20180315,6.62,6.64,6.46,6.57,444235
AHT,20180314,6.57,6.64,6.54,6.64,405079
AHT,20180313,6.57,6.63,6.52,6.54,353096
AHT,20180312,6.53,6.57,6.44,6.56,308659
AHT,20180309,6.46,6.52,6.37,6.51,333320
AHT,20180308,6.49,6.51,6.37,6.41,383350
AHT,20180307,6.26,6.49,6.21,6.49,524780
AHT,20180306,6.25,6.37,6.20,6.36,472619
AHT,20180305,6.04,6.24,6.00,6.24,720673
AHT,20180302,5.75,6.03,5.53,6.03,1148315
AHT,20180301,5.51,5.67,5.46,5.575,503987
AHT,20180228,5.59,5.64,5.50,5.51,541047
AHT,20180227,5.86,5.87,5.55,5.57,578847
AHT,20180226,5.92,5.965,5.83,5.85,277923
AHT,20180223,5.82,5.95,5.7999,5.92,386380
AHT,20180222,5.84,5.86,5.76,5.77,198985
AHT,20180221,5.88,5.9425,5.76,5.80,369363
AHT,20180220,5.93,6.01,5.81,5.82,362455
AHT,20180216,5.93,6.07,5.93,5.96,325498
AHT,20180215,5.88,5.95,5.84,5.93,295043
AHT,20180214,5.70,5.85,5.62,5.82,474152
AHT,20180213,5.67,5.80,5.61,5.76,290577
AHT,20180212,5.73,5.75,5.42,5.69,651446
AHT,20180209,5.60,5.76,5.44,5.71,648722
AHT,20180208,5.77,5.82,5.55,5.55,518882
AHT,20180207,5.81,5.93,5.75,5.75,821989
AHT,20180206,5.77,5.95,5.71,5.84,954716
AHT,20180205,6.23,6.28,5.84,5.84,755200
AHT,20180202,6.42,6.42,6.18,6.27,611379
AHT,20180201,6.41,6.51,6.39,6.47,308563
AHT,20180131,6.42,6.48,6.35,6.44,430653
AHT,20180130,6.56,6.57,6.42,6.42,260019
AHT,20180129,6.69,6.70,6.47,6.56,364574
AHT,20180126,6.87,6.88,6.62,6.69,336330
AHT,20180125,6.95,6.955,6.81,6.86,269735
AHT,20180124,6.85,6.97,6.83,6.94,373290
AHT,20180123,6.72,6.845,6.66,6.84,337687
AHT,20180122,6.65,6.74,6.61,6.72,254121
AHT,20180119,6.55,6.72,6.55,6.68,435894
AHT,20180118,6.76,6.78,6.56,6.58,277454
AHT,20180117,6.74,6.78,6.71,6.76,325210
AHT,20180116,6.72,6.83,6.70,6.72,381073
AHT,20180112,6.77,6.84,6.69,6.69,386235
AHT,20180111,6.68,6.80,6.66,6.76,327230
AHT,20180110,6.67,6.775,6.605,6.70,542052
AHT,20180109,6.62,6.78,6.57,6.69,378043
AHT,20180108,6.60,6.67,6.52,6.62,428503
AHT,20180105,6.52,6.5891,6.47,6.57,522695
AHT,20180104,6.63,6.65,6.49,6.51,405009
AHT,20180103,6.82,6.8307,6.555,6.60,433854
AHT,20180102,6.73,6.87,6.69,6.83,392302
AHT,20171229,6.80,6.83,6.675,6.73,340053
AHT,20171228,6.55,6.85,6.54,6.82,459480
AHT,20171227,6.87,6.89,6.80,6.80,202116
AHT,20171226,6.75,6.89,6.75,6.83,232415
AHT,20171222,6.76,6.80,6.71,6.76,326571
AHT,20171221,6.67,6.88,6.64,6.73,435066
AHT,20171220,6.63,6.73,6.62,6.62,500652
AHT,20171219,7.01,7.01,6.57,6.595,671641
AHT,20171218,6.84,7.05,6.84,7.01,748978
AHT,20171215,6.74,6.85,6.73,6.78,831419
AHT,20171214,6.81,6.86,6.705,6.75,397376
AHT,20171213,6.70,6.87,6.67,6.83,428656
AHT,20171212,6.69,6.76,6.56,6.71,513871
AHT,20171211,6.63,6.70,6.58,6.67,421888
AHT,20171208,6.71,6.76,6.67,6.70,289011
AHT,20171207,6.66,6.78,6.63,6.72,319363
AHT,20171206,6.58,6.76,6.55,6.72,497325
AHT,20171205,6.50,6.61,6.435,6.59,469925
AHT,20171204,6.52,6.68,6.46,6.51,608592
AHT,20171201,6.48,6.55,6.39,6.52,369890
AHT,20171130,6.61,6.6159,6.46,6.505,388272
AHT,20171129,6.34,6.62,6.34,6.61,505864
AHT,20171128,6.41,6.41,6.29,6.33,445063
AHT,20171127,6.49,6.50,6.38,6.41,286472
AHT,20171124,6.46,6.51,6.4438,6.50,181636
AHT,20171122,6.47,6.55,6.45,6.45,292769
AHT,20171121,6.42,6.585,6.42,6.48,331750
AHT,20171120,6.43,6.44,6.33,6.40,284801
AHT,20171117,6.31,6.49,6.301,6.44,256471
AHT,20171116,6.28,6.44,6.28,6.35,373288
AHT,20171115,6.26,6.35,6.24,6.29,419392
AHT,20171114,6.26,6.33,6.23,6.29,394039
AHT,20171113,6.29,6.32,6.23,6.29,290816
AHT,20171110,6.31,6.41,6.30,6.31,214762
AHT,20171109,6.33,6.41,6.29,6.36,343235
AHT,20171108,6.20,6.405,6.19,6.35,474299
AHT,20171107,6.27,6.46,6.16,6.20,724489
AHT,20171106,6.30,6.3301,6.24,6.28,456793
AHT,20171103,6.68,6.92,6.21,6.31,1059058
AHT,20171102,7.04,7.15,6.905,7.10,401946
AHT,20171101,7.06,7.11,6.94,7.04,317701
AHT,20171031,6.94,7.055,6.87,7.03,494960
AHT,20171030,6.93,6.935,6.85,6.90,350013
AHT,20171027,6.95,7.00,6.87,6.95,341807
AHT,20171026,7.09,7.10,6.90,6.91,534716
AHT,20171025,6.94,7.06,6.94,7.05,538358
AHT,20171024,6.81,6.98,6.79,6.95,407555
AHT,20171023,6.88,6.89,6.78,6.79,357930
AHT,20171020,7.10,7.10,6.83,6.85,429225
AHT,20171019,7.03,7.08,6.98,7.05,403230
AHT,20171018,6.99,7.13,6.99,7.05,288547
AHT,20171017,7.03,7.08,6.94,6.99,406331
AHT,20171016,7.12,7.20,7.00,7.01,376711
AHT,20171013,7.12,7.14,7.03,7.09,332405
AHT,20171012,6.91,7.12,6.91,7.10,315091
AHT,20171011,6.93,6.99,6.84,6.91,328756
AHT,20171010,6.93,6.95,6.86,6.91,425939
AHT,20171009,6.86,6.94,6.85,6.89,322758
AHT,20171006,6.79,6.91,6.74,6.90,440401
AHT,20171005,6.71,6.87,6.705,6.81,413431
AHT,20171004,6.68,6.73,6.61,6.70,273548
AHT,20171003,6.74,6.74,6.61,6.70,423156
AHT,20171002,6.67,6.75,6.62,6.74,477866
AHT,20170929,6.72,6.73,6.61,6.67,454375
AHT,20170928,6.50,6.72,6.45,6.71,687433
AHT,20170927,6.56,6.65,6.47,6.64,741624
AHT,20170926,6.51,6.61,6.50,6.56,381643
AHT,20170925,6.47,6.62,6.46,6.50,437014
AHT,20170922,6.49,6.535,6.47,6.47,268056
AHT,20170921,6.43,6.60,6.43,6.44,413420
AHT,20170920,6.43,6.47,6.40,6.44,530161
AHT,20170919,6.45,6.48,6.34,6.39,453797
AHT,20170918,6.51,6.54,6.405,6.45,432792
AHT,20170915,6.47,6.52,6.40,6.48,469441
AHT,20170914,6.52,6.525,6.365,6.45,417917
AHT,20170913,6.44,6.53,6.44,6.53,451344
AHT,20170912,6.46,6.53,6.42,6.46,557346
AHT,20170911,6.36,6.46,6.36,6.44,443866
AHT,20170908,6.22,6.37,6.2001,6.31,422464
AHT,20170907,6.25,6.28,6.199,6.24,250063
AHT,20170906,6.17,6.27,6.16,6.24,431266
AHT,20170905,6.28,6.30,6.11,6.16,479942
