<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AIT,20180706,70.15,71.875,70.15,71.3,227109
AIT,20180705,70.15,71.875,70.15,71.3,227109
AIT,20180703,70.15,71.875,70.15,71.3,227109
AIT,20180702,70.15,71.875,70.15,71.3,227109
AIT,20180629,70.15,71.875,70.15,71.3,227109
AIT,20180628,70.15,71.875,70.15,71.3,227109
AIT,20180627,70.15,71.875,70.15,71.3,227109
AIT,20180626,70.15,71.875,70.15,71.3,227109
AIT,20180625,70.15,71.875,70.15,71.3,227109
AIT,20180622,70.15,71.875,70.15,71.3,227109
AIT,20180621,70.15,71.875,70.15,71.3,227109
AIT,20180620,70.15,71.875,70.15,71.3,227109
AIT,20180619,70.15,71.875,70.15,71.3,227109
AIT,20180618,70.15,71.875,70.15,71.3,227109
AIT,20180615,70.15,71.875,70.15,71.3,227109
AIT,20180614,70.15,71.875,70.15,71.3,227109
AIT,20180613,70.15,71.875,70.15,71.3,227109
AIT,20180612,70.15,71.875,70.15,71.3,227109
AIT,20180611,70.15,71.875,70.15,71.3,227109
AIT,20180608,70.15,71.875,70.15,71.3,227109
AIT,20180607,70.15,71.875,70.15,71.3,227109
AIT,20180606,70.15,71.875,70.15,71.3,227109
AIT,20180605,70.15,71.875,70.15,71.3,227109
AIT,20180604,70.15,71.875,70.15,71.3,227109
AIT,20180601,70.15,71.875,70.15,71.3,227109
AIT,20180531,70.15,71.875,70.15,71.3,227109
AIT,20180530,70.15,71.875,70.15,71.3,227109
AIT,20180529,70.15,71.875,70.15,71.3,227109
AIT,20180525,70.15,71.875,70.15,71.3,227109
AIT,20180524,70.15,71.875,70.15,71.3,227109
AIT,20180523,70.15,71.875,70.15,71.3,227109
AIT,20180522,70.15,71.875,70.15,71.3,227109
AIT,20180521,70.15,71.875,70.15,71.3,227109
AIT,20180518,70.15,71.875,70.15,71.3,227109
AIT,20180517,70.15,71.875,70.15,71.3,227109
AIT,20180516,70.15,71.875,70.15,71.3,227109
AIT,20180515,68.6,69.9,68.4,69.75,217855
AIT,20180514,70.2,70.2,68.95,69.05,149214
AIT,20180511,68.25,70.1,68.25,69.95,179652
AIT,20180510,68.95,69.25,68.2,68.25,95748
AIT,20180509,68.75,69.2,67.85,68.6,227358
AIT,20180508,67.5,68.65,67.5,68.6,282229
AIT,20180507,66.15,67.75,66.15,67.5,189856
AIT,20180504,64.25,66.2,64.25,66.1,150944
AIT,20180503,65.0,65.05,63.6,64.4,124894
AIT,20180502,64.55,65.45,64.45,65.05,196815
AIT,20180501,63.75,64.9,62.45,64.6,427462
AIT,20180430,64.95,65.0,62.95,63.95,563649
AIT,20180427,66.4,66.5,64.05,64.7,435017
AIT,20180426,73.5,73.95,64.05,66.4,472210
AIT,20180425,70.7,71.7,69.95,71.15,104120
AIT,20180424,72.2,72.6,69.8,70.7,181343
AIT,20180423,72.15,72.55,71.6,71.75,82925
AIT,20180420,73.15,73.15,71.8,72.05,91374
AIT,20180419,73.2,74.2,72.65,73.1,94608
AIT,20180418,73.75,74.2,72.925,73.1,138102
AIT,20180417,73.7,74.1,73.3,73.35,119279
AIT,20180416,71.85,73.5,71.75,73.25,186647
AIT,20180413,72.35,72.35,71.1,71.3,99126
AIT,20180412,71.35,72.35,71.0,71.85,57012
AIT,20180411,71.45,71.8,70.5,71.15,88340
AIT,20180410,71.7,72.4,71.3,72.1,194996
AIT,20180409,71.8,72.2,70.7,70.75,160734
AIT,20180406,72.45,73.0,70.45,71.05,78966
AIT,20180405,72.2,73.2,71.85,73.1,73423
AIT,20180404,69.7,71.9,69.475,71.65,77859
AIT,20180403,70.35,71.05,69.8,70.75,135901
AIT,20180402,72.7,72.7,69.0,69.9,147391
AIT,20180329,72.05,73.55,72.05,72.9,179474
AIT,20180328,71.75,72.2,71.25,71.5,81749
AIT,20180327,72.3,72.675,71.6,71.9,284361
AIT,20180326,71.25,72.2,70.65,72.0,89536
AIT,20180323,72.1,72.85,70.1,70.1,117177
AIT,20180322,73.25,74.0,71.75,71.85,138452
AIT,20180321,73.6,74.65,73.55,74.0,96108
AIT,20180320,74.1,74.4,73.45,73.5,87830
AIT,20180319,73.65,74.05,72.85,74.0,93327
AIT,20180316,73.05,74.2,72.95,73.75,290437
