<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ALE,20180510,77.05,77.43,76.36,77.33,113071
ALE,20180509,76.90,76.95,75.98,76.57,165946
ALE,20180508,78.74,78.74,76.76,76.96,269014
ALE,20180507,79.10,79.40,78.34,78.86,234407
ALE,20180504,78.82,79.86,78.455,79.62,162970
ALE,20180503,77.44,78.83,76.13,78.79,235153
ALE,20180502,76.33,77.66,75.72,77.37,237998
ALE,20180501,76.35,76.75,75.76,76.30,115862
ALE,20180430,77.22,77.45,76.21,76.41,296218
ALE,20180427,76.50,77.435,76.44,77.08,141776
ALE,20180426,75.37,76.50,75.00,76.37,151682
ALE,20180425,74.71,75.36,74.30,75.27,223818
ALE,20180424,73.75,75.11,73.63,74.90,172360
ALE,20180423,73.31,73.93,73.11,73.67,132084
ALE,20180420,73.59,73.65,72.98,73.10,107777
ALE,20180419,73.63,73.77,72.99,73.71,135398
ALE,20180418,74.25,74.78,73.60,73.61,254571
ALE,20180417,73.27,74.29,72.96,74.21,164059
ALE,20180416,71.94,73.15,71.88,73.14,235132
ALE,20180413,71.63,72.02,71.50,71.67,143794
ALE,20180412,72.08,72.37,71.04,71.49,243364
ALE,20180411,72.02,72.34,71.675,72.11,182017
ALE,20180410,72.65,72.65,71.80,72.04,338707
ALE,20180409,71.86,72.30,71.40,71.86,221340
ALE,20180406,71.76,72.16,71.38,71.72,284860
ALE,20180405,71.42,71.94,70.41,71.71,103600
ALE,20180404,71.11,71.69,70.73,71.43,128966
ALE,20180403,70.76,71.69,70.49,71.32,285268
ALE,20180402,72.36,72.655,70.40,70.90,231981
ALE,20180329,71.95,72.80,71.95,72.25,200644
ALE,20180328,71.81,72.50,71.46,71.83,190663
ALE,20180327,71.17,72.46,70.56,71.73,134457
ALE,20180326,70.41,71.08,70.13,70.94,177835
ALE,20180323,71.19,71.96,70.06,70.12,233268
ALE,20180322,71.24,72.61,71.00,71.01,191363
ALE,20180321,71.20,71.91,70.8955,71.26,143120
ALE,20180320,71.04,71.76,70.75,71.14,219553
ALE,20180319,71.18,71.54,70.34,71.22,249481
ALE,20180316,69.61,71.20,69.50,71.07,470118
ALE,20180315,69.29,69.71,68.74,69.48,365451
ALE,20180314,68.85,69.55,68.57,69.19,151852
ALE,20180313,68.85,69.30,68.20,68.68,203306
ALE,20180312,68.10,68.90,68.06,68.71,222430
ALE,20180309,67.93,68.66,67.60,68.08,174885
ALE,20180308,67.99,68.42,67.64,67.70,324140
ALE,20180307,67.20,68.26,67.20,67.86,452414
ALE,20180306,68.49,68.55,67.07,67.19,3370494
ALE,20180305,68.28,68.725,67.91,68.53,477502
ALE,20180302,68.54,68.89,67.875,68.58,155082
ALE,20180301,68.22,69.57,68.15,68.60,181871
ALE,20180228,68.72,69.15,68.13,68.15,249988
ALE,20180227,69.67,70.06,68.22,68.25,152071
ALE,20180226,70.00,70.03,69.18,69.44,139057
ALE,20180223,68.47,69.98,68.39,69.98,167572
ALE,20180222,67.93,68.87,67.56,68.19,213603
ALE,20180221,68.77,69.14,67.77,67.80,372951
ALE,20180220,68.92,69.21,68.26,68.74,262178
ALE,20180216,68.17,69.47,67.51,69.34,549906
ALE,20180215,68.80,68.80,67.2001,68.48,319065
ALE,20180214,68.42,68.71,67.79,68.05,394846
ALE,20180213,69.23,69.82,68.50,69.45,230231
ALE,20180212,69.87,69.9698,68.60,69.71,243495
ALE,20180209,68.75,70.40,68.75,69.89,332020
ALE,20180208,68.62,69.45,67.58,68.56,406081
ALE,20180207,68.05,69.23,68.05,68.73,302459
ALE,20180206,68.21,68.53,66.64,68.37,529174
ALE,20180205,70.07,70.64,68.68,68.70,182451
ALE,20180202,70.82,71.12,70.26,70.42,231208
ALE,20180201,72.18,72.55,70.27,70.56,192655
ALE,20180131,72.18,72.57,71.36,72.44,176207
ALE,20180130,71.64,72.25,71.51,71.85,110004
ALE,20180129,72.63,72.63,71.62,71.62,118172
ALE,20180126,73.51,73.51,72.28,72.84,137103
ALE,20180125,72.24,73.45,72.24,73.41,212845
ALE,20180124,73.39,73.97,72.39,72.42,247698
ALE,20180123,72.17,73.46,71.85,73.06,243141
ALE,20180122,72.30,72.88,71.88,72.12,209126
ALE,20180119,73.28,73.405,71.80,71.98,425461
ALE,20180118,73.50,74.04,73.06,73.22,355932
ALE,20180117,73.50,74.01,73.03,73.85,254117
ALE,20180116,73.34,73.89,73.035,73.48,270366
ALE,20180112,72.48,73.19,72.14,73.00,217357
ALE,20180111,72.64,73.11,72.27,72.54,244829
ALE,20180110,73.20,73.27,72.38,72.72,233381
ALE,20180109,74.04,74.13,72.91,73.38,312417
ALE,20180108,73.65,74.06,73.00,74.05,276375
ALE,20180105,73.11,73.60,72.531,73.55,330296
ALE,20180104,73.54,74.31,72.80,72.92,147795
ALE,20180103,73.65,74.24,73.13,73.40,169485
ALE,20180102,74.23,74.42,73.26,73.80,260798
ALE,20171229,74.53,74.97,74.06,74.36,168346
ALE,20171228,73.85,74.42,73.34,74.31,151435
ALE,20171227,73.36,74.15,73.36,73.71,160574
ALE,20171226,73.52,73.90,72.96,73.04,323589
ALE,20171222,73.59,73.95,73.40,73.45,141657
ALE,20171221,73.88,74.18,73.52,73.60,147593
ALE,20171220,74.90,75.04,74.01,74.13,265530
ALE,20171219,76.41,76.5465,74.67,74.75,145356
ALE,20171218,78.15,78.53,76.325,76.35,176574
ALE,20171215,76.70,78.49,76.70,77.90,267431
ALE,20171214,77.58,77.81,76.75,76.76,121216
ALE,20171213,77.76,78.11,77.1201,77.56,116165
ALE,20171212,79.11,79.35,77.32,77.37,123011
ALE,20171211,79.50,79.50,78.54,79.16,171638
ALE,20171208,79.51,79.67,78.79,79.33,90694
ALE,20171207,79.48,79.51,78.6436,79.34,126092
ALE,20171206,78.89,79.55,78.195,79.42,106466
ALE,20171205,80.41,80.41,78.21,78.65,189457
ALE,20171204,80.52,81.24,80.04,80.39,126430
ALE,20171201,80.93,80.93,78.85,80.21,176446
ALE,20171130,80.34,80.83,79.80,80.50,172960
ALE,20171129,80.21,80.75,79.21,80.10,223242
ALE,20171128,79.34,80.24,79.0401,80.20,153662
ALE,20171127,78.10,79.29,77.52,79.03,125990
ALE,20171124,78.20,78.22,77.72,78.18,52412
ALE,20171122,78.50,78.695,77.85,77.88,109937
ALE,20171121,77.47,78.55,77.29,78.51,170651
ALE,20171120,77.50,77.52,77.03,77.44,109687
ALE,20171117,77.67,77.94,76.52,77.50,164522
ALE,20171116,77.35,78.08,77.11,78.01,127540
ALE,20171115,78.55,78.59,77.381,77.39,147456
ALE,20171114,76.49,78.53,76.49,78.49,149276
ALE,20171113,76.17,77.44,76.02,77.05,186764
ALE,20171110,76.53,76.70,75.20,76.34,195247
ALE,20171109,76.80,77.33,76.61,76.93,154467
ALE,20171108,76.86,77.55,76.48,77.20,209096
ALE,20171107,77.25,77.74,76.95,77.25,197408
ALE,20171106,77.17,77.425,76.301,77.08,253526
ALE,20171103,77.75,78.12,76.76,76.93,222103
ALE,20171102,77.36,79.20,77.36,78.07,177827
ALE,20171101,80.00,80.00,76.91,77.32,180884
ALE,20171031,77.86,78.90,77.65,78.35,205458
ALE,20171030,79.49,79.49,77.57,77.64,186414
ALE,20171027,79.16,79.85,78.84,79.69,166928
ALE,20171026,79.29,79.83,78.73,79.03,118168
ALE,20171025,78.69,79.06,77.89,78.80,140642
ALE,20171024,78.70,79.035,78.35,78.70,142761
ALE,20171023,79.22,79.22,78.35,78.62,112871
ALE,20171020,78.96,79.54,78.77,78.93,128783
ALE,20171019,78.50,79.28,78.125,79.09,116995
ALE,20171018,78.82,79.47,78.60,79.34,116713
ALE,20171017,78.16,79.25,77.58,78.78,132798
ALE,20171016,78.42,78.965,77.70,78.01,146313
ALE,20171013,79.03,79.43,78.31,78.38,180328
ALE,20171012,79.17,79.42,78.65,78.81,296351
